t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,23,7.402983,0.000000,0.000000,0.000000,events/second
1602074488,2215,368.244313,0.000000,0.000000,0.000000,events/second
1602074491,2419,268.528038,0.000000,0.000000,0.000000,events/second
1602074494,3536,294.387999,0.000000,0.000000,0.000000,events/second
1602074497,3536,235.743247,0.000000,0.000000,0.000000,events/second
1602074500,3536,196.320483,0.000000,0.000000,0.000000,events/second
1602074503,3536,168.275735,0.000000,0.000000,0.000000,events/second
1602074506,3536,147.262993,0.000000,0.000000,0.000000,events/second
1602074509,3536,130.895210,0.000000,0.000000,0.000000,events/second
1602074512,3596,119.819667,0.000000,0.000000,0.000000,events/second
1602074515,3596,108.968698,0.000000,0.000000,0.000000,events/second
1602074518,3596,99.878568,0.000000,0.000000,0.000000,events/second
1602074521,3596,92.218865,0.000000,0.000000,0.000000,events/second
1602074524,3596,85.608650,0.000000,0.000000,0.000000,events/second
1602074527,3596,79.894826,0.000000,0.000000,0.000000,events/second
1602074530,3596,74.914760,0.000000,0.000000,0.000000,events/second
1602074533,3647,71.510585,0.000000,0.000000,0.000000,events/second
1602074536,3673,68.023515,0.000000,0.000000,0.000000,events/second
1602074539,3694,64.792857,0.000000,0.000000,0.000000,events/second
1602074542,3707,61.785431,0.000000,0.000000,0.000000,events/second
1602074545,3720,59.037398,0.000000,0.000000,0.000000,events/second
1602074548,3729,56.488106,0.000000,0.000000,0.000000,events/second
1602074551,3759,54.467306,0.000000,0.000000,0.000000,events/second
1602074554,3762,52.241481,0.000000,0.000000,0.000000,events/second
1602074557,3769,50.245156,0.000000,0.000000,0.000000,events/second
1602074560,3778,48.427083,0.000000,0.000000,0.000000,events/second
1602074563,3786,46.742648,0.000000,0.000000,0.000000,events/second
1602074566,3902,46.444591,0.000000,0.000000,0.000000,events/second
1602074569,3918,45.026332,0.000000,0.000000,0.000000,events/second
1602074572,3942,43.794719,0.000000,0.000000,0.000000,events/second
1602074575,3942,42.382216,0.000000,0.000000,0.000000,events/second
1602074578,3942,41.058374,0.000000,0.000000,0.000000,events/second
1602074581,4210,42.528292,0.000000,0.000000,0.000000,events/second
1602074584,4241,41.574441,0.000000,0.000000,0.000000,events/second
1602074587,4241,40.390066,0.000000,0.000000,0.000000,events/second
1602074590,4385,40.597779,0.000000,0.000000,0.000000,events/second
1602074593,4418,39.803156,0.000000,0.000000,0.000000,events/second
1602074596,4418,38.756232,0.000000,0.000000,0.000000,events/second
1602074599,4418,37.756352,0.000000,0.000000,0.000000,events/second
1602074602,4418,36.812121,0.000000,0.000000,0.000000,events/second
1602074605,4418,35.920244,0.000000,0.000000,0.000000,events/second
1602074608,4473,35.496942,0.000000,0.000000,0.000000,events/second
1602074611,4517,35.017281,0.000000,0.000000,0.000000,events/second
1602074614,4517,34.217184,0.000000,0.000000,0.000000,events/second
1602074617,4517,33.456663,0.000000,0.000000,0.000000,events/second
1602074620,4517,32.732761,0.000000,0.000000,0.000000,events/second
1602074623,4517,32.033400,0.000000,0.000000,0.000000,events/second
1602074626,4517,31.366145,0.000000,0.000000,0.000000,events/second
1602074629,4517,30.724870,0.000000,0.000000,0.000000,events/second
1602074632,4563,30.417954,0.000000,0.000000,0.000000,events/second
1602074635,4563,29.824942,0.000000,0.000000,0.000000,events/second
1602074638,4563,29.248170,0.000000,0.000000,0.000000,events/second
1602074641,4563,28.696464,0.000000,0.000000,0.000000,events/second
1602074644,4563,28.165157,0.000000,0.000000,0.000000,events/second
1602074647,4563,27.653524,0.000000,0.000000,0.000000,events/second
1602074650,4563,27.159053,0.000000,0.000000,0.000000,events/second
1602074653,4606,26.934187,0.000000,0.000000,0.000000,events/second
1602074656,4606,26.469885,0.000000,0.000000,0.000000,events/second
1602074659,4606,26.020982,0.000000,0.000000,0.000000,events/second
1602074662,4606,25.590234,0.000000,0.000000,0.000000,events/second
1602074665,4606,25.167958,0.000000,0.000000,0.000000,events/second
1602074668,4606,24.762145,0.000000,0.000000,0.000000,events/second
1602074671,4643,24.566996,0.000000,0.000000,0.000000,events/second
1602074674,4650,24.217639,0.000000,0.000000,0.000000,events/second
1602074677,4650,23.844999,0.000000,0.000000,0.000000,events/second
1602074680,4650,23.483663,0.000000,0.000000,0.000000,events/second
1602074683,4650,23.133103,0.000000,0.000000,0.000000,events/second
1602074686,4650,22.794148,0.000000,0.000000,0.000000,events/second
1602074689,4650,22.463161,0.000000,0.000000,0.000000,events/second
1602074692,4650,22.143347,0.000000,0.000000,0.000000,events/second
1602074695,4650,21.830458,0.000000,0.000000,0.000000,events/second
1602074698,4650,21.528152,0.000000,0.000000,0.000000,events/second
1602074701,4650,21.233107,0.000000,0.000000,0.000000,events/second
1602074704,4650,20.945199,0.000000,0.000000,0.000000,events/second
1602074707,4650,20.667363,0.000000,0.000000,0.000000,events/second
1602074710,4650,20.395106,0.000000,0.000000,0.000000,events/second
1602074713,4650,20.130475,0.000000,0.000000,0.000000,events/second
1602074716,4650,19.872146,0.000000,0.000000,0.000000,events/second
1602074719,4650,19.620782,0.000000,0.000000,0.000000,events/second
1602074722,4650,19.375644,0.000000,0.000000,0.000000,events/second
1602074725,4650,19.136417,0.000000,0.000000,0.000000,events/second
1602074728,4650,18.902029,0.000000,0.000000,0.000000,events/second
1602074731,4650,18.675131,0.000000,0.000000,0.000000,events/second
1602074734,4650,18.452935,0.000000,0.000000,0.000000,events/second
1602074737,4650,18.234672,0.000000,0.000000,0.000000,events/second
1602074740,4650,18.022704,0.000000,0.000000,0.000000,events/second
1602074743,4650,17.815494,0.000000,0.000000,0.000000,events/second
1602074746,4650,17.613088,0.000000,0.000000,0.000000,events/second
1602074749,4650,17.414865,0.000000,0.000000,0.000000,events/second
1602074752,4650,17.221654,0.000000,0.000000,0.000000,events/second
1602074755,4650,17.032411,0.000000,0.000000,0.000000,events/second
1602074758,4650,16.847276,0.000000,0.000000,0.000000,events/second
1602074761,4650,16.667095,0.000000,0.000000,0.000000,events/second
1602074764,4650,16.488809,0.000000,0.000000,0.000000,events/second
1602074767,4650,16.315308,0.000000,0.000000,0.000000,events/second
1602074770,4650,16.145461,0.000000,0.000000,0.000000,events/second
1602074773,4650,15.979908,0.000000,0.000000,0.000000,events/second
1602074776,4650,15.816778,0.000000,0.000000,0.000000,events/second
1602074779,4650,15.657030,0.000000,0.000000,0.000000,events/second
1602074782,4650,15.500383,0.000000,0.000000,0.000000,events/second
1602074785,4650,15.346911,0.000000,0.000000,0.000000,events/second
1602074788,4650,15.196456,0.000000,0.000000,0.000000,events/second
1602074791,4650,15.048253,0.000000,0.000000,0.000000,events/second
1602074794,4650,14.904131,0.000000,0.000000,0.000000,events/second
1602074797,4650,14.762264,0.000000,0.000000,0.000000,events/second
1602074800,4650,14.622222,0.000000,0.000000,0.000000,events/second
1602074803,4650,14.485616,0.000000,0.000000,0.000000,events/second
1602074806,4650,14.351429,0.000000,0.000000,0.000000,events/second
1602074809,4650,14.219684,0.000000,0.000000,0.000000,events/second
1602074812,4650,14.090520,0.000000,0.000000,0.000000,events/second
1602074815,4650,13.963772,0.000000,0.000000,0.000000,events/second
1602074818,4650,13.838890,0.000000,0.000000,0.000000,events/second
1602074821,4650,13.716433,0.000000,0.000000,0.000000,events/second
1602074824,4650,13.596134,0.000000,0.000000,0.000000,events/second
1602074827,4650,13.477904,0.000000,0.000000,0.000000,events/second
1602074830,4650,13.361605,0.000000,0.000000,0.000000,events/second
1602074833,4650,13.247414,0.000000,0.000000,0.000000,events/second
1602074836,4650,13.135206,0.000000,0.000000,0.000000,events/second
1602074839,4650,13.024810,0.000000,0.000000,0.000000,events/second
1602074842,4650,12.916457,0.000000,0.000000,0.000000,events/second
1602074845,4650,12.809581,0.000000,0.000000,0.000000,events/second
1602074848,4650,12.704621,0.000000,0.000000,0.000000,events/second
1602074851,4650,12.601434,0.000000,0.000000,0.000000,events/second
1602074854,4650,12.499572,0.000000,0.000000,0.000000,events/second
1602074857,4650,12.399640,0.000000,0.000000,0.000000,events/second
1602074860,4650,12.301265,0.000000,0.000000,0.000000,events/second
1602074863,4650,12.204428,0.000000,0.000000,0.000000,events/second
1602074866,4650,12.108890,0.000000,0.000000,0.000000,events/second
1602074869,4650,12.015080,0.000000,0.000000,0.000000,events/second
1602074872,4650,11.922765,0.000000,0.000000,0.000000,events/second
1602074875,4650,11.831811,0.000000,0.000000,0.000000,events/second
1602074878,4650,11.742039,0.000000,0.000000,0.000000,events/second
1602074881,4650,11.653886,0.000000,0.000000,0.000000,events/second
1602074884,4650,11.566883,0.000000,0.000000,0.000000,events/second
1602074887,4650,11.481243,0.000000,0.000000,0.000000,events/second
1602074890,4650,11.396718,0.000000,0.000000,0.000000,events/second
1602074893,4650,11.313621,0.000000,0.000000,0.000000,events/second
1602074896,4650,11.231661,0.000000,0.000000,0.000000,events/second
1602074899,4650,11.151232,0.000000,0.000000,0.000000,events/second
1602074902,4650,11.071110,0.000000,0.000000,0.000000,events/second
1602074905,4650,10.992674,0.000000,0.000000,0.000000,events/second
1602074908,4650,10.915347,0.000000,0.000000,0.000000,events/second
1602074911,4650,10.838943,0.000000,0.000000,0.000000,events/second
1602074914,4650,10.763670,0.000000,0.000000,0.000000,events/second
1602074917,4650,10.689835,0.000000,0.000000,0.000000,events/second
1602074920,4650,10.616618,0.000000,0.000000,0.000000,events/second
1602074923,4650,10.543993,0.000000,0.000000,0.000000,events/second
1602074926,4650,10.472745,0.000000,0.000000,0.000000,events/second
1602074929,4650,10.402399,0.000000,0.000000,0.000000,events/second
1602074932,4650,10.333498,0.000000,0.000000,0.000000,events/second
1602074935,4650,10.264708,0.000000,0.000000,0.000000,events/second
1602074938,4650,10.197171,0.000000,0.000000,0.000000,events/second
1602074941,4650,10.130541,0.000000,0.000000,0.000000,events/second
1602074944,4650,10.064736,0.000000,0.000000,0.000000,events/second
1602074947,4650,9.999820,0.000000,0.000000,0.000000,events/second
1602074950,4650,9.935710,0.000000,0.000000,0.000000,events/second
1602074953,4650,9.872407,0.000000,0.000000,0.000000,events/second
1602074956,4650,9.809835,0.000000,0.000000,0.000000,events/second
1602074959,4650,9.748235,0.000000,0.000000,0.000000,events/second
1602074962,4650,9.687303,0.000000,0.000000,0.000000,events/second
1602074965,4650,9.627136,0.000000,0.000000,0.000000,events/second
1602074968,4650,9.567721,0.000000,0.000000,0.000000,events/second
1602074971,4650,9.508970,0.000000,0.000000,0.000000,events/second
1602074974,4650,9.451050,0.000000,0.000000,0.000000,events/second
1602074977,4650,9.393762,0.000000,0.000000,0.000000,events/second
1602074980,4650,9.337173,0.000000,0.000000,0.000000,events/second
1602074983,4650,9.281257,0.000000,0.000000,0.000000,events/second
1602074986,4650,9.226002,0.000000,0.000000,0.000000,events/second
1602074989,4650,9.171487,0.000000,0.000000,0.000000,events/second
1602074992,4650,9.117720,0.000000,0.000000,0.000000,events/second
1602074995,4650,9.064119,0.000000,0.000000,0.000000,events/second
1602074998,4650,9.011755,0.000000,0.000000,0.000000,events/second
1602075001,4650,8.959279,0.000000,0.000000,0.000000,events/second
1602075004,4650,8.907653,0.000000,0.000000,0.000000,events/second
1602075007,4650,8.857117,0.000000,0.000000,0.000000,events/second
1602075010,4650,8.806922,0.000000,0.000000,0.000000,events/second
1602075013,4650,8.757179,0.000000,0.000000,0.000000,events/second
1602075016,4650,8.707976,0.000000,0.000000,0.000000,events/second
1602075019,4650,8.659305,0.000000,0.000000,0.000000,events/second
1602075022,4650,8.611124,0.000000,0.000000,0.000000,events/second
1602075025,4650,8.563426,0.000000,0.000000,0.000000,events/second
1602075028,4650,8.516450,0.000000,0.000000,0.000000,events/second
1602075031,4650,8.470004,0.000000,0.000000,0.000000,events/second
1602075034,4650,8.424038,0.000000,0.000000,0.000000,events/second
1602075037,4650,8.378462,0.000000,0.000000,0.000000,events/second
1602075040,4650,8.333352,0.000000,0.000000,0.000000,events/second
1602075043,4650,8.288894,0.000000,0.000000,0.000000,events/second
1602075046,4650,8.244770,0.000000,0.000000,0.000000,events/second
1602075049,4650,8.200573,0.000000,0.000000,0.000000,events/second
1602075052,4650,8.157992,0.000000,0.000000,0.000000,events/second
1602075055,4650,8.115178,0.000000,0.000000,0.000000,events/second
1602075058,4650,8.072949,0.000000,0.000000,0.000000,events/second
1602075061,4650,7.998863,0.000000,0.000000,0.000000,events/second
1602075064,4650,7.989730,0.000000,0.000000,0.000000,events/second
1602075067,4650,7.948708,0.000000,0.000000,0.000000,events/second
1602075070,4650,7.908136,0.000000,0.000000,0.000000,events/second
1602075073,4650,7.868083,0.000000,0.000000,0.000000,events/second
1602075076,4650,7.828319,0.000000,0.000000,0.000000,events/second
1602075079,4650,7.789009,0.000000,0.000000,0.000000,events/second
1602075082,4650,7.750035,0.000000,0.000000,0.000000,events/second
1602075085,4650,7.711473,0.000000,0.000000,0.000000,events/second
1602075088,4650,7.673302,0.000000,0.000000,0.000000,events/second
1602075091,4650,7.635575,0.000000,0.000000,0.000000,events/second
1602075094,4650,7.598094,0.000000,0.000000,0.000000,events/second
1602075097,4650,7.561049,0.000000,0.000000,0.000000,events/second
1602075100,4650,7.524277,0.000000,0.000000,0.000000,events/second
1602075103,4650,7.487959,0.000000,0.000000,0.000000,events/second
1602075106,4650,7.452016,0.000000,0.000000,0.000000,events/second
1602075109,4650,7.416248,0.000000,0.000000,0.000000,events/second
1602075112,4650,7.381044,0.000000,0.000000,0.000000,events/second
1602075115,4650,7.346052,0.000000,0.000000,0.000000,events/second
1602075118,4650,7.311419,0.000000,0.000000,0.000000,events/second
1602075121,4650,7.277075,0.000000,0.000000,0.000000,events/second
1602075124,4650,7.243059,0.000000,0.000000,0.000000,events/second
1602075127,4650,7.209400,0.000000,0.000000,0.000000,events/second
1602075130,4650,7.175990,0.000000,0.000000,0.000000,events/second
1602075133,4650,7.142931,0.000000,0.000000,0.000000,events/second
1602075136,4650,7.110140,0.000000,0.000000,0.000000,events/second
1602075139,4650,7.077667,0.000000,0.000000,0.000000,events/second
1602075142,4650,7.045522,0.000000,0.000000,0.000000,events/second
1602075145,4650,7.013661,0.000000,0.000000,0.000000,events/second
1602075148,4650,6.982052,0.000000,0.000000,0.000000,events/second
1602075151,4650,6.950732,0.000000,0.000000,0.000000,events/second
1602075154,4650,6.919700,0.000000,0.000000,0.000000,events/second
1602075157,4650,6.888957,0.000000,0.000000,0.000000,events/second
1602075160,4650,6.858468,0.000000,0.000000,0.000000,events/second
1602075163,4650,6.828198,0.000000,0.000000,0.000000,events/second
1602075166,4650,6.798335,0.000000,0.000000,0.000000,events/second
1602075169,4650,6.768574,0.000000,0.000000,0.000000,events/second
1602075172,4650,6.739140,0.000000,0.000000,0.000000,events/second
1602075175,4650,6.709969,0.000000,0.000000,0.000000,events/second
1602075178,4650,6.681100,0.000000,0.000000,0.000000,events/second
