t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,3,0.965202,0.000000,0.000000,0.000000,events/second
1602074488,2082,346.085970,0.000000,0.000000,0.000000,events/second
1602074491,2272,252.196286,0.000000,0.000000,0.000000,events/second
1602074494,3281,273.149829,0.000000,0.000000,0.000000,events/second
1602074497,3281,218.734691,0.000000,0.000000,0.000000,events/second
1602074500,3281,182.158788,0.000000,0.000000,0.000000,events/second
1602074503,3281,156.137848,0.000000,0.000000,0.000000,events/second
1602074506,3281,136.635105,0.000000,0.000000,0.000000,events/second
1602074509,3281,121.453890,0.000000,0.000000,0.000000,events/second
1602074512,3304,110.089026,0.000000,0.000000,0.000000,events/second
1602074515,3304,100.119140,0.000000,0.000000,0.000000,events/second
1602074518,3304,91.767158,0.000000,0.000000,0.000000,events/second
1602074521,3304,84.729805,0.000000,0.000000,0.000000,events/second
1602074524,3304,78.656537,0.000000,0.000000,0.000000,events/second
1602074527,3304,73.406728,0.000000,0.000000,0.000000,events/second
1602074530,3304,68.830991,0.000000,0.000000,0.000000,events/second
1602074533,3338,65.451329,0.000000,0.000000,0.000000,events/second
1602074536,3364,62.300553,0.000000,0.000000,0.000000,events/second
1602074539,3385,59.372689,0.000000,0.000000,0.000000,events/second
1602074542,3399,56.651634,0.000000,0.000000,0.000000,events/second
1602074545,3416,54.212544,0.000000,0.000000,0.000000,events/second
1602074548,3425,51.882718,0.000000,0.000000,0.000000,events/second
1602074551,3448,49.960732,0.000000,0.000000,0.000000,events/second
1602074554,3451,47.922541,0.000000,0.000000,0.000000,events/second
1602074557,3461,46.138958,0.000000,0.000000,0.000000,events/second
1602074560,3471,44.491733,0.000000,0.000000,0.000000,events/second
1602074563,3479,42.952175,0.000000,0.000000,0.000000,events/second
1602074566,3585,42.671155,0.000000,0.000000,0.000000,events/second
1602074569,3599,41.360181,0.000000,0.000000,0.000000,events/second
1602074572,3615,40.161694,0.000000,0.000000,0.000000,events/second
1602074575,3615,38.866359,0.000000,0.000000,0.000000,events/second
1602074578,3615,37.652342,0.000000,0.000000,0.000000,events/second
1602074581,3877,39.164303,0.000000,0.000000,0.000000,events/second
1602074584,3905,38.280525,0.000000,0.000000,0.000000,events/second
1602074587,3905,37.190000,0.000000,0.000000,0.000000,events/second
1602074590,4025,37.264671,0.000000,0.000000,0.000000,events/second
1602074593,4051,36.496646,0.000000,0.000000,0.000000,events/second
1602074596,4051,35.536679,0.000000,0.000000,0.000000,events/second
1602074599,4051,34.619858,0.000000,0.000000,0.000000,events/second
1602074602,4051,33.754083,0.000000,0.000000,0.000000,events/second
1602074605,4051,32.936296,0.000000,0.000000,0.000000,events/second
1602074608,4075,32.338357,0.000000,0.000000,0.000000,events/second
1602074611,4090,31.706967,0.000000,0.000000,0.000000,events/second
1602074614,4090,30.982507,0.000000,0.000000,0.000000,events/second
1602074617,4090,30.293879,0.000000,0.000000,0.000000,events/second
1602074620,4090,29.638387,0.000000,0.000000,0.000000,events/second
1602074623,4090,29.005161,0.000000,0.000000,0.000000,events/second
1602074626,4090,28.400983,0.000000,0.000000,0.000000,events/second
1602074629,4090,27.820323,0.000000,0.000000,0.000000,events/second
1602074632,4107,27.378101,0.000000,0.000000,0.000000,events/second
1602074635,4107,26.844360,0.000000,0.000000,0.000000,events/second
1602074638,4107,26.325228,0.000000,0.000000,0.000000,events/second
1602074641,4107,25.828660,0.000000,0.000000,0.000000,events/second
1602074644,4107,25.350449,0.000000,0.000000,0.000000,events/second
1602074647,4107,24.889919,0.000000,0.000000,0.000000,events/second
1602074650,4107,24.444887,0.000000,0.000000,0.000000,events/second
1602074653,4125,24.121437,0.000000,0.000000,0.000000,events/second
1602074656,4125,23.705624,0.000000,0.000000,0.000000,events/second
1602074659,4125,23.303574,0.000000,0.000000,0.000000,events/second
1602074662,4125,22.917833,0.000000,0.000000,0.000000,events/second
1602074665,4125,22.539650,0.000000,0.000000,0.000000,events/second
1602074668,4125,22.176219,0.000000,0.000000,0.000000,events/second
1602074671,4136,21.884328,0.000000,0.000000,0.000000,events/second
1602074674,4140,21.561475,0.000000,0.000000,0.000000,events/second
1602074677,4140,21.229708,0.000000,0.000000,0.000000,events/second
1602074680,4140,20.908005,0.000000,0.000000,0.000000,events/second
1602074683,4140,20.595891,0.000000,0.000000,0.000000,events/second
1602074686,4140,20.294102,0.000000,0.000000,0.000000,events/second
1602074689,4140,19.999423,0.000000,0.000000,0.000000,events/second
1602074692,4140,19.714693,0.000000,0.000000,0.000000,events/second
1602074695,4140,19.436120,0.000000,0.000000,0.000000,events/second
1602074698,4140,19.166974,0.000000,0.000000,0.000000,events/second
1602074701,4140,18.904288,0.000000,0.000000,0.000000,events/second
1602074704,4140,18.647947,0.000000,0.000000,0.000000,events/second
1602074707,4140,18.400597,0.000000,0.000000,0.000000,events/second
1602074710,4140,18.158199,0.000000,0.000000,0.000000,events/second
