t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,1,0.321495,0.000000,0.000000,0.000000,events/second
1602074488,2,0.332376,0.000000,0.000000,0.000000,events/second
1602074491,11,1.220798,0.000000,0.000000,0.000000,events/second
1602074494,14,1.165397,0.000000,0.000000,0.000000,events/second
1602074497,14,0.933250,0.000000,0.000000,0.000000,events/second
1602074500,14,0.777211,0.000000,0.000000,0.000000,events/second
1602074503,14,0.666196,0.000000,0.000000,0.000000,events/second
1602074506,14,0.582977,0.000000,0.000000,0.000000,events/second
1602074509,14,0.518216,0.000000,0.000000,0.000000,events/second
1602074512,17,0.566414,0.000000,0.000000,0.000000,events/second
1602074515,17,0.515120,0.000000,0.000000,0.000000,events/second
1602074518,17,0.472148,0.000000,0.000000,0.000000,events/second
1602074521,17,0.435944,0.000000,0.000000,0.000000,events/second
1602074524,17,0.404697,0.000000,0.000000,0.000000,events/second
1602074527,17,0.377687,0.000000,0.000000,0.000000,events/second
1602074530,18,0.374976,0.000000,0.000000,0.000000,events/second
1602074533,24,0.470579,0.000000,0.000000,0.000000,events/second
1602074536,24,0.444463,0.000000,0.000000,0.000000,events/second
1602074539,24,0.420949,0.000000,0.000000,0.000000,events/second
1602074542,24,0.400003,0.000000,0.000000,0.000000,events/second
1602074545,24,0.380876,0.000000,0.000000,0.000000,events/second
1602074548,24,0.363550,0.000000,0.000000,0.000000,events/second
1602074551,27,0.391216,0.000000,0.000000,0.000000,events/second
1602074554,27,0.374930,0.000000,0.000000,0.000000,events/second
1602074557,27,0.359934,0.000000,0.000000,0.000000,events/second
1602074560,27,0.346084,0.000000,0.000000,0.000000,events/second
1602074563,27,0.333340,0.000000,0.000000,0.000000,events/second
1602074566,28,0.333269,0.000000,0.000000,0.000000,events/second
1602074569,30,0.344759,0.000000,0.000000,0.000000,events/second
1602074572,33,0.366616,0.000000,0.000000,0.000000,events/second
1602074575,33,0.354791,0.000000,0.000000,0.000000,events/second
1602074578,33,0.343710,0.000000,0.000000,0.000000,events/second
1602074581,33,0.333352,0.000000,0.000000,0.000000,events/second
1602074584,36,0.352902,0.000000,0.000000,0.000000,events/second
1602074587,36,0.342848,0.000000,0.000000,0.000000,events/second
1602074590,39,0.361069,0.000000,0.000000,0.000000,events/second
1602074593,42,0.378386,0.000000,0.000000,0.000000,events/second
1602074596,42,0.368433,0.000000,0.000000,0.000000,events/second
1602074599,42,0.358928,0.000000,0.000000,0.000000,events/second
1602074602,42,0.349952,0.000000,0.000000,0.000000,events/second
1602074605,42,0.341474,0.000000,0.000000,0.000000,events/second
1602074608,46,0.365042,0.000000,0.000000,0.000000,events/second
1602074611,49,0.379859,0.000000,0.000000,0.000000,events/second
1602074614,49,0.371180,0.000000,0.000000,0.000000,events/second
1602074617,49,0.362930,0.000000,0.000000,0.000000,events/second
1602074620,49,0.355077,0.000000,0.000000,0.000000,events/second
1602074623,49,0.347491,0.000000,0.000000,0.000000,events/second
1602074626,49,0.340253,0.000000,0.000000,0.000000,events/second
1602074629,49,0.333297,0.000000,0.000000,0.000000,events/second
1602074632,52,0.346640,0.000000,0.000000,0.000000,events/second
1602074635,52,0.339882,0.000000,0.000000,0.000000,events/second
1602074638,52,0.333309,0.000000,0.000000,0.000000,events/second
1602074641,52,0.327022,0.000000,0.000000,0.000000,events/second
1602074644,52,0.320967,0.000000,0.000000,0.000000,events/second
1602074647,52,0.315136,0.000000,0.000000,0.000000,events/second
1602074650,52,0.309502,0.000000,0.000000,0.000000,events/second
1602074653,55,0.321617,0.000000,0.000000,0.000000,events/second
1602074656,55,0.316073,0.000000,0.000000,0.000000,events/second
1602074659,55,0.310712,0.000000,0.000000,0.000000,events/second
1602074662,55,0.305569,0.000000,0.000000,0.000000,events/second
1602074665,55,0.300526,0.000000,0.000000,0.000000,events/second
1602074668,55,0.295681,0.000000,0.000000,0.000000,events/second
1602074671,57,0.301595,0.000000,0.000000,0.000000,events/second
1602074674,64,0.333315,0.000000,0.000000,0.000000,events/second
1602074677,64,0.328187,0.000000,0.000000,0.000000,events/second
1602074680,64,0.323213,0.000000,0.000000,0.000000,events/second
1602074683,64,0.318388,0.000000,0.000000,0.000000,events/second
1602074686,64,0.313723,0.000000,0.000000,0.000000,events/second
1602074689,64,0.309168,0.000000,0.000000,0.000000,events/second
1602074692,64,0.304766,0.000000,0.000000,0.000000,events/second
1602074695,64,0.300460,0.000000,0.000000,0.000000,events/second
1602074698,64,0.296299,0.000000,0.000000,0.000000,events/second
1602074701,64,0.292238,0.000000,0.000000,0.000000,events/second
1602074704,64,0.288276,0.000000,0.000000,0.000000,events/second
1602074707,64,0.284452,0.000000,0.000000,0.000000,events/second
1602074710,64,0.280705,0.000000,0.000000,0.000000,events/second
1602074713,64,0.277063,0.000000,0.000000,0.000000,events/second
1602074716,64,0.273507,0.000000,0.000000,0.000000,events/second
1602074719,64,0.270048,0.000000,0.000000,0.000000,events/second
1602074722,64,0.266674,0.000000,0.000000,0.000000,events/second
1602074725,64,0.263381,0.000000,0.000000,0.000000,events/second
1602074728,64,0.260155,0.000000,0.000000,0.000000,events/second
1602074731,64,0.257032,0.000000,0.000000,0.000000,events/second
1602074734,64,0.253974,0.000000,0.000000,0.000000,events/second
1602074737,64,0.250970,0.000000,0.000000,0.000000,events/second
1602074740,64,0.248052,0.000000,0.000000,0.000000,events/second
1602074743,64,0.245201,0.000000,0.000000,0.000000,events/second
1602074746,64,0.242415,0.000000,0.000000,0.000000,events/second
1602074749,64,0.239687,0.000000,0.000000,0.000000,events/second
1602074752,64,0.237028,0.000000,0.000000,0.000000,events/second
1602074755,64,0.234423,0.000000,0.000000,0.000000,events/second
1602074758,64,0.231875,0.000000,0.000000,0.000000,events/second
1602074761,64,0.229395,0.000000,0.000000,0.000000,events/second
1602074764,64,0.226941,0.000000,0.000000,0.000000,events/second
1602074767,64,0.224554,0.000000,0.000000,0.000000,events/second
