t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,2,0.642756,0.000000,0.000000,0.000000,events/second
1602074488,2,0.332345,0.000000,0.000000,0.000000,events/second
1602074491,14,1.553658,0.000000,0.000000,0.000000,events/second
1602074494,20,1.664811,0.000000,0.000000,0.000000,events/second
1602074497,20,1.333186,0.000000,0.000000,0.000000,events/second
1602074500,20,1.110283,0.000000,0.000000,0.000000,events/second
1602074503,20,0.951694,0.000000,0.000000,0.000000,events/second
1602074506,20,0.832797,0.000000,0.000000,0.000000,events/second
1602074509,20,0.740299,0.000000,0.000000,0.000000,events/second
1602074512,23,0.766317,0.000000,0.000000,0.000000,events/second
1602074515,23,0.696920,0.000000,0.000000,0.000000,events/second
1602074518,23,0.638782,0.000000,0.000000,0.000000,events/second
1602074521,23,0.589802,0.000000,0.000000,0.000000,events/second
1602074524,23,0.547527,0.000000,0.000000,0.000000,events/second
1602074527,23,0.510985,0.000000,0.000000,0.000000,events/second
1602074530,24,0.499964,0.000000,0.000000,0.000000,events/second
1602074533,30,0.588219,0.000000,0.000000,0.000000,events/second
1602074536,30,0.555575,0.000000,0.000000,0.000000,events/second
1602074539,30,0.526183,0.000000,0.000000,0.000000,events/second
1602074542,30,0.500001,0.000000,0.000000,0.000000,events/second
1602074545,30,0.476093,0.000000,0.000000,0.000000,events/second
1602074548,30,0.454436,0.000000,0.000000,0.000000,events/second
1602074551,33,0.478151,0.000000,0.000000,0.000000,events/second
1602074554,33,0.458246,0.000000,0.000000,0.000000,events/second
1602074557,33,0.439917,0.000000,0.000000,0.000000,events/second
1602074560,33,0.422990,0.000000,0.000000,0.000000,events/second
1602074563,33,0.407413,0.000000,0.000000,0.000000,events/second
1602074566,34,0.404682,0.000000,0.000000,0.000000,events/second
1602074569,36,0.413709,0.000000,0.000000,0.000000,events/second
1602074572,39,0.433272,0.000000,0.000000,0.000000,events/second
1602074575,39,0.419298,0.000000,0.000000,0.000000,events/second
1602074578,39,0.406201,0.000000,0.000000,0.000000,events/second
1602074581,39,0.393960,0.000000,0.000000,0.000000,events/second
1602074584,42,0.411717,0.000000,0.000000,0.000000,events/second
1602074587,42,0.399989,0.000000,0.000000,0.000000,events/second
1602074590,45,0.416617,0.000000,0.000000,0.000000,events/second
1602074593,48,0.432440,0.000000,0.000000,0.000000,events/second
1602074596,48,0.421066,0.000000,0.000000,0.000000,events/second
1602074599,48,0.410203,0.000000,0.000000,0.000000,events/second
1602074602,48,0.399944,0.000000,0.000000,0.000000,events/second
1602074605,48,0.390255,0.000000,0.000000,0.000000,events/second
1602074608,52,0.412655,0.000000,0.000000,0.000000,events/second
1602074611,55,0.426372,0.000000,0.000000,0.000000,events/second
1602074614,55,0.416630,0.000000,0.000000,0.000000,events/second
1602074617,55,0.407370,0.000000,0.000000,0.000000,events/second
1602074620,55,0.398555,0.000000,0.000000,0.000000,events/second
1602074623,55,0.390040,0.000000,0.000000,0.000000,events/second
1602074626,55,0.381916,0.000000,0.000000,0.000000,events/second
1602074629,55,0.374108,0.000000,0.000000,0.000000,events/second
1602074632,58,0.386636,0.000000,0.000000,0.000000,events/second
1602074635,58,0.379098,0.000000,0.000000,0.000000,events/second
1602074638,58,0.371767,0.000000,0.000000,0.000000,events/second
1602074641,58,0.364755,0.000000,0.000000,0.000000,events/second
1602074644,58,0.358001,0.000000,0.000000,0.000000,events/second
1602074647,58,0.351497,0.000000,0.000000,0.000000,events/second
1602074650,58,0.345213,0.000000,0.000000,0.000000,events/second
1602074653,61,0.356702,0.000000,0.000000,0.000000,events/second
1602074656,61,0.350553,0.000000,0.000000,0.000000,events/second
1602074659,61,0.344607,0.000000,0.000000,0.000000,events/second
1602074662,61,0.338903,0.000000,0.000000,0.000000,events/second
1602074665,61,0.333310,0.000000,0.000000,0.000000,events/second
1602074668,61,0.327936,0.000000,0.000000,0.000000,events/second
1602074671,64,0.338633,0.000000,0.000000,0.000000,events/second
1602074674,64,0.333315,0.000000,0.000000,0.000000,events/second
1602074677,64,0.328186,0.000000,0.000000,0.000000,events/second
1602074680,64,0.323213,0.000000,0.000000,0.000000,events/second
1602074683,64,0.318388,0.000000,0.000000,0.000000,events/second
1602074686,64,0.313722,0.000000,0.000000,0.000000,events/second
1602074689,64,0.309167,0.000000,0.000000,0.000000,events/second
1602074692,64,0.304766,0.000000,0.000000,0.000000,events/second
1602074695,64,0.300459,0.000000,0.000000,0.000000,events/second
1602074698,64,0.296299,0.000000,0.000000,0.000000,events/second
1602074701,64,0.292238,0.000000,0.000000,0.000000,events/second
1602074704,64,0.288275,0.000000,0.000000,0.000000,events/second
1602074707,64,0.284452,0.000000,0.000000,0.000000,events/second
1602074710,64,0.280704,0.000000,0.000000,0.000000,events/second
1602074713,64,0.277062,0.000000,0.000000,0.000000,events/second
1602074716,64,0.273507,0.000000,0.000000,0.000000,events/second
