t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,3,0.964088,0.000000,0.000000,0.000000,events/second
1602074488,21,3.489367,0.000000,0.000000,0.000000,events/second
1602074491,42,4.661291,0.000000,0.000000,0.000000,events/second
1602074494,97,8.074854,0.000000,0.000000,0.000000,events/second
1602074497,97,6.466236,0.000000,0.000000,0.000000,events/second
1602074500,97,5.385107,0.000000,0.000000,0.000000,events/second
1602074503,97,4.615880,0.000000,0.000000,0.000000,events/second
1602074506,97,4.039131,0.000000,0.000000,0.000000,events/second
1602074509,97,3.590546,0.000000,0.000000,0.000000,events/second
1602074512,117,3.898322,0.000000,0.000000,0.000000,events/second
1602074515,117,3.545281,0.000000,0.000000,0.000000,events/second
1602074518,117,3.249523,0.000000,0.000000,0.000000,events/second
1602074521,117,3.000343,0.000000,0.000000,0.000000,events/second
1602074524,117,2.785300,0.000000,0.000000,0.000000,events/second
1602074527,117,2.599406,0.000000,0.000000,0.000000,events/second
1602074530,117,2.437359,0.000000,0.000000,0.000000,events/second
1602074533,147,2.882320,0.000000,0.000000,0.000000,events/second
1602074536,157,2.907548,0.000000,0.000000,0.000000,events/second
1602074539,167,2.929116,0.000000,0.000000,0.000000,events/second
1602074542,182,3.033377,0.000000,0.000000,0.000000,events/second
1602074545,197,3.126384,0.000000,0.000000,0.000000,events/second
1602074548,207,3.135646,0.000000,0.000000,0.000000,events/second
1602074551,242,3.506482,0.000000,0.000000,0.000000,events/second
1602074554,247,3.429942,0.000000,0.000000,0.000000,events/second
1602074557,257,3.426057,0.000000,0.000000,0.000000,events/second
1602074560,272,3.486495,0.000000,0.000000,0.000000,events/second
1602074563,282,3.481560,0.000000,0.000000,0.000000,events/second
1602074566,302,3.594555,0.000000,0.000000,0.000000,events/second
1602074569,312,3.585511,0.000000,0.000000,0.000000,events/second
1602074572,327,3.632851,0.000000,0.000000,0.000000,events/second
1602074575,327,3.515679,0.000000,0.000000,0.000000,events/second
1602074578,327,3.405865,0.000000,0.000000,0.000000,events/second
1602074581,332,3.353739,0.000000,0.000000,0.000000,events/second
1602074584,347,3.401597,0.000000,0.000000,0.000000,events/second
1602074587,347,3.304696,0.000000,0.000000,0.000000,events/second
1602074590,367,3.397770,0.000000,0.000000,0.000000,events/second
1602074593,382,3.441526,0.000000,0.000000,0.000000,events/second
1602074596,382,3.351004,0.000000,0.000000,0.000000,events/second
1602074599,382,3.264551,0.000000,0.000000,0.000000,events/second
1602074602,382,3.182911,0.000000,0.000000,0.000000,events/second
1602074605,382,3.105798,0.000000,0.000000,0.000000,events/second
1602074608,402,3.190150,0.000000,0.000000,0.000000,events/second
1602074611,422,3.271454,0.000000,0.000000,0.000000,events/second
1602074614,422,3.196710,0.000000,0.000000,0.000000,events/second
1602074617,422,3.125657,0.000000,0.000000,0.000000,events/second
1602074620,422,3.058017,0.000000,0.000000,0.000000,events/second
1602074623,422,2.992690,0.000000,0.000000,0.000000,events/second
1602074626,422,2.930353,0.000000,0.000000,0.000000,events/second
1602074629,422,2.870441,0.000000,0.000000,0.000000,events/second
1602074632,442,2.946445,0.000000,0.000000,0.000000,events/second
1602074635,442,2.889006,0.000000,0.000000,0.000000,events/second
1602074638,442,2.833137,0.000000,0.000000,0.000000,events/second
1602074641,442,2.779695,0.000000,0.000000,0.000000,events/second
1602074644,442,2.728230,0.000000,0.000000,0.000000,events/second
1602074647,442,2.678658,0.000000,0.000000,0.000000,events/second
1602074650,442,2.630773,0.000000,0.000000,0.000000,events/second
1602074653,462,2.701588,0.000000,0.000000,0.000000,events/second
1602074656,462,2.655018,0.000000,0.000000,0.000000,events/second
1602074659,462,2.609983,0.000000,0.000000,0.000000,events/second
1602074662,462,2.566786,0.000000,0.000000,0.000000,events/second
1602074665,462,2.524422,0.000000,0.000000,0.000000,events/second
1602074668,462,2.483725,0.000000,0.000000,0.000000,events/second
1602074671,477,2.523881,0.000000,0.000000,0.000000,events/second
1602074674,482,2.510286,0.000000,0.000000,0.000000,events/second
1602074677,482,2.471661,0.000000,0.000000,0.000000,events/second
1602074680,482,2.434207,0.000000,0.000000,0.000000,events/second
1602074683,482,2.397868,0.000000,0.000000,0.000000,events/second
1602074686,482,2.362730,0.000000,0.000000,0.000000,events/second
1602074689,482,2.328423,0.000000,0.000000,0.000000,events/second
1602074692,482,2.295276,0.000000,0.000000,0.000000,events/second
1602074695,482,2.262844,0.000000,0.000000,0.000000,events/second
1602074698,482,2.231509,0.000000,0.000000,0.000000,events/second
1602074701,482,2.200925,0.000000,0.000000,0.000000,events/second
1602074704,482,2.171077,0.000000,0.000000,0.000000,events/second
1602074707,482,2.142284,0.000000,0.000000,0.000000,events/second
1602074710,482,2.114062,0.000000,0.000000,0.000000,events/second
1602074713,482,2.086633,0.000000,0.000000,0.000000,events/second
1602074716,482,2.059853,0.000000,0.000000,0.000000,events/second
1602074719,482,2.033801,0.000000,0.000000,0.000000,events/second
1602074722,482,2.008390,0.000000,0.000000,0.000000,events/second
1602074725,482,1.983593,0.000000,0.000000,0.000000,events/second
