t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,6,1.926345,0.000000,0.000000,0.000000,events/second
1602074488,23,3.820292,0.000000,0.000000,0.000000,events/second
1602074491,56,6.214316,0.000000,0.000000,0.000000,events/second
1602074494,111,9.239773,0.000000,0.000000,0.000000,events/second
1602074497,111,7.399062,0.000000,0.000000,0.000000,events/second
1602074500,111,6.162127,0.000000,0.000000,0.000000,events/second
1602074503,111,5.281926,0.000000,0.000000,0.000000,events/second
1602074506,111,4.621803,0.000000,0.000000,0.000000,events/second
1602074509,111,4.108491,0.000000,0.000000,0.000000,events/second
1602074512,134,4.464644,0.000000,0.000000,0.000000,events/second
1602074515,134,4.060326,0.000000,0.000000,0.000000,events/second
1602074518,134,3.721599,0.000000,0.000000,0.000000,events/second
1602074521,134,3.436218,0.000000,0.000000,0.000000,events/second
1602074524,134,3.189956,0.000000,0.000000,0.000000,events/second
1602074527,134,2.977060,0.000000,0.000000,0.000000,events/second
1602074530,135,2.812294,0.000000,0.000000,0.000000,events/second
1602074533,171,3.352861,0.000000,0.000000,0.000000,events/second
1602074536,181,3.351970,0.000000,0.000000,0.000000,events/second
1602074539,191,3.350014,0.000000,0.000000,0.000000,events/second
1602074542,206,3.433348,0.000000,0.000000,0.000000,events/second
1602074545,221,3.507229,0.000000,0.000000,0.000000,events/second
1602074548,231,3.499167,0.000000,0.000000,0.000000,events/second
1602074551,269,3.897669,0.000000,0.000000,0.000000,events/second
1602074554,274,3.804844,0.000000,0.000000,0.000000,events/second
1602074557,284,3.785964,0.000000,0.000000,0.000000,events/second
1602074560,299,3.832553,0.000000,0.000000,0.000000,events/second
1602074563,309,3.814864,0.000000,0.000000,0.000000,events/second
1602074566,330,3.927780,0.000000,0.000000,0.000000,events/second
1602074569,342,3.930246,0.000000,0.000000,0.000000,events/second
1602074572,360,3.999442,0.000000,0.000000,0.000000,events/second
1602074575,360,3.870447,0.000000,0.000000,0.000000,events/second
1602074578,360,3.749552,0.000000,0.000000,0.000000,events/second
1602074581,365,3.687072,0.000000,0.000000,0.000000,events/second
1602074584,383,3.754479,0.000000,0.000000,0.000000,events/second
1602074587,383,3.647527,0.000000,0.000000,0.000000,events/second
1602074590,406,3.758819,0.000000,0.000000,0.000000,events/second
1602074593,424,3.819895,0.000000,0.000000,0.000000,events/second
1602074596,424,3.719421,0.000000,0.000000,0.000000,events/second
1602074599,424,3.623462,0.000000,0.000000,0.000000,events/second
1602074602,424,3.532847,0.000000,0.000000,0.000000,events/second
1602074605,424,3.447257,0.000000,0.000000,0.000000,events/second
1602074608,448,3.555166,0.000000,0.000000,0.000000,events/second
1602074611,471,3.651298,0.000000,0.000000,0.000000,events/second
1602074614,471,3.567875,0.000000,0.000000,0.000000,events/second
1602074617,471,3.488574,0.000000,0.000000,0.000000,events/second
1602074620,471,3.413074,0.000000,0.000000,0.000000,events/second
1602074623,471,3.340168,0.000000,0.000000,0.000000,events/second
1602074626,471,3.270593,0.000000,0.000000,0.000000,events/second
1602074629,471,3.203726,0.000000,0.000000,0.000000,events/second
1602074632,494,3.293072,0.000000,0.000000,0.000000,events/second
1602074635,494,3.228877,0.000000,0.000000,0.000000,events/second
1602074638,494,3.166436,0.000000,0.000000,0.000000,events/second
1602074641,494,3.106708,0.000000,0.000000,0.000000,events/second
1602074644,494,3.049188,0.000000,0.000000,0.000000,events/second
1602074647,494,2.993777,0.000000,0.000000,0.000000,events/second
1602074650,494,2.940266,0.000000,0.000000,0.000000,events/second
1602074653,517,3.023196,0.000000,0.000000,0.000000,events/second
1602074656,517,2.971082,0.000000,0.000000,0.000000,events/second
1602074659,517,2.920681,0.000000,0.000000,0.000000,events/second
1602074662,517,2.872348,0.000000,0.000000,0.000000,events/second
1602074665,517,2.824938,0.000000,0.000000,0.000000,events/second
1602074668,517,2.779396,0.000000,0.000000,0.000000,events/second
1602074671,534,2.825469,0.000000,0.000000,0.000000,events/second
1602074674,540,2.812344,0.000000,0.000000,0.000000,events/second
1602074677,540,2.769073,0.000000,0.000000,0.000000,events/second
1602074680,540,2.727110,0.000000,0.000000,0.000000,events/second
1602074683,540,2.686400,0.000000,0.000000,0.000000,events/second
1602074686,540,2.647034,0.000000,0.000000,0.000000,events/second
1602074689,540,2.608589,0.000000,0.000000,0.000000,events/second
1602074692,540,2.571462,0.000000,0.000000,0.000000,events/second
1602074695,540,2.535129,0.000000,0.000000,0.000000,events/second
1602074698,540,2.500024,0.000000,0.000000,0.000000,events/second
1602074701,540,2.465759,0.000000,0.000000,0.000000,events/second
1602074704,540,2.432317,0.000000,0.000000,0.000000,events/second
1602074707,540,2.400063,0.000000,0.000000,0.000000,events/second
1602074710,540,2.368442,0.000000,0.000000,0.000000,events/second
1602074713,540,2.337716,0.000000,0.000000,0.000000,events/second
1602074716,540,2.307711,0.000000,0.000000,0.000000,events/second
1602074719,540,2.278527,0.000000,0.000000,0.000000,events/second
1602074722,540,2.250058,0.000000,0.000000,0.000000,events/second
1602074725,540,2.222277,0.000000,0.000000,0.000000,events/second
