t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,4,1.283725,0.000000,0.000000,0.000000,events/second
1602074488,21,3.487948,0.000000,0.000000,0.000000,events/second
1602074491,44,4.882518,0.000000,0.000000,0.000000,events/second
1602074494,97,8.074346,0.000000,0.000000,0.000000,events/second
1602074497,97,6.465782,0.000000,0.000000,0.000000,events/second
1602074500,97,5.384899,0.000000,0.000000,0.000000,events/second
1602074503,97,4.615722,0.000000,0.000000,0.000000,events/second
1602074506,97,4.038804,0.000000,0.000000,0.000000,events/second
1602074509,97,3.590282,0.000000,0.000000,0.000000,events/second
1602074512,117,3.898231,0.000000,0.000000,0.000000,events/second
1602074515,117,3.545202,0.000000,0.000000,0.000000,events/second
1602074518,117,3.249447,0.000000,0.000000,0.000000,events/second
1602074521,117,3.000262,0.000000,0.000000,0.000000,events/second
1602074524,117,2.785258,0.000000,0.000000,0.000000,events/second
1602074527,117,2.599371,0.000000,0.000000,0.000000,events/second
1602074530,117,2.437317,0.000000,0.000000,0.000000,events/second
1602074533,147,2.882283,0.000000,0.000000,0.000000,events/second
1602074536,157,2.907510,0.000000,0.000000,0.000000,events/second
1602074539,167,2.929063,0.000000,0.000000,0.000000,events/second
1602074542,182,3.033346,0.000000,0.000000,0.000000,events/second
1602074545,197,3.126352,0.000000,0.000000,0.000000,events/second
1602074548,207,3.135616,0.000000,0.000000,0.000000,events/second
1602074551,242,3.506453,0.000000,0.000000,0.000000,events/second
1602074554,247,3.429913,0.000000,0.000000,0.000000,events/second
1602074557,257,3.426030,0.000000,0.000000,0.000000,events/second
1602074560,272,3.486469,0.000000,0.000000,0.000000,events/second
1602074563,282,3.481523,0.000000,0.000000,0.000000,events/second
1602074566,302,3.594506,0.000000,0.000000,0.000000,events/second
1602074569,312,3.585487,0.000000,0.000000,0.000000,events/second
1602074572,327,3.632826,0.000000,0.000000,0.000000,events/second
1602074575,327,3.515655,0.000000,0.000000,0.000000,events/second
1602074578,327,3.405843,0.000000,0.000000,0.000000,events/second
1602074581,332,3.353720,0.000000,0.000000,0.000000,events/second
