t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,2,0.640470,0.000000,0.000000,0.000000,events/second
1602074488,2,0.332115,0.000000,0.000000,0.000000,events/second
1602074491,2,0.221901,0.000000,0.000000,0.000000,events/second
1602074494,2,0.166484,0.000000,0.000000,0.000000,events/second
1602074497,2,0.133315,0.000000,0.000000,0.000000,events/second
1602074500,2,0.111030,0.000000,0.000000,0.000000,events/second
1602074503,2,0.095171,0.000000,0.000000,0.000000,events/second
1602074506,2,0.083271,0.000000,0.000000,0.000000,events/second
1602074509,2,0.074026,0.000000,0.000000,0.000000,events/second
1602074512,2,0.066637,0.000000,0.000000,0.000000,events/second
1602074515,2,0.060601,0.000000,0.000000,0.000000,events/second
1602074518,2,0.055545,0.000000,0.000000,0.000000,events/second
1602074521,2,0.051287,0.000000,0.000000,0.000000,events/second
1602074524,2,0.047612,0.000000,0.000000,0.000000,events/second
1602074527,2,0.044434,0.000000,0.000000,0.000000,events/second
1602074530,2,0.041664,0.000000,0.000000,0.000000,events/second
1602074533,2,0.039215,0.000000,0.000000,0.000000,events/second
1602074536,2,0.037039,0.000000,0.000000,0.000000,events/second
1602074539,2,0.035078,0.000000,0.000000,0.000000,events/second
1602074542,2,0.033334,0.000000,0.000000,0.000000,events/second
1602074545,2,0.031740,0.000000,0.000000,0.000000,events/second
1602074548,2,0.030296,0.000000,0.000000,0.000000,events/second
1602074551,2,0.028979,0.000000,0.000000,0.000000,events/second
1602074554,2,0.027773,0.000000,0.000000,0.000000,events/second
1602074557,2,0.026662,0.000000,0.000000,0.000000,events/second
1602074560,2,0.025636,0.000000,0.000000,0.000000,events/second
1602074563,2,0.024692,0.000000,0.000000,0.000000,events/second
1602074566,2,0.023804,0.000000,0.000000,0.000000,events/second
1602074569,2,0.022984,0.000000,0.000000,0.000000,events/second
1602074572,2,0.022219,0.000000,0.000000,0.000000,events/second
1602074575,2,0.021503,0.000000,0.000000,0.000000,events/second
1602074578,2,0.020831,0.000000,0.000000,0.000000,events/second
1602074581,2,0.020203,0.000000,0.000000,0.000000,events/second
1602074584,2,0.019606,0.000000,0.000000,0.000000,events/second
1602074587,2,0.019047,0.000000,0.000000,0.000000,events/second
1602074590,2,0.018516,0.000000,0.000000,0.000000,events/second
1602074593,2,0.018018,0.000000,0.000000,0.000000,events/second
1602074596,2,0.017544,0.000000,0.000000,0.000000,events/second
1602074599,2,0.017092,0.000000,0.000000,0.000000,events/second
1602074602,2,0.016664,0.000000,0.000000,0.000000,events/second
1602074605,2,0.016261,0.000000,0.000000,0.000000,events/second
1602074608,2,0.015871,0.000000,0.000000,0.000000,events/second
1602074611,2,0.015504,0.000000,0.000000,0.000000,events/second
1602074614,2,0.015150,0.000000,0.000000,0.000000,events/second
1602074617,2,0.014814,0.000000,0.000000,0.000000,events/second
1602074620,2,0.014493,0.000000,0.000000,0.000000,events/second
1602074623,2,0.014183,0.000000,0.000000,0.000000,events/second
1602074626,2,0.013888,0.000000,0.000000,0.000000,events/second
1602074629,2,0.013604,0.000000,0.000000,0.000000,events/second
1602074632,2,0.013332,0.000000,0.000000,0.000000,events/second
1602074635,2,0.013072,0.000000,0.000000,0.000000,events/second
1602074638,2,0.012820,0.000000,0.000000,0.000000,events/second
1602074641,2,0.012578,0.000000,0.000000,0.000000,events/second
1602074644,2,0.012345,0.000000,0.000000,0.000000,events/second
1602074647,2,0.012121,0.000000,0.000000,0.000000,events/second
1602074650,2,0.011904,0.000000,0.000000,0.000000,events/second
1602074653,2,0.011695,0.000000,0.000000,0.000000,events/second
1602074656,2,0.011494,0.000000,0.000000,0.000000,events/second
1602074659,2,0.011299,0.000000,0.000000,0.000000,events/second
1602074662,2,0.011112,0.000000,0.000000,0.000000,events/second
1602074665,2,0.010928,0.000000,0.000000,0.000000,events/second
1602074668,2,0.010752,0.000000,0.000000,0.000000,events/second
1602074671,2,0.010582,0.000000,0.000000,0.000000,events/second
1602074674,2,0.010416,0.000000,0.000000,0.000000,events/second
1602074677,2,0.010256,0.000000,0.000000,0.000000,events/second
1602074680,2,0.010100,0.000000,0.000000,0.000000,events/second
1602074683,2,0.009950,0.000000,0.000000,0.000000,events/second
1602074686,2,0.009804,0.000000,0.000000,0.000000,events/second
1602074689,2,0.009661,0.000000,0.000000,0.000000,events/second
1602074692,2,0.009524,0.000000,0.000000,0.000000,events/second
1602074695,2,0.009389,0.000000,0.000000,0.000000,events/second
1602074698,2,0.009259,0.000000,0.000000,0.000000,events/second
1602074701,2,0.009132,0.000000,0.000000,0.000000,events/second
1602074704,2,0.009008,0.000000,0.000000,0.000000,events/second
1602074707,2,0.008889,0.000000,0.000000,0.000000,events/second
1602074710,2,0.008772,0.000000,0.000000,0.000000,events/second
1602074713,2,0.008658,0.000000,0.000000,0.000000,events/second
1602074716,2,0.008547,0.000000,0.000000,0.000000,events/second
1602074719,2,0.008439,0.000000,0.000000,0.000000,events/second
1602074722,2,0.008334,0.000000,0.000000,0.000000,events/second
1602074725,2,0.008231,0.000000,0.000000,0.000000,events/second
1602074728,2,0.008130,0.000000,0.000000,0.000000,events/second
1602074731,2,0.008032,0.000000,0.000000,0.000000,events/second
1602074734,2,0.007937,0.000000,0.000000,0.000000,events/second
1602074737,2,0.007843,0.000000,0.000000,0.000000,events/second
1602074740,2,0.007752,0.000000,0.000000,0.000000,events/second
1602074743,2,0.007663,0.000000,0.000000,0.000000,events/second
1602074746,2,0.007575,0.000000,0.000000,0.000000,events/second
1602074749,2,0.007490,0.000000,0.000000,0.000000,events/second
1602074752,2,0.007407,0.000000,0.000000,0.000000,events/second
1602074755,2,0.007326,0.000000,0.000000,0.000000,events/second
1602074758,2,0.007246,0.000000,0.000000,0.000000,events/second
1602074761,2,0.007169,0.000000,0.000000,0.000000,events/second
1602074764,2,0.007092,0.000000,0.000000,0.000000,events/second
1602074767,2,0.007017,0.000000,0.000000,0.000000,events/second
1602074770,2,0.006944,0.000000,0.000000,0.000000,events/second
1602074773,2,0.006873,0.000000,0.000000,0.000000,events/second
1602074776,2,0.006803,0.000000,0.000000,0.000000,events/second
1602074779,2,0.006734,0.000000,0.000000,0.000000,events/second
1602074782,2,0.006667,0.000000,0.000000,0.000000,events/second
1602074785,2,0.006601,0.000000,0.000000,0.000000,events/second
1602074788,2,0.006536,0.000000,0.000000,0.000000,events/second
1602074791,2,0.006472,0.000000,0.000000,0.000000,events/second
1602074794,2,0.006410,0.000000,0.000000,0.000000,events/second
1602074797,2,0.006349,0.000000,0.000000,0.000000,events/second
1602074800,2,0.006289,0.000000,0.000000,0.000000,events/second
1602074803,2,0.006230,0.000000,0.000000,0.000000,events/second
1602074806,2,0.006173,0.000000,0.000000,0.000000,events/second
1602074809,2,0.006116,0.000000,0.000000,0.000000,events/second
1602074812,2,0.006060,0.000000,0.000000,0.000000,events/second
1602074815,2,0.006006,0.000000,0.000000,0.000000,events/second
1602074818,2,0.005952,0.000000,0.000000,0.000000,events/second
1602074821,2,0.005900,0.000000,0.000000,0.000000,events/second
1602074824,2,0.005848,0.000000,0.000000,0.000000,events/second
1602074827,2,0.005797,0.000000,0.000000,0.000000,events/second
1602074830,2,0.005747,0.000000,0.000000,0.000000,events/second
1602074833,2,0.005698,0.000000,0.000000,0.000000,events/second
1602074836,2,0.005650,0.000000,0.000000,0.000000,events/second
1602074839,2,0.005602,0.000000,0.000000,0.000000,events/second
1602074842,2,0.005555,0.000000,0.000000,0.000000,events/second
1602074845,2,0.005509,0.000000,0.000000,0.000000,events/second
1602074848,2,0.005464,0.000000,0.000000,0.000000,events/second
1602074851,2,0.005420,0.000000,0.000000,0.000000,events/second
1602074854,2,0.005376,0.000000,0.000000,0.000000,events/second
1602074857,2,0.005333,0.000000,0.000000,0.000000,events/second
1602074860,2,0.005291,0.000000,0.000000,0.000000,events/second
1602074863,2,0.005249,0.000000,0.000000,0.000000,events/second
1602074866,2,0.005208,0.000000,0.000000,0.000000,events/second
1602074869,2,0.005168,0.000000,0.000000,0.000000,events/second
1602074872,2,0.005128,0.000000,0.000000,0.000000,events/second
1602074875,2,0.005089,0.000000,0.000000,0.000000,events/second
1602074878,2,0.005050,0.000000,0.000000,0.000000,events/second
1602074881,2,0.005012,0.000000,0.000000,0.000000,events/second
1602074884,2,0.004975,0.000000,0.000000,0.000000,events/second
1602074887,2,0.004938,0.000000,0.000000,0.000000,events/second
1602074890,2,0.004902,0.000000,0.000000,0.000000,events/second
1602074893,2,0.004866,0.000000,0.000000,0.000000,events/second
1602074896,2,0.004831,0.000000,0.000000,0.000000,events/second
1602074899,2,0.004796,0.000000,0.000000,0.000000,events/second
1602074902,2,0.004762,0.000000,0.000000,0.000000,events/second
1602074905,2,0.004728,0.000000,0.000000,0.000000,events/second
1602074908,2,0.004695,0.000000,0.000000,0.000000,events/second
1602074911,2,0.004662,0.000000,0.000000,0.000000,events/second
1602074914,2,0.004630,0.000000,0.000000,0.000000,events/second
1602074917,2,0.004598,0.000000,0.000000,0.000000,events/second
1602074920,2,0.004566,0.000000,0.000000,0.000000,events/second
1602074923,2,0.004535,0.000000,0.000000,0.000000,events/second
1602074926,2,0.004504,0.000000,0.000000,0.000000,events/second
1602074929,2,0.004474,0.000000,0.000000,0.000000,events/second
1602074932,2,0.004445,0.000000,0.000000,0.000000,events/second
1602074935,2,0.004415,0.000000,0.000000,0.000000,events/second
1602074938,2,0.004386,0.000000,0.000000,0.000000,events/second
1602074941,2,0.004357,0.000000,0.000000,0.000000,events/second
1602074944,2,0.004329,0.000000,0.000000,0.000000,events/second
1602074947,2,0.004301,0.000000,0.000000,0.000000,events/second
1602074950,2,0.004273,0.000000,0.000000,0.000000,events/second
1602074953,2,0.004246,0.000000,0.000000,0.000000,events/second
1602074956,2,0.004219,0.000000,0.000000,0.000000,events/second
1602074959,2,0.004193,0.000000,0.000000,0.000000,events/second
1602074962,2,0.004167,0.000000,0.000000,0.000000,events/second
1602074965,2,0.004141,0.000000,0.000000,0.000000,events/second
1602074968,2,0.004115,0.000000,0.000000,0.000000,events/second
1602074971,2,0.004090,0.000000,0.000000,0.000000,events/second
1602074974,2,0.004065,0.000000,0.000000,0.000000,events/second
1602074977,2,0.004040,0.000000,0.000000,0.000000,events/second
1602074980,2,0.004016,0.000000,0.000000,0.000000,events/second
1602074983,2,0.003992,0.000000,0.000000,0.000000,events/second
1602074986,2,0.003968,0.000000,0.000000,0.000000,events/second
1602074989,2,0.003945,0.000000,0.000000,0.000000,events/second
1602074992,2,0.003922,0.000000,0.000000,0.000000,events/second
1602074995,2,0.003899,0.000000,0.000000,0.000000,events/second
1602074998,2,0.003876,0.000000,0.000000,0.000000,events/second
1602075001,2,0.003853,0.000000,0.000000,0.000000,events/second
1602075004,2,0.003831,0.000000,0.000000,0.000000,events/second
1602075007,2,0.003809,0.000000,0.000000,0.000000,events/second
1602075010,2,0.003788,0.000000,0.000000,0.000000,events/second
1602075013,2,0.003767,0.000000,0.000000,0.000000,events/second
1602075016,2,0.003745,0.000000,0.000000,0.000000,events/second
1602075019,2,0.003724,0.000000,0.000000,0.000000,events/second
1602075022,2,0.003704,0.000000,0.000000,0.000000,events/second
1602075025,2,0.003683,0.000000,0.000000,0.000000,events/second
1602075028,2,0.003663,0.000000,0.000000,0.000000,events/second
1602075031,2,0.003643,0.000000,0.000000,0.000000,events/second
1602075034,2,0.003623,0.000000,0.000000,0.000000,events/second
1602075037,2,0.003604,0.000000,0.000000,0.000000,events/second
1602075040,2,0.003584,0.000000,0.000000,0.000000,events/second
1602075043,2,0.003565,0.000000,0.000000,0.000000,events/second
1602075046,2,0.003546,0.000000,0.000000,0.000000,events/second
1602075049,2,0.003527,0.000000,0.000000,0.000000,events/second
1602075052,2,0.003509,0.000000,0.000000,0.000000,events/second
1602075055,2,0.003490,0.000000,0.000000,0.000000,events/second
1602075058,2,0.003472,0.000000,0.000000,0.000000,events/second
1602075061,2,0.003440,0.000000,0.000000,0.000000,events/second
1602075064,2,0.003436,0.000000,0.000000,0.000000,events/second
1602075067,2,0.003419,0.000000,0.000000,0.000000,events/second
1602075070,2,0.003401,0.000000,0.000000,0.000000,events/second
1602075073,2,0.003384,0.000000,0.000000,0.000000,events/second
1602075076,2,0.003367,0.000000,0.000000,0.000000,events/second
1602075079,2,0.003350,0.000000,0.000000,0.000000,events/second
1602075082,2,0.003333,0.000000,0.000000,0.000000,events/second
1602075085,2,0.003317,0.000000,0.000000,0.000000,events/second
1602075088,2,0.003300,0.000000,0.000000,0.000000,events/second
1602075091,2,0.003284,0.000000,0.000000,0.000000,events/second
