t,value
1602074485,67108864
1602074488,67108864
1602074491,167772160
1602074494,167772160
1602074497,167772160
1602074500,167772160
1602074503,167772160
1602074506,167772160
1602074509,167772160
1602074512,167772160
1602074515,167772160
1602074518,167772160
1602074521,167772160
1602074524,167772160
1602074527,167772160
1602074530,167772160
1602074533,167772160
1602074536,167772160
1602074539,167772160
1602074542,167772160
1602074545,167772160
1602074548,167772160
1602074551,167772160
1602074554,167772160
1602074557,167772160
1602074560,167772160
1602074563,167772160
1602074566,167772160
1602074569,167772160
1602074572,167772160
1602074575,167772160
1602074578,167772160
1602074581,167772160
1602074584,167772160
1602074587,167772160
1602074590,167772160
1602074593,167772160
1602074596,167772160
1602074599,167772160
1602074602,167772160
1602074605,167772160
1602074608,167772160
1602074611,167772160
1602074614,167772160
1602074617,167772160
1602074620,167772160
1602074623,167772160
1602074626,167772160
1602074629,167772160
1602074632,167772160
1602074635,167772160
1602074638,167772160
1602074641,167772160
1602074644,167772160
1602074647,167772160
1602074650,167772160
1602074653,167772160
1602074656,167772160
1602074659,167772160
1602074662,167772160
1602074665,167772160
1602074668,167772160
1602074671,167772160
1602074674,167772160
1602074677,167772160
1602074680,167772160
1602074683,167772160
1602074686,167772160
1602074689,167772160
1602074692,167772160
1602074695,167772160
1602074698,167772160
1602074701,167772160
1602074704,167772160
1602074707,167772160
1602074710,167772160
1602074713,167772160
1602074716,167772160
1602074719,167772160
1602074722,167772160
1602074725,167772160
1602074728,167772160
1602074731,167772160
1602074734,167772160
1602074737,167772160
1602074740,167772160
1602074743,167772160
1602074746,167772160
1602074749,167772160
1602074752,167772160
1602074755,167772160
1602074758,167772160
1602074761,167772160
1602074764,167772160
1602074767,167772160
1602074770,167772160
1602074773,167772160
1602074776,167772160
1602074779,167772160
1602074782,167772160
1602074785,167772160
1602074788,167772160
1602074791,167772160
1602074794,167772160
1602074797,167772160
1602074800,167772160
1602074803,167772160
1602074806,167772160
1602074809,167772160
1602074812,167772160
1602074815,167772160
1602074818,167772160
1602074821,167772160
1602074824,167772160
1602074827,167772160
1602074830,167772160
1602074833,167772160
1602074836,167772160
1602074839,167772160
1602074842,167772160
1602074845,167772160
1602074848,167772160
1602074851,167772160
1602074854,167772160
1602074857,167772160
1602074860,167772160
1602074863,167772160
1602074866,167772160
1602074869,167772160
1602074872,167772160
1602074875,167772160
1602074878,167772160
1602074881,167772160
1602074884,167772160
1602074887,167772160
1602074890,167772160
1602074893,167772160
1602074896,167772160
1602074899,167772160
1602074902,167772160
1602074905,167772160
1602074908,167772160
1602074911,167772160
1602074914,167772160
1602074917,167772160
1602074920,167772160
1602074923,167772160
1602074926,167772160
1602074929,167772160
1602074932,167772160
1602074935,167772160
1602074938,167772160
1602074941,167772160
1602074944,167772160
1602074947,167772160
1602074950,167772160
1602074953,167772160
1602074956,167772160
1602074959,167772160
1602074962,167772160
1602074965,167772160
1602074968,167772160
1602074971,167772160
1602074974,167772160
1602074977,167772160
1602074980,167772160
1602074983,167772160
1602074986,167772160
1602074989,167772160
1602074992,167772160
1602074995,167772160
1602074998,167772160
1602075001,167772160
1602075004,167772160
1602075007,167772160
1602075010,167772160
1602075013,167772160
1602075016,167772160
1602075019,167772160
1602075022,167772160
1602075025,167772160
1602075028,167772160
1602075031,167772160
1602075034,167772160
1602075037,167772160
1602075040,167772160
1602075043,167772160
1602075046,167772160
1602075049,167772160
1602075052,167772160
1602075055,167772160
1602075058,167772160
1602075061,167772160
1602075064,167772160
1602075067,167772160
1602075070,167772160
1602075073,167772160
1602075076,167772160
1602075079,167772160
1602075082,167772160
1602075085,167772160
1602075088,167772160
1602075091,167772160
1602075094,167772160
1602075097,167772160
1602075100,167772160
1602075103,167772160
1602075106,167772160
1602075109,167772160
1602075112,167772160
1602075115,167772160
1602075118,167772160
1602075121,167772160
1602075124,167772160
1602075127,167772160
1602075130,167772160
1602075133,167772160
1602075136,167772160
1602075139,167772160
1602075142,167772160
1602075145,167772160
1602075148,167772160
1602075151,167772160
1602075154,167772160
1602075157,167772160
1602075160,167772160
1602075163,167772160
1602075166,167772160
1602075169,167772160
1602075172,167772160
1602075175,167772160
1602075178,167772160
1602075181,167772160
1602075184,167772160
1602075187,167772160
1602075190,167772160
1602075193,167772160
1602075196,167772160
1602075199,167772160
1602075202,167772160
1602075205,167772160
1602075208,167772160
1602075211,167772160
1602075214,167772160
1602075217,167772160
1602075220,167772160
1602075223,167772160
1602075226,167772160
1602075229,167772160
1602075232,167772160
1602075235,167772160
1602075238,167772160
1602075241,167772160
1602075244,167772160
1602075247,167772160
1602075250,167772160
1602075253,167772160
1602075256,167772160
1602075259,167772160
1602075262,167772160
1602075265,167772160
1602075268,167772160
1602075271,167772160
1602075274,167772160
1602075277,167772160
1602075280,167772160
1602075283,167772160
1602075286,167772160
1602075289,167772160
1602075292,167772160
1602075295,167772160
1602075298,167772160
1602075301,167772160
1602075304,167772160
1602075307,167772160
1602075310,167772160
1602075313,167772160
1602075316,167772160
1602075319,167772160
1602075322,167772160
1602075325,167772160
1602075328,167772160
1602075331,167772160
1602075334,167772160
1602075337,167772160
1602075340,167772160
1602075343,167772160
t,value
1602076335,67108864
1602076338,67108864
1602076341,67108864
1602076344,83886080
1602076347,83886080
1602076350,83886080
1602076353,83886080
1602076356,83886080
1602076359,83886080
1602076362,83886080
1602076365,83886080
1602076368,83886080
1602076371,167772160
1602076374,167772160
1602076377,167772160
1602076380,167772160
1602076383,167772160
1602076386,167772160
1602076389,167772160
1602076392,167772160
1602076395,167772160
1602076398,167772160
1602076401,167772160
1602076404,167772160
1602076407,167772160
1602076410,167772160
1602076413,167772160
1602076416,167772160
1602076419,167772160
1602076422,167772160
1602076425,167772160
1602076428,167772160
1602076431,167772160
1602076434,167772160
1602076437,167772160
1602076440,167772160
1602076443,167772160
1602076446,167772160
1602076449,167772160
1602076452,167772160
1602076455,167772160
1602076458,167772160
1602076461,167772160
1602076464,167772160
1602076467,167772160
1602076470,167772160
1602076473,167772160
1602076476,167772160
1602076479,167772160
1602076482,167772160
1602076485,167772160
1602076488,167772160
1602076491,167772160
1602076494,167772160
1602076497,167772160
1602076500,167772160
1602076503,167772160
1602076506,167772160
1602076509,167772160
1602076512,167772160
