t,value
1602074485,3145728
1602074488,3145728
1602074491,3145728
1602074494,3145728
1602074497,3145728
1602074500,3145728
1602074503,3145728
1602074506,3145728
1602074509,3145728
1602074512,3145728
1602074515,3145728
1602074518,3145728
1602074521,3145728
1602074524,3145728
1602074527,3145728
1602074530,3145728
1602074533,3145728
1602074536,3145728
1602074539,3145728
1602074542,3145728
1602074545,3145728
1602074548,3145728
1602074551,3145728
1602074554,3145728
1602074557,3145728
1602074560,3145728
1602074563,3145728
1602074566,3145728
1602074569,3145728
1602074572,3145728
1602074575,3145728
1602074578,3145728
1602074581,3145728
1602074584,3145728
1602074587,3145728
1602074590,3145728
1602074593,3145728
1602074596,3145728
1602074599,3145728
1602074602,3145728
1602074605,3145728
1602074608,3145728
1602074611,3145728
1602074614,3145728
1602074617,3145728
1602074620,3145728
1602074623,3145728
1602074626,3145728
1602074629,3145728
1602074632,3145728
1602074635,3145728
1602074638,3145728
1602074641,3145728
1602074644,3145728
1602074647,3145728
1602074650,3145728
1602074653,3145728
1602074656,3145728
1602074659,3145728
1602074662,3145728
1602074665,3145728
1602074668,3145728
1602074671,3145728
1602074674,3145728
1602074677,3145728
1602074680,3145728
1602074683,3145728
1602074686,3145728
1602074689,3145728
1602074692,3145728
1602074695,3145728
1602074698,3145728
1602074701,3145728
1602074704,3145728
1602074707,3145728
1602074710,3145728
1602074713,3145728
1602074716,3145728
1602074719,3145728
1602074722,3145728
1602074725,3145728
1602074728,3145728
1602074731,3145728
1602074734,3145728
1602074737,3145728
1602074740,3145728
1602074743,3145728
1602074746,3145728
1602074749,3145728
1602074752,3145728
1602074755,3145728
1602074758,3145728
1602074761,3145728
1602074764,3145728
1602074767,3145728
1602074770,3145728
1602074773,3145728
1602074776,3145728
1602074779,3145728
1602074782,3145728
1602074785,3145728
1602074788,3145728
1602074791,3145728
1602074794,3145728
1602074797,3145728
1602074800,3145728
1602074803,3145728
1602074806,3145728
1602074809,3145728
1602074812,3145728
1602074815,3145728
1602074818,3145728
1602074821,3145728
1602074824,3145728
1602074827,3145728
1602074830,3145728
1602074833,3145728
1602074836,3145728
1602074839,3145728
1602074842,3145728
1602074845,3145728
1602074848,3145728
1602074851,3145728
1602074854,3145728
1602074857,3145728
1602074860,3145728
1602074863,3145728
1602074866,3145728
1602074869,3145728
1602074872,3145728
1602074875,3145728
1602074878,3145728
1602074881,3145728
1602074884,3145728
1602074887,3145728
1602074890,3145728
1602074893,3145728
1602074896,3145728
1602074899,3145728
1602074902,3145728
1602074905,3145728
1602074908,3145728
1602074911,3145728
1602074914,3145728
1602074917,3145728
1602074920,3145728
1602074923,3145728
1602074926,3145728
1602074929,3145728
1602074932,3145728
1602074935,3145728
1602074938,3145728
1602074941,3145728
1602074944,3145728
1602074947,3145728
1602074950,3145728
1602074953,3145728
1602074956,3145728
1602074959,3145728
1602074962,3145728
1602074965,3145728
1602074968,3145728
1602074971,3145728
1602074974,3145728
1602074977,3145728
1602074980,3145728
1602074983,3145728
1602074986,3145728
1602074989,3145728
1602074992,3145728
1602074995,3145728
1602074998,3145728
1602075001,3145728
1602075004,3145728
1602075007,3145728
1602075010,3145728
1602075013,3145728
1602075016,3145728
1602075019,3145728
1602075022,3145728
1602075025,3145728
1602075028,3145728
1602075031,3145728
1602075034,3145728
1602075037,3145728
1602075040,3145728
1602075043,3145728
1602075046,3145728
1602075049,3145728
1602075052,3145728
1602075055,3145728
1602075058,3145728
1602075061,3145728
1602075064,3145728
1602075067,3145728
1602075070,3145728
1602075073,3145728
1602075076,3145728
1602075079,3145728
1602075082,3145728
1602075085,3145728
1602075088,3145728
1602075091,3145728
1602075094,3145728
1602075097,3145728
1602075100,3145728
1602075103,3145728
1602075106,3145728
1602075109,3145728
1602075112,3145728
1602075115,3145728
1602075118,3145728
1602075121,3145728
1602075124,3145728
1602075127,3145728
1602075130,3145728
1602075133,3145728
1602075136,3145728
1602075139,3145728
1602075142,3145728
1602075145,3145728
1602075148,3145728
1602075151,3145728
1602075154,3145728
1602075157,3145728
1602075160,3145728
1602075163,3145728
1602075166,3145728
1602075169,3145728
1602075172,3145728
1602075175,3145728
1602075178,3145728
1602075181,3145728
1602075184,3145728
1602075187,3145728
1602075190,3145728
1602075193,3145728
1602075196,3145728
1602075199,3145728
1602075202,3145728
1602075205,3145728
1602075208,3145728
1602075211,3145728
1602075214,3145728
1602075217,3145728
1602075220,3145728
1602075223,3145728
1602075226,3145728
1602075229,3145728
1602075232,3145728
1602075235,3145728
1602075238,3145728
1602075241,3145728
1602075244,3145728
1602075247,3145728
1602075250,3145728
1602075253,3145728
1602075256,3145728
1602075259,3145728
1602075262,3145728
1602075265,3145728
1602075268,3145728
1602075271,3145728
1602075274,3145728
1602075277,3145728
1602075280,3145728
1602075283,3145728
1602075286,3145728
1602075289,3145728
1602075292,3145728
1602075295,3145728
1602075298,3145728
1602075301,3145728
1602075304,3145728
1602075307,3145728
1602075310,3145728
1602075313,3145728
1602075316,3145728
1602075319,3145728
1602075322,3145728
1602075325,3145728
1602075328,3145728
1602075331,3145728
1602075334,3145728
1602075337,3145728
1602075340,3145728
1602075343,3145728
t,value
1602076335,3145728
1602076338,3145728
1602076341,3145728
1602076344,3145728
1602076347,3145728
1602076350,3145728
1602076353,3145728
1602076356,3145728
1602076359,3145728
1602076362,3145728
1602076365,3145728
1602076368,3145728
1602076371,3145728
1602076374,3145728
1602076377,3145728
1602076380,3145728
1602076383,3145728
1602076386,3145728
1602076389,3145728
1602076392,3145728
1602076395,3145728
1602076398,3145728
1602076401,3145728
1602076404,3145728
1602076407,3145728
1602076410,3145728
1602076413,3145728
1602076416,3145728
1602076419,3145728
1602076422,3145728
1602076425,3145728
1602076428,3145728
1602076431,3145728
1602076434,3145728
1602076437,3145728
1602076440,3145728
1602076443,3145728
1602076446,3145728
1602076449,3145728
1602076452,3145728
1602076455,3145728
1602076458,3145728
1602076461,3145728
1602076464,3145728
1602076467,3145728
1602076470,3145728
1602076473,3145728
1602076476,3145728
1602076479,3145728
1602076482,3145728
1602076485,3145728
1602076488,3145728
1602076491,3145728
1602076494,3145728
1602076497,3145728
1602076500,3145728
1602076503,3145728
1602076506,3145728
1602076509,3145728
1602076512,3145728
1602076515,3145728
1602076518,3145728
1602076521,3145728
1602076524,3145728
1602076527,3145728
1602076530,3145728
1602076533,3145728
1602076536,3145728
1602076539,3145728
1602076542,3145728
1602076545,3145728
1602076548,3145728
1602076551,3145728
1602076554,3145728
1602076557,3145728
1602076560,3145728
1602076563,3145728
1602076566,3145728
1602076569,3145728
1602076572,3145728
1602076575,3145728
1602076578,3145728
1602076581,3145728
1602076584,3145728
1602076587,3145728
1602076590,3145728
1602076593,3145728
1602076596,3145728
1602076599,3145728
1602076602,3145728
1602076605,3145728
1602076608,3145728
1602076611,3145728
1602076614,3145728
1602076617,3145728
1602076620,3145728
1602076623,3145728
1602076626,3145728
1602076629,3145728
1602076632,3145728
1602076635,3145728
1602076638,3145728
1602076641,3145728
1602076644,3145728
1602076647,3145728
1602076650,3145728
1602076653,3145728
1602076656,3145728
1602076659,3145728
1602076662,3145728
1602076665,3145728
1602076668,3145728
1602076671,3145728
1602076674,3145728
1602076677,3145728
1602076680,3145728
1602076683,3145728
1602076686,3145728
1602076689,3145728
1602076692,3145728
1602076695,3145728
1602076698,3145728
1602076701,3145728
1602076704,3145728
1602076707,3145728
1602076710,3145728
1602076713,3145728
1602076716,3145728
1602076719,3145728
1602076722,3145728
1602076725,3145728
1602076728,3145728
1602076731,3145728
1602076734,3145728
1602076737,3145728
1602076740,3145728
1602076743,3145728
1602076746,3145728
1602076749,3145728
1602076752,3145728
1602076755,3145728
1602076758,3145728
1602076761,3145728
1602076764,3145728
1602076767,3145728
1602076770,3145728
1602076773,3145728
1602076776,3145728
1602076779,3145728
1602076782,3145728
1602076785,3145728
1602076788,3145728
1602076791,3145728
1602076794,3145728
1602076797,3145728
1602076800,3145728
1602076803,3145728
1602076806,3145728
1602076809,3145728
1602076812,3145728
1602076815,3145728
1602076818,3145728
