t,value
1602074485,532676608
1602074488,532676608
1602074491,532676608
1602074494,532676608
1602074497,532676608
1602074500,532676608
1602074503,532676608
1602074506,532676608
1602074509,532676608
1602074512,532676608
1602074515,532676608
1602074518,532676608
1602074521,532676608
1602074524,532676608
1602074527,532676608
1602074530,532676608
1602074533,532676608
1602074536,532676608
1602074539,532676608
1602074542,532676608
1602074545,532676608
1602074548,532676608
1602074551,532676608
1602074554,532676608
1602074557,532676608
1602074560,532676608
1602074563,532676608
1602074566,532676608
1602074569,532676608
1602074572,532676608
1602074575,532676608
1602074578,532676608
1602074581,532676608
1602074584,532676608
1602074587,532676608
1602074590,532676608
1602074593,532676608
1602074596,532676608
1602074599,532676608
1602074602,532676608
1602074605,532676608
1602074608,532676608
1602074611,532676608
1602074614,532676608
1602074617,532676608
1602074620,532676608
1602074623,532676608
1602074626,532676608
1602074629,532676608
1602074632,532676608
1602074635,532676608
1602074638,532676608
1602074641,532676608
1602074644,532676608
1602074647,532676608
1602074650,532676608
1602074653,532676608
1602074656,532676608
1602074659,532676608
1602074662,532676608
1602074665,532676608
1602074668,532676608
1602074671,532676608
1602074674,532676608
1602074677,532676608
1602074680,532676608
1602074683,532676608
1602074686,532676608
1602074689,532676608
1602074692,532676608
1602074695,532676608
1602074698,532676608
1602074701,532676608
1602074704,532676608
1602074707,532676608
1602074710,532676608
1602074713,532676608
1602074716,532676608
1602074719,532676608
1602074722,532676608
1602074725,532676608
1602074728,532676608
1602074731,532676608
1602074734,532676608
1602074737,532676608
1602074740,532676608
1602074743,532676608
1602074746,532676608
1602074749,532676608
1602074752,532676608
1602074755,532676608
1602074758,532676608
1602074761,532676608
1602074764,532676608
1602074767,532676608
1602074770,532676608
1602074773,532676608
1602074776,532676608
1602074779,532676608
1602074782,532676608
1602074785,532676608
1602074788,532676608
1602074791,532676608
1602074794,532676608
1602074797,532676608
1602074800,532676608
1602074803,532676608
1602074806,532676608
1602074809,532676608
1602074812,532676608
1602074815,532676608
1602074818,532676608
1602074821,532676608
1602074824,532676608
1602074827,532676608
1602074830,532676608
1602074833,532676608
1602074836,532676608
1602074839,532676608
1602074842,532676608
1602074845,532676608
1602074848,532676608
1602074851,532676608
1602074854,532676608
1602074857,532676608
1602074860,532676608
1602074863,532676608
1602074866,532676608
1602074869,532676608
1602074872,532676608
