t,value
1602074485,4194304
1602074488,4194304
1602074491,4194304
1602074494,4194304
1602074497,4194304
1602074500,4194304
1602074503,4194304
1602074506,4194304
1602074509,4194304
1602074512,4194304
1602074515,4194304
1602074518,4194304
1602074521,4194304
1602074524,4194304
1602074527,4194304
1602074530,4194304
1602074533,4194304
1602074536,4194304
1602074539,4194304
1602074542,4194304
1602074545,4194304
1602074548,4194304
1602074551,4194304
1602074554,4194304
1602074557,4194304
1602074560,4194304
1602074563,4194304
1602074566,4194304
1602074569,4194304
1602074572,4194304
1602074575,4194304
1602074578,4194304
1602074581,4194304
1602074584,4194304
1602074587,4194304
1602074590,4194304
1602074593,4194304
1602074596,4194304
1602074599,4194304
1602074602,4194304
1602074605,4194304
1602074608,4194304
1602074611,4194304
1602074614,4194304
1602074617,4194304
1602074620,4194304
1602074623,4194304
1602074626,4194304
1602074629,4194304
1602074632,4194304
1602074635,4194304
1602074638,4194304
1602074641,4194304
1602074644,4194304
1602074647,4194304
1602074650,4194304
1602074653,4194304
1602074656,4194304
1602074659,4194304
1602074662,4194304
1602074665,4194304
1602074668,4194304
1602074671,4194304
1602074674,4194304
1602074677,4194304
1602074680,4194304
1602074683,4194304
1602074686,4194304
1602074689,4194304
1602074692,4194304
1602074695,4194304
1602074698,4194304
1602074701,4194304
1602074704,4194304
1602074707,4194304
1602074710,4194304
1602074713,4194304
1602074716,4194304
1602074719,4194304
1602074722,4194304
1602074725,4194304
1602074728,4194304
1602074731,4194304
1602074734,4194304
1602074737,4194304
1602074740,4194304
1602074743,4194304
1602074746,4194304
1602074749,4194304
1602074752,4194304
1602074755,4194304
1602074758,4194304
1602074761,4194304
1602074764,4194304
1602074767,4194304
1602074770,4194304
1602074773,4194304
1602074776,4194304
1602074779,4194304
1602074782,4194304
1602074785,4194304
1602074788,4194304
1602074791,4194304
1602074794,4194304
1602074797,4194304
1602074800,4194304
1602074803,4194304
1602074806,4194304
1602074809,4194304
1602074812,4194304
1602074815,4194304
1602074818,4194304
1602074821,4194304
1602074824,4194304
1602074827,4194304
1602074830,4194304
1602074833,4194304
1602074836,4194304
1602074839,4194304
1602074842,4194304
1602074845,4194304
1602074848,4194304
1602074851,4194304
1602074854,4194304
1602074857,4194304
1602074860,4194304
1602074863,4194304
1602074866,4194304
1602074869,4194304
1602074872,4194304
1602074875,4194304
1602074878,4194304
1602074881,4194304
1602074884,4194304
1602074887,4194304
1602074890,4194304
1602074893,4194304
1602074896,4194304
1602074899,4194304
1602074902,4194304
1602074905,4194304
1602074908,4194304
1602074911,4194304
1602074914,4194304
1602074917,4194304
1602074920,4194304
1602074923,4194304
1602074926,4194304
1602074929,4194304
1602074932,4194304
1602074935,4194304
1602074938,4194304
1602074941,4194304
1602074944,4194304
1602074947,4194304
1602074950,4194304
1602074953,4194304
1602074956,4194304
1602074959,4194304
1602074962,4194304
1602074965,4194304
1602074968,4194304
1602074971,4194304
1602074974,4194304
1602074977,4194304
1602074980,4194304
1602074983,4194304
1602074986,4194304
1602074989,4194304
1602074992,4194304
1602074995,4194304
1602074998,4194304
1602075001,4194304
1602075004,4194304
1602075007,4194304
1602075010,4194304
1602075013,4194304
1602075016,4194304
1602075019,4194304
1602075022,4194304
1602075025,4194304
1602075028,4194304
1602075031,4194304
1602075034,4194304
1602075037,4194304
1602075040,4194304
1602075043,4194304
1602075046,4194304
1602075049,4194304
1602075052,4194304
1602075055,4194304
1602075058,4194304
1602075061,4194304
1602075064,4194304
1602075067,4194304
1602075070,4194304
1602075073,4194304
1602075076,4194304
1602075079,4194304
1602075082,4194304
1602075085,4194304
1602075088,4194304
1602075091,4194304
1602075094,4194304
1602075097,4194304
1602075100,4194304
1602075103,4194304
1602075106,4194304
1602075109,4194304
1602075112,4194304
1602075115,4194304
1602075118,4194304
1602075121,4194304
1602075124,4194304
1602075127,4194304
1602075130,4194304
1602075133,4194304
1602075136,4194304
1602075139,4194304
1602075142,4194304
1602075145,4194304
1602075148,4194304
1602075151,4194304
1602075154,4194304
1602075157,4194304
1602075160,4194304
1602075163,4194304
1602075166,4194304
1602075169,4194304
1602075172,4194304
1602075175,4194304
1602075178,4194304
1602075181,4194304
1602075184,4194304
1602075187,4194304
1602075190,4194304
1602075193,4194304
1602075196,4194304
1602075199,4194304
1602075202,4194304
1602075205,4194304
1602075208,4194304
1602075211,4194304
1602075214,4194304
1602075217,4194304
1602075220,4194304
1602075223,4194304
1602075226,4194304
1602075229,4194304
1602075232,4194304
1602075235,4194304
1602075238,4194304
1602075241,4194304
1602075244,4194304
1602075247,4194304
1602075250,4194304
1602075253,4194304
1602075256,4194304
1602075259,4194304
1602075262,4194304
1602075265,4194304
1602075268,4194304
1602075271,4194304
1602075274,4194304
1602075277,4194304
1602075280,4194304
1602075283,4194304
1602075286,4194304
1602075289,4194304
1602075292,4194304
1602075295,4194304
1602075298,4194304
1602075301,4194304
1602075304,4194304
1602075307,4194304
1602075310,4194304
1602075313,4194304
1602075316,4194304
1602075319,4194304
1602075322,4194304
1602075325,4194304
1602075328,4194304
1602075331,4194304
1602075334,4194304
1602075337,4194304
1602075340,4194304
1602075343,4194304
t,value
1602076335,6815744
1602076338,6815744
1602076341,6815744
1602076344,6815744
1602076347,6815744
1602076350,6815744
1602076353,6815744
1602076356,6815744
1602076359,6815744
1602076362,6815744
1602076365,6815744
1602076368,6815744
1602076371,6815744
1602076374,6815744
1602076377,6815744
1602076380,6815744
1602076383,6815744
1602076386,6815744
1602076389,6815744
1602076392,6815744
1602076395,6815744
1602076398,6815744
1602076401,6815744
1602076404,6815744
1602076407,6815744
1602076410,6815744
1602076413,6815744
1602076416,6815744
1602076419,6815744
1602076422,6815744
1602076425,6815744
1602076428,6815744
1602076431,6815744
1602076434,6815744
1602076437,6815744
1602076440,6815744
1602076443,6815744
1602076446,6815744
1602076449,6815744
1602076452,6815744
1602076455,6815744
1602076458,6815744
1602076461,6815744
1602076464,6815744
1602076467,6815744
1602076470,6815744
1602076473,6815744
1602076476,6815744
1602076479,6815744
1602076482,6815744
1602076485,6815744
1602076488,6815744
1602076491,6815744
1602076494,6815744
1602076497,6815744
1602076500,6815744
1602076503,6815744
1602076506,6815744
1602076509,6815744
1602076512,6815744
1602076515,6815744
1602076518,6815744
1602076521,6815744
1602076524,6815744
1602076527,6815744
1602076530,6815744
1602076533,6815744
1602076536,6815744
1602076539,6815744
1602076542,6815744
1602076545,6815744
1602076548,6815744
1602076551,6815744
1602076554,6815744
1602076557,6815744
1602076560,6815744
1602076563,6815744
1602076566,6815744
1602076569,6815744
1602076572,6815744
1602076575,6815744
1602076578,6815744
1602076581,6815744
1602076584,6815744
1602076587,6815744
1602076590,6815744
1602076593,6815744
1602076596,6815744
1602076599,6815744
1602076602,6815744
1602076605,6815744
1602076608,6815744
1602076611,6815744
1602076614,6815744
1602076617,6815744
1602076620,6815744
1602076623,6815744
1602076626,6815744
1602076629,6815744
1602076632,6815744
1602076635,6815744
1602076638,6815744
1602076641,6815744
1602076644,6815744
1602076647,6815744
1602076650,6815744
1602076653,6815744
1602076656,6815744
1602076659,6815744
1602076662,6815744
1602076665,6815744
1602076668,6815744
1602076671,6815744
1602076674,6815744
1602076677,6815744
1602076680,6815744
1602076683,6815744
1602076686,6815744
1602076689,6815744
1602076692,6815744
1602076695,6815744
1602076698,6815744
1602076701,6815744
1602076704,6815744
1602076707,6815744
1602076710,6815744
1602076713,6815744
1602076716,6815744
1602076719,6815744
1602076722,6815744
1602076725,6815744
1602076728,6815744
1602076731,6815744
1602076734,6815744
1602076737,6815744
1602076740,6815744
1602076743,6815744
1602076746,6815744
1602076749,6815744
1602076752,6815744
1602076755,6815744
1602076758,6815744
1602076761,6815744
1602076764,6815744
1602076767,6815744
1602076770,6815744
1602076773,6815744
1602076776,6815744
1602076779,6815744
1602076782,6815744
1602076785,6815744
1602076788,6815744
1602076791,6815744
1602076794,6815744
1602076797,6815744
1602076800,6815744
1602076803,6815744
1602076806,6815744
1602076809,6815744
1602076812,6815744
1602076815,6815744
1602076818,6815744
1602076821,6815744
1602076824,6815744
1602076827,6815744
