t,value
1602074485,9223372036854775807
1602074488,9223372036854775807
1602074491,9223372036854775807
1602074494,9223372036854775807
1602074497,9223372036854775807
1602074500,9223372036854775807
1602074503,9223372036854775807
1602074506,9223372036854775807
1602074509,9223372036854775807
1602074512,9223372036854775807
1602074515,9223372036854775807
1602074518,9223372036854775807
1602074521,9223372036854775807
1602074524,9223372036854775807
1602074527,9223372036854775807
1602074530,9223372036854775807
1602074533,9223372036854775807
1602074536,9223372036854775807
1602074539,9223372036854775807
1602074542,9223372036854775807
1602074545,9223372036854775807
1602074548,9223372036854775807
1602074551,9223372036854775807
1602074554,9223372036854775807
1602074557,9223372036854775807
1602074560,9223372036854775807
1602074563,9223372036854775807
1602074566,9223372036854775807
1602074569,9223372036854775807
1602074572,9223372036854775807
1602074575,9223372036854775807
1602074578,9223372036854775807
1602074581,9223372036854775807
1602074584,9223372036854775807
1602074587,9223372036854775807
1602074590,9223372036854775807
1602074593,9223372036854775807
1602074596,9223372036854775807
1602074599,9223372036854775807
1602074602,9223372036854775807
1602074605,9223372036854775807
1602074608,9223372036854775807
1602074611,9223372036854775807
1602074614,9223372036854775807
1602074617,9223372036854775807
1602074620,9223372036854775807
1602074623,9223372036854775807
1602074626,9223372036854775807
1602074629,9223372036854775807
1602074632,9223372036854775807
1602074635,9223372036854775807
1602074638,9223372036854775807
1602074641,9223372036854775807
1602074644,9223372036854775807
1602074647,9223372036854775807
1602074650,9223372036854775807
1602074653,9223372036854775807
1602074656,9223372036854775807
1602074659,9223372036854775807
1602074662,9223372036854775807
1602074665,9223372036854775807
1602074668,9223372036854775807
1602074671,9223372036854775807
1602074674,9223372036854775807
1602074677,9223372036854775807
1602074680,9223372036854775807
1602074683,9223372036854775807
1602074686,9223372036854775807
1602074689,9223372036854775807
1602074692,9223372036854775807
1602074695,9223372036854775807
1602074698,9223372036854775807
1602074701,9223372036854775807
1602074704,9223372036854775807
1602074707,9223372036854775807
1602074710,9223372036854775807
1602074713,9223372036854775807
1602074716,9223372036854775807
1602074719,9223372036854775807
1602074722,9223372036854775807
1602074725,9223372036854775807
1602074728,9223372036854775807
1602074731,9223372036854775807
1602074734,9223372036854775807
1602074737,9223372036854775807
1602074740,9223372036854775807
1602074743,9223372036854775807
1602074746,9223372036854775807
1602074749,9223372036854775807
1602074752,9223372036854775807
1602074755,9223372036854775807
1602074758,9223372036854775807
1602074761,9223372036854775807
1602074764,9223372036854775807
1602074767,9223372036854775807
1602074770,9223372036854775807
1602074773,9223372036854775807
1602074776,9223372036854775807
1602074779,9223372036854775807
1602074782,9223372036854775807
1602074785,9223372036854775807
1602074788,9223372036854775807
1602074791,9223372036854775807
1602074794,9223372036854775807
1602074797,9223372036854775807
1602074800,9223372036854775807
1602074803,9223372036854775807
1602074806,9223372036854775807
1602074809,9223372036854775807
1602074812,9223372036854775807
1602074815,9223372036854775807
1602074818,9223372036854775807
1602074821,9223372036854775807
1602074824,9223372036854775807
1602074827,9223372036854775807
1602074830,9223372036854775807
1602074833,9223372036854775807
1602074836,9223372036854775807
1602074839,9223372036854775807
1602074842,9223372036854775807
1602074845,9223372036854775807
1602074848,9223372036854775807
1602074851,9223372036854775807
1602074854,9223372036854775807
1602074857,9223372036854775807
1602074860,9223372036854775807
1602074863,9223372036854775807
1602074866,9223372036854775807
1602074869,9223372036854775807
1602074872,9223372036854775807
1602074875,9223372036854775807
