t,value
1602074485,229520
1602074488,230592
1602074491,231024
1602074494,233512
1602074497,233512
1602074500,233512
1602074503,233512
1602074506,233512
1602074509,233512
1602074512,234944
1602074515,234944
1602074518,234944
1602074521,234944
1602074524,234944
1602074527,234944
1602074530,234944
1602074533,235808
1602074536,235808
1602074539,235808
1602074542,235808
1602074545,235808
1602074548,235808
1602074551,236240
1602074554,236240
1602074557,236240
1602074560,236240
1602074563,236240
1602074566,236560
1602074569,236856
1602074572,237288
1602074575,237288
1602074578,237288
1602074581,237440
1602074584,237872
1602074587,237872
1602074590,238440
1602074593,238872
1602074596,238872
1602074599,238872
1602074602,238872
1602074605,238872
1602074608,240304
1602074611,241736
1602074614,241736
1602074617,241736
1602074620,241736
1602074623,241736
1602074626,241736
1602074629,241736
1602074632,243168
1602074635,243168
1602074638,243168
1602074641,243168
1602074644,243168
1602074647,243168
1602074650,243168
1602074653,244600
1602074656,244600
1602074659,244600
1602074662,244600
1602074665,244600
1602074668,244600
1602074671,245880
1602074674,246032
1602074677,246032
1602074680,246032
1602074683,246032
1602074686,246032
1602074689,246032
1602074692,246032
1602074695,246032
1602074698,246032
1602074701,246032
1602074704,246032
1602074707,246032
1602074710,246032
1602074713,246032
1602074716,246032
1602074719,246032
1602074722,246032
1602074725,246032
1602074728,246032
1602074731,246032
1602074734,246032
1602074737,246032
1602074740,246032
1602074743,246032
1602074746,246032
1602074749,246032
1602074752,246032
1602074755,246032
1602074758,246032
1602074761,246032
1602074764,246032
1602074767,246032
1602074770,246032
1602074773,246032
1602074776,246032
1602074779,246032
1602074782,246032
1602074785,246032
1602074788,246032
1602074791,246032
1602074794,246032
1602074797,246032
1602074800,246032
1602074803,246032
1602074806,246032
1602074809,246032
1602074812,246032
1602074815,246032
1602074818,246032
1602074821,246032
1602074824,246032
1602074827,246032
1602074830,246032
1602074833,246032
1602074836,246032
1602074839,246032
1602074842,246032
1602074845,246032
1602074848,246032
1602074851,246032
1602074854,246032
1602074857,246032
1602074860,246032
1602074863,246032
1602074866,246032
1602074869,246032
1602074872,246032
1602074875,246032
1602074878,246032
1602074881,246032
1602074884,246032
1602074887,246032
1602074890,246032
1602074893,246032
1602074896,246032
1602074899,246032
1602074902,246032
1602074905,246032
1602074908,246032
1602074911,246032
1602074914,246032
1602074917,246032
1602074920,246032
1602074923,246032
1602074926,246032
1602074929,246032
1602074932,246032
1602074935,246032
1602074938,246032
1602074941,246032
1602074944,246032
1602074947,246032
1602074950,246032
1602074953,246032
1602074956,246032
1602074959,246032
1602074962,246032
1602074965,246032
1602074968,246032
1602074971,246032
1602074974,246032
1602074977,246032
1602074980,246032
1602074983,246032
1602074986,246032
1602074989,246032
1602074992,246032
1602074995,246032
1602074998,246032
1602075001,246032
1602075004,246032
1602075007,246032
1602075010,246032
1602075013,246032
1602075016,246032
1602075019,246032
1602075022,246032
1602075025,246032
1602075028,246032
1602075031,246032
1602075034,246032
1602075037,246032
1602075040,246032
1602075043,246032
1602075046,246032
1602075049,246032
1602075052,246032
1602075055,246032
1602075058,246032
1602075061,246032
1602075064,246032
1602075067,246032
1602075070,246032
1602075073,246032
1602075076,246032
1602075079,246032
1602075082,246032
1602075085,246032
1602075088,246032
1602075091,246032
1602075094,246032
1602075097,246032
1602075100,246032
1602075103,246032
1602075106,246032
1602075109,246032
1602075112,246032
1602075115,246032
1602075118,246032
1602075121,246032
1602075124,246032
1602075127,246032
1602075130,246032
1602075133,246032
1602075136,246032
1602075139,246032
1602075142,246032
1602075145,246032
1602075148,246032
1602075151,246032
1602075154,246032
1602075157,246032
1602075160,246032
1602075163,246032
1602075166,246032
1602075169,246032
1602075172,246032
1602075175,246032
1602075178,246032
1602075181,246032
1602075184,246032
1602075187,246032
1602075190,246032
1602075193,246032
1602075196,246032
1602075199,246032
1602075202,246032
1602075205,246032
1602075208,246032
1602075211,246032
1602075214,246032
1602075217,246032
1602075220,246032
1602075223,246032
1602075226,246032
1602075229,246032
1602075232,246032
1602075235,246032
1602075238,246032
1602075241,246032
1602075244,246032
1602075247,246032
1602075250,246032
1602075253,246032
1602075256,246032
1602075259,246032
1602075262,246032
1602075265,246032
1602075268,246032
1602075271,246032
1602075274,246032
1602075277,246032
1602075280,246032
1602075283,246032
1602075286,246032
1602075289,246032
1602075292,246032
1602075295,246032
1602075298,246032
1602075301,246032
1602075304,246032
1602075307,246032
1602075310,246032
1602075313,246032
1602075316,246032
1602075319,246032
1602075322,246032
1602075325,246032
1602075328,246032
1602075331,246032
1602075334,246032
1602075337,246032
1602075340,246032
1602075343,246032
t,value
1602076335,229520
1602076338,230592
1602076341,230592
1602076344,246560
1602076347,261744
1602076350,261744
1602076353,261744
1602076356,261744
1602076359,261744
1602076362,261744
1602076365,261744
1602076368,261744
1602076371,261888
1602076374,264664
1602076377,264664
1602076380,266888
1602076383,266888
1602076386,266888
1602076389,266888
1602076392,268320
1602076395,268320
1602076398,268320
1602076401,268320
1602076404,268320
1602076407,268320
1602076410,268320
1602076413,269752
1602076416,269752
1602076419,269752
1602076422,269752
1602076425,269752
1602076428,269752
1602076431,270888
1602076434,271184
1602076437,271184
1602076440,271184
1602076443,271184
1602076446,271184
1602076449,271184
1602076452,272616
1602076455,272616
1602076458,272616
1602076461,272616
1602076464,272616
1602076467,272616
1602076470,272616
1602076473,274048
1602076476,274048
1602076479,274048
1602076482,274048
1602076485,274048
1602076488,274048
1602076491,275184
1602076494,275480
1602076497,275480
1602076500,275480
1602076503,275480
1602076506,275480
1602076509,275480
1602076512,276912
1602076515,276912
1602076518,276912
1602076521,276912
1602076524,276912
1602076527,276912
1602076530,276912
1602076533,278344
1602076536,278344
1602076539,278344
1602076542,278344
1602076545,278344
1602076548,278344
1602076551,279480
1602076554,279776
1602076557,279776
1602076560,279776
1602076563,279776
1602076566,279776
1602076569,279776
1602076572,281208
1602076575,281208
1602076578,281208
1602076581,281208
1602076584,281208
1602076587,281208
1602076590,281208
1602076593,282640
1602076596,282640
1602076599,282640
1602076602,282640
1602076605,282640
1602076608,282640
1602076611,283776
1602076614,284072
1602076617,284072
1602076620,284072
1602076623,284072
1602076626,284072
1602076629,284072
1602076632,285504
1602076635,285504
1602076638,285504
1602076641,285504
1602076644,285504
1602076647,285504
1602076650,285504
1602076653,286936
1602076656,311576
1602076659,314576
1602076662,314576
1602076665,314576
1602076668,314576
1602076671,315712
1602076674,318232
1602076677,318232
1602076680,318232
1602076683,318232
1602076686,318232
1602076689,318232
1602076692,319664
1602076695,319664
1602076698,319664
1602076701,319664
1602076704,319664
1602076707,319664
1602076710,319664
1602076713,321096
1602076716,321096
1602076719,321096
1602076722,321096
1602076725,321096
1602076728,321096
1602076731,322232
1602076734,322528
1602076737,322528
1602076740,322528
1602076743,322528
1602076746,322528
1602076749,322528
1602076752,323960
1602076755,323960
1602076758,323960
1602076761,323960
1602076764,323960
1602076767,323960
1602076770,323960
1602076773,325392
1602076776,325392
1602076779,325392
1602076782,325392
1602076785,325392
1602076788,325392
1602076791,326528
1602076794,326824
1602076797,326824
1602076800,326824
1602076803,326824
1602076806,326824
1602076809,326824
1602076812,328256
1602076815,328256
1602076818,328256
1602076821,328256
1602076824,328256
1602076827,328256
1602076830,328256
1602076833,329688
1602076836,329688
1602076839,329688
1602076842,329688
1602076845,329688
1602076848,329688
1602076851,330824
1602076854,331120
1602076857,331120
1602076860,331120
1602076863,331120
1602076866,331120
1602076869,331120
1602076872,332552
1602076875,332552
1602076878,332552
1602076881,332552
1602076884,332552
1602076887,332552
1602076890,332552
1602076893,333984
1602076896,333984
1602076899,333984
1602076902,333984
1602076905,333984
1602076908,333984
1602076911,335120
1602076914,335416
1602076917,335416
1602076920,335416
1602076923,335416
1602076926,335416
1602076929,335416
1602076932,336848
1602076935,336848
1602076938,336848
1602076941,336848
1602076944,336848
1602076947,336848
1602076950,336848
1602076953,338280
1602076956,338280
1602076959,338280
1602076962,338280
1602076965,338280
1602076968,338280
1602076971,339416
1602076974,339712
1602076977,339712
1602076980,339712
1602076983,339712
1602076986,339712
1602076989,339712
1602076992,341144
1602076995,341144
1602076998,341144
1602077001,341144
1602077004,341144
1602077007,341144
1602077010,341144
1602077013,342576
1602077016,342576
1602077019,342576
1602077022,342576
1602077025,342576
1602077028,342576
1602077031,343712
1602077034,344008
1602077037,344008
1602077040,344008
1602077043,344008
1602077046,344008
1602077049,344008
1602077052,345440
1602077055,345440
1602077058,345440
1602077061,345440
1602077064,345440
1602077067,345440
1602077070,345440
1602077073,346872
1602077076,346872
1602077079,346872
1602077082,346872
1602077085,346872
1602077088,346872
1602077091,348008
1602077094,348304
1602077097,348304
1602077100,348304
1602077103,348304
1602077106,348304
1602077109,348304
1602077112,349736
1602077115,349736
1602077118,349736
1602077121,349736
1602077124,349736
1602077127,349736
1602077130,349736
1602077133,351168
1602077136,351168
1602077139,351168
1602077142,351168
1602077145,351168
1602077148,351168
1602077151,352304
1602077154,352600
1602077157,352600
1602077160,352600
1602077163,352600
1602077166,352600
1602077169,352600
1602077172,354032
1602077175,354032
1602077178,354032
1602077181,354032
1602077184,354032
1602077187,354032
1602077190,354032
1602077193,355464
1602077196,355464
1602077199,355464
1602077202,355464
1602077205,355464
1602077208,355464
1602077211,356600
1602077214,356896
1602077217,356896
1602077220,356896
1602077223,356896
1602077226,356896
1602077229,356896
1602077232,358328
1602077235,358328
1602077238,358328
1602077241,358328
1602077244,358328
1602077247,358328
1602077250,358328
1602077253,359760
1602077256,359760
1602077259,359760
1602077262,359760
