t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,64,18.577514,0.000000,0.000000,0.000000,events/second
1602074488,64,10.094120,0.000000,0.000000,0.000000,events/second
1602074491,64,6.857878,0.000000,0.000000,0.000000,events/second
1602074494,64,5.190424,0.000000,0.000000,0.000000,events/second
1602074497,64,4.177710,0.000000,0.000000,0.000000,events/second
1602074500,64,3.491460,0.000000,0.000000,0.000000,events/second
1602074503,64,3.000169,0.000000,0.000000,0.000000,events/second
1602074506,64,2.629793,0.000000,0.000000,0.000000,events/second
1602074509,64,2.341300,0.000000,0.000000,0.000000,events/second
1602074512,64,2.110084,0.000000,0.000000,0.000000,events/second
1602074515,64,1.920775,0.000000,0.000000,0.000000,events/second
1602074518,64,1.761889,0.000000,0.000000,0.000000,events/second
1602074521,64,1.627940,0.000000,0.000000,0.000000,events/second
1602074524,64,1.512153,0.000000,0.000000,0.000000,events/second
1602074527,64,1.411943,0.000000,0.000000,0.000000,events/second
1602074530,64,1.324476,0.000000,0.000000,0.000000,events/second
1602074533,64,1.247127,0.000000,0.000000,0.000000,events/second
1602074536,64,1.178315,0.000000,0.000000,0.000000,events/second
1602074539,64,1.116297,0.000000,0.000000,0.000000,events/second
1602074542,64,1.061066,0.000000,0.000000,0.000000,events/second
1602074545,64,1.010585,0.000000,0.000000,0.000000,events/second
1602074548,64,0.964835,0.000000,0.000000,0.000000,events/second
1602074551,64,0.923091,0.000000,0.000000,0.000000,events/second
1602074554,64,0.884828,0.000000,0.000000,0.000000,events/second
1602074557,64,0.849587,0.000000,0.000000,0.000000,events/second
1602074560,64,0.817027,0.000000,0.000000,0.000000,events/second
1602074563,64,0.787045,0.000000,0.000000,0.000000,events/second
1602074566,64,0.758869,0.000000,0.000000,0.000000,events/second
1602074569,64,0.732818,0.000000,0.000000,0.000000,events/second
1602074572,64,0.708518,0.000000,0.000000,0.000000,events/second
1602074575,64,0.685743,0.000000,0.000000,0.000000,events/second
1602074578,64,0.664395,0.000000,0.000000,0.000000,events/second
1602074581,64,0.644439,0.000000,0.000000,0.000000,events/second
1602074584,64,0.625438,0.000000,0.000000,0.000000,events/second
1602074587,64,0.607676,0.000000,0.000000,0.000000,events/second
1602074590,64,0.590789,0.000000,0.000000,0.000000,events/second
1602074593,64,0.574945,0.000000,0.000000,0.000000,events/second
1602074596,64,0.559866,0.000000,0.000000,0.000000,events/second
1602074599,64,0.545461,0.000000,0.000000,0.000000,events/second
1602074602,64,0.531851,0.000000,0.000000,0.000000,events/second
1602074605,64,0.519003,0.000000,0.000000,0.000000,events/second
1602074608,64,0.506598,0.000000,0.000000,0.000000,events/second
1602074611,64,0.494926,0.000000,0.000000,0.000000,events/second
1602074614,64,0.483646,0.000000,0.000000,0.000000,events/second
1602074617,64,0.472922,0.000000,0.000000,0.000000,events/second
1602074620,64,0.462707,0.000000,0.000000,0.000000,events/second
1602074623,64,0.452847,0.000000,0.000000,0.000000,events/second
1602074626,64,0.443435,0.000000,0.000000,0.000000,events/second
1602074629,64,0.434390,0.000000,0.000000,0.000000,events/second
1602074632,64,0.425733,0.000000,0.000000,0.000000,events/second
1602074635,64,0.417452,0.000000,0.000000,0.000000,events/second
1602074638,64,0.409396,0.000000,0.000000,0.000000,events/second
1602074641,64,0.401687,0.000000,0.000000,0.000000,events/second
1602074644,64,0.394266,0.000000,0.000000,0.000000,events/second
1602074647,64,0.387114,0.000000,0.000000,0.000000,events/second
1602074650,64,0.380209,0.000000,0.000000,0.000000,events/second
1602074653,64,0.373553,0.000000,0.000000,0.000000,events/second
1602074656,64,0.367125,0.000000,0.000000,0.000000,events/second
1602074659,64,0.360908,0.000000,0.000000,0.000000,events/second
1602074662,64,0.354947,0.000000,0.000000,0.000000,events/second
1602074665,64,0.349097,0.000000,0.000000,0.000000,events/second
1602074668,64,0.343479,0.000000,0.000000,0.000000,events/second
1602074671,64,0.338067,0.000000,0.000000,0.000000,events/second
1602074674,64,0.332765,0.000000,0.000000,0.000000,events/second
1602074677,64,0.327654,0.000000,0.000000,0.000000,events/second
1602074680,64,0.322697,0.000000,0.000000,0.000000,events/second
1602074683,64,0.317887,0.000000,0.000000,0.000000,events/second
1602074686,64,0.313235,0.000000,0.000000,0.000000,events/second
1602074689,64,0.308692,0.000000,0.000000,0.000000,events/second
1602074692,64,0.304306,0.000000,0.000000,0.000000,events/second
1602074695,64,0.300013,0.000000,0.000000,0.000000,events/second
1602074698,64,0.295865,0.000000,0.000000,0.000000,events/second
1602074701,64,0.291815,0.000000,0.000000,0.000000,events/second
1602074704,64,0.287859,0.000000,0.000000,0.000000,events/second
1602074707,64,0.284052,0.000000,0.000000,0.000000,events/second
1602074710,64,0.280313,0.000000,0.000000,0.000000,events/second
1602074713,64,0.276683,0.000000,0.000000,0.000000,events/second
1602074716,64,0.273136,0.000000,0.000000,0.000000,events/second
1602074719,64,0.269687,0.000000,0.000000,0.000000,events/second
1602074722,64,0.266322,0.000000,0.000000,0.000000,events/second
1602074725,64,0.263038,0.000000,0.000000,0.000000,events/second
1602074728,64,0.259818,0.000000,0.000000,0.000000,events/second
1602074731,64,0.256705,0.000000,0.000000,0.000000,events/second
1602074734,64,0.253655,0.000000,0.000000,0.000000,events/second
1602074737,64,0.250659,0.000000,0.000000,0.000000,events/second
1602074740,64,0.247748,0.000000,0.000000,0.000000,events/second
1602074743,64,0.244903,0.000000,0.000000,0.000000,events/second
1602074746,64,0.242124,0.000000,0.000000,0.000000,events/second
1602074749,64,0.239403,0.000000,0.000000,0.000000,events/second
1602074752,64,0.236750,0.000000,0.000000,0.000000,events/second
1602074755,64,0.234151,0.000000,0.000000,0.000000,events/second
1602074758,64,0.231609,0.000000,0.000000,0.000000,events/second
1602074761,64,0.229135,0.000000,0.000000,0.000000,events/second
1602074764,64,0.226686,0.000000,0.000000,0.000000,events/second
1602074767,64,0.224304,0.000000,0.000000,0.000000,events/second
1602074770,64,0.221971,0.000000,0.000000,0.000000,events/second
1602074773,64,0.219698,0.000000,0.000000,0.000000,events/second
1602074776,64,0.217458,0.000000,0.000000,0.000000,events/second
1602074779,64,0.215264,0.000000,0.000000,0.000000,events/second
1602074782,64,0.213112,0.000000,0.000000,0.000000,events/second
1602074785,64,0.211004,0.000000,0.000000,0.000000,events/second
1602074788,64,0.208938,0.000000,0.000000,0.000000,events/second
1602074791,64,0.206901,0.000000,0.000000,0.000000,events/second
1602074794,64,0.204923,0.000000,0.000000,0.000000,events/second
1602074797,64,0.202974,0.000000,0.000000,0.000000,events/second
1602074800,64,0.201051,0.000000,0.000000,0.000000,events/second
1602074803,64,0.199174,0.000000,0.000000,0.000000,events/second
1602074806,64,0.197331,0.000000,0.000000,0.000000,events/second
1602074809,64,0.195521,0.000000,0.000000,0.000000,events/second
1602074812,64,0.193747,0.000000,0.000000,0.000000,events/second
1602074815,64,0.192005,0.000000,0.000000,0.000000,events/second
1602074818,64,0.190290,0.000000,0.000000,0.000000,events/second
1602074821,64,0.188608,0.000000,0.000000,0.000000,events/second
1602074824,64,0.186955,0.000000,0.000000,0.000000,events/second
1602074827,64,0.185331,0.000000,0.000000,0.000000,events/second
1602074830,64,0.183734,0.000000,0.000000,0.000000,events/second
1602074833,64,0.182165,0.000000,0.000000,0.000000,events/second
1602074836,64,0.180623,0.000000,0.000000,0.000000,events/second
1602074839,64,0.179106,0.000000,0.000000,0.000000,events/second
1602074842,64,0.177617,0.000000,0.000000,0.000000,events/second
1602074845,64,0.176149,0.000000,0.000000,0.000000,events/second
1602074848,64,0.174707,0.000000,0.000000,0.000000,events/second
1602074851,64,0.173289,0.000000,0.000000,0.000000,events/second
1602074854,64,0.171888,0.000000,0.000000,0.000000,events/second
1602074857,64,0.170517,0.000000,0.000000,0.000000,events/second
1602074860,64,0.169165,0.000000,0.000000,0.000000,events/second
1602074863,64,0.167834,0.000000,0.000000,0.000000,events/second
1602074866,64,0.166519,0.000000,0.000000,0.000000,events/second
1602074869,64,0.165232,0.000000,0.000000,0.000000,events/second
1602074872,64,0.163964,0.000000,0.000000,0.000000,events/second
1602074875,64,0.162714,0.000000,0.000000,0.000000,events/second
1602074878,64,0.161480,0.000000,0.000000,0.000000,events/second
1602074881,64,0.160269,0.000000,0.000000,0.000000,events/second
1602074884,64,0.159074,0.000000,0.000000,0.000000,events/second
1602074887,64,0.157897,0.000000,0.000000,0.000000,events/second
1602074890,64,0.156734,0.000000,0.000000,0.000000,events/second
1602074893,64,0.155594,0.000000,0.000000,0.000000,events/second
