t,value
1602074485,1572864
1602074488,1572864
1602074491,1572864
1602074494,1572864
1602074497,1572864
1602074500,1572864
1602074503,1572864
1602074506,1572864
1602074509,1572864
1602074512,1572864
1602074515,1572864
1602074518,1572864
1602074521,1572864
1602074524,1572864
1602074527,1572864
1602074530,1572864
1602074533,1572864
1602074536,1572864
1602074539,1572864
1602074542,1572864
1602074545,1572864
1602074548,1572864
1602074551,1572864
1602074554,1572864
1602074557,1572864
1602074560,1572864
1602074563,1572864
1602074566,1572864
1602074569,1572864
1602074572,1572864
1602074575,1572864
1602074578,1572864
1602074581,1572864
1602074584,1572864
1602074587,1572864
1602074590,1572864
1602074593,1572864
1602074596,1572864
1602074599,1572864
1602074602,1572864
1602074605,1572864
1602074608,1572864
1602074611,1572864
1602074614,1572864
1602074617,1572864
1602074620,1572864
1602074623,1572864
1602074626,1572864
1602074629,1572864
1602074632,1572864
1602074635,1572864
1602074638,1572864
1602074641,1572864
1602074644,1572864
1602074647,1572864
1602074650,1572864
1602074653,1572864
1602074656,1572864
1602074659,1572864
1602074662,1572864
1602074665,1572864
1602074668,1572864
1602074671,1572864
1602074674,1572864
1602074677,1572864
1602074680,1572864
1602074683,1572864
1602074686,1572864
1602074689,1572864
1602074692,1572864
1602074695,1572864
1602074698,1572864
1602074701,1572864
1602074704,1572864
1602074707,1572864
1602074710,1572864
1602074713,1572864
1602074716,1572864
1602074719,1572864
1602074722,1572864
1602074725,1572864
1602074728,1572864
1602074731,1572864
1602074734,1572864
1602074737,1572864
1602074740,1572864
1602074743,1572864
1602074746,1572864
1602074749,1572864
1602074752,1572864
1602074755,1572864
1602074758,1572864
1602074761,1572864
1602074764,1572864
1602074767,1572864
1602074770,1572864
1602074773,1572864
1602074776,1572864
1602074779,1572864
1602074782,1572864
1602074785,1572864
1602074788,1572864
1602074791,1572864
1602074794,1572864
1602074797,1572864
1602074800,1572864
1602074803,1572864
1602074806,1572864
1602074809,1572864
1602074812,1572864
1602074815,1572864
1602074818,1572864
1602074821,1572864
1602074824,1572864
1602074827,1572864
1602074830,1572864
1602074833,1572864
1602074836,1572864
1602074839,1572864
1602074842,1572864
1602074845,1572864
1602074848,1572864
1602074851,1572864
1602074854,1572864
1602074857,1572864
1602074860,1572864
1602074863,1572864
1602074866,1572864
1602074869,1572864
1602074872,1572864
1602074875,1572864
1602074878,1572864
1602074881,1572864
1602074884,1572864
1602074887,1572864
1602074890,1572864
1602074893,1572864
1602074896,1572864
1602074899,1572864
1602074902,1572864
1602074905,1572864
1602074908,1572864
1602074911,1572864
1602074914,1572864
1602074917,1572864
1602074920,1572864
1602074923,1572864
1602074926,1572864
1602074929,1572864
1602074932,1572864
1602074935,1572864
1602074938,1572864
1602074941,1572864
1602074944,1572864
1602074947,1572864
1602074950,1572864
1602074953,1572864
1602074956,1572864
1602074959,1572864
1602074962,1572864
1602074965,1572864
1602074968,1572864
1602074971,1572864
1602074974,1572864
1602074977,1572864
1602074980,1572864
1602074983,1572864
1602074986,1572864
1602074989,1572864
1602074992,1572864
1602074995,1572864
1602074998,1572864
1602075001,1572864
1602075004,1572864
1602075007,1572864
1602075010,1572864
1602075013,1572864
1602075016,1572864
1602075019,1572864
1602075022,1572864
1602075025,1572864
1602075028,1572864
1602075031,1572864
1602075034,1572864
1602075037,1572864
1602075040,1572864
1602075043,1572864
