t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,0,0.000000,0.000000,0.000000,0.000000,events/second
1602074488,6,0.945949,0.000000,0.000000,0.000000,events/second
1602074491,7,0.749967,0.000000,0.000000,0.000000,events/second
1602074494,8,0.648764,0.000000,0.000000,0.000000,events/second
1602074497,8,0.522178,0.000000,0.000000,0.000000,events/second
1602074500,8,0.436414,0.000000,0.000000,0.000000,events/second
1602074503,8,0.375008,0.000000,0.000000,0.000000,events/second
1602074506,8,0.328708,0.000000,0.000000,0.000000,events/second
1602074509,8,0.292651,0.000000,0.000000,0.000000,events/second
1602074512,9,0.296723,0.000000,0.000000,0.000000,events/second
1602074515,9,0.270096,0.000000,0.000000,0.000000,events/second
1602074518,9,0.247759,0.000000,0.000000,0.000000,events/second
1602074521,9,0.228925,0.000000,0.000000,0.000000,events/second
1602074524,9,0.212643,0.000000,0.000000,0.000000,events/second
1602074527,9,0.198552,0.000000,0.000000,0.000000,events/second
1602074530,9,0.186250,0.000000,0.000000,0.000000,events/second
1602074533,9,0.175374,0.000000,0.000000,0.000000,events/second
1602074536,9,0.165698,0.000000,0.000000,0.000000,events/second
1602074539,9,0.156977,0.000000,0.000000,0.000000,events/second
1602074542,9,0.149210,0.000000,0.000000,0.000000,events/second
1602074545,9,0.142112,0.000000,0.000000,0.000000,events/second
1602074548,9,0.135678,0.000000,0.000000,0.000000,events/second
1602074551,9,0.129808,0.000000,0.000000,0.000000,events/second
1602074554,9,0.124428,0.000000,0.000000,0.000000,events/second
1602074557,9,0.119472,0.000000,0.000000,0.000000,events/second
1602074560,9,0.114893,0.000000,0.000000,0.000000,events/second
1602074563,9,0.110677,0.000000,0.000000,0.000000,events/second
1602074566,9,0.106714,0.000000,0.000000,0.000000,events/second
1602074569,9,0.103052,0.000000,0.000000,0.000000,events/second
1602074572,9,0.099635,0.000000,0.000000,0.000000,events/second
1602074575,9,0.096432,0.000000,0.000000,0.000000,events/second
1602074578,9,0.093430,0.000000,0.000000,0.000000,events/second
1602074581,9,0.090624,0.000000,0.000000,0.000000,events/second
1602074584,9,0.087952,0.000000,0.000000,0.000000,events/second
1602074587,9,0.085454,0.000000,0.000000,0.000000,events/second
1602074590,9,0.083079,0.000000,0.000000,0.000000,events/second
1602074593,9,0.080851,0.000000,0.000000,0.000000,events/second
1602074596,9,0.078731,0.000000,0.000000,0.000000,events/second
1602074599,9,0.076705,0.000000,0.000000,0.000000,events/second
1602074602,9,0.074791,0.000000,0.000000,0.000000,events/second
1602074605,9,0.072984,0.000000,0.000000,0.000000,events/second
1602074608,10,0.079155,0.000000,0.000000,0.000000,events/second
1602074611,11,0.085065,0.000000,0.000000,0.000000,events/second
1602074614,11,0.083126,0.000000,0.000000,0.000000,events/second
1602074617,11,0.081283,0.000000,0.000000,0.000000,events/second
1602074620,11,0.079527,0.000000,0.000000,0.000000,events/second
1602074623,11,0.077833,0.000000,0.000000,0.000000,events/second
1602074626,11,0.076215,0.000000,0.000000,0.000000,events/second
1602074629,11,0.074660,0.000000,0.000000,0.000000,events/second
1602074632,12,0.079825,0.000000,0.000000,0.000000,events/second
1602074635,12,0.078272,0.000000,0.000000,0.000000,events/second
1602074638,12,0.076761,0.000000,0.000000,0.000000,events/second
1602074641,12,0.075316,0.000000,0.000000,0.000000,events/second
1602074644,12,0.073924,0.000000,0.000000,0.000000,events/second
1602074647,12,0.072583,0.000000,0.000000,0.000000,events/second
1602074650,12,0.071289,0.000000,0.000000,0.000000,events/second
1602074653,13,0.075877,0.000000,0.000000,0.000000,events/second
1602074656,13,0.074572,0.000000,0.000000,0.000000,events/second
1602074659,13,0.073309,0.000000,0.000000,0.000000,events/second
1602074662,13,0.072098,0.000000,0.000000,0.000000,events/second
1602074665,13,0.070910,0.000000,0.000000,0.000000,events/second
1602074668,13,0.069769,0.000000,0.000000,0.000000,events/second
1602074671,14,0.073952,0.000000,0.000000,0.000000,events/second
1602074674,14,0.072792,0.000000,0.000000,0.000000,events/second
1602074677,14,0.071674,0.000000,0.000000,0.000000,events/second
1602074680,14,0.070590,0.000000,0.000000,0.000000,events/second
1602074683,14,0.069538,0.000000,0.000000,0.000000,events/second
1602074686,14,0.068520,0.000000,0.000000,0.000000,events/second
1602074689,14,0.067526,0.000000,0.000000,0.000000,events/second
1602074692,14,0.066567,0.000000,0.000000,0.000000,events/second
1602074695,14,0.065628,0.000000,0.000000,0.000000,events/second
1602074698,14,0.064720,0.000000,0.000000,0.000000,events/second
1602074701,14,0.063834,0.000000,0.000000,0.000000,events/second
1602074704,14,0.062969,0.000000,0.000000,0.000000,events/second
1602074707,14,0.062136,0.000000,0.000000,0.000000,events/second
1602074710,14,0.061318,0.000000,0.000000,0.000000,events/second
1602074713,14,0.060524,0.000000,0.000000,0.000000,events/second
1602074716,14,0.059748,0.000000,0.000000,0.000000,events/second
1602074719,14,0.058994,0.000000,0.000000,0.000000,events/second
1602074722,14,0.058258,0.000000,0.000000,0.000000,events/second
1602074725,14,0.057539,0.000000,0.000000,0.000000,events/second
1602074728,14,0.056835,0.000000,0.000000,0.000000,events/second
1602074731,14,0.056154,0.000000,0.000000,0.000000,events/second
1602074734,14,0.055487,0.000000,0.000000,0.000000,events/second
1602074737,14,0.054831,0.000000,0.000000,0.000000,events/second
1602074740,14,0.054195,0.000000,0.000000,0.000000,events/second
1602074743,14,0.053572,0.000000,0.000000,0.000000,events/second
1602074746,14,0.052965,0.000000,0.000000,0.000000,events/second
1602074749,14,0.052369,0.000000,0.000000,0.000000,events/second
1602074752,14,0.051789,0.000000,0.000000,0.000000,events/second
1602074755,14,0.051220,0.000000,0.000000,0.000000,events/second
1602074758,14,0.050664,0.000000,0.000000,0.000000,events/second
1602074761,14,0.050123,0.000000,0.000000,0.000000,events/second
1602074764,14,0.049588,0.000000,0.000000,0.000000,events/second
1602074767,14,0.049066,0.000000,0.000000,0.000000,events/second
1602074770,14,0.048556,0.000000,0.000000,0.000000,events/second
1602074773,14,0.048059,0.000000,0.000000,0.000000,events/second
1602074776,14,0.047569,0.000000,0.000000,0.000000,events/second
1602074779,14,0.047089,0.000000,0.000000,0.000000,events/second
1602074782,14,0.046618,0.000000,0.000000,0.000000,events/second
1602074785,14,0.046157,0.000000,0.000000,0.000000,events/second
1602074788,14,0.045705,0.000000,0.000000,0.000000,events/second
1602074791,14,0.045260,0.000000,0.000000,0.000000,events/second
1602074794,14,0.044827,0.000000,0.000000,0.000000,events/second
1602074797,14,0.044401,0.000000,0.000000,0.000000,events/second
1602074800,14,0.043980,0.000000,0.000000,0.000000,events/second
1602074803,14,0.043569,0.000000,0.000000,0.000000,events/second
1602074806,14,0.043166,0.000000,0.000000,0.000000,events/second
1602074809,14,0.042770,0.000000,0.000000,0.000000,events/second
1602074812,14,0.042382,0.000000,0.000000,0.000000,events/second
1602074815,14,0.042001,0.000000,0.000000,0.000000,events/second
1602074818,14,0.041626,0.000000,0.000000,0.000000,events/second
1602074821,14,0.041258,0.000000,0.000000,0.000000,events/second
1602074824,14,0.040896,0.000000,0.000000,0.000000,events/second
1602074827,14,0.040541,0.000000,0.000000,0.000000,events/second
1602074830,14,0.040192,0.000000,0.000000,0.000000,events/second
1602074833,14,0.039848,0.000000,0.000000,0.000000,events/second
1602074836,14,0.039511,0.000000,0.000000,0.000000,events/second
1602074839,14,0.039179,0.000000,0.000000,0.000000,events/second
1602074842,14,0.038854,0.000000,0.000000,0.000000,events/second
1602074845,14,0.038533,0.000000,0.000000,0.000000,events/second
1602074848,14,0.038217,0.000000,0.000000,0.000000,events/second
1602074851,14,0.037907,0.000000,0.000000,0.000000,events/second
1602074854,14,0.037600,0.000000,0.000000,0.000000,events/second
1602074857,14,0.037301,0.000000,0.000000,0.000000,events/second
1602074860,14,0.037005,0.000000,0.000000,0.000000,events/second
1602074863,14,0.036714,0.000000,0.000000,0.000000,events/second
1602074866,14,0.036426,0.000000,0.000000,0.000000,events/second
1602074869,14,0.036144,0.000000,0.000000,0.000000,events/second
1602074872,14,0.035867,0.000000,0.000000,0.000000,events/second
1602074875,14,0.035594,0.000000,0.000000,0.000000,events/second
1602074878,14,0.035324,0.000000,0.000000,0.000000,events/second
1602074881,14,0.035059,0.000000,0.000000,0.000000,events/second
1602074884,14,0.034797,0.000000,0.000000,0.000000,events/second
1602074887,14,0.034540,0.000000,0.000000,0.000000,events/second
1602074890,14,0.034285,0.000000,0.000000,0.000000,events/second
1602074893,14,0.034036,0.000000,0.000000,0.000000,events/second
1602074896,14,0.033790,0.000000,0.000000,0.000000,events/second
1602074899,14,0.033548,0.000000,0.000000,0.000000,events/second
1602074902,14,0.033307,0.000000,0.000000,0.000000,events/second
1602074905,14,0.033071,0.000000,0.000000,0.000000,events/second
1602074908,14,0.032839,0.000000,0.000000,0.000000,events/second
1602074911,14,0.032609,0.000000,0.000000,0.000000,events/second
1602074914,14,0.032383,0.000000,0.000000,0.000000,events/second
1602074917,14,0.032161,0.000000,0.000000,0.000000,events/second
1602074920,14,0.031941,0.000000,0.000000,0.000000,events/second
1602074923,14,0.031722,0.000000,0.000000,0.000000,events/second
1602074926,14,0.031508,0.000000,0.000000,0.000000,events/second
1602074929,14,0.031297,0.000000,0.000000,0.000000,events/second
1602074932,14,0.031090,0.000000,0.000000,0.000000,events/second
1602074935,14,0.030883,0.000000,0.000000,0.000000,events/second
1602074938,14,0.030680,0.000000,0.000000,0.000000,events/second
1602074941,14,0.030479,0.000000,0.000000,0.000000,events/second
1602074944,14,0.030281,0.000000,0.000000,0.000000,events/second
1602074947,14,0.030086,0.000000,0.000000,0.000000,events/second
1602074950,14,0.029894,0.000000,0.000000,0.000000,events/second
1602074953,14,0.029703,0.000000,0.000000,0.000000,events/second
1602074956,14,0.029515,0.000000,0.000000,0.000000,events/second
1602074959,14,0.029330,0.000000,0.000000,0.000000,events/second
1602074962,14,0.029147,0.000000,0.000000,0.000000,events/second
1602074965,14,0.028966,0.000000,0.000000,0.000000,events/second
1602074968,14,0.028787,0.000000,0.000000,0.000000,events/second
1602074971,14,0.028610,0.000000,0.000000,0.000000,events/second
1602074974,14,0.028436,0.000000,0.000000,0.000000,events/second
1602074977,14,0.028264,0.000000,0.000000,0.000000,events/second
1602074980,14,0.028094,0.000000,0.000000,0.000000,events/second
1602074983,14,0.027926,0.000000,0.000000,0.000000,events/second
1602074986,14,0.027760,0.000000,0.000000,0.000000,events/second
1602074989,14,0.027596,0.000000,0.000000,0.000000,events/second
1602074992,14,0.027434,0.000000,0.000000,0.000000,events/second
1602074995,14,0.027273,0.000000,0.000000,0.000000,events/second
1602074998,14,0.027115,0.000000,0.000000,0.000000,events/second
1602075001,14,0.026957,0.000000,0.000000,0.000000,events/second
1602075004,14,0.026802,0.000000,0.000000,0.000000,events/second
1602075007,14,0.026650,0.000000,0.000000,0.000000,events/second
1602075010,14,0.026499,0.000000,0.000000,0.000000,events/second
1602075013,14,0.026350,0.000000,0.000000,0.000000,events/second
1602075016,14,0.026202,0.000000,0.000000,0.000000,events/second
1602075019,14,0.026055,0.000000,0.000000,0.000000,events/second
1602075022,14,0.025911,0.000000,0.000000,0.000000,events/second
1602075025,14,0.025767,0.000000,0.000000,0.000000,events/second
1602075028,14,0.025626,0.000000,0.000000,0.000000,events/second
1602075031,14,0.025486,0.000000,0.000000,0.000000,events/second
1602075034,14,0.025348,0.000000,0.000000,0.000000,events/second
1602075037,14,0.025211,0.000000,0.000000,0.000000,events/second
1602075040,14,0.025075,0.000000,0.000000,0.000000,events/second
1602075043,14,0.024942,0.000000,0.000000,0.000000,events/second
1602075046,14,0.024809,0.000000,0.000000,0.000000,events/second
1602075049,14,0.024675,0.000000,0.000000,0.000000,events/second
1602075052,14,0.024548,0.000000,0.000000,0.000000,events/second
1602075055,14,0.024419,0.000000,0.000000,0.000000,events/second
1602075058,14,0.024292,0.000000,0.000000,0.000000,events/second
1602075061,14,0.024069,0.000000,0.000000,0.000000,events/second
1602075064,14,0.024042,0.000000,0.000000,0.000000,events/second
1602075067,14,0.023918,0.000000,0.000000,0.000000,events/second
1602075070,14,0.023796,0.000000,0.000000,0.000000,events/second
1602075073,14,0.023676,0.000000,0.000000,0.000000,events/second
1602075076,14,0.023556,0.000000,0.000000,0.000000,events/second
1602075079,14,0.023438,0.000000,0.000000,0.000000,events/second
1602075082,14,0.023321,0.000000,0.000000,0.000000,events/second
1602075085,14,0.023205,0.000000,0.000000,0.000000,events/second
1602075088,14,0.023090,0.000000,0.000000,0.000000,events/second
1602075091,14,0.022977,0.000000,0.000000,0.000000,events/second
1602075094,14,0.022864,0.000000,0.000000,0.000000,events/second
1602075097,14,0.022753,0.000000,0.000000,0.000000,events/second
1602075100,14,0.022642,0.000000,0.000000,0.000000,events/second
1602075103,14,0.022533,0.000000,0.000000,0.000000,events/second
1602075106,14,0.022425,0.000000,0.000000,0.000000,events/second
1602075109,14,0.022317,0.000000,0.000000,0.000000,events/second
1602075112,14,0.022211,0.000000,0.000000,0.000000,events/second
1602075115,14,0.022106,0.000000,0.000000,0.000000,events/second
1602075118,14,0.022002,0.000000,0.000000,0.000000,events/second
1602075121,14,0.021898,0.000000,0.000000,0.000000,events/second
1602075124,14,0.021796,0.000000,0.000000,0.000000,events/second
1602075127,14,0.021695,0.000000,0.000000,0.000000,events/second
1602075130,14,0.021594,0.000000,0.000000,0.000000,events/second
1602075133,14,0.021495,0.000000,0.000000,0.000000,events/second
1602075136,14,0.021396,0.000000,0.000000,0.000000,events/second
1602075139,14,0.021299,0.000000,0.000000,0.000000,events/second
1602075142,14,0.021202,0.000000,0.000000,0.000000,events/second
1602075145,14,0.021106,0.000000,0.000000,0.000000,events/second
1602075148,14,0.021011,0.000000,0.000000,0.000000,events/second
1602075151,14,0.020917,0.000000,0.000000,0.000000,events/second
1602075154,14,0.020824,0.000000,0.000000,0.000000,events/second
1602075157,14,0.020731,0.000000,0.000000,0.000000,events/second
1602075160,14,0.020639,0.000000,0.000000,0.000000,events/second
1602075163,14,0.020548,0.000000,0.000000,0.000000,events/second
1602075166,14,0.020459,0.000000,0.000000,0.000000,events/second
1602075169,14,0.020369,0.000000,0.000000,0.000000,events/second
1602075172,14,0.020280,0.000000,0.000000,0.000000,events/second
1602075175,14,0.020193,0.000000,0.000000,0.000000,events/second
1602075178,14,0.020106,0.000000,0.000000,0.000000,events/second
1602075181,14,0.020020,0.000000,0.000000,0.000000,events/second
1602075184,14,0.019934,0.000000,0.000000,0.000000,events/second
1602075187,14,0.019849,0.000000,0.000000,0.000000,events/second
1602075190,14,0.019765,0.000000,0.000000,0.000000,events/second
1602075193,14,0.019682,0.000000,0.000000,0.000000,events/second
1602075196,14,0.019599,0.000000,0.000000,0.000000,events/second
1602075199,14,0.019517,0.000000,0.000000,0.000000,events/second
1602075202,14,0.019436,0.000000,0.000000,0.000000,events/second
