t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,1,0.289584,0.000000,0.000000,0.000000,events/second
1602074488,1,0.157636,0.000000,0.000000,0.000000,events/second
1602074491,1,0.107131,0.000000,0.000000,0.000000,events/second
1602074494,1,0.081093,0.000000,0.000000,0.000000,events/second
1602074497,1,0.065271,0.000000,0.000000,0.000000,events/second
1602074500,1,0.054551,0.000000,0.000000,0.000000,events/second
1602074503,1,0.046875,0.000000,0.000000,0.000000,events/second
1602074506,1,0.041087,0.000000,0.000000,0.000000,events/second
1602074509,1,0.036581,0.000000,0.000000,0.000000,events/second
1602074512,1,0.032969,0.000000,0.000000,0.000000,events/second
1602074515,1,0.030010,0.000000,0.000000,0.000000,events/second
1602074518,1,0.027528,0.000000,0.000000,0.000000,events/second
1602074521,1,0.025436,0.000000,0.000000,0.000000,events/second
1602074524,1,0.023627,0.000000,0.000000,0.000000,events/second
1602074527,1,0.022061,0.000000,0.000000,0.000000,events/second
1602074530,1,0.020694,0.000000,0.000000,0.000000,events/second
1602074533,1,0.019486,0.000000,0.000000,0.000000,events/second
1602074536,1,0.018411,0.000000,0.000000,0.000000,events/second
1602074539,1,0.017442,0.000000,0.000000,0.000000,events/second
1602074542,1,0.016579,0.000000,0.000000,0.000000,events/second
1602074545,1,0.015790,0.000000,0.000000,0.000000,events/second
1602074548,1,0.015075,0.000000,0.000000,0.000000,events/second
1602074551,1,0.014423,0.000000,0.000000,0.000000,events/second
1602074554,1,0.013825,0.000000,0.000000,0.000000,events/second
1602074557,1,0.013275,0.000000,0.000000,0.000000,events/second
1602074560,1,0.012766,0.000000,0.000000,0.000000,events/second
1602074563,1,0.012297,0.000000,0.000000,0.000000,events/second
1602074566,1,0.011857,0.000000,0.000000,0.000000,events/second
1602074569,1,0.011450,0.000000,0.000000,0.000000,events/second
1602074572,1,0.011070,0.000000,0.000000,0.000000,events/second
1602074575,1,0.010715,0.000000,0.000000,0.000000,events/second
1602074578,1,0.010381,0.000000,0.000000,0.000000,events/second
1602074581,1,0.010069,0.000000,0.000000,0.000000,events/second
1602074584,1,0.009772,0.000000,0.000000,0.000000,events/second
1602074587,1,0.009495,0.000000,0.000000,0.000000,events/second
1602074590,1,0.009231,0.000000,0.000000,0.000000,events/second
1602074593,1,0.008983,0.000000,0.000000,0.000000,events/second
1602074596,1,0.008748,0.000000,0.000000,0.000000,events/second
1602074599,1,0.008523,0.000000,0.000000,0.000000,events/second
1602074602,1,0.008310,0.000000,0.000000,0.000000,events/second
1602074605,1,0.008109,0.000000,0.000000,0.000000,events/second
1602074608,1,0.007915,0.000000,0.000000,0.000000,events/second
1602074611,1,0.007733,0.000000,0.000000,0.000000,events/second
1602074614,1,0.007557,0.000000,0.000000,0.000000,events/second
1602074617,1,0.007389,0.000000,0.000000,0.000000,events/second
1602074620,1,0.007230,0.000000,0.000000,0.000000,events/second
1602074623,1,0.007076,0.000000,0.000000,0.000000,events/second
1602074626,1,0.006929,0.000000,0.000000,0.000000,events/second
1602074629,1,0.006787,0.000000,0.000000,0.000000,events/second
1602074632,1,0.006652,0.000000,0.000000,0.000000,events/second
1602074635,1,0.006523,0.000000,0.000000,0.000000,events/second
1602074638,1,0.006397,0.000000,0.000000,0.000000,events/second
1602074641,1,0.006276,0.000000,0.000000,0.000000,events/second
1602074644,1,0.006160,0.000000,0.000000,0.000000,events/second
1602074647,1,0.006049,0.000000,0.000000,0.000000,events/second
1602074650,1,0.005941,0.000000,0.000000,0.000000,events/second
1602074653,1,0.005837,0.000000,0.000000,0.000000,events/second
1602074656,1,0.005736,0.000000,0.000000,0.000000,events/second
1602074659,1,0.005639,0.000000,0.000000,0.000000,events/second
1602074662,1,0.005546,0.000000,0.000000,0.000000,events/second
