t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,0,0.000000,0.000000,0.000000,0.000000,events/second
1602074488,6,0.945477,0.000000,0.000000,0.000000,events/second
1602074491,7,0.749753,0.000000,0.000000,0.000000,events/second
1602074494,8,0.648686,0.000000,0.000000,0.000000,events/second
1602074497,8,0.522112,0.000000,0.000000,0.000000,events/second
1602074500,8,0.436378,0.000000,0.000000,0.000000,events/second
1602074503,8,0.374980,0.000000,0.000000,0.000000,events/second
1602074506,8,0.328673,0.000000,0.000000,0.000000,events/second
1602074509,8,0.292631,0.000000,0.000000,0.000000,events/second
1602074512,9,0.296709,0.000000,0.000000,0.000000,events/second
1602074515,9,0.270077,0.000000,0.000000,0.000000,events/second
1602074518,9,0.247745,0.000000,0.000000,0.000000,events/second
1602074521,9,0.228917,0.000000,0.000000,0.000000,events/second
1602074524,9,0.212636,0.000000,0.000000,0.000000,events/second
1602074527,9,0.198546,0.000000,0.000000,0.000000,events/second
1602074530,9,0.186244,0.000000,0.000000,0.000000,events/second
1602074533,9,0.175370,0.000000,0.000000,0.000000,events/second
1602074536,9,0.165695,0.000000,0.000000,0.000000,events/second
1602074539,9,0.156973,0.000000,0.000000,0.000000,events/second
1602074542,9,0.149204,0.000000,0.000000,0.000000,events/second
1602074545,9,0.142109,0.000000,0.000000,0.000000,events/second
1602074548,9,0.135676,0.000000,0.000000,0.000000,events/second
1602074551,9,0.129806,0.000000,0.000000,0.000000,events/second
1602074554,9,0.124425,0.000000,0.000000,0.000000,events/second
1602074557,9,0.119470,0.000000,0.000000,0.000000,events/second
1602074560,9,0.114891,0.000000,0.000000,0.000000,events/second
1602074563,9,0.110674,0.000000,0.000000,0.000000,events/second
1602074566,9,0.106711,0.000000,0.000000,0.000000,events/second
1602074569,9,0.103050,0.000000,0.000000,0.000000,events/second
1602074572,9,0.099633,0.000000,0.000000,0.000000,events/second
1602074575,9,0.096430,0.000000,0.000000,0.000000,events/second
1602074578,9,0.093429,0.000000,0.000000,0.000000,events/second
1602074581,9,0.090622,0.000000,0.000000,0.000000,events/second
1602074584,9,0.087951,0.000000,0.000000,0.000000,events/second
1602074587,9,0.085453,0.000000,0.000000,0.000000,events/second
