t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,49152,15556.654588,0.000000,0.000000,0.000000,events/second
1602074488,49152,8136.619186,0.000000,0.000000,0.000000,events/second
1602074491,49152,5442.312572,0.000000,0.000000,0.000000,events/second
1602074494,49152,4086.847777,0.000000,0.000000,0.000000,events/second
1602074497,49152,3273.037774,0.000000,0.000000,0.000000,events/second
1602074500,49152,2726.586451,0.000000,0.000000,0.000000,events/second
1602074503,49152,2337.383560,0.000000,0.000000,0.000000,events/second
1602074506,49152,2045.023256,0.000000,0.000000,0.000000,events/second
1602074509,49152,1818.231966,0.000000,0.000000,0.000000,events/second
1602074512,49152,1636.931193,0.000000,0.000000,0.000000,events/second
1602074515,49152,1488.626423,0.000000,0.000000,0.000000,events/second
1602074518,49152,1364.496817,0.000000,0.000000,0.000000,events/second
1602074521,49152,1259.993201,0.000000,0.000000,0.000000,events/second
1602074524,49152,1169.728428,0.000000,0.000000,0.000000,events/second
1602074527,49152,1091.693004,0.000000,0.000000,0.000000,events/second
1602074530,49152,1023.615946,0.000000,0.000000,0.000000,events/second
1602074533,49152,963.498941,0.000000,0.000000,0.000000,events/second
1602074536,49152,910.037779,0.000000,0.000000,0.000000,events/second
1602074539,49152,861.881859,0.000000,0.000000,0.000000,events/second
1602074542,49152,819.003806,0.000000,0.000000,0.000000,events/second
1602074545,49152,779.871036,0.000000,0.000000,0.000000,events/second
1602074548,49152,744.401928,0.000000,0.000000,0.000000,events/second
1602074551,49152,712.055002,0.000000,0.000000,0.000000,events/second
1602074554,49152,682.414046,0.000000,0.000000,0.000000,events/second
1602074557,49152,655.127210,0.000000,0.000000,0.000000,events/second
1602074560,49152,629.919448,0.000000,0.000000,0.000000,events/second
1602074563,49152,606.708081,0.000000,0.000000,0.000000,events/second
1602074566,49152,584.899033,0.000000,0.000000,0.000000,events/second
1602074569,49152,564.769887,0.000000,0.000000,0.000000,events/second
1602074572,49152,545.979567,0.000000,0.000000,0.000000,events/second
1602074575,49152,528.369140,0.000000,0.000000,0.000000,events/second
1602074578,49152,511.869641,0.000000,0.000000,0.000000,events/second
1602074581,49152,496.447920,0.000000,0.000000,0.000000,events/second
1602074584,49152,481.767283,0.000000,0.000000,0.000000,events/second
1602074587,49152,468.046014,0.000000,0.000000,0.000000,events/second
1602074590,49152,455.000837,0.000000,0.000000,0.000000,events/second
1602074593,49152,442.766682,0.000000,0.000000,0.000000,events/second
1602074596,49152,431.123393,0.000000,0.000000,0.000000,events/second
1602074599,49152,420.001367,0.000000,0.000000,0.000000,events/second
1602074602,49152,409.493432,0.000000,0.000000,0.000000,events/second
1602074605,49152,399.578603,0.000000,0.000000,0.000000,events/second
1602074608,49152,389.995626,0.000000,0.000000,0.000000,events/second
1602074611,49152,380.997773,0.000000,0.000000,0.000000,events/second
1602074614,49152,372.295302,0.000000,0.000000,0.000000,events/second
1602074617,49152,364.021241,0.000000,0.000000,0.000000,events/second
1602074620,49152,356.140977,0.000000,0.000000,0.000000,events/second
1602074623,49152,348.536464,0.000000,0.000000,0.000000,events/second
1602074626,49152,341.276337,0.000000,0.000000,0.000000,events/second
1602074629,49152,334.300608,0.000000,0.000000,0.000000,events/second
1602074632,49152,327.625014,0.000000,0.000000,0.000000,events/second
1602074635,49152,321.238573,0.000000,0.000000,0.000000,events/second
1602074638,49152,315.028184,0.000000,0.000000,0.000000,events/second
1602074641,49152,309.084357,0.000000,0.000000,0.000000,events/second
1602074644,49152,303.363980,0.000000,0.000000,0.000000,events/second
1602074647,49152,297.850332,0.000000,0.000000,0.000000,events/second
1602074650,49152,292.527220,0.000000,0.000000,0.000000,events/second
1602074653,49152,287.397702,0.000000,0.000000,0.000000,events/second
1602074656,49152,282.444620,0.000000,0.000000,0.000000,events/second
1602074659,49152,277.653181,0.000000,0.000000,0.000000,events/second
1602074662,49152,273.059416,0.000000,0.000000,0.000000,events/second
1602074665,49152,268.551792,0.000000,0.000000,0.000000,events/second
1602074668,49152,264.222944,0.000000,0.000000,0.000000,events/second
1602074671,49152,260.051946,0.000000,0.000000,0.000000,events/second
1602074674,49152,255.967472,0.000000,0.000000,0.000000,events/second
1602074677,49152,252.030200,0.000000,0.000000,0.000000,events/second
1602074680,49152,248.211376,0.000000,0.000000,0.000000,events/second
1602074683,49152,244.505446,0.000000,0.000000,0.000000,events/second
1602074686,49152,240.922501,0.000000,0.000000,0.000000,events/second
