t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,3325786,1052317.665216,0.000000,0.000000,0.000000,events/second
1602074488,3325786,550560.015656,0.000000,0.000000,0.000000,events/second
1602074491,3325786,368245.006975,0.000000,0.000000,0.000000,events/second
1602074494,3325786,276538.253002,0.000000,0.000000,0.000000,events/second
1602074497,3325786,221468.746448,0.000000,0.000000,0.000000,events/second
1602074500,3325786,184493.629590,0.000000,0.000000,0.000000,events/second
1602074503,3325786,158157.888165,0.000000,0.000000,0.000000,events/second
1602074506,3325786,138374.705643,0.000000,0.000000,0.000000,events/second
1602074509,3325786,123028.911909,0.000000,0.000000,0.000000,events/second
1602074512,3325786,110761.503495,0.000000,0.000000,0.000000,events/second
1602074515,3325786,100726.204831,0.000000,0.000000,0.000000,events/second
1602074518,3325786,92327.153710,0.000000,0.000000,0.000000,events/second
1602074521,3325786,85256.145911,0.000000,0.000000,0.000000,events/second
1602074524,3325786,79148.388503,0.000000,0.000000,0.000000,events/second
1602074527,3325786,73868.137823,0.000000,0.000000,0.000000,events/second
1602074530,3325786,69261.724925,0.000000,0.000000,0.000000,events/second
1602074533,3325786,65194.016282,0.000000,0.000000,0.000000,events/second
1602074536,3325786,61576.606455,0.000000,0.000000,0.000000,events/second
1602074539,3325786,58318.138181,0.000000,0.000000,0.000000,events/second
1602074542,3325786,55416.771341,0.000000,0.000000,0.000000,events/second
1602074545,3325786,52768.969144,0.000000,0.000000,0.000000,events/second
1602074548,3325786,50368.981299,0.000000,0.000000,0.000000,events/second
1602074551,3325786,48180.261332,0.000000,0.000000,0.000000,events/second
1602074554,3325786,46174.636757,0.000000,0.000000,0.000000,events/second
1602074557,3325786,44328.300969,0.000000,0.000000,0.000000,events/second
1602074560,3325786,42622.642055,0.000000,0.000000,0.000000,events/second
1602074563,3325786,41052.027752,0.000000,0.000000,0.000000,events/second
1602074566,3325786,39576.294394,0.000000,0.000000,0.000000,events/second
1602074569,3325786,38214.365550,0.000000,0.000000,0.000000,events/second
1602074572,3325786,36942.941340,0.000000,0.000000,0.000000,events/second
1602074575,3325786,35751.348260,0.000000,0.000000,0.000000,events/second
1602074578,3325786,34634.922707,0.000000,0.000000,0.000000,events/second
1602074581,3325786,33591.435993,0.000000,0.000000,0.000000,events/second
1602074584,3325786,32598.089277,0.000000,0.000000,0.000000,events/second
1602074587,3325786,31669.633396,0.000000,0.000000,0.000000,events/second
1602074590,3325786,30786.965225,0.000000,0.000000,0.000000,events/second
1602074593,3325786,29959.160227,0.000000,0.000000,0.000000,events/second
1602074596,3325786,29171.320381,0.000000,0.000000,0.000000,events/second
1602074599,3325786,28418.769942,0.000000,0.000000,0.000000,events/second
1602074602,3325786,27707.767124,0.000000,0.000000,0.000000,events/second
1602074605,3325786,27036.893089,0.000000,0.000000,0.000000,events/second
1602074608,3325786,26388.433893,0.000000,0.000000,0.000000,events/second
1602074611,3325786,25779.640782,0.000000,0.000000,0.000000,events/second
1602074614,3325786,25190.795268,0.000000,0.000000,0.000000,events/second
1602074617,3325786,24630.947910,0.000000,0.000000,0.000000,events/second
1602074620,3325786,24097.736931,0.000000,0.000000,0.000000,events/second
1602074623,3325786,23583.191408,0.000000,0.000000,0.000000,events/second
1602074626,3325786,23091.928092,0.000000,0.000000,0.000000,events/second
1602074629,3325786,22619.938491,0.000000,0.000000,0.000000,events/second
1602074632,3325786,22168.246024,0.000000,0.000000,0.000000,events/second
1602074635,3325786,21736.113757,0.000000,0.000000,0.000000,events/second
1602074638,3325786,21315.898181,0.000000,0.000000,0.000000,events/second
1602074641,3325786,20913.716065,0.000000,0.000000,0.000000,events/second
1602074644,3325786,20526.656262,0.000000,0.000000,0.000000,events/second
1602074647,3325786,20153.580993,0.000000,0.000000,0.000000,events/second
1602074650,3325786,19793.401783,0.000000,0.000000,0.000000,events/second
1602074653,3325786,19446.319577,0.000000,0.000000,0.000000,events/second
1602074656,3325786,19111.171165,0.000000,0.000000,0.000000,events/second
1602074659,3325786,18786.970591,0.000000,0.000000,0.000000,events/second
