t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,406,128.071520,0.000000,0.000000,0.000000,events/second
1602074488,406,67.137144,0.000000,0.000000,0.000000,events/second
1602074491,406,44.921409,0.000000,0.000000,0.000000,events/second
1602074494,406,33.742176,0.000000,0.000000,0.000000,events/second
1602074497,406,27.025333,0.000000,0.000000,0.000000,events/second
1602074500,406,22.514829,0.000000,0.000000,0.000000,events/second
1602074503,406,19.300717,0.000000,0.000000,0.000000,events/second
1602074506,406,16.887912,0.000000,0.000000,0.000000,events/second
1602074509,406,15.015389,0.000000,0.000000,0.000000,events/second
1602074512,406,13.518726,0.000000,0.000000,0.000000,events/second
1602074515,406,12.294052,0.000000,0.000000,0.000000,events/second
1602074518,406,11.269067,0.000000,0.000000,0.000000,events/second
1602074521,406,10.406182,0.000000,0.000000,0.000000,events/second
1602074524,406,9.660789,0.000000,0.000000,0.000000,events/second
1602074527,406,9.016375,0.000000,0.000000,0.000000,events/second
1602074530,406,8.454181,0.000000,0.000000,0.000000,events/second
1602074533,406,7.957737,0.000000,0.000000,0.000000,events/second
1602074536,406,7.516188,0.000000,0.000000,0.000000,events/second
1602074539,406,7.118535,0.000000,0.000000,0.000000,events/second
1602074542,406,6.764365,0.000000,0.000000,0.000000,events/second
1602074545,406,6.441237,0.000000,0.000000,0.000000,events/second
1602074548,406,6.148317,0.000000,0.000000,0.000000,events/second
1602074551,406,5.881173,0.000000,0.000000,0.000000,events/second
1602074554,406,5.636371,0.000000,0.000000,0.000000,events/second
1602074557,406,5.411018,0.000000,0.000000,0.000000,events/second
1602074560,406,5.202824,0.000000,0.000000,0.000000,events/second
1602074563,406,5.011108,0.000000,0.000000,0.000000,events/second
1602074566,406,4.830961,0.000000,0.000000,0.000000,events/second
1602074569,406,4.664758,0.000000,0.000000,0.000000,events/second
1602074572,406,4.509564,0.000000,0.000000,0.000000,events/second
1602074575,406,4.364121,0.000000,0.000000,0.000000,events/second
1602074578,406,4.227848,0.000000,0.000000,0.000000,events/second
1602074581,406,4.100479,0.000000,0.000000,0.000000,events/second
1602074584,406,3.979226,0.000000,0.000000,0.000000,events/second
1602074587,406,3.865893,0.000000,0.000000,0.000000,events/second
1602074590,406,3.758157,0.000000,0.000000,0.000000,events/second
1602074593,406,3.657114,0.000000,0.000000,0.000000,events/second
1602074596,406,3.560947,0.000000,0.000000,0.000000,events/second
1602074599,406,3.469087,0.000000,0.000000,0.000000,events/second
