t,value
1602074485,0.0
1602074488,1.0
1602074491,1.0
1602074494,1.0
1602074497,1.0
1602074500,1.0
1602074503,1.0
1602074506,1.0
1602074509,1.0
1602074512,1.0
1602074515,1.0
1602074518,1.0
1602074521,1.0
1602074524,1.0
1602074527,1.0
1602074530,1.0
1602074533,1.0
1602074536,1.0
1602074539,1.0
1602074542,1.0
1602074545,1.0
1602074548,1.0
1602074551,1.0
1602074554,1.0
1602074557,1.0
1602074560,1.0
1602074563,1.0
1602074566,1.0
1602074569,1.0
1602074572,1.0
1602074575,1.0
1602074578,1.0
1602074581,1.0
1602074584,1.0
1602074587,1.0
1602074590,1.0
1602074593,1.0
1602074596,1.0
1602074599,1.0
1602074602,1.0
1602074605,1.0
1602074608,1.0
1602074611,1.0
1602074614,1.0
1602074617,1.0
1602074620,1.0
1602074623,1.0
1602074626,1.0
1602074629,1.0
1602074632,1.0
1602074635,1.0
1602074638,1.0
1602074641,1.0
1602074644,1.0
1602074647,1.0
1602074650,1.0
1602074653,1.0
1602074656,1.0
1602074659,1.0
1602074662,1.0
1602074665,1.0
1602074668,1.0
1602074671,1.0
1602074674,1.0
1602074677,1.0
1602074680,1.0
1602074683,1.0
1602074686,1.0
1602074689,1.0
1602074692,1.0
1602074695,1.0
1602074698,1.0
1602074701,1.0
1602074704,1.0
1602074707,1.0
1602074710,1.0
1602074713,1.0
1602074716,1.0
1602074719,1.0
1602074722,1.0
1602074725,1.0
1602074728,1.0
1602074731,1.0
1602074734,1.0
1602074737,1.0
1602074740,1.0
1602074743,1.0
1602074746,1.0
1602074749,1.0
1602074752,1.0
1602074755,1.0
1602074758,1.0
1602074761,1.0
1602074764,1.0
1602074767,1.0
1602074770,1.0
1602074773,1.0
1602074776,1.0
1602074779,1.0
1602074782,1.0
1602074785,1.0
1602074788,1.0
1602074791,1.0
1602074794,1.0
1602074797,1.0
1602074800,1.0
1602074803,1.0
1602074806,1.0
1602074809,1.0
1602074812,1.0
1602074815,1.0
1602074818,1.0
1602074821,1.0
1602074824,1.0
1602074827,1.0
1602074830,1.0
1602074833,1.0
1602074836,1.0
1602074839,1.0
1602074842,1.0
1602074845,1.0
1602074848,1.0
1602074851,1.0
1602074854,1.0
1602074857,1.0
1602074860,1.0
1602074863,1.0
1602074866,1.0
1602074869,1.0
1602074872,1.0
1602074875,1.0
1602074878,1.0
1602074881,1.0
1602074884,1.0
1602074887,1.0
1602074890,1.0
1602074893,1.0
1602074896,1.0
1602074899,1.0
1602074902,1.0
1602074905,1.0
1602074908,1.0
1602074911,1.0
1602074914,1.0
1602074917,1.0
1602074920,1.0
1602074923,1.0
1602074926,1.0
1602074929,1.0
1602074932,1.0
1602074935,1.0
1602074938,1.0
1602074941,1.0
1602074944,1.0
1602074947,1.0
1602074950,1.0
1602074953,1.0
1602074956,1.0
1602074959,1.0
1602074962,1.0
1602074965,1.0
1602074968,1.0
1602074971,1.0
1602074974,1.0
1602074977,1.0
1602074980,1.0
1602074983,1.0
1602074986,1.0
1602074989,1.0
1602074992,1.0
1602074995,1.0
1602074998,1.0
1602075001,1.0
1602075004,1.0
1602075007,1.0
1602075010,1.0
1602075013,1.0
1602075016,1.0
1602075019,1.0
1602075022,1.0
1602075025,1.0
1602075028,1.0
1602075031,1.0
1602075034,1.0
1602075037,1.0
1602075040,1.0
1602075043,1.0
1602075046,1.0
1602075049,1.0
1602075052,1.0
1602075055,1.0
1602075058,1.0
1602075061,1.0
1602075064,1.0
1602075067,1.0
1602075070,1.0
1602075073,1.0
1602075076,1.0
1602075079,1.0
1602075082,1.0
1602075085,1.0
1602075088,1.0
1602075091,1.0
1602075094,1.0
1602075097,1.0
1602075100,1.0
1602075103,1.0
1602075106,1.0
1602075109,1.0
1602075112,1.0
1602075115,1.0
1602075118,1.0
1602075121,1.0
1602075124,1.0
1602075127,1.0
1602075130,1.0
1602075133,1.0
1602075136,1.0
1602075139,1.0
1602075142,1.0
1602075145,1.0
1602075148,1.0
1602075151,1.0
1602075154,1.0
1602075157,1.0
1602075160,1.0
1602075163,1.0
1602075166,1.0
1602075169,1.0
1602075172,1.0
1602075175,1.0
1602075178,1.0
1602075181,1.0
1602075184,1.0
1602075187,1.0
1602075190,1.0
1602075193,1.0
1602075196,1.0
1602075199,1.0
1602075202,1.0
1602075205,1.0
1602075208,1.0
1602075211,1.0
1602075214,1.0
1602075217,1.0
1602075220,1.0
1602075223,1.0
1602075226,1.0
1602075229,1.0
1602075232,1.0
1602075235,1.0
1602075238,1.0
1602075241,1.0
1602075244,1.0
1602075247,1.0
