t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,1621,511.074360,0.000000,0.000000,0.000000,events/second
1602074488,1632,269.802651,0.000000,0.000000,0.000000,events/second
1602074491,1638,181.223283,0.000000,0.000000,0.000000,events/second
1602074494,1664,138.288218,0.000000,0.000000,0.000000,events/second
1602074497,1666,110.893982,0.000000,0.000000,0.000000,events/second
1602074500,1668,92.497015,0.000000,0.000000,0.000000,events/second
1602074503,1670,79.388086,0.000000,0.000000,0.000000,events/second
1602074506,1672,69.546945,0.000000,0.000000,0.000000,events/second
1602074509,1674,61.909615,0.000000,0.000000,0.000000,events/second
1602074512,1698,56.538239,0.000000,0.000000,0.000000,events/second
1602074515,1700,51.476962,0.000000,0.000000,0.000000,events/second
1602074518,1702,47.240558,0.000000,0.000000,0.000000,events/second
1602074521,1704,43.674802,0.000000,0.000000,0.000000,events/second
1602074524,1706,40.593988,0.000000,0.000000,0.000000,events/second
1602074527,1708,37.930643,0.000000,0.000000,0.000000,events/second
1602074530,1710,35.607213,0.000000,0.000000,0.000000,events/second
1602074533,1752,34.339508,0.000000,0.000000,0.000000,events/second
1602074536,1754,32.471195,0.000000,0.000000,0.000000,events/second
1602074539,1756,30.788345,0.000000,0.000000,0.000000,events/second
1602074542,1983,33.038516,0.000000,0.000000,0.000000,events/second
1602074545,1985,31.492067,0.000000,0.000000,0.000000,events/second
1602074548,1987,30.090246,0.000000,0.000000,0.000000,events/second
1602074551,2009,29.101516,0.000000,0.000000,0.000000,events/second
1602074554,2011,27.917931,0.000000,0.000000,0.000000,events/second
1602074557,2013,26.828393,0.000000,0.000000,0.000000,events/second
1602074560,2015,25.821782,0.000000,0.000000,0.000000,events/second
1602074563,2017,24.894951,0.000000,0.000000,0.000000,events/second
1602074566,2111,25.118453,0.000000,0.000000,0.000000,events/second
1602074569,2113,24.277326,0.000000,0.000000,0.000000,events/second
1602074572,2136,23.725102,0.000000,0.000000,0.000000,events/second
1602074575,2138,22.981419,0.000000,0.000000,0.000000,events/second
1602074578,2140,22.284634,0.000000,0.000000,0.000000,events/second
1602074581,2163,21.845569,0.000000,0.000000,0.000000,events/second
1602074584,2237,21.924874,0.000000,0.000000,0.000000,events/second
