t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,66,20.795728,0.000000,0.000000,0.000000,events/second
1602074488,66,10.908030,0.000000,0.000000,0.000000,events/second
1602074491,66,7.301022,0.000000,0.000000,0.000000,events/second
1602074494,66,5.484503,0.000000,0.000000,0.000000,events/second
1602074497,66,4.392846,0.000000,0.000000,0.000000,events/second
1602074500,66,3.659723,0.000000,0.000000,0.000000,events/second
1602074503,66,3.137329,0.000000,0.000000,0.000000,events/second
1602074506,66,2.745139,0.000000,0.000000,0.000000,events/second
1602074509,66,2.440776,0.000000,0.000000,0.000000,events/second
1602074512,66,2.197523,0.000000,0.000000,0.000000,events/second
1602074515,66,1.998447,0.000000,0.000000,0.000000,events/second
1602074518,66,1.831833,0.000000,0.000000,0.000000,events/second
1602074521,66,1.691582,0.000000,0.000000,0.000000,events/second
1602074524,66,1.570419,0.000000,0.000000,0.000000,events/second
1602074527,66,1.465670,0.000000,0.000000,0.000000,events/second
1602074530,66,1.374283,0.000000,0.000000,0.000000,events/second
1602074533,66,1.293583,0.000000,0.000000,0.000000,events/second
1602074536,66,1.221810,0.000000,0.000000,0.000000,events/second
1602074539,66,1.157171,0.000000,0.000000,0.000000,events/second
1602074542,66,1.099597,0.000000,0.000000,0.000000,events/second
1602074545,66,1.047073,0.000000,0.000000,0.000000,events/second
1602074548,66,0.999459,0.000000,0.000000,0.000000,events/second
1602074551,66,0.956033,0.000000,0.000000,0.000000,events/second
1602074554,66,0.916239,0.000000,0.000000,0.000000,events/second
1602074557,66,0.879607,0.000000,0.000000,0.000000,events/second
1602074560,66,0.845764,0.000000,0.000000,0.000000,events/second
1602074563,66,0.814598,0.000000,0.000000,0.000000,events/second
1602074566,66,0.785312,0.000000,0.000000,0.000000,events/second
1602074569,66,0.758298,0.000000,0.000000,0.000000,events/second
1602074572,66,0.733071,0.000000,0.000000,0.000000,events/second
1602074575,66,0.709428,0.000000,0.000000,0.000000,events/second
1602074578,66,0.687276,0.000000,0.000000,0.000000,events/second
1602074581,66,0.666571,0.000000,0.000000,0.000000,events/second
1602074584,66,0.646860,0.000000,0.000000,0.000000,events/second
1602074587,66,0.628437,0.000000,0.000000,0.000000,events/second
1602074590,66,0.610924,0.000000,0.000000,0.000000,events/second
1602074593,66,0.594499,0.000000,0.000000,0.000000,events/second
1602074596,66,0.578866,0.000000,0.000000,0.000000,events/second
1602074599,66,0.563933,0.000000,0.000000,0.000000,events/second
1602074602,66,0.549825,0.000000,0.000000,0.000000,events/second
1602074605,66,0.536513,0.000000,0.000000,0.000000,events/second
1602074608,66,0.523643,0.000000,0.000000,0.000000,events/second
1602074611,66,0.511566,0.000000,0.000000,0.000000,events/second
1602074614,66,0.499882,0.000000,0.000000,0.000000,events/second
1602074617,66,0.488773,0.000000,0.000000,0.000000,events/second
1602074620,66,0.478193,0.000000,0.000000,0.000000,events/second
1602074623,66,0.467983,0.000000,0.000000,0.000000,events/second
1602074626,66,0.458234,0.000000,0.000000,0.000000,events/second
1602074629,66,0.448869,0.000000,0.000000,0.000000,events/second
1602074632,66,0.439906,0.000000,0.000000,0.000000,events/second
1602074635,66,0.431331,0.000000,0.000000,0.000000,events/second
1602074638,66,0.422993,0.000000,0.000000,0.000000,events/second
1602074641,66,0.415012,0.000000,0.000000,0.000000,events/second
1602074644,66,0.407332,0.000000,0.000000,0.000000,events/second
1602074647,66,0.399929,0.000000,0.000000,0.000000,events/second
1602074650,66,0.392782,0.000000,0.000000,0.000000,events/second
1602074653,66,0.385894,0.000000,0.000000,0.000000,events/second
1602074656,66,0.379244,0.000000,0.000000,0.000000,events/second
1602074659,66,0.372811,0.000000,0.000000,0.000000,events/second
1602074662,66,0.366643,0.000000,0.000000,0.000000,events/second
