t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,1687,531.388742,0.000000,0.000000,0.000000,events/second
1602074488,1698,280.631647,0.000000,0.000000,0.000000,events/second
1602074491,1704,188.500273,0.000000,0.000000,0.000000,events/second
1602074494,1730,143.763249,0.000000,0.000000,0.000000,events/second
1602074497,1732,115.281130,0.000000,0.000000,0.000000,events/second
1602074500,1734,96.152153,0.000000,0.000000,0.000000,events/second
1602074503,1736,82.522406,0.000000,0.000000,0.000000,events/second
1602074506,1738,72.289235,0.000000,0.000000,0.000000,events/second
1602074509,1740,64.348253,0.000000,0.000000,0.000000,events/second
1602074512,1764,58.734315,0.000000,0.000000,0.000000,events/second
1602074515,1766,53.474053,0.000000,0.000000,0.000000,events/second
1602074518,1768,49.071235,0.000000,0.000000,0.000000,events/second
1602074521,1770,45.365460,0.000000,0.000000,0.000000,events/second
1602074524,1772,42.163673,0.000000,0.000000,0.000000,events/second
1602074527,1774,39.395713,0.000000,0.000000,0.000000,events/second
1602074530,1776,36.980959,0.000000,0.000000,0.000000,events/second
1602074533,1818,35.632560,0.000000,0.000000,0.000000,events/second
1602074536,1820,33.692464,0.000000,0.000000,0.000000,events/second
1602074539,1822,31.945074,0.000000,0.000000,0.000000,events/second
1602074542,2049,34.137616,0.000000,0.000000,0.000000,events/second
1602074545,2051,32.538763,0.000000,0.000000,0.000000,events/second
1602074548,2053,31.089374,0.000000,0.000000,0.000000,events/second
1602074551,2075,30.057245,0.000000,0.000000,0.000000,events/second
1602074554,2077,28.833892,0.000000,0.000000,0.000000,events/second
1602074557,2079,27.707747,0.000000,0.000000,0.000000,events/second
1602074560,2081,26.667288,0.000000,0.000000,0.000000,events/second
1602074563,2083,25.709283,0.000000,0.000000,0.000000,events/second
1602074566,2177,25.903439,0.000000,0.000000,0.000000,events/second
1602074569,2179,25.035410,0.000000,0.000000,0.000000,events/second
1602074572,2202,24.457987,0.000000,0.000000,0.000000,events/second
1602074575,2204,23.690670,0.000000,0.000000,0.000000,events/second
1602074578,2206,22.971740,0.000000,0.000000,0.000000,events/second
1602074581,2229,22.511984,0.000000,0.000000,0.000000,events/second
1602074584,2303,22.571575,0.000000,0.000000,0.000000,events/second
1602074587,2305,21.947748,0.000000,0.000000,0.000000,events/second
1602074590,2334,21.604540,0.000000,0.000000,0.000000,events/second
1602074593,2356,21.221862,0.000000,0.000000,0.000000,events/second
1602074596,2358,20.681367,0.000000,0.000000,0.000000,events/second
1602074599,2360,20.164948,0.000000,0.000000,0.000000,events/second
1602074602,2587,21.551545,0.000000,0.000000,0.000000,events/second
1602074605,2589,21.046011,0.000000,0.000000,0.000000,events/second
1602074608,2613,20.731504,0.000000,0.000000,0.000000,events/second
1602074611,2637,20.439422,0.000000,0.000000,0.000000,events/second
1602074614,2639,19.987755,0.000000,0.000000,0.000000,events/second
1602074617,2641,19.558370,0.000000,0.000000,0.000000,events/second
1602074620,2643,19.149481,0.000000,0.000000,0.000000,events/second
1602074623,2645,18.754812,0.000000,0.000000,0.000000,events/second
1602074626,2647,18.378007,0.000000,0.000000,0.000000,events/second
1602074629,2649,18.015996,0.000000,0.000000,0.000000,events/second
1602074632,2673,17.816225,0.000000,0.000000,0.000000,events/second
1602074635,2675,17.482015,0.000000,0.000000,0.000000,events/second
1602074638,2677,17.156884,0.000000,0.000000,0.000000,events/second
1602074641,2679,16.845760,0.000000,0.000000,0.000000,events/second
