t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,1686,530.741284,0.000000,0.000000,0.000000,events/second
1602074488,1697,280.452511,0.000000,0.000000,0.000000,events/second
1602074491,1703,188.378473,0.000000,0.000000,0.000000,events/second
1602074494,1729,143.679592,0.000000,0.000000,0.000000,events/second
1602074497,1731,115.214334,0.000000,0.000000,0.000000,events/second
1602074500,1733,96.096768,0.000000,0.000000,0.000000,events/second
1602074503,1735,82.475039,0.000000,0.000000,0.000000,events/second
1602074506,1737,72.247454,0.000000,0.000000,0.000000,events/second
1602074509,1739,64.311173,0.000000,0.000000,0.000000,events/second
1602074512,1763,58.701144,0.000000,0.000000,0.000000,events/second
1602074515,1765,53.443840,0.000000,0.000000,0.000000,events/second
1602074518,1767,49.043391,0.000000,0.000000,0.000000,events/second
1602074521,1769,45.339886,0.000000,0.000000,0.000000,events/second
1602074524,1771,42.139894,0.000000,0.000000,0.000000,events/second
1602074527,1773,39.373561,0.000000,0.000000,0.000000,events/second
1602074530,1775,36.960181,0.000000,0.000000,0.000000,events/second
1602074533,1817,35.613006,0.000000,0.000000,0.000000,events/second
1602074536,1819,33.673981,0.000000,0.000000,0.000000,events/second
1602074539,1821,31.927547,0.000000,0.000000,0.000000,events/second
1602074542,2048,34.120886,0.000000,0.000000,0.000000,events/second
1602074545,2050,32.522931,0.000000,0.000000,0.000000,events/second
1602074548,2052,31.074240,0.000000,0.000000,0.000000,events/second
1602074551,2074,30.042787,0.000000,0.000000,0.000000,events/second
1602074554,2076,28.820035,0.000000,0.000000,0.000000,events/second
1602074557,2078,27.694445,0.000000,0.000000,0.000000,events/second
1602074560,2080,26.654485,0.000000,0.000000,0.000000,events/second
1602074563,2082,25.696937,0.000000,0.000000,0.000000,events/second
1602074566,2176,25.891498,0.000000,0.000000,0.000000,events/second
1602074569,2178,25.023939,0.000000,0.000000,0.000000,events/second
1602074572,2201,24.446899,0.000000,0.000000,0.000000,events/second
1602074575,2203,23.679938,0.000000,0.000000,0.000000,events/second
1602074578,2205,22.961327,0.000000,0.000000,0.000000,events/second
1602074581,2228,22.501900,0.000000,0.000000,0.000000,events/second
1602074584,2302,22.561790,0.000000,0.000000,0.000000,events/second
1602074587,2304,21.938240,0.000000,0.000000,0.000000,events/second
1602074590,2333,21.595294,0.000000,0.000000,0.000000,events/second
1602074593,2355,21.212860,0.000000,0.000000,0.000000,events/second
1602074596,2357,20.672599,0.000000,0.000000,0.000000,events/second
1602074599,2359,20.156414,0.000000,0.000000,0.000000,events/second
1602074602,2586,21.543227,0.000000,0.000000,0.000000,events/second
1602074605,2588,21.037895,0.000000,0.000000,0.000000,events/second
1602074608,2612,20.723552,0.000000,0.000000,0.000000,events/second
1602074611,2636,20.431678,0.000000,0.000000,0.000000,events/second
1602074614,2638,19.980191,0.000000,0.000000,0.000000,events/second
1602074617,2640,19.550975,0.000000,0.000000,0.000000,events/second
1602074620,2642,19.142243,0.000000,0.000000,0.000000,events/second
1602074623,2644,18.747731,0.000000,0.000000,0.000000,events/second
1602074626,2646,18.371071,0.000000,0.000000,0.000000,events/second
1602074629,2648,18.009202,0.000000,0.000000,0.000000,events/second
1602074632,2672,17.809568,0.000000,0.000000,0.000000,events/second
1602074635,2674,17.475487,0.000000,0.000000,0.000000,events/second
1602074638,2676,17.150482,0.000000,0.000000,0.000000,events/second
1602074641,2678,16.839479,0.000000,0.000000,0.000000,events/second
1602074644,2680,16.540186,0.000000,0.000000,0.000000,events/second
1602074647,2682,16.251680,0.000000,0.000000,0.000000,events/second
1602074650,2684,15.973165,0.000000,0.000000,0.000000,events/second
1602074653,2708,15.833387,0.000000,0.000000,0.000000,events/second
1602074656,2710,15.572019,0.000000,0.000000,0.000000,events/second
1602074659,2712,15.319166,0.000000,0.000000,0.000000,events/second
1602074662,2939,16.326758,0.000000,0.000000,0.000000,events/second
1602074665,2941,16.068170,0.000000,0.000000,0.000000,events/second
1602074668,2943,15.819918,0.000000,0.000000,0.000000,events/second
1602074671,2967,15.697135,0.000000,0.000000,0.000000,events/second
1602074674,2969,15.461025,0.000000,0.000000,0.000000,events/second
1602074677,2971,15.233485,0.000000,0.000000,0.000000,events/second
1602074680,2973,15.012781,0.000000,0.000000,0.000000,events/second
1602074683,2975,14.798587,0.000000,0.000000,0.000000,events/second
1602074686,2977,14.591522,0.000000,0.000000,0.000000,events/second
1602074689,2979,14.389057,0.000000,0.000000,0.000000,events/second
1602074692,2981,14.194011,0.000000,0.000000,0.000000,events/second
1602074695,2983,14.002891,0.000000,0.000000,0.000000,events/second
1602074698,2985,13.818271,0.000000,0.000000,0.000000,events/second
1602074701,2987,13.637947,0.000000,0.000000,0.000000,events/second
1602074704,2989,13.461741,0.000000,0.000000,0.000000,events/second
1602074707,2991,13.292510,0.000000,0.000000,0.000000,events/second
1602074710,2993,13.125957,0.000000,0.000000,0.000000,events/second
1602074713,2995,12.964566,0.000000,0.000000,0.000000,events/second
1602074716,2997,12.806643,0.000000,0.000000,0.000000,events/second
1602074719,2999,12.653207,0.000000,0.000000,0.000000,events/second
1602074722,3226,13.440883,0.000000,0.000000,0.000000,events/second
1602074725,3228,13.283201,0.000000,0.000000,0.000000,events/second
1602074728,3230,13.128365,0.000000,0.000000,0.000000,events/second
1602074731,3232,12.978962,0.000000,0.000000,0.000000,events/second
1602074734,3234,12.832644,0.000000,0.000000,0.000000,events/second
1602074737,3236,12.688721,0.000000,0.000000,0.000000,events/second
1602074740,3238,12.548908,0.000000,0.000000,0.000000,events/second
1602074743,3240,12.412349,0.000000,0.000000,0.000000,events/second
1602074746,3242,12.278941,0.000000,0.000000,0.000000,events/second
1602074749,3244,12.148188,0.000000,0.000000,0.000000,events/second
1602074752,3246,12.020896,0.000000,0.000000,0.000000,events/second
1602074755,3248,11.896108,0.000000,0.000000,0.000000,events/second
1602074758,3250,11.774056,0.000000,0.000000,0.000000,events/second
1602074761,3252,11.655340,0.000000,0.000000,0.000000,events/second
1602074764,3254,11.537738,0.000000,0.000000,0.000000,events/second
1602074767,3256,11.423389,0.000000,0.000000,0.000000,events/second
1602074770,3258,11.311373,0.000000,0.000000,0.000000,events/second
1602074773,3260,11.202319,0.000000,0.000000,0.000000,events/second
1602074776,3262,11.094765,0.000000,0.000000,0.000000,events/second
1602074779,3264,10.989431,0.000000,0.000000,0.000000,events/second
1602074782,3491,11.636110,0.000000,0.000000,0.000000,events/second
1602074785,3493,11.527515,0.000000,0.000000,0.000000,events/second
1602074788,3495,11.421078,0.000000,0.000000,0.000000,events/second
1602074791,3497,11.316107,0.000000,0.000000,0.000000,events/second
1602074794,3499,11.214206,0.000000,0.000000,0.000000,events/second
1602074797,3501,11.113825,0.000000,0.000000,0.000000,events/second
1602074800,3503,11.014673,0.000000,0.000000,0.000000,events/second
1602074803,3505,10.917993,0.000000,0.000000,0.000000,events/second
1602074806,3507,10.823050,0.000000,0.000000,0.000000,events/second
1602074809,3509,10.729809,0.000000,0.000000,0.000000,events/second
1602074812,3511,10.638416,0.000000,0.000000,0.000000,events/second
1602074815,3513,10.548668,0.000000,0.000000,0.000000,events/second
1602074818,3515,10.460341,0.000000,0.000000,0.000000,events/second
1602074821,3517,10.373696,0.000000,0.000000,0.000000,events/second
