t,value
1602074485,12
1602074488,12
1602074491,12
1602074494,12
1602074497,12
1602074500,12
1602074503,12
1602074506,12
1602074509,12
1602074512,12
1602074515,12
1602074518,12
1602074521,12
1602074524,12
1602074527,12
1602074530,12
1602074533,12
1602074536,12
1602074539,12
1602074542,12
1602074545,12
1602074548,12
1602074551,12
1602074554,12
1602074557,12
1602074560,12
1602074563,12
1602074566,12
1602074569,12
1602074572,12
1602074575,12
1602074578,12
1602074581,12
1602074584,12
1602074587,12
1602074590,12
1602074593,12
1602074596,12
1602074599,12
1602074602,12
1602074605,12
1602074608,12
1602074611,12
1602074614,12
1602074617,12
1602074620,12
1602074623,12
1602074626,12
1602074629,12
1602074632,12
1602074635,12
1602074638,12
1602074641,12
1602074644,12
1602074647,12
1602074650,12
1602074653,12
1602074656,12
1602074659,12
1602074662,12
1602074665,12
1602074668,12
1602074671,12
1602074674,12
1602074677,12
1602074680,12
1602074683,12
1602074686,12
1602074689,12
1602074692,12
1602074695,12
1602074698,12
1602074701,12
1602074704,12
1602074707,12
1602074710,12
1602074713,12
1602074716,12
1602074719,12
1602074722,12
1602074725,12
1602074728,12
1602074731,12
1602074734,12
1602074737,12
1602074740,12
1602074743,12
1602074746,12
1602074749,12
1602074752,12
1602074755,12
1602074758,12
1602074761,12
1602074764,12
1602074767,12
1602074770,12
1602074773,12
1602074776,12
1602074779,12
1602074782,12
1602074785,12
1602074788,12
1602074791,12
1602074794,12
1602074797,12
1602074800,12
1602074803,12
1602074806,12
1602074809,12
1602074812,12
1602074815,12
1602074818,12
1602074821,12
1602074824,12
1602074827,12
1602074830,12
1602074833,12
1602074836,12
1602074839,12
1602074842,12
1602074845,12
1602074848,12
1602074851,12
1602074854,12
1602074857,12
1602074860,12
1602074863,12
1602074866,12
1602074869,12
1602074872,12
1602074875,12
1602074878,12
1602074881,12
1602074884,12
1602074887,12
1602074890,12
1602074893,12
1602074896,12
1602074899,12
1602074902,12
1602074905,12
1602074908,12
1602074911,12
1602074914,12
1602074917,12
1602074920,12
1602074923,12
1602074926,12
1602074929,12
1602074932,12
1602074935,12
1602074938,12
1602074941,12
1602074944,12
1602074947,12
1602074950,12
1602074953,12
1602074956,12
1602074959,12
1602074962,12
1602074965,12
1602074968,12
1602074971,12
1602074974,12
1602074977,12
1602074980,12
1602074983,12
1602074986,12
1602074989,12
1602074992,12
1602074995,12
1602074998,12
1602075001,12
1602075004,12
1602075007,12
1602075010,12
1602075013,12
1602075016,12
1602075019,12
1602075022,12
1602075025,12
1602075028,12
1602075031,12
1602075034,12
1602075037,12
1602075040,12
1602075043,12
1602075046,12
1602075049,12
1602075052,12
1602075055,12
1602075058,12
1602075061,12
1602075064,12
1602075067,12
1602075070,12
1602075073,12
1602075076,12
1602075079,12
1602075082,12
1602075085,12
1602075088,12
1602075091,12
1602075094,12
1602075097,12
1602075100,12
1602075103,12
1602075106,12
1602075109,12
1602075112,12
1602075115,12
1602075118,12
1602075121,12
1602075124,12
1602075127,12
1602075130,12
1602075133,12
1602075136,12
1602075139,12
1602075142,12
1602075145,12
1602075148,12
1602075151,12
1602075154,12
1602075157,12
1602075160,12
1602075163,12
1602075166,12
1602075169,12
1602075172,12
1602075175,12
1602075178,12
1602075181,12
1602075184,12
1602075187,12
1602075190,12
1602075193,12
1602075196,12
1602075199,12
1602075202,12
1602075205,12
1602075208,12
1602075211,12
1602075214,12
1602075217,12
1602075220,12
1602075223,12
1602075226,12
1602075229,12
1602075232,12
1602075235,12
1602075238,12
1602075241,12
1602075244,12
1602075247,12
1602075250,12
1602075253,12
1602075256,12
1602075259,12
1602075262,12
1602075265,12
1602075268,12
1602075271,12
1602075274,12
1602075277,12
1602075280,12
1602075283,12
1602075286,12
1602075289,12
1602075292,12
1602075295,12
1602075298,12
1602075301,12
1602075304,12
1602075307,12
1602075310,12
1602075313,12
1602075316,12
1602075319,12
1602075322,12
1602075325,12
1602075328,12
1602075331,12
1602075334,12
1602075337,12
1602075340,12
1602075343,12
t,value
1602076335,12
1602076338,12
1602076341,12
1602076344,12
1602076347,12
1602076350,12
1602076353,12
1602076356,12
1602076359,12
1602076362,12
1602076365,12
1602076368,12
1602076371,12
1602076374,12
1602076377,12
1602076380,12
1602076383,12
1602076386,12
1602076389,12
1602076392,12
1602076395,12
1602076398,12
1602076401,12
1602076404,12
1602076407,12
1602076410,12
1602076413,12
1602076416,12
1602076419,12
1602076422,12
1602076425,12
1602076428,12
1602076431,12
1602076434,12
1602076437,12
1602076440,12
1602076443,12
1602076446,12
1602076449,12
1602076452,12
1602076455,12
1602076458,12
1602076461,12
1602076464,12
1602076467,12
1602076470,12
1602076473,12
1602076476,12
1602076479,12
1602076482,12
1602076485,12
1602076488,12
1602076491,12
1602076494,12
1602076497,12
1602076500,12
1602076503,12
1602076506,12
1602076509,12
1602076512,12
1602076515,12
1602076518,12
1602076521,12
1602076524,12
1602076527,12
1602076530,12
1602076533,12
1602076536,12
1602076539,12
1602076542,12
1602076545,12
1602076548,12
1602076551,12
1602076554,12
1602076557,12
1602076560,12
1602076563,12
1602076566,12
1602076569,12
1602076572,12
1602076575,12
1602076578,12
1602076581,12
1602076584,12
1602076587,12
1602076590,12
1602076593,12
1602076596,12
1602076599,12
1602076602,12
1602076605,12
1602076608,12
1602076611,12
1602076614,12
1602076617,12
1602076620,12
1602076623,12
1602076626,12
1602076629,12
1602076632,12
1602076635,12
1602076638,12
1602076641,12
1602076644,12
1602076647,12
1602076650,12
1602076653,12
1602076656,12
1602076659,12
1602076662,12
1602076665,12
1602076668,12
1602076671,12
1602076674,12
1602076677,12
1602076680,12
1602076683,12
1602076686,12
1602076689,12
1602076692,12
1602076695,12
1602076698,12
1602076701,12
1602076704,12
1602076707,12
1602076710,12
1602076713,12
1602076716,12
1602076719,12
1602076722,12
1602076725,12
1602076728,12
1602076731,12
1602076734,12
1602076737,12
1602076740,12
1602076743,12
1602076746,12
1602076749,12
1602076752,12
1602076755,12
1602076758,12
1602076761,12
1602076764,12
1602076767,12
1602076770,12
1602076773,12
1602076776,12
1602076779,12
1602076782,12
1602076785,12
1602076788,12
1602076791,12
1602076794,12
1602076797,12
1602076800,12
1602076803,12
1602076806,12
1602076809,12
1602076812,12
1602076815,12
1602076818,12
1602076821,12
1602076824,12
1602076827,12
1602076830,12
1602076833,12
1602076836,12
1602076839,12
1602076842,12
1602076845,12
1602076848,12
1602076851,12
1602076854,12
1602076857,12
1602076860,12
1602076863,12
1602076866,12
1602076869,12
1602076872,12
1602076875,12
1602076878,12
1602076881,12
1602076884,12
1602076887,12
1602076890,12
1602076893,12
1602076896,12
1602076899,12
1602076902,12
1602076905,12
1602076908,12
1602076911,12
1602076914,12
1602076917,12
1602076920,12
1602076923,12
1602076926,12
1602076929,12
1602076932,12
1602076935,12
1602076938,12
1602076941,12
1602076944,12
1602076947,12
1602076950,12
1602076953,12
1602076956,12
1602076959,12
1602076962,12
1602076965,12
1602076968,12
1602076971,12
1602076974,12
1602076977,12
1602076980,12
1602076983,12
1602076986,12
1602076989,12
1602076992,12
1602076995,12
1602076998,12
1602077001,12
1602077004,12
1602077007,12
1602077010,12
1602077013,12
1602077016,12
1602077019,12
1602077022,12
1602077025,12
1602077028,12
1602077031,12
1602077034,12
1602077037,12
1602077040,12
1602077043,12
1602077046,12
1602077049,12
1602077052,12
1602077055,12
1602077058,12
1602077061,12
1602077064,12
1602077067,12
1602077070,12
1602077073,12
1602077076,12
1602077079,12
1602077082,12
1602077085,12
1602077088,12
1602077091,12
1602077094,12
1602077097,12
1602077100,12
1602077103,12
1602077106,12
1602077109,12
1602077112,12
1602077115,12
1602077118,12
1602077121,12
1602077124,12
1602077127,12
1602077130,12
1602077133,12
1602077136,12
1602077139,12
1602077142,12
1602077145,12
1602077148,12
1602077151,12
1602077154,12
1602077157,12
1602077160,12
1602077163,12
1602077166,12
1602077169,12
1602077172,12
1602077175,12
1602077178,12
1602077181,12
1602077184,12
1602077187,12
1602077190,12
1602077193,12
1602077196,12
1602077199,12
1602077202,12
1602077205,12
1602077208,12
1602077211,12
1602077214,12
1602077217,12
1602077220,12
1602077223,12
1602077226,12
1602077229,12
