t,value
1602074485,6
1602074488,6
1602074491,6
1602074494,6
1602074497,6
1602074500,6
1602074503,6
1602074506,6
1602074509,6
1602074512,6
1602074515,6
1602074518,6
1602074521,6
1602074524,6
1602074527,6
1602074530,6
1602074533,6
1602074536,6
1602074539,6
1602074542,6
1602074545,7
1602074548,7
1602074551,7
1602074554,7
1602074557,7
1602074560,7
1602074563,7
1602074566,7
1602074569,7
1602074572,7
1602074575,7
1602074578,7
1602074581,7
1602074584,7
1602074587,7
1602074590,7
1602074593,7
1602074596,7
1602074599,7
1602074602,7
1602074605,7
1602074608,7
1602074611,7
1602074614,7
1602074617,7
1602074620,7
1602074623,7
1602074626,7
1602074629,7
1602074632,7
1602074635,7
1602074638,7
1602074641,7
1602074644,7
1602074647,7
1602074650,7
1602074653,7
1602074656,7
1602074659,7
1602074662,7
1602074665,7
1602074668,7
1602074671,7
1602074674,7
1602074677,7
1602074680,7
1602074683,7
1602074686,7
1602074689,7
1602074692,7
1602074695,7
1602074698,7
1602074701,7
1602074704,7
1602074707,7
1602074710,7
1602074713,7
1602074716,7
1602074719,7
1602074722,7
1602074725,7
1602074728,7
1602074731,7
1602074734,7
1602074737,7
1602074740,7
1602074743,7
1602074746,7
1602074749,7
1602074752,7
1602074755,7
1602074758,7
1602074761,7
1602074764,7
1602074767,7
1602074770,7
1602074773,7
1602074776,7
1602074779,7
1602074782,7
1602074785,7
1602074788,7
1602074791,7
1602074794,7
1602074797,7
1602074800,7
1602074803,7
1602074806,7
1602074809,7
1602074812,7
1602074815,7
1602074818,7
1602074821,7
1602074824,7
1602074827,7
1602074830,7
1602074833,7
1602074836,7
1602074839,7
1602074842,7
1602074845,7
1602074848,7
1602074851,7
1602074854,7
1602074857,7
1602074860,7
1602074863,7
1602074866,7
1602074869,7
1602074872,7
1602074875,7
1602074878,7
1602074881,7
1602074884,7
1602074887,7
1602074890,7
1602074893,7
1602074896,7
1602074899,7
1602074902,7
1602074905,7
1602074908,7
1602074911,7
1602074914,7
1602074917,7
1602074920,7
1602074923,7
1602074926,7
1602074929,7
1602074932,7
1602074935,7
1602074938,7
1602074941,7
1602074944,7
1602074947,7
1602074950,7
1602074953,7
1602074956,7
1602074959,7
1602074962,7
1602074965,7
1602074968,7
1602074971,7
1602074974,7
1602074977,7
1602074980,7
1602074983,7
1602074986,7
1602074989,7
1602074992,7
1602074995,7
1602074998,7
1602075001,7
1602075004,7
1602075007,7
1602075010,7
1602075013,7
1602075016,7
1602075019,7
1602075022,7
1602075025,7
1602075028,7
1602075031,7
1602075034,7
1602075037,7
1602075040,7
1602075043,7
1602075046,7
1602075049,7
1602075052,7
1602075055,7
1602075058,7
1602075061,7
1602075064,7
1602075067,7
1602075070,7
1602075073,7
1602075076,7
1602075079,7
1602075082,7
1602075085,7
1602075088,7
1602075091,7
1602075094,7
1602075097,7
1602075100,7
1602075103,7
1602075106,7
1602075109,7
1602075112,7
1602075115,7
1602075118,7
1602075121,7
1602075124,7
1602075127,7
1602075130,7
1602075133,7
1602075136,7
1602075139,7
1602075142,7
1602075145,7
1602075148,7
1602075151,7
1602075154,7
1602075157,7
1602075160,7
1602075163,7
1602075166,7
1602075169,7
1602075172,7
1602075175,7
1602075178,7
1602075181,7
1602075184,7
1602075187,7
1602075190,7
1602075193,7
1602075196,7
1602075199,7
1602075202,7
1602075205,7
1602075208,7
1602075211,7
1602075214,7
1602075217,7
1602075220,7
1602075223,7
1602075226,7
1602075229,7
1602075232,7
1602075235,7
1602075238,7
1602075241,7
1602075244,7
1602075247,7
1602075250,7
1602075253,7
1602075256,7
1602075259,7
1602075262,7
1602075265,7
1602075268,7
1602075271,7
1602075274,7
1602075277,7
1602075280,7
1602075283,7
1602075286,7
1602075289,7
1602075292,7
1602075295,7
1602075298,7
1602075301,7
1602075304,7
1602075307,7
1602075310,7
1602075313,7
1602075316,7
1602075319,7
1602075322,7
1602075325,7
1602075328,7
1602075331,7
1602075334,7
1602075337,7
1602075340,7
1602075343,7
t,value
1602076335,6
1602076338,6
1602076341,6
1602076344,6
1602076347,6
1602076350,6
1602076353,6
1602076356,6
1602076359,6
1602076362,6
1602076365,6
1602076368,6
1602076371,6
1602076374,6
1602076377,6
1602076380,6
1602076383,6
1602076386,6
1602076389,6
1602076392,6
1602076395,7
1602076398,7
1602076401,7
1602076404,7
1602076407,7
1602076410,7
1602076413,7
1602076416,7
1602076419,7
1602076422,7
1602076425,7
1602076428,7
1602076431,7
1602076434,7
1602076437,7
1602076440,7
1602076443,7
1602076446,7
1602076449,7
1602076452,7
1602076455,7
1602076458,7
1602076461,7
1602076464,7
1602076467,7
1602076470,7
1602076473,7
1602076476,7
1602076479,7
1602076482,7
1602076485,7
1602076488,7
1602076491,7
1602076494,7
1602076497,7
1602076500,7
1602076503,7
1602076506,7
1602076509,7
1602076512,7
1602076515,7
1602076518,7
1602076521,7
1602076524,7
1602076527,7
1602076530,7
1602076533,7
1602076536,7
1602076539,7
