t,value
1602074485,32
1602074488,32
1602074491,32
1602074494,32
1602074497,32
1602074500,32
1602074503,32
1602074506,32
1602074509,32
1602074512,32
1602074515,32
1602074518,32
1602074521,32
1602074524,32
1602074527,32
1602074530,32
1602074533,32
1602074536,32
1602074539,32
1602074542,32
1602074545,32
1602074548,32
1602074551,32
1602074554,32
1602074557,32
1602074560,32
1602074563,32
1602074566,33
1602074569,33
1602074572,33
1602074575,33
1602074578,33
1602074581,33
1602074584,33
1602074587,33
1602074590,33
1602074593,33
1602074596,33
1602074599,33
1602074602,33
1602074605,33
1602074608,33
1602074611,33
1602074614,33
1602074617,33
1602074620,33
1602074623,33
1602074626,33
1602074629,33
1602074632,33
1602074635,33
1602074638,33
1602074641,33
1602074644,33
1602074647,33
1602074650,33
1602074653,33
1602074656,33
1602074659,33
1602074662,33
1602074665,33
1602074668,33
1602074671,33
1602074674,33
1602074677,33
1602074680,33
1602074683,33
1602074686,33
1602074689,33
1602074692,33
1602074695,33
1602074698,33
1602074701,33
1602074704,33
1602074707,33
1602074710,33
1602074713,33
1602074716,33
1602074719,33
1602074722,33
1602074725,33
1602074728,33
1602074731,33
1602074734,33
1602074737,33
1602074740,33
1602074743,33
1602074746,33
1602074749,33
1602074752,33
1602074755,33
1602074758,33
1602074761,33
1602074764,33
1602074767,33
1602074770,33
1602074773,33
1602074776,33
1602074779,33
1602074782,33
1602074785,33
1602074788,33
1602074791,33
1602074794,33
1602074797,33
1602074800,33
1602074803,33
1602074806,33
1602074809,33
1602074812,33
1602074815,33
1602074818,33
1602074821,33
1602074824,33
1602074827,33
1602074830,33
1602074833,33
1602074836,33
1602074839,33
1602074842,33
1602074845,33
1602074848,33
1602074851,33
1602074854,33
1602074857,33
1602074860,33
1602074863,33
1602074866,33
1602074869,33
1602074872,33
1602074875,33
1602074878,33
1602074881,33
1602074884,33
1602074887,33
1602074890,33
1602074893,33
1602074896,33
1602074899,33
1602074902,33
1602074905,33
1602074908,33
1602074911,33
1602074914,33
1602074917,33
1602074920,33
1602074923,33
1602074926,33
1602074929,33
1602074932,33
1602074935,33
1602074938,33
1602074941,33
1602074944,33
1602074947,33
1602074950,33
1602074953,33
1602074956,33
1602074959,33
1602074962,33
1602074965,33
1602074968,33
1602074971,33
1602074974,33
1602074977,33
1602074980,33
1602074983,33
1602074986,33
1602074989,33
1602074992,33
1602074995,33
1602074998,33
1602075001,33
1602075004,33
1602075007,33
1602075010,33
1602075013,33
1602075016,33
1602075019,33
1602075022,33
1602075025,33
1602075028,33
1602075031,33
1602075034,33
1602075037,33
1602075040,33
1602075043,33
1602075046,33
1602075049,33
1602075052,33
1602075055,33
1602075058,33
1602075061,33
1602075064,33
1602075067,33
1602075070,33
1602075073,33
1602075076,33
1602075079,33
1602075082,33
1602075085,33
1602075088,33
1602075091,33
1602075094,33
1602075097,33
1602075100,33
1602075103,33
1602075106,33
1602075109,33
1602075112,33
1602075115,33
1602075118,33
1602075121,33
1602075124,33
1602075127,33
1602075130,33
1602075133,33
1602075136,33
1602075139,33
1602075142,33
1602075145,33
1602075148,33
1602075151,33
1602075154,33
1602075157,33
1602075160,33
1602075163,33
1602075166,33
1602075169,33
1602075172,33
1602075175,33
1602075178,33
1602075181,33
1602075184,33
1602075187,33
1602075190,33
1602075193,33
1602075196,33
1602075199,33
1602075202,33
1602075205,33
1602075208,33
1602075211,33
1602075214,33
1602075217,33
1602075220,33
1602075223,33
1602075226,33
1602075229,33
1602075232,33
1602075235,33
1602075238,33
1602075241,33
1602075244,33
1602075247,33
1602075250,33
1602075253,33
1602075256,33
1602075259,33
1602075262,33
1602075265,33
1602075268,33
1602075271,33
1602075274,33
1602075277,33
1602075280,33
1602075283,33
1602075286,33
1602075289,33
1602075292,33
1602075295,33
1602075298,33
1602075301,33
1602075304,33
1602075307,33
1602075310,33
1602075313,33
1602075316,33
1602075319,33
1602075322,33
1602075325,33
1602075328,33
1602075331,33
1602075334,33
1602075337,33
1602075340,33
1602075343,33
t,value
1602076335,33
1602076338,33
1602076341,33
1602076344,33
1602076347,33
1602076350,33
1602076353,33
1602076356,33
1602076359,33
1602076362,33
1602076365,33
1602076368,33
1602076371,33
1602076374,33
1602076377,33
1602076380,33
1602076383,33
1602076386,33
1602076389,33
1602076392,33
1602076395,33
1602076398,33
1602076401,33
1602076404,33
1602076407,33
1602076410,33
1602076413,33
1602076416,33
1602076419,33
1602076422,33
1602076425,33
1602076428,33
1602076431,33
1602076434,33
1602076437,33
1602076440,33
1602076443,33
1602076446,33
1602076449,33
1602076452,33
1602076455,33
1602076458,33
1602076461,33
1602076464,33
1602076467,33
1602076470,33
1602076473,33
1602076476,33
1602076479,33
1602076482,33
1602076485,33
1602076488,33
1602076491,33
1602076494,33
1602076497,33
1602076500,33
1602076503,33
1602076506,33
1602076509,33
1602076512,33
1602076515,33
1602076518,33
1602076521,33
1602076524,33
1602076527,33
1602076530,33
1602076533,33
1602076536,33
1602076539,33
1602076542,33
1602076545,33
1602076548,33
1602076551,33
1602076554,33
1602076557,33
1602076560,33
1602076563,33
1602076566,33
1602076569,33
1602076572,33
1602076575,33
1602076578,33
1602076581,33
1602076584,33
1602076587,33
1602076590,33
1602076593,33
1602076596,33
1602076599,33
1602076602,33
1602076605,33
1602076608,33
1602076611,33
1602076614,33
1602076617,33
1602076620,33
1602076623,33
1602076626,33
1602076629,33
1602076632,33
1602076635,33
1602076638,33
1602076641,33
1602076644,33
1602076647,33
1602076650,33
1602076653,33
1602076656,33
1602076659,33
1602076662,33
1602076665,33
1602076668,33
1602076671,33
1602076674,33
1602076677,33
1602076680,33
1602076683,33
1602076686,33
1602076689,33
1602076692,33
1602076695,33
1602076698,33
1602076701,33
1602076704,33
1602076707,33
1602076710,33
1602076713,33
1602076716,33
1602076719,33
1602076722,33
1602076725,33
1602076728,33
