t,value
1602074485,80
1602074488,80
1602074491,80
1602074494,80
1602074497,80
1602074500,80
1602074503,80
1602074506,80
1602074509,80
1602074512,80
1602074515,80
1602074518,80
1602074521,80
1602074524,80
1602074527,80
1602074530,80
1602074533,80
1602074536,80
1602074539,80
1602074542,80
1602074545,80
1602074548,80
1602074551,80
1602074554,80
1602074557,80
1602074560,80
1602074563,80
1602074566,82
1602074569,82
1602074572,82
1602074575,82
1602074578,82
1602074581,82
1602074584,82
1602074587,82
1602074590,82
1602074593,82
1602074596,82
1602074599,82
1602074602,82
1602074605,82
1602074608,82
1602074611,82
1602074614,82
1602074617,82
1602074620,82
1602074623,82
1602074626,82
1602074629,82
1602074632,82
1602074635,82
1602074638,82
1602074641,82
1602074644,82
1602074647,82
1602074650,82
1602074653,82
1602074656,82
1602074659,82
1602074662,82
1602074665,82
1602074668,82
1602074671,82
1602074674,82
1602074677,82
1602074680,82
1602074683,82
1602074686,82
1602074689,82
1602074692,82
1602074695,82
1602074698,82
1602074701,82
1602074704,82
1602074707,82
1602074710,82
1602074713,82
1602074716,82
1602074719,82
1602074722,82
1602074725,82
1602074728,82
1602074731,82
1602074734,82
1602074737,82
1602074740,82
1602074743,82
1602074746,82
1602074749,82
1602074752,82
1602074755,82
1602074758,82
1602074761,82
1602074764,82
1602074767,82
1602074770,82
1602074773,82
1602074776,82
1602074779,82
1602074782,82
1602074785,82
1602074788,82
1602074791,82
1602074794,82
1602074797,82
1602074800,82
1602074803,82
1602074806,82
1602074809,82
1602074812,82
1602074815,82
1602074818,82
1602074821,82
1602074824,82
1602074827,82
1602074830,82
1602074833,82
1602074836,82
1602074839,82
1602074842,82
1602074845,82
1602074848,82
1602074851,82
1602074854,82
1602074857,82
1602074860,82
1602074863,82
1602074866,82
1602074869,82
1602074872,82
1602074875,82
1602074878,82
1602074881,82
1602074884,82
1602074887,82
1602074890,82
1602074893,82
1602074896,82
1602074899,82
1602074902,82
1602074905,82
1602074908,82
1602074911,82
1602074914,82
1602074917,82
1602074920,82
1602074923,82
1602074926,82
1602074929,82
1602074932,82
1602074935,82
1602074938,82
1602074941,82
1602074944,82
1602074947,82
1602074950,82
1602074953,82
1602074956,82
1602074959,82
1602074962,82
1602074965,82
1602074968,82
1602074971,82
1602074974,82
1602074977,82
1602074980,82
1602074983,82
1602074986,82
1602074989,82
1602074992,82
1602074995,82
1602074998,82
1602075001,82
1602075004,82
1602075007,82
1602075010,82
1602075013,82
1602075016,82
1602075019,82
1602075022,82
1602075025,82
1602075028,82
1602075031,82
1602075034,82
1602075037,82
1602075040,82
1602075043,82
1602075046,82
1602075049,82
1602075052,82
1602075055,82
1602075058,82
1602075061,82
1602075064,82
1602075067,82
1602075070,82
1602075073,82
1602075076,82
1602075079,82
1602075082,82
1602075085,82
1602075088,82
1602075091,82
1602075094,82
1602075097,82
1602075100,82
1602075103,82
1602075106,82
1602075109,82
1602075112,82
1602075115,82
1602075118,82
1602075121,82
1602075124,82
1602075127,82
1602075130,82
1602075133,82
1602075136,82
1602075139,82
1602075142,82
1602075145,82
1602075148,82
1602075151,82
1602075154,82
1602075157,82
1602075160,82
1602075163,82
1602075166,82
1602075169,82
1602075172,82
1602075175,82
1602075178,82
1602075181,82
1602075184,82
1602075187,82
1602075190,82
1602075193,82
1602075196,82
1602075199,82
1602075202,82
1602075205,82
1602075208,82
1602075211,82
1602075214,82
1602075217,82
1602075220,82
1602075223,82
1602075226,82
1602075229,82
1602075232,82
1602075235,82
1602075238,82
1602075241,82
1602075244,82
1602075247,82
1602075250,82
1602075253,82
1602075256,82
1602075259,82
1602075262,82
1602075265,82
1602075268,82
1602075271,82
1602075274,82
1602075277,82
1602075280,82
1602075283,82
1602075286,82
1602075289,82
1602075292,82
1602075295,82
1602075298,82
1602075301,82
1602075304,82
1602075307,82
1602075310,82
1602075313,82
1602075316,82
1602075319,82
1602075322,82
1602075325,82
1602075328,82
1602075331,82
1602075334,82
1602075337,82
1602075340,82
1602075343,82
t,value
1602076335,82
1602076338,82
1602076341,82
1602076344,82
1602076347,82
1602076350,82
1602076353,82
1602076356,82
1602076359,82
1602076362,82
1602076365,82
1602076368,82
1602076371,82
1602076374,82
1602076377,82
1602076380,82
1602076383,82
1602076386,82
1602076389,82
1602076392,82
1602076395,82
1602076398,82
1602076401,82
1602076404,82
1602076407,82
1602076410,82
1602076413,82
1602076416,82
1602076419,82
1602076422,82
1602076425,82
1602076428,82
1602076431,82
1602076434,82
1602076437,82
1602076440,82
1602076443,82
1602076446,82
1602076449,82
1602076452,82
1602076455,82
1602076458,82
1602076461,82
1602076464,82
1602076467,82
1602076470,82
1602076473,82
1602076476,82
1602076479,82
1602076482,82
1602076485,82
1602076488,82
1602076491,82
1602076494,82
1602076497,82
1602076500,82
