t,value
1602074485,6
1602074488,6
1602074491,6
1602074494,6
1602074497,6
1602074500,6
1602074503,6
1602074506,6
1602074509,6
1602074512,6
1602074515,6
1602074518,6
1602074521,6
1602074524,6
1602074527,6
1602074530,6
1602074533,6
1602074536,6
1602074539,6
1602074542,6
1602074545,6
1602074548,6
1602074551,6
1602074554,6
1602074557,6
1602074560,6
1602074563,6
1602074566,6
1602074569,6
1602074572,6
1602074575,6
1602074578,6
1602074581,6
1602074584,6
1602074587,6
1602074590,6
1602074593,6
1602074596,6
1602074599,6
1602074602,6
1602074605,6
1602074608,6
1602074611,6
1602074614,6
1602074617,6
1602074620,6
1602074623,6
1602074626,6
1602074629,6
1602074632,6
1602074635,6
1602074638,6
1602074641,6
1602074644,6
1602074647,6
1602074650,6
1602074653,6
1602074656,6
1602074659,6
1602074662,6
1602074665,6
1602074668,6
1602074671,6
1602074674,6
1602074677,6
1602074680,6
1602074683,6
1602074686,6
1602074689,6
1602074692,6
1602074695,6
1602074698,6
1602074701,6
1602074704,6
1602074707,6
1602074710,6
1602074713,6
1602074716,6
1602074719,6
1602074722,6
1602074725,6
1602074728,6
1602074731,6
1602074734,6
1602074737,6
1602074740,6
1602074743,6
1602074746,6
1602074749,6
1602074752,6
1602074755,6
1602074758,6
1602074761,6
1602074764,6
1602074767,6
1602074770,6
1602074773,6
1602074776,6
1602074779,6
1602074782,6
1602074785,6
1602074788,6
1602074791,6
1602074794,6
1602074797,6
1602074800,6
1602074803,6
1602074806,6
1602074809,6
1602074812,6
1602074815,6
1602074818,6
1602074821,6
1602074824,6
1602074827,6
1602074830,6
1602074833,6
1602074836,6
1602074839,6
1602074842,6
1602074845,6
1602074848,6
1602074851,6
1602074854,6
1602074857,6
1602074860,6
1602074863,6
1602074866,6
1602074869,6
1602074872,6
1602074875,6
1602074878,6
1602074881,6
1602074884,6
1602074887,6
1602074890,6
1602074893,6
1602074896,6
1602074899,6
1602074902,6
1602074905,6
1602074908,6
1602074911,6
1602074914,6
1602074917,6
1602074920,6
1602074923,6
1602074926,6
1602074929,6
1602074932,6
1602074935,6
1602074938,6
1602074941,6
1602074944,6
1602074947,6
1602074950,6
1602074953,6
1602074956,6
1602074959,6
1602074962,6
1602074965,6
1602074968,6
1602074971,6
1602074974,6
1602074977,6
1602074980,6
1602074983,6
1602074986,6
1602074989,6
1602074992,6
1602074995,6
1602074998,6
1602075001,6
1602075004,6
1602075007,6
1602075010,6
1602075013,6
1602075016,6
1602075019,6
1602075022,6
1602075025,6
1602075028,6
1602075031,6
1602075034,6
1602075037,6
1602075040,6
1602075043,6
1602075046,6
1602075049,6
1602075052,6
1602075055,6
1602075058,6
1602075061,6
1602075064,6
1602075067,6
1602075070,6
1602075073,6
1602075076,6
1602075079,6
1602075082,6
1602075085,6
1602075088,6
1602075091,6
1602075094,6
1602075097,6
1602075100,6
1602075103,6
1602075106,6
1602075109,6
1602075112,6
1602075115,6
1602075118,6
1602075121,6
1602075124,6
1602075127,6
1602075130,6
1602075133,6
1602075136,6
1602075139,6
1602075142,6
1602075145,6
1602075148,6
1602075151,6
1602075154,6
1602075157,6
1602075160,6
1602075163,6
1602075166,6
1602075169,6
1602075172,6
1602075175,6
1602075178,6
1602075181,6
1602075184,6
1602075187,6
1602075190,6
1602075193,6
1602075196,6
1602075199,6
1602075202,6
1602075205,6
1602075208,6
1602075211,6
1602075214,6
1602075217,6
1602075220,6
1602075223,6
1602075226,6
1602075229,6
1602075232,6
1602075235,6
1602075238,6
1602075241,6
1602075244,6
1602075247,6
1602075250,6
1602075253,6
1602075256,6
1602075259,6
1602075262,6
1602075265,6
1602075268,6
1602075271,6
1602075274,6
1602075277,6
1602075280,6
1602075283,6
1602075286,6
1602075289,6
1602075292,6
1602075295,6
1602075298,6
1602075301,6
1602075304,6
1602075307,6
1602075310,6
1602075313,6
1602075316,6
1602075319,6
1602075322,6
1602075325,6
1602075328,6
1602075331,6
1602075334,6
1602075337,6
1602075340,6
1602075343,6
t,value
1602076335,6
1602076338,6
1602076341,6
1602076344,6
1602076347,6
1602076350,6
1602076353,6
1602076356,6
1602076359,6
1602076362,6
1602076365,6
1602076368,6
1602076371,6
1602076374,6
1602076377,6
1602076380,6
1602076383,6
1602076386,6
1602076389,6
1602076392,6
1602076395,6
1602076398,6
1602076401,6
1602076404,6
1602076407,6
1602076410,6
1602076413,6
1602076416,6
1602076419,6
1602076422,6
1602076425,6
1602076428,6
1602076431,6
1602076434,6
1602076437,6
1602076440,6
1602076443,6
1602076446,6
1602076449,6
1602076452,6
1602076455,6
1602076458,6
1602076461,6
1602076464,6
1602076467,6
1602076470,6
1602076473,6
1602076476,6
1602076479,6
1602076482,6
1602076485,6
1602076488,6
1602076491,6
1602076494,6
1602076497,6
1602076500,6
1602076503,6
1602076506,6
1602076509,6
1602076512,6
1602076515,6
1602076518,6
1602076521,6
1602076524,6
1602076527,6
1602076530,6
1602076533,6
1602076536,6
1602076539,6
