t,value
1602074485,61
1602074488,61
1602074491,61
1602074494,61
1602074497,61
1602074500,61
1602074503,61
1602074506,61
1602074509,61
1602074512,61
1602074515,61
1602074518,61
1602074521,61
1602074524,61
1602074527,61
1602074530,61
1602074533,61
1602074536,61
1602074539,61
1602074542,61
1602074545,61
1602074548,61
1602074551,61
1602074554,61
1602074557,61
1602074560,61
1602074563,61
1602074566,61
1602074569,61
1602074572,61
1602074575,61
1602074578,61
1602074581,62
1602074584,62
1602074587,62
1602074590,62
1602074593,62
1602074596,62
1602074599,62
1602074602,62
1602074605,62
1602074608,62
1602074611,62
1602074614,62
1602074617,62
1602074620,62
1602074623,62
1602074626,62
1602074629,62
1602074632,62
1602074635,62
1602074638,62
1602074641,62
1602074644,62
1602074647,62
1602074650,62
1602074653,62
1602074656,62
1602074659,62
1602074662,62
1602074665,62
1602074668,62
1602074671,62
1602074674,62
1602074677,62
1602074680,62
1602074683,62
1602074686,62
1602074689,62
1602074692,62
1602074695,62
1602074698,62
1602074701,62
1602074704,62
1602074707,62
1602074710,62
1602074713,62
1602074716,62
1602074719,62
1602074722,62
1602074725,62
1602074728,62
1602074731,62
1602074734,62
1602074737,62
1602074740,62
1602074743,62
1602074746,62
1602074749,62
1602074752,62
1602074755,62
1602074758,62
1602074761,62
1602074764,62
1602074767,62
1602074770,62
1602074773,62
1602074776,62
1602074779,62
1602074782,62
1602074785,62
1602074788,62
1602074791,62
1602074794,62
1602074797,62
1602074800,62
1602074803,62
1602074806,62
1602074809,62
1602074812,62
1602074815,62
1602074818,62
1602074821,62
1602074824,62
1602074827,62
1602074830,62
1602074833,62
1602074836,62
1602074839,62
1602074842,62
1602074845,62
1602074848,62
1602074851,62
1602074854,62
1602074857,62
1602074860,62
1602074863,62
1602074866,62
1602074869,62
1602074872,62
1602074875,62
1602074878,62
1602074881,62
1602074884,62
1602074887,62
1602074890,62
1602074893,62
1602074896,62
1602074899,62
1602074902,62
1602074905,62
1602074908,62
1602074911,62
1602074914,62
1602074917,62
1602074920,62
1602074923,62
1602074926,62
1602074929,62
1602074932,62
1602074935,62
1602074938,62
1602074941,62
1602074944,62
1602074947,62
1602074950,62
1602074953,62
1602074956,62
1602074959,62
1602074962,62
1602074965,62
1602074968,62
1602074971,62
1602074974,62
1602074977,62
1602074980,62
1602074983,62
1602074986,62
1602074989,62
1602074992,62
1602074995,62
1602074998,62
1602075001,62
1602075004,62
1602075007,62
1602075010,62
1602075013,62
1602075016,62
1602075019,62
1602075022,62
1602075025,62
1602075028,62
1602075031,62
1602075034,62
1602075037,62
1602075040,62
1602075043,62
1602075046,62
1602075049,62
1602075052,62
1602075055,62
1602075058,62
1602075061,62
1602075064,62
1602075067,62
1602075070,62
1602075073,62
1602075076,62
1602075079,62
1602075082,62
1602075085,62
1602075088,62
1602075091,62
1602075094,62
1602075097,62
1602075100,62
1602075103,62
1602075106,62
1602075109,62
1602075112,62
1602075115,62
1602075118,62
1602075121,62
1602075124,62
1602075127,62
1602075130,62
1602075133,62
1602075136,62
1602075139,62
1602075142,62
1602075145,62
1602075148,62
1602075151,62
1602075154,62
1602075157,62
1602075160,62
1602075163,62
1602075166,62
1602075169,62
1602075172,62
1602075175,62
1602075178,62
1602075181,62
1602075184,62
1602075187,62
1602075190,62
1602075193,62
1602075196,62
1602075199,62
1602075202,62
1602075205,62
1602075208,62
1602075211,62
1602075214,62
1602075217,62
1602075220,62
1602075223,62
1602075226,62
1602075229,62
1602075232,62
1602075235,62
1602075238,62
1602075241,62
1602075244,62
1602075247,62
1602075250,62
1602075253,62
1602075256,62
1602075259,62
1602075262,62
1602075265,62
1602075268,62
1602075271,62
1602075274,62
1602075277,62
1602075280,62
1602075283,62
1602075286,62
1602075289,62
1602075292,62
1602075295,62
1602075298,62
1602075301,62
1602075304,62
1602075307,62
1602075310,62
1602075313,62
1602075316,62
1602075319,62
1602075322,62
1602075325,62
1602075328,62
1602075331,62
1602075334,62
1602075337,62
1602075340,62
1602075343,62
t,value
1602076335,62
1602076338,62
1602076341,62
1602076344,62
1602076347,62
1602076350,62
1602076353,62
1602076356,62
1602076359,62
1602076362,62
1602076365,62
1602076368,62
1602076371,62
1602076374,62
1602076377,62
1602076380,62
1602076383,62
1602076386,62
1602076389,62
1602076392,62
