t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,98,20.460138,0.000000,0.000000,0.000000,events/second
1602074488,98,12.797290,0.000000,0.000000,0.000000,events/second
1602074491,101,9.487046,0.000000,0.000000,0.000000,events/second
1602074494,110,8.066021,0.000000,0.000000,0.000000,events/second
1602074497,110,6.615053,0.000000,0.000000,0.000000,events/second
1602074500,110,5.601483,0.000000,0.000000,0.000000,events/second
1602074503,110,4.858572,0.000000,0.000000,0.000000,events/second
1602074506,110,4.289009,0.000000,0.000000,0.000000,events/second
1602074509,110,3.840147,0.000000,0.000000,0.000000,events/second
1602074512,113,3.571766,0.000000,0.000000,0.000000,events/second
1602074515,113,3.263164,0.000000,0.000000,0.000000,events/second
1602074518,113,3.002636,0.000000,0.000000,0.000000,events/second
1602074521,113,2.781830,0.000000,0.000000,0.000000,events/second
1602074524,113,2.589941,0.000000,0.000000,0.000000,events/second
1602074527,113,2.423136,0.000000,0.000000,0.000000,events/second
1602074530,113,2.276928,0.000000,0.000000,0.000000,events/second
1602074533,119,2.261317,0.000000,0.000000,0.000000,events/second
1602074536,119,2.139443,0.000000,0.000000,0.000000,events/second
1602074539,119,2.029352,0.000000,0.000000,0.000000,events/second
1602074542,119,1.930995,0.000000,0.000000,0.000000,events/second
1602074545,119,1.841079,0.000000,0.000000,0.000000,events/second
1602074548,119,1.759332,0.000000,0.000000,0.000000,events/second
1602074551,122,1.727106,0.000000,0.000000,0.000000,events/second
1602074554,122,1.656778,0.000000,0.000000,0.000000,events/second
1602074557,122,1.591930,0.000000,0.000000,0.000000,events/second
1602074560,122,1.531910,0.000000,0.000000,0.000000,events/second
1602074563,122,1.476539,0.000000,0.000000,0.000000,events/second
1602074566,127,1.482809,0.000000,0.000000,0.000000,events/second
1602074569,129,1.455317,0.000000,0.000000,0.000000,events/second
1602074572,132,1.440493,0.000000,0.000000,0.000000,events/second
1602074575,132,1.394821,0.000000,0.000000,0.000000,events/second
1602074578,132,1.351980,0.000000,0.000000,0.000000,events/second
1602074581,134,1.331777,0.000000,0.000000,0.000000,events/second
1602074584,139,1.341253,0.000000,0.000000,0.000000,events/second
1602074587,139,1.303627,0.000000,0.000000,0.000000,events/second
1602074590,143,1.304312,0.000000,0.000000,0.000000,events/second
1602074593,146,1.296384,0.000000,0.000000,0.000000,events/second
1602074596,146,1.262763,0.000000,0.000000,0.000000,events/second
1602074599,146,1.230632,0.000000,0.000000,0.000000,events/second
1602074602,146,1.200251,0.000000,0.000000,0.000000,events/second
1602074605,146,1.171563,0.000000,0.000000,0.000000,events/second
1602074608,149,1.167297,0.000000,0.000000,0.000000,events/second
1602074611,152,1.163688,0.000000,0.000000,0.000000,events/second
1602074614,152,1.137433,0.000000,0.000000,0.000000,events/second
1602074617,152,1.112452,0.000000,0.000000,0.000000,events/second
1602074620,152,1.088646,0.000000,0.000000,0.000000,events/second
1602074623,152,1.065666,0.000000,0.000000,0.000000,events/second
1602074626,152,1.043710,0.000000,0.000000,0.000000,events/second
1602074629,152,1.022608,0.000000,0.000000,0.000000,events/second
1602074632,155,1.022191,0.000000,0.000000,0.000000,events/second
1602074635,155,1.002471,0.000000,0.000000,0.000000,events/second
1602074638,155,0.983290,0.000000,0.000000,0.000000,events/second
1602074641,155,0.964924,0.000000,0.000000,0.000000,events/second
1602074644,155,0.947240,0.000000,0.000000,0.000000,events/second
1602074647,155,0.930190,0.000000,0.000000,0.000000,events/second
1602074650,155,0.913725,0.000000,0.000000,0.000000,events/second
1602074653,158,0.915229,0.000000,0.000000,0.000000,events/second
1602074656,158,0.899600,0.000000,0.000000,0.000000,events/second
1602074659,158,0.884476,0.000000,0.000000,0.000000,events/second
1602074662,158,0.869972,0.000000,0.000000,0.000000,events/second
1602074665,158,0.855737,0.000000,0.000000,0.000000,events/second
1602074668,158,0.842061,0.000000,0.000000,0.000000,events/second
1602074671,160,0.839370,0.000000,0.000000,0.000000,events/second
1602074674,161,0.831459,0.000000,0.000000,0.000000,events/second
1602074677,161,0.818778,0.000000,0.000000,0.000000,events/second
1602074680,161,0.806473,0.000000,0.000000,0.000000,events/second
1602074683,161,0.794527,0.000000,0.000000,0.000000,events/second
1602074686,161,0.782970,0.000000,0.000000,0.000000,events/second
1602074689,161,0.771677,0.000000,0.000000,0.000000,events/second
