t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,46,9.600171,0.000000,0.000000,0.000000,events/second
1602074488,46,6.007530,0.000000,0.000000,0.000000,events/second
1602074491,46,4.321116,0.000000,0.000000,0.000000,events/second
1602074494,46,3.373363,0.000000,0.000000,0.000000,events/second
1602074497,46,2.766441,0.000000,0.000000,0.000000,events/second
1602074500,46,2.342571,0.000000,0.000000,0.000000,events/second
1602074503,46,2.031877,0.000000,0.000000,0.000000,events/second
1602074506,46,1.793650,0.000000,0.000000,0.000000,events/second
1602074509,46,1.605941,0.000000,0.000000,0.000000,events/second
1602074512,46,1.454052,0.000000,0.000000,0.000000,events/second
1602074515,46,1.328412,0.000000,0.000000,0.000000,events/second
1602074518,46,1.222342,0.000000,0.000000,0.000000,events/second
1602074521,46,1.132452,0.000000,0.000000,0.000000,events/second
1602074524,46,1.054342,0.000000,0.000000,0.000000,events/second
1602074527,46,0.986437,0.000000,0.000000,0.000000,events/second
1602074530,46,0.926911,0.000000,0.000000,0.000000,events/second
1602074533,46,0.874143,0.000000,0.000000,0.000000,events/second
1602074536,46,0.827029,0.000000,0.000000,0.000000,events/second
1602074539,46,0.784473,0.000000,0.000000,0.000000,events/second
1602074542,46,0.746449,0.000000,0.000000,0.000000,events/second
1602074545,46,0.711691,0.000000,0.000000,0.000000,events/second
1602074548,46,0.680090,0.000000,0.000000,0.000000,events/second
1602074551,46,0.651216,0.000000,0.000000,0.000000,events/second
1602074554,46,0.624698,0.000000,0.000000,0.000000,events/second
1602074557,46,0.600246,0.000000,0.000000,0.000000,events/second
1602074560,46,0.577614,0.000000,0.000000,0.000000,events/second
1602074563,46,0.556736,0.000000,0.000000,0.000000,events/second
1602074566,47,0.548762,0.000000,0.000000,0.000000,events/second
1602074569,47,0.530239,0.000000,0.000000,0.000000,events/second
1602074572,47,0.512910,0.000000,0.000000,0.000000,events/second
1602074575,47,0.496648,0.000000,0.000000,0.000000,events/second
1602074578,47,0.481393,0.000000,0.000000,0.000000,events/second
1602074581,48,0.477060,0.000000,0.000000,0.000000,events/second
1602074584,48,0.463172,0.000000,0.000000,0.000000,events/second
1602074587,48,0.450179,0.000000,0.000000,0.000000,events/second
1602074590,48,0.437816,0.000000,0.000000,0.000000,events/second
1602074593,48,0.426213,0.000000,0.000000,0.000000,events/second
1602074596,48,0.415160,0.000000,0.000000,0.000000,events/second
1602074599,48,0.404596,0.000000,0.000000,0.000000,events/second
1602074602,48,0.394607,0.000000,0.000000,0.000000,events/second
1602074605,48,0.385175,0.000000,0.000000,0.000000,events/second
1602074608,48,0.376045,0.000000,0.000000,0.000000,events/second
1602074611,48,0.367483,0.000000,0.000000,0.000000,events/second
1602074614,48,0.359193,0.000000,0.000000,0.000000,events/second
1602074617,48,0.351304,0.000000,0.000000,0.000000,events/second
1602074620,48,0.343786,0.000000,0.000000,0.000000,events/second
1602074623,48,0.336529,0.000000,0.000000,0.000000,events/second
1602074626,48,0.329595,0.000000,0.000000,0.000000,events/second
1602074629,48,0.322932,0.000000,0.000000,0.000000,events/second
1602074632,48,0.316552,0.000000,0.000000,0.000000,events/second
1602074635,48,0.310445,0.000000,0.000000,0.000000,events/second
1602074638,48,0.304505,0.000000,0.000000,0.000000,events/second
1602074641,48,0.298817,0.000000,0.000000,0.000000,events/second
1602074644,48,0.293341,0.000000,0.000000,0.000000,events/second
1602074647,48,0.288061,0.000000,0.000000,0.000000,events/second
1602074650,48,0.282962,0.000000,0.000000,0.000000,events/second
1602074653,48,0.278046,0.000000,0.000000,0.000000,events/second
1602074656,48,0.273298,0.000000,0.000000,0.000000,events/second
1602074659,48,0.268704,0.000000,0.000000,0.000000,events/second
1602074662,48,0.264297,0.000000,0.000000,0.000000,events/second
1602074665,48,0.259973,0.000000,0.000000,0.000000,events/second
1602074668,48,0.255818,0.000000,0.000000,0.000000,events/second
1602074671,48,0.251813,0.000000,0.000000,0.000000,events/second
1602074674,48,0.247890,0.000000,0.000000,0.000000,events/second
1602074677,48,0.244109,0.000000,0.000000,0.000000,events/second
1602074680,48,0.240441,0.000000,0.000000,0.000000,events/second
1602074683,48,0.236879,0.000000,0.000000,0.000000,events/second
1602074686,48,0.233433,0.000000,0.000000,0.000000,events/second
1602074689,48,0.230066,0.000000,0.000000,0.000000,events/second
1602074692,48,0.226820,0.000000,0.000000,0.000000,events/second
1602074695,48,0.223640,0.000000,0.000000,0.000000,events/second
1602074698,48,0.220567,0.000000,0.000000,0.000000,events/second
1602074701,48,0.217565,0.000000,0.000000,0.000000,events/second
1602074704,48,0.214630,0.000000,0.000000,0.000000,events/second
1602074707,48,0.211812,0.000000,0.000000,0.000000,events/second
1602074710,48,0.209037,0.000000,0.000000,0.000000,events/second
1602074713,48,0.206348,0.000000,0.000000,0.000000,events/second
1602074716,48,0.203716,0.000000,0.000000,0.000000,events/second
1602074719,48,0.201159,0.000000,0.000000,0.000000,events/second
1602074722,48,0.198662,0.000000,0.000000,0.000000,events/second
1602074725,48,0.196226,0.000000,0.000000,0.000000,events/second
1602074728,48,0.193833,0.000000,0.000000,0.000000,events/second
1602074731,48,0.191524,0.000000,0.000000,0.000000,events/second
1602074734,48,0.189263,0.000000,0.000000,0.000000,events/second
1602074737,48,0.187038,0.000000,0.000000,0.000000,events/second
1602074740,48,0.184877,0.000000,0.000000,0.000000,events/second
1602074743,48,0.182765,0.000000,0.000000,0.000000,events/second
1602074746,48,0.180701,0.000000,0.000000,0.000000,events/second
1602074749,48,0.178679,0.000000,0.000000,0.000000,events/second
1602074752,48,0.176710,0.000000,0.000000,0.000000,events/second
1602074755,48,0.174779,0.000000,0.000000,0.000000,events/second
1602074758,48,0.172890,0.000000,0.000000,0.000000,events/second
1602074761,48,0.171052,0.000000,0.000000,0.000000,events/second
1602074764,48,0.169233,0.000000,0.000000,0.000000,events/second
1602074767,48,0.167462,0.000000,0.000000,0.000000,events/second
1602074770,48,0.165728,0.000000,0.000000,0.000000,events/second
1602074773,48,0.164039,0.000000,0.000000,0.000000,events/second
1602074776,48,0.162374,0.000000,0.000000,0.000000,events/second
1602074779,48,0.160742,0.000000,0.000000,0.000000,events/second
1602074782,48,0.159142,0.000000,0.000000,0.000000,events/second
1602074785,48,0.157575,0.000000,0.000000,0.000000,events/second
1602074788,48,0.156039,0.000000,0.000000,0.000000,events/second
1602074791,48,0.154524,0.000000,0.000000,0.000000,events/second
1602074794,48,0.153052,0.000000,0.000000,0.000000,events/second
1602074797,48,0.151604,0.000000,0.000000,0.000000,events/second
1602074800,48,0.150173,0.000000,0.000000,0.000000,events/second
1602074803,48,0.148776,0.000000,0.000000,0.000000,events/second
1602074806,48,0.147405,0.000000,0.000000,0.000000,events/second
1602074809,48,0.146059,0.000000,0.000000,0.000000,events/second
1602074812,48,0.144739,0.000000,0.000000,0.000000,events/second
1602074815,48,0.143442,0.000000,0.000000,0.000000,events/second
1602074818,48,0.142166,0.000000,0.000000,0.000000,events/second
1602074821,48,0.140914,0.000000,0.000000,0.000000,events/second
1602074824,48,0.139684,0.000000,0.000000,0.000000,events/second
1602074827,48,0.138475,0.000000,0.000000,0.000000,events/second
1602074830,48,0.137286,0.000000,0.000000,0.000000,events/second
1602074833,48,0.136118,0.000000,0.000000,0.000000,events/second
1602074836,48,0.134969,0.000000,0.000000,0.000000,events/second
1602074839,48,0.133841,0.000000,0.000000,0.000000,events/second
1602074842,48,0.132732,0.000000,0.000000,0.000000,events/second
1602074845,48,0.131639,0.000000,0.000000,0.000000,events/second
1602074848,48,0.130565,0.000000,0.000000,0.000000,events/second
1602074851,48,0.129509,0.000000,0.000000,0.000000,events/second
1602074854,48,0.128463,0.000000,0.000000,0.000000,events/second
1602074857,48,0.127445,0.000000,0.000000,0.000000,events/second
1602074860,48,0.126438,0.000000,0.000000,0.000000,events/second
1602074863,48,0.125447,0.000000,0.000000,0.000000,events/second
1602074866,48,0.124464,0.000000,0.000000,0.000000,events/second
1602074869,48,0.123508,0.000000,0.000000,0.000000,events/second
1602074872,48,0.122564,0.000000,0.000000,0.000000,events/second
1602074875,48,0.121632,0.000000,0.000000,0.000000,events/second
1602074878,48,0.120712,0.000000,0.000000,0.000000,events/second
1602074881,48,0.119811,0.000000,0.000000,0.000000,events/second
1602074884,48,0.118920,0.000000,0.000000,0.000000,events/second
1602074887,48,0.118043,0.000000,0.000000,0.000000,events/second
1602074890,48,0.117174,0.000000,0.000000,0.000000,events/second
1602074893,48,0.116326,0.000000,0.000000,0.000000,events/second
1602074896,48,0.115486,0.000000,0.000000,0.000000,events/second
1602074899,48,0.114663,0.000000,0.000000,0.000000,events/second
1602074902,48,0.113840,0.000000,0.000000,0.000000,events/second
1602074905,48,0.113039,0.000000,0.000000,0.000000,events/second
1602074908,48,0.112246,0.000000,0.000000,0.000000,events/second
1602074911,48,0.111464,0.000000,0.000000,0.000000,events/second
1602074914,48,0.110693,0.000000,0.000000,0.000000,events/second
1602074917,48,0.109936,0.000000,0.000000,0.000000,events/second
1602074920,48,0.109186,0.000000,0.000000,0.000000,events/second
1602074923,48,0.108442,0.000000,0.000000,0.000000,events/second
1602074926,48,0.107712,0.000000,0.000000,0.000000,events/second
1602074929,48,0.106991,0.000000,0.000000,0.000000,events/second
1602074932,48,0.106285,0.000000,0.000000,0.000000,events/second
1602074935,48,0.105580,0.000000,0.000000,0.000000,events/second
1602074938,48,0.104888,0.000000,0.000000,0.000000,events/second
1602074941,48,0.104205,0.000000,0.000000,0.000000,events/second
1602074944,48,0.103530,0.000000,0.000000,0.000000,events/second
1602074947,48,0.102865,0.000000,0.000000,0.000000,events/second
1602074950,48,0.102208,0.000000,0.000000,0.000000,events/second
1602074953,48,0.101559,0.000000,0.000000,0.000000,events/second
1602074956,48,0.100915,0.000000,0.000000,0.000000,events/second
1602074959,48,0.100286,0.000000,0.000000,0.000000,events/second
1602074962,48,0.099661,0.000000,0.000000,0.000000,events/second
1602074965,48,0.099044,0.000000,0.000000,0.000000,events/second
1602074968,48,0.098435,0.000000,0.000000,0.000000,events/second
1602074971,48,0.097830,0.000000,0.000000,0.000000,events/second
1602074974,48,0.097238,0.000000,0.000000,0.000000,events/second
1602074977,48,0.096651,0.000000,0.000000,0.000000,events/second
1602074980,48,0.096071,0.000000,0.000000,0.000000,events/second
1602074983,48,0.095497,0.000000,0.000000,0.000000,events/second
1602074986,48,0.094930,0.000000,0.000000,0.000000,events/second
1602074989,48,0.094371,0.000000,0.000000,0.000000,events/second
1602074992,48,0.093820,0.000000,0.000000,0.000000,events/second
1602074995,48,0.093270,0.000000,0.000000,0.000000,events/second
1602074998,48,0.092733,0.000000,0.000000,0.000000,events/second
1602075001,48,0.092191,0.000000,0.000000,0.000000,events/second
1602075004,48,0.091663,0.000000,0.000000,0.000000,events/second
1602075007,48,0.091145,0.000000,0.000000,0.000000,events/second
1602075010,48,0.090631,0.000000,0.000000,0.000000,events/second
1602075013,48,0.090121,0.000000,0.000000,0.000000,events/second
1602075016,48,0.089616,0.000000,0.000000,0.000000,events/second
1602075019,48,0.089117,0.000000,0.000000,0.000000,events/second
1602075022,48,0.088622,0.000000,0.000000,0.000000,events/second
1602075025,48,0.088131,0.000000,0.000000,0.000000,events/second
1602075028,48,0.087651,0.000000,0.000000,0.000000,events/second
1602075031,48,0.087174,0.000000,0.000000,0.000000,events/second
1602075034,48,0.086702,0.000000,0.000000,0.000000,events/second
1602075037,48,0.086235,0.000000,0.000000,0.000000,events/second
1602075040,48,0.085772,0.000000,0.000000,0.000000,events/second
1602075043,48,0.085316,0.000000,0.000000,0.000000,events/second
1602075046,48,0.084862,0.000000,0.000000,0.000000,events/second
1602075049,48,0.084406,0.000000,0.000000,0.000000,events/second
1602075052,48,0.083972,0.000000,0.000000,0.000000,events/second
1602075055,48,0.083532,0.000000,0.000000,0.000000,events/second
1602075058,48,0.083099,0.000000,0.000000,0.000000,events/second
1602075061,48,0.082338,0.000000,0.000000,0.000000,events/second
1602075064,48,0.082245,0.000000,0.000000,0.000000,events/second
1602075067,48,0.081824,0.000000,0.000000,0.000000,events/second
1602075070,48,0.081407,0.000000,0.000000,0.000000,events/second
1602075073,48,0.080996,0.000000,0.000000,0.000000,events/second
1602075076,48,0.080588,0.000000,0.000000,0.000000,events/second
1602075079,48,0.080184,0.000000,0.000000,0.000000,events/second
1602075082,48,0.079784,0.000000,0.000000,0.000000,events/second
1602075085,48,0.079389,0.000000,0.000000,0.000000,events/second
1602075088,48,0.078996,0.000000,0.000000,0.000000,events/second
1602075091,48,0.078609,0.000000,0.000000,0.000000,events/second
1602075094,48,0.078224,0.000000,0.000000,0.000000,events/second
1602075097,48,0.077844,0.000000,0.000000,0.000000,events/second
1602075100,48,0.077466,0.000000,0.000000,0.000000,events/second
1602075103,48,0.077093,0.000000,0.000000,0.000000,events/second
1602075106,48,0.076724,0.000000,0.000000,0.000000,events/second
1602075109,48,0.076356,0.000000,0.000000,0.000000,events/second
1602075112,48,0.075996,0.000000,0.000000,0.000000,events/second
1602075115,48,0.075636,0.000000,0.000000,0.000000,events/second
1602075118,48,0.075280,0.000000,0.000000,0.000000,events/second
1602075121,48,0.074927,0.000000,0.000000,0.000000,events/second
1602075124,48,0.074578,0.000000,0.000000,0.000000,events/second
1602075127,48,0.074233,0.000000,0.000000,0.000000,events/second
1602075130,48,0.073890,0.000000,0.000000,0.000000,events/second
1602075133,48,0.073550,0.000000,0.000000,0.000000,events/second
1602075136,48,0.073213,0.000000,0.000000,0.000000,events/second
1602075139,48,0.072879,0.000000,0.000000,0.000000,events/second
1602075142,48,0.072549,0.000000,0.000000,0.000000,events/second
1602075145,48,0.072222,0.000000,0.000000,0.000000,events/second
1602075148,48,0.071898,0.000000,0.000000,0.000000,events/second
1602075151,48,0.071576,0.000000,0.000000,0.000000,events/second
1602075154,48,0.071257,0.000000,0.000000,0.000000,events/second
1602075157,48,0.070941,0.000000,0.000000,0.000000,events/second
1602075160,48,0.070628,0.000000,0.000000,0.000000,events/second
1602075163,48,0.070317,0.000000,0.000000,0.000000,events/second
1602075166,48,0.070010,0.000000,0.000000,0.000000,events/second
1602075169,48,0.069704,0.000000,0.000000,0.000000,events/second
1602075172,48,0.069402,0.000000,0.000000,0.000000,events/second
1602075175,48,0.069102,0.000000,0.000000,0.000000,events/second
1602075178,48,0.068806,0.000000,0.000000,0.000000,events/second
1602075181,48,0.068511,0.000000,0.000000,0.000000,events/second
1602075184,48,0.068218,0.000000,0.000000,0.000000,events/second
1602075187,48,0.067929,0.000000,0.000000,0.000000,events/second
1602075190,48,0.067642,0.000000,0.000000,0.000000,events/second
1602075193,48,0.067357,0.000000,0.000000,0.000000,events/second
1602075196,48,0.067075,0.000000,0.000000,0.000000,events/second
1602075199,48,0.066795,0.000000,0.000000,0.000000,events/second
1602075202,48,0.066517,0.000000,0.000000,0.000000,events/second
1602075205,48,0.066241,0.000000,0.000000,0.000000,events/second
1602075208,48,0.065969,0.000000,0.000000,0.000000,events/second
1602075211,48,0.065698,0.000000,0.000000,0.000000,events/second
1602075214,48,0.065429,0.000000,0.000000,0.000000,events/second
1602075217,48,0.065163,0.000000,0.000000,0.000000,events/second
1602075220,48,0.064898,0.000000,0.000000,0.000000,events/second
1602075223,48,0.064636,0.000000,0.000000,0.000000,events/second
1602075226,48,0.064375,0.000000,0.000000,0.000000,events/second
1602075229,48,0.064117,0.000000,0.000000,0.000000,events/second
1602075232,48,0.063862,0.000000,0.000000,0.000000,events/second
1602075235,48,0.063607,0.000000,0.000000,0.000000,events/second
1602075238,48,0.063356,0.000000,0.000000,0.000000,events/second
1602075241,48,0.063107,0.000000,0.000000,0.000000,events/second
1602075244,48,0.062858,0.000000,0.000000,0.000000,events/second
1602075247,48,0.062613,0.000000,0.000000,0.000000,events/second
1602075250,48,0.062368,0.000000,0.000000,0.000000,events/second
1602075253,48,0.062126,0.000000,0.000000,0.000000,events/second
