t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,2,0.416988,0.000000,0.000000,0.000000,events/second
1602074488,2,0.261089,0.000000,0.000000,0.000000,events/second
1602074491,2,0.187815,0.000000,0.000000,0.000000,events/second
1602074494,2,0.146637,0.000000,0.000000,0.000000,events/second
1602074497,2,0.120258,0.000000,0.000000,0.000000,events/second
1602074500,2,0.101836,0.000000,0.000000,0.000000,events/second
1602074503,2,0.088332,0.000000,0.000000,0.000000,events/second
1602074506,2,0.077975,0.000000,0.000000,0.000000,events/second
1602074509,2,0.069817,0.000000,0.000000,0.000000,events/second
1602074512,2,0.063214,0.000000,0.000000,0.000000,events/second
1602074515,2,0.057752,0.000000,0.000000,0.000000,events/second
1602074518,2,0.053141,0.000000,0.000000,0.000000,events/second
1602074521,2,0.049234,0.000000,0.000000,0.000000,events/second
1602074524,2,0.045838,0.000000,0.000000,0.000000,events/second
1602074527,2,0.042886,0.000000,0.000000,0.000000,events/second
1602074530,2,0.040298,0.000000,0.000000,0.000000,events/second
1602074533,2,0.038004,0.000000,0.000000,0.000000,events/second
1602074536,2,0.035956,0.000000,0.000000,0.000000,events/second
1602074539,2,0.034106,0.000000,0.000000,0.000000,events/second
1602074542,2,0.032453,0.000000,0.000000,0.000000,events/second
1602074545,2,0.030942,0.000000,0.000000,0.000000,events/second
1602074548,2,0.029568,0.000000,0.000000,0.000000,events/second
1602074551,2,0.028313,0.000000,0.000000,0.000000,events/second
1602074554,2,0.027160,0.000000,0.000000,0.000000,events/second
1602074557,2,0.026097,0.000000,0.000000,0.000000,events/second
1602074560,2,0.025113,0.000000,0.000000,0.000000,events/second
1602074563,2,0.024205,0.000000,0.000000,0.000000,events/second
1602074566,2,0.023351,0.000000,0.000000,0.000000,events/second
1602074569,2,0.022563,0.000000,0.000000,0.000000,events/second
1602074572,2,0.021825,0.000000,0.000000,0.000000,events/second
1602074575,2,0.021133,0.000000,0.000000,0.000000,events/second
1602074578,2,0.020484,0.000000,0.000000,0.000000,events/second
1602074581,2,0.019877,0.000000,0.000000,0.000000,events/second
1602074584,2,0.019298,0.000000,0.000000,0.000000,events/second
1602074587,2,0.018757,0.000000,0.000000,0.000000,events/second
1602074590,2,0.018242,0.000000,0.000000,0.000000,events/second
1602074593,2,0.017758,0.000000,0.000000,0.000000,events/second
1602074596,2,0.017298,0.000000,0.000000,0.000000,events/second
1602074599,2,0.016858,0.000000,0.000000,0.000000,events/second
1602074602,2,0.016442,0.000000,0.000000,0.000000,events/second
1602074605,2,0.016049,0.000000,0.000000,0.000000,events/second
1602074608,2,0.015668,0.000000,0.000000,0.000000,events/second
1602074611,2,0.015311,0.000000,0.000000,0.000000,events/second
1602074614,2,0.014966,0.000000,0.000000,0.000000,events/second
1602074617,2,0.014637,0.000000,0.000000,0.000000,events/second
