t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,144,29.982557,0.000000,0.000000,0.000000,events/second
1602074488,144,18.794703,0.000000,0.000000,0.000000,events/second
1602074491,147,13.802188,0.000000,0.000000,0.000000,events/second
1602074494,156,11.436820,0.000000,0.000000,0.000000,events/second
1602074497,156,9.379563,0.000000,0.000000,0.000000,events/second
1602074500,156,7.942893,0.000000,0.000000,0.000000,events/second
1602074503,156,6.889640,0.000000,0.000000,0.000000,events/second
1602074506,156,6.081740,0.000000,0.000000,0.000000,events/second
1602074509,156,5.445473,0.000000,0.000000,0.000000,events/second
1602074512,159,5.025420,0.000000,0.000000,0.000000,events/second
1602074515,159,4.591158,0.000000,0.000000,0.000000,events/second
1602074518,159,4.224503,0.000000,0.000000,0.000000,events/second
1602074521,159,3.913996,0.000000,0.000000,0.000000,events/second
1602074524,159,3.644063,0.000000,0.000000,0.000000,events/second
1602074527,159,3.409391,0.000000,0.000000,0.000000,events/second
1602074530,159,3.203624,0.000000,0.000000,0.000000,events/second
1602074533,165,3.135300,0.000000,0.000000,0.000000,events/second
1602074536,165,2.966293,0.000000,0.000000,0.000000,events/second
1602074539,165,2.813704,0.000000,0.000000,0.000000,events/second
1602074542,165,2.677312,0.000000,0.000000,0.000000,events/second
1602074545,165,2.552668,0.000000,0.000000,0.000000,events/second
1602074548,165,2.439328,0.000000,0.000000,0.000000,events/second
1602074551,168,2.378238,0.000000,0.000000,0.000000,events/second
1602074554,168,2.281397,0.000000,0.000000,0.000000,events/second
1602074557,168,2.192102,0.000000,0.000000,0.000000,events/second
1602074560,168,2.109454,0.000000,0.000000,0.000000,events/second
1602074563,168,2.033203,0.000000,0.000000,0.000000,events/second
1602074566,174,2.031479,0.000000,0.000000,0.000000,events/second
1602074569,176,1.985499,0.000000,0.000000,0.000000,events/second
1602074572,179,1.953350,0.000000,0.000000,0.000000,events/second
1602074575,179,1.891420,0.000000,0.000000,0.000000,events/second
1602074578,179,1.833327,0.000000,0.000000,0.000000,events/second
1602074581,182,1.808791,0.000000,0.000000,0.000000,events/second
1602074584,187,1.804383,0.000000,0.000000,0.000000,events/second
1602074587,187,1.753766,0.000000,0.000000,0.000000,events/second
1602074590,191,1.742087,0.000000,0.000000,0.000000,events/second
1602074593,194,1.722561,0.000000,0.000000,0.000000,events/second
1602074596,194,1.677886,0.000000,0.000000,0.000000,events/second
1602074599,194,1.635194,0.000000,0.000000,0.000000,events/second
1602074602,194,1.594826,0.000000,0.000000,0.000000,events/second
1602074605,194,1.556709,0.000000,0.000000,0.000000,events/second
1602074608,197,1.543295,0.000000,0.000000,0.000000,events/second
1602074611,200,1.531135,0.000000,0.000000,0.000000,events/second
1602074614,200,1.496598,0.000000,0.000000,0.000000,events/second
1602074617,200,1.463728,0.000000,0.000000,0.000000,events/second
1602074620,200,1.432406,0.000000,0.000000,0.000000,events/second
1602074623,200,1.402170,0.000000,0.000000,0.000000,events/second
1602074626,200,1.373281,0.000000,0.000000,0.000000,events/second
1602074629,200,1.345517,0.000000,0.000000,0.000000,events/second
1602074632,203,1.338721,0.000000,0.000000,0.000000,events/second
1602074635,203,1.312896,0.000000,0.000000,0.000000,events/second
1602074638,203,1.287773,0.000000,0.000000,0.000000,events/second
1602074641,203,1.263722,0.000000,0.000000,0.000000,events/second
1602074644,203,1.240561,0.000000,0.000000,0.000000,events/second
1602074647,203,1.218233,0.000000,0.000000,0.000000,events/second
1602074650,203,1.196671,0.000000,0.000000,0.000000,events/second
1602074653,206,1.193257,0.000000,0.000000,0.000000,events/second
1602074656,206,1.172882,0.000000,0.000000,0.000000,events/second
1602074659,206,1.153164,0.000000,0.000000,0.000000,events/second
1602074662,206,1.134255,0.000000,0.000000,0.000000,events/second
1602074665,206,1.115696,0.000000,0.000000,0.000000,events/second
1602074668,206,1.097865,0.000000,0.000000,0.000000,events/second
1602074671,208,1.091167,0.000000,0.000000,0.000000,events/second
1602074674,209,1.079334,0.000000,0.000000,0.000000,events/second
1602074677,209,1.062875,0.000000,0.000000,0.000000,events/second
1602074680,209,1.046901,0.000000,0.000000,0.000000,events/second
1602074683,209,1.031393,0.000000,0.000000,0.000000,events/second
1602074686,209,1.016389,0.000000,0.000000,0.000000,events/second
1602074689,209,1.001728,0.000000,0.000000,0.000000,events/second
1602074692,209,0.987596,0.000000,0.000000,0.000000,events/second
1602074695,209,0.973748,0.000000,0.000000,0.000000,events/second
1602074698,209,0.960370,0.000000,0.000000,0.000000,events/second
1602074701,209,0.947296,0.000000,0.000000,0.000000,events/second
1602074704,209,0.934518,0.000000,0.000000,0.000000,events/second
1602074707,209,0.922250,0.000000,0.000000,0.000000,events/second
1602074710,209,0.910168,0.000000,0.000000,0.000000,events/second
1602074713,209,0.898459,0.000000,0.000000,0.000000,events/second
1602074716,209,0.886999,0.000000,0.000000,0.000000,events/second
1602074719,209,0.875866,0.000000,0.000000,0.000000,events/second
1602074722,209,0.864994,0.000000,0.000000,0.000000,events/second
1602074725,209,0.854387,0.000000,0.000000,0.000000,events/second
1602074728,209,0.843967,0.000000,0.000000,0.000000,events/second
1602074731,209,0.833917,0.000000,0.000000,0.000000,events/second
1602074734,209,0.824070,0.000000,0.000000,0.000000,events/second
1602074737,209,0.814386,0.000000,0.000000,0.000000,events/second
1602074740,209,0.804973,0.000000,0.000000,0.000000,events/second
1602074743,209,0.795778,0.000000,0.000000,0.000000,events/second
1602074746,209,0.786794,0.000000,0.000000,0.000000,events/second
