t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,8,2.500624,0.000000,0.000000,0.000000,events/second
1602074488,9,1.486753,0.000000,0.000000,0.000000,events/second
1602074491,9,0.995310,0.000000,0.000000,0.000000,events/second
1602074494,9,0.748063,0.000000,0.000000,0.000000,events/second
1602074497,9,0.599078,0.000000,0.000000,0.000000,events/second
1602074500,9,0.499132,0.000000,0.000000,0.000000,events/second
1602074503,9,0.427887,0.000000,0.000000,0.000000,events/second
1602074506,9,0.374345,0.000000,0.000000,0.000000,events/second
1602074509,9,0.332852,0.000000,0.000000,0.000000,events/second
1602074512,9,0.299701,0.000000,0.000000,0.000000,events/second
1602074515,9,0.272540,0.000000,0.000000,0.000000,events/second
1602074518,9,0.249797,0.000000,0.000000,0.000000,events/second
1602074521,9,0.230685,0.000000,0.000000,0.000000,events/second
1602074524,9,0.214166,0.000000,0.000000,0.000000,events/second
1602074527,9,0.199881,0.000000,0.000000,0.000000,events/second
1602074530,9,0.187411,0.000000,0.000000,0.000000,events/second
1602074533,9,0.176410,0.000000,0.000000,0.000000,events/second
1602074536,9,0.166617,0.000000,0.000000,0.000000,events/second
1602074539,9,0.157805,0.000000,0.000000,0.000000,events/second
1602074542,9,0.149950,0.000000,0.000000,0.000000,events/second
1602074545,9,0.142791,0.000000,0.000000,0.000000,events/second
1602074548,9,0.136297,0.000000,0.000000,0.000000,events/second
1602074551,9,0.130376,0.000000,0.000000,0.000000,events/second
1602074554,9,0.124948,0.000000,0.000000,0.000000,events/second
1602074557,9,0.119952,0.000000,0.000000,0.000000,events/second
1602074560,9,0.115337,0.000000,0.000000,0.000000,events/second
1602074563,9,0.111085,0.000000,0.000000,0.000000,events/second
1602074566,9,0.107087,0.000000,0.000000,0.000000,events/second
1602074569,9,0.103408,0.000000,0.000000,0.000000,events/second
1602074572,9,0.099969,0.000000,0.000000,0.000000,events/second
1602074575,9,0.096744,0.000000,0.000000,0.000000,events/second
1602074578,9,0.093723,0.000000,0.000000,0.000000,events/second
1602074581,9,0.090899,0.000000,0.000000,0.000000,events/second
1602074584,9,0.088212,0.000000,0.000000,0.000000,events/second
