t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1602074485,60,18.741137,0.000000,0.000000,0.000000,events/second
1602074488,89,14.699719,0.000000,0.000000,0.000000,events/second
1602074491,89,9.841359,0.000000,0.000000,0.000000,events/second
1602074494,89,7.397073,0.000000,0.000000,0.000000,events/second
1602074497,89,5.923932,0.000000,0.000000,0.000000,events/second
1602074500,89,4.935666,0.000000,0.000000,0.000000,events/second
1602074503,89,4.231184,0.000000,0.000000,0.000000,events/second
1602074506,89,3.701704,0.000000,0.000000,0.000000,events/second
1602074509,89,3.291441,0.000000,0.000000,0.000000,events/second
1602074512,89,2.963639,0.000000,0.000000,0.000000,events/second
1602074515,89,2.695065,0.000000,0.000000,0.000000,events/second
1602074518,89,2.470135,0.000000,0.000000,0.000000,events/second
1602074521,89,2.281174,0.000000,0.000000,0.000000,events/second
1602074524,89,2.117830,0.000000,0.000000,0.000000,events/second
1602074527,89,1.976573,0.000000,0.000000,0.000000,events/second
1602074530,89,1.853256,0.000000,0.000000,0.000000,events/second
1602074533,89,1.744473,0.000000,0.000000,0.000000,events/second
1602074536,89,1.647632,0.000000,0.000000,0.000000,events/second
1602074539,89,1.560499,0.000000,0.000000,0.000000,events/second
1602074542,89,1.482823,0.000000,0.000000,0.000000,events/second
1602074545,89,1.412033,0.000000,0.000000,0.000000,events/second
1602074548,89,1.347810,0.000000,0.000000,0.000000,events/second
1602074551,89,1.289258,0.000000,0.000000,0.000000,events/second
1602074554,89,1.235585,0.000000,0.000000,0.000000,events/second
1602074557,89,1.186186,0.000000,0.000000,0.000000,events/second
1602074560,89,1.140544,0.000000,0.000000,0.000000,events/second
1602074563,89,1.098498,0.000000,0.000000,0.000000,events/second
1602074566,89,1.058961,0.000000,0.000000,0.000000,events/second
1602074569,89,1.022587,0.000000,0.000000,0.000000,events/second
1602074572,89,0.988572,0.000000,0.000000,0.000000,events/second
1602074575,89,0.956687,0.000000,0.000000,0.000000,events/second
1602074578,89,0.926810,0.000000,0.000000,0.000000,events/second
1602074581,89,0.898889,0.000000,0.000000,0.000000,events/second
1602074584,89,0.872310,0.000000,0.000000,0.000000,events/second
1602074587,89,0.847462,0.000000,0.000000,0.000000,events/second
1602074590,89,0.823845,0.000000,0.000000,0.000000,events/second
1602074593,89,0.801697,0.000000,0.000000,0.000000,events/second
1602074596,89,0.780610,0.000000,0.000000,0.000000,events/second
1602074599,89,0.760477,0.000000,0.000000,0.000000,events/second
1602074602,129,1.074689,0.000000,0.000000,0.000000,events/second
1602074605,129,1.048667,0.000000,0.000000,0.000000,events/second
1602074608,129,1.023470,0.000000,0.000000,0.000000,events/second
1602074611,129,0.999894,0.000000,0.000000,0.000000,events/second
1602074614,129,0.977067,0.000000,0.000000,0.000000,events/second
1602074617,129,0.955351,0.000000,0.000000,0.000000,events/second
1602074620,129,0.934666,0.000000,0.000000,0.000000,events/second
1602074623,129,0.914715,0.000000,0.000000,0.000000,events/second
1602074626,129,0.895659,0.000000,0.000000,0.000000,events/second
1602074629,129,0.877352,0.000000,0.000000,0.000000,events/second
1602074632,129,0.859835,0.000000,0.000000,0.000000,events/second
1602074635,129,0.843073,0.000000,0.000000,0.000000,events/second
1602074638,129,0.826774,0.000000,0.000000,0.000000,events/second
1602074641,129,0.811178,0.000000,0.000000,0.000000,events/second
1602074644,129,0.796162,0.000000,0.000000,0.000000,events/second
1602074647,129,0.781694,0.000000,0.000000,0.000000,events/second
1602074650,129,0.767726,0.000000,0.000000,0.000000,events/second
1602074653,129,0.754262,0.000000,0.000000,0.000000,events/second
1602074656,129,0.741263,0.000000,0.000000,0.000000,events/second
1602074659,129,0.728688,0.000000,0.000000,0.000000,events/second
1602074662,129,0.716633,0.000000,0.000000,0.000000,events/second
1602074665,129,0.704803,0.000000,0.000000,0.000000,events/second
1602074668,129,0.693443,0.000000,0.000000,0.000000,events/second
1602074671,129,0.682491,0.000000,0.000000,0.000000,events/second
1602074674,129,0.671771,0.000000,0.000000,0.000000,events/second
