t,value
1602074485,536870912
1602074488,536870912
1602074491,536870912
1602074494,536870912
1602074497,536870912
1602074500,536870912
1602074503,536870912
1602074506,536870912
1602074509,536870912
1602074512,536870912
1602074515,536870912
1602074518,536870912
1602074521,536870912
1602074524,536870912
1602074527,536870912
1602074530,536870912
1602074533,536870912
1602074536,536870912
1602074539,536870912
1602074542,536870912
1602074545,536870912
1602074548,536870912
1602074551,536870912
1602074554,536870912
1602074557,536870912
1602074560,536870912
1602074563,536870912
1602074566,536870912
1602074569,536870912
1602074572,536870912
1602074575,536870912
1602074578,536870912
1602074581,536870912
1602074584,536870912
1602074587,536870912
1602074590,536870912
1602074593,536870912
1602074596,536870912
1602074599,536870912
1602074602,536870912
1602074605,536870912
1602074608,536870912
1602074611,536870912
1602074614,536870912
1602074617,536870912
1602074620,536870912
1602074623,536870912
1602074626,536870912
1602074629,536870912
1602074632,536870912
1602074635,536870912
1602074638,536870912
1602074641,536870912
1602074644,536870912
1602074647,536870912
1602074650,536870912
1602074653,536870912
1602074656,536870912
1602074659,536870912
1602074662,536870912
1602074665,536870912
1602074668,536870912
1602074671,536870912
1602074674,536870912
1602074677,536870912
1602074680,536870912
1602074683,536870912
1602074686,536870912
1602074689,536870912
1602074692,536870912
1602074695,536870912
1602074698,536870912
1602074701,536870912
1602074704,536870912
1602074707,536870912
1602074710,536870912
1602074713,536870912
1602074716,536870912
1602074719,536870912
1602074722,536870912
1602074725,536870912
1602074728,536870912
1602074731,536870912
1602074734,536870912
1602074737,536870912
1602074740,536870912
1602074743,536870912
1602074746,536870912
1602074749,536870912
1602074752,536870912
1602074755,536870912
1602074758,536870912
1602074761,536870912
1602074764,536870912
1602074767,536870912
1602074770,536870912
1602074773,536870912
1602074776,536870912
1602074779,536870912
1602074782,536870912
1602074785,536870912
1602074788,536870912
1602074791,536870912
1602074794,536870912
1602074797,536870912
1602074800,536870912
1602074803,536870912
1602074806,536870912
1602074809,536870912
1602074812,536870912
1602074815,536870912
1602074818,536870912
1602074821,536870912
1602074824,536870912
1602074827,536870912
1602074830,536870912
1602074833,536870912
1602074836,536870912
1602074839,536870912
1602074842,536870912
1602074845,536870912
1602074848,536870912
1602074851,536870912
1602074854,536870912
1602074857,536870912
1602074860,536870912
1602074863,536870912
1602074866,536870912
1602074869,536870912
1602074872,536870912
1602074875,536870912
1602074878,536870912
1602074881,536870912
1602074884,536870912
1602074887,536870912
1602074890,536870912
1602074893,536870912
1602074896,536870912
1602074899,536870912
1602074902,536870912
1602074905,536870912
1602074908,536870912
1602074911,536870912
1602074914,536870912
1602074917,536870912
1602074920,536870912
1602074923,536870912
1602074926,536870912
1602074929,536870912
1602074932,536870912
1602074935,536870912
1602074938,536870912
1602074941,536870912
1602074944,536870912
1602074947,536870912
1602074950,536870912
1602074953,536870912
1602074956,536870912
1602074959,536870912
1602074962,536870912
1602074965,536870912
1602074968,536870912
1602074971,536870912
1602074974,536870912
1602074977,536870912
1602074980,536870912
1602074983,536870912
1602074986,536870912
1602074989,536870912
1602074992,536870912
1602074995,536870912
1602074998,536870912
1602075001,536870912
1602075004,536870912
1602075007,536870912
1602075010,536870912
1602075013,536870912
1602075016,536870912
1602075019,536870912
1602075022,536870912
1602075025,536870912
1602075028,536870912
1602075031,536870912
1602075034,536870912
1602075037,536870912
1602075040,536870912
1602075043,536870912
1602075046,536870912
1602075049,536870912
1602075052,536870912
1602075055,536870912
1602075058,536870912
1602075061,536870912
1602075064,536870912
1602075067,536870912
1602075070,536870912
1602075073,536870912
1602075076,536870912
1602075079,536870912
1602075082,536870912
1602075085,536870912
1602075088,536870912
1602075091,536870912
1602075094,536870912
1602075097,536870912
1602075100,536870912
1602075103,536870912
1602075106,536870912
1602075109,536870912
1602075112,536870912
1602075115,536870912
1602075118,536870912
1602075121,536870912
1602075124,536870912
1602075127,536870912
1602075130,536870912
1602075133,536870912
1602075136,536870912
1602075139,536870912
1602075142,536870912
1602075145,536870912
1602075148,536870912
1602075151,536870912
1602075154,536870912
1602075157,536870912
1602075160,536870912
1602075163,536870912
1602075166,536870912
1602075169,536870912
1602075172,536870912
1602075175,536870912
1602075178,536870912
1602075181,536870912
1602075184,536870912
1602075187,536870912
1602075190,536870912
1602075193,536870912
1602075196,536870912
1602075199,536870912
1602075202,536870912
1602075205,536870912
1602075208,536870912
1602075211,536870912
1602075214,536870912
1602075217,536870912
1602075220,536870912
1602075223,536870912
1602075226,536870912
1602075229,536870912
1602075232,536870912
1602075235,536870912
1602075238,536870912
1602075241,536870912
1602075244,536870912
1602075247,536870912
1602075250,536870912
1602075253,536870912
1602075256,536870912
1602075259,536870912
1602075262,536870912
1602075265,536870912
1602075268,536870912
1602075271,536870912
1602075274,536870912
1602075277,536870912
1602075280,536870912
1602075283,536870912
1602075286,536870912
1602075289,536870912
1602075292,536870912
1602075295,536870912
1602075298,536870912
1602075301,536870912
1602075304,536870912
1602075307,536870912
1602075310,536870912
1602075313,536870912
1602075316,536870912
1602075319,536870912
1602075322,536870912
1602075325,536870912
1602075328,536870912
1602075331,536870912
1602075334,536870912
1602075337,536870912
1602075340,536870912
1602075343,536870912
t,value
1602076335,536870912
1602076338,536870912
1602076341,536870912
1602076344,536870912
1602076347,536870912
1602076350,536870912
1602076353,536870912
1602076356,536870912
1602076359,536870912
1602076362,536870912
1602076365,536870912
1602076368,536870912
