t,value
1602074485,177064256
1602074488,136839168
1602074491,165150720
1602074494,241696768
1602074497,242745344
1602074500,243793920
1602074503,243793920
1602074506,244842496
1602074509,245891072
1602074512,250085376
1602074515,251133952
1602074518,251133952
1602074521,252182528
1602074524,253231104
1602074527,254279680
1602074530,254279680
1602074533,257425408
1602074536,260571136
1602074539,261619712
1602074542,285736960
1602074545,287834112
1602074548,288882688
1602074551,290979840
1602074554,292028416
1602074557,293076992
1602074560,294125568
1602074563,295174144
1602074566,303562752
1602074569,305659904
1602074572,306708480
1602074575,307757056
1602074578,308805632
1602074581,324534272
1602074584,325582848
1602074587,326631424
1602074590,340262912
1602074593,342360064
1602074596,342360064
1602074599,343408640
1602074602,74285680
1602074605,76382832
1602074608,81625712
1602074611,85820016
1602074614,86868592
1602074617,86868592
1602074620,87917168
1602074623,88965744
1602074626,90014320
1602074629,91062896
1602074632,94208624
1602074635,95257200
1602074638,96305776
1602074641,97354352
1602074644,97354352
1602074647,98402928
1602074650,99451504
1602074653,103645808
1602074656,103645808
1602074659,104694384
1602074662,127763056
1602074665,128811632
1602074668,129860208
1602074671,133005936
1602074674,134054512
1602074677,135103088
1602074680,136151664
1602074683,137200240
1602074686,137200240
1602074689,138248816
1602074692,139297392
1602074695,140345968
1602074698,140345968
1602074701,141394544
1602074704,142443120
1602074707,143491696
1602074710,143491696
1602074713,144540272
1602074716,145588848
1602074719,146637424
1602074722,169706096
1602074725,169706096
1602074728,170754672
1602074731,171803248
1602074734,171803248
1602074737,172851824
1602074740,173900400
1602074743,174948976
1602074746,174948976
1602074749,175997552
1602074752,177046128
1602074755,178094704
1602074758,178094704
1602074761,179143280
1602074764,180191856
1602074767,180191856
1602074770,181240432
1602074773,182289008
1602074776,183337584
1602074779,183337584
1602074782,207454832
1602074785,207454832
1602074788,208503408
1602074791,209551984
1602074794,210600560
1602074797,210600560
1602074800,211649136
1602074803,212697712
1602074806,213746288
1602074809,213746288
1602074812,214794864
1602074815,215843440
1602074818,216892016
1602074821,216892016
1602074824,217940592
1602074827,218989168
1602074830,218989168
1602074833,220037744
1602074836,221086320
1602074839,222134896
1602074842,245203568
1602074845,246252144
1602074848,246252144
1602074851,247300720
1602074854,248349296
1602074857,248349296
1602074860,249397872
1602074863,250446448
1602074866,251495024
1602074869,251495024
1602074872,252543600
1602074875,253592176
1602074878,253592176
1602074881,254640752
1602074884,255689328
1602074887,256737904
1602074890,257786480
1602074893,257786480
1602074896,258835056
1602074899,259883632
1602074902,282952304
1602074905,282952304
1602074908,284000880
1602074911,285049456
1602074914,286098032
1602074917,286098032
1602074920,287146608
1602074923,288195184
1602074926,288195184
1602074929,289243760
1602074932,290292336
1602074935,291340912
1602074938,291340912
1602074941,292389488
1602074944,293438064
1602074947,294486640
1602074950,294486640
1602074953,295535216
1602074956,296583792
1602074959,296583792
1602074962,320701040
1602074965,321749616
1602074968,322798192
1602074971,322798192
1602074974,323846768
1602074977,324895344
1602074980,325943920
1602074983,325943920
1602074986,326992496
1602074989,328041072
1602074992,328041072
1602074995,329089648
1602074998,330138224
1602075001,331186800
1602075004,331186800
1602075007,332235376
1602075010,333283952
1602075013,334332528
1602075016,334332528
1602075019,335381104
1602075022,66775552
1602075025,67824128
1602075028,68872704
1602075031,69921280
1602075034,69921280
1602075037,70969856
1602075040,72018432
1602075043,72018432
1602075046,73067008
1602075049,74115584
1602075052,75164160
1602075055,76212736
1602075058,76212736
1602075061,77261312
1602075064,78309888
1602075067,79358464
1602075070,79358464
1602075073,80407040
1602075076,81455616
1602075079,82504192
1602075082,105572864
1602075085,106621440
1602075088,107670016
1602075091,107670016
1602075094,108718592
1602075097,109767168
1602075100,110815744
1602075103,110815744
1602075106,111864320
1602075109,112912896
1602075112,112912896
1602075115,113961472
1602075118,115010048
1602075121,116058624
1602075124,116058624
1602075127,117107200
1602075130,118155776
1602075133,119204352
1602075136,119204352
1602075139,120252928
1602075142,143321600
1602075145,144370176
1602075148,145418752
1602075151,145418752
1602075154,146467328
1602075157,147515904
1602075160,148564480
1602075163,148564480
1602075166,149613056
1602075169,150661632
1602075172,150661632
1602075175,151710208
1602075178,152758784
1602075181,153807360
1602075184,153807360
1602075187,154855936
1602075190,155904512
1602075193,155904512
1602075196,156953088
1602075199,158001664
1602075202,181070336
1602075205,182118912
1602075208,182118912
1602075211,183167488
1602075214,184216064
1602075217,185264640
1602075220,185264640
1602075223,186313216
1602075226,187361792
1602075229,188410368
1602075232,188410368
1602075235,189458944
1602075238,190507520
1602075241,191556096
1602075244,191556096
1602075247,192604672
1602075250,193653248
1602075253,193653248
1602075256,194701824
1602075259,195750400
1602075262,218819072
1602075265,219867648
1602075268,220916224
1602075271,220916224
1602075274,221964800
1602075277,223013376
1602075280,223013376
1602075283,224061952
1602075286,225110528
1602075289,226159104
1602075292,226159104
1602075295,227207680
1602075298,228256256
1602075301,229304832
1602075304,229304832
1602075307,230353408
1602075310,231401984
1602075313,231401984
1602075316,232450560
1602075319,233499136
1602075322,256567808
1602075325,257616384
1602075328,257616384
1602075331,258664960
1602075334,259713536
1602075337,260762112
1602075340,260762112
1602075343,261810688
t,value
1602076335,150340096
1602076338,130167248
1602076341,131215824
1602076344,311570896
1602076347,122418496
1602076350,123467072
1602076353,124515648
1602076356,124515648
1602076359,126612800
1602076362,126612800
1602076365,127661376
1602076368,128709952
1602076371,146535744
1602076374,218887488
1602076377,220984640
1602076380,234616128
1602076383,235664704
1602076386,236713280
1602076389,237761856
1602076392,259781952
1602076395,260830528
1602076398,261879104
1602076401,262927680
1602076404,263976256
1602076407,265024832
1602076410,265024832
1602076413,269219136
1602076416,269219136
1602076419,270267712
1602076422,271316288
1602076425,272364864
1602076428,272364864
1602076431,274462016
1602076434,274462016
1602076437,274462016
1602076440,274462016
1602076443,274462016
1602076446,65193856
1602076449,66242432
1602076452,89311104
1602076455,90359680
1602076458,91408256
1602076461,92456832
1602076464,93505408
1602076467,93505408
1602076470,94553984
1602076473,98748288
1602076476,99796864
1602076479,100845440
1602076482,100845440
1602076485,101894016
1602076488,102942592
1602076491,106088320
1602076494,107136896
1602076497,108185472
1602076500,109234048
1602076503,109234048
1602076506,110282624
1602076509,111331200
1602076512,133351296
1602076515,133351296
1602076518,134399872
1602076521,135448448
1602076524,136497024
1602076527,136497024
1602076530,137545600
1602076533,141739904
1602076536,142788480
1602076539,143837056
1602076542,143837056
1602076545,144885632
1602076548,145934208
1602076551,160614272
1602076554,161662848
1602076557,162711424
1602076560,162711424
1602076563,163760000
1602076566,164808576
1602076569,164808576
1602076572,186828672
1602076575,186828672
1602076578,187877248
1602076581,188925824
1602076584,189974400
1602076587,189974400
1602076590,191022976
1602076593,195217280
1602076596,195217280
1602076599,196265856
1602076602,197314432
1602076605,198363008
1602076608,198363008
1602076611,201508736
1602076614,202557312
1602076617,203605888
1602076620,204654464
1602076623,205703040
1602076626,205703040
1602076629,206751616
1602076632,227723136
1602076635,228771712
1602076638,229820288
1602076641,229820288
1602076644,230868864
1602076647,231917440
1602076650,232966016
1602076653,236111744
1602076656,313706368
1602076659,329435008
1602076662,330483584
1602076665,331532160
1602076668,332580736
1602076671,335726464
1602076674,339920768
1602076677,340969344
1602076680,340969344
1602076683,342017920
1602076686,343066496
1602076689,344115072
1602076692,365086592
1602076695,365086592
1602076698,366135168
1602076701,367183744
1602076704,368232320
1602076707,368232320
1602076710,369280896
1602076713,372426624
1602076716,373475200
1602076719,66740344
1602076722,67788920
1602076725,68837496
1602076728,69886072
1602076731,73031800
1602076734,74080376
1602076737,75128952
1602076740,76177528
1602076743,76177528
1602076746,77226104
1602076749,78274680
1602076752,100294776
1602076755,101343352
1602076758,102391928
1602076761,103440504
1602076764,104489080
1602076767,104489080
1602076770,105537656
1602076773,109731960
1602076776,110780536
1602076779,111829112
1602076782,111829112
1602076785,112877688
1602076788,113926264
1602076791,117071992
1602076794,118120568
1602076797,118120568
1602076800,119169144
1602076803,120217720
1602076806,121266296
1602076809,121266296
1602076812,143286392
1602076815,144334968
1602076818,144334968
1602076821,145383544
1602076824,146432120
1602076827,147480696
1602076830,148529272
1602076833,151675000
1602076836,151675000
1602076839,152723576
1602076842,153772152
1602076845,154820728
1602076848,154820728
1602076851,157966456
1602076854,159015032
1602076857,160063608
1602076860,161112184
1602076863,161112184
1602076866,162160760
1602076869,163209336
1602076872,184180856
1602076875,185229432
1602076878,185229432
1602076881,186278008
1602076884,187326584
1602076887,187326584
1602076890,188375160
1602076893,191520888
1602076896,192569464
1602076899,193618040
1602076902,194666616
1602076905,194666616
1602076908,195715192
1602076911,198860920
1602076914,199909496
1602076917,200958072
1602076920,200958072
1602076923,202006648
1602076926,203055224
1602076929,203055224
1602076932,225075320
1602076935,226123896
1602076938,226123896
1602076941,227172472
1602076944,228221048
1602076947,229269624
1602076950,229269624
1602076953,233463928
1602076956,234512504
1602076959,234512504
1602076962,235561080
1602076965,236609656
1602076968,236609656
1602076971,240803960
1602076974,241852536
1602076977,242901112
1602076980,242901112
1602076983,243949688
