t,value
1602074485,10378
1602074488,10503
1602074491,10721
1602074494,12007
1602074497,12007
1602074500,12007
1602074503,12007
1602074506,12007
1602074509,12007
1602074512,12854
1602074515,12854
1602074518,12854
1602074521,12854
1602074524,12854
1602074527,12854
1602074530,12854
1602074533,12854
1602074536,12854
1602074539,12854
1602074542,12271
1602074545,12271
1602074548,12271
1602074551,12271
1602074554,12271
1602074557,12271
1602074560,12271
1602074563,12271
1602074566,12271
1602074569,12271
1602074572,12271
1602074575,12271
1602074578,12271
1602074581,12271
1602074584,12271
1602074587,12271
1602074590,12271
1602074593,12271
1602074596,12271
1602074599,12271
1602074602,12271
1602074605,12271
1602074608,12312
1602074611,12312
1602074614,12312
1602074617,12312
1602074620,12312
1602074623,12312
1602074626,12312
1602074629,12312
1602074632,12312
1602074635,12312
1602074638,12312
1602074641,12312
1602074644,12312
1602074647,12312
1602074650,12312
1602074653,12312
1602074656,12312
1602074659,12312
1602074662,12312
1602074665,12312
1602074668,12312
1602074671,12312
1602074674,12312
1602074677,12312
1602074680,12312
1602074683,12312
1602074686,12312
1602074689,12312
1602074692,12312
1602074695,12312
1602074698,12312
1602074701,12312
1602074704,12312
1602074707,12312
1602074710,12312
1602074713,12312
1602074716,12312
1602074719,12312
1602074722,12312
1602074725,12312
1602074728,12312
1602074731,12312
1602074734,12312
1602074737,12312
1602074740,12312
1602074743,12312
1602074746,12312
1602074749,12312
1602074752,12312
1602074755,12312
1602074758,12312
1602074761,12312
1602074764,12312
1602074767,12312
1602074770,12312
1602074773,12312
1602074776,12312
1602074779,12312
1602074782,12312
1602074785,12312
1602074788,12312
1602074791,12312
1602074794,12312
1602074797,12312
1602074800,12312
1602074803,12312
1602074806,12312
1602074809,12312
1602074812,12312
1602074815,12312
1602074818,12312
1602074821,12312
1602074824,12312
1602074827,12312
1602074830,12312
1602074833,12312
1602074836,12312
1602074839,12312
1602074842,12312
1602074845,12312
1602074848,12312
1602074851,12312
1602074854,12312
1602074857,12312
1602074860,12312
1602074863,12312
1602074866,12312
1602074869,12312
1602074872,12312
1602074875,12312
1602074878,12312
1602074881,12312
1602074884,12312
1602074887,12312
1602074890,12312
1602074893,12312
1602074896,12312
1602074899,12312
1602074902,12312
1602074905,12312
1602074908,12312
1602074911,12312
1602074914,12312
1602074917,12312
1602074920,12312
1602074923,12312
1602074926,12312
1602074929,12312
1602074932,12312
1602074935,12312
1602074938,12312
1602074941,12312
1602074944,12312
1602074947,12312
1602074950,12312
1602074953,12312
1602074956,12312
1602074959,12312
1602074962,12312
1602074965,12312
1602074968,12312
1602074971,12312
1602074974,12312
1602074977,12312
1602074980,12312
1602074983,12312
1602074986,12312
1602074989,12312
1602074992,12312
1602074995,12312
1602074998,12312
1602075001,12312
1602075004,12312
1602075007,12312
1602075010,12312
1602075013,12312
1602075016,12312
1602075019,12312
1602075022,12312
1602075025,12312
1602075028,12312
1602075031,12312
1602075034,12312
1602075037,12312
1602075040,12312
1602075043,12312
1602075046,12312
1602075049,12312
1602075052,12312
1602075055,12312
1602075058,12312
1602075061,12312
1602075064,12312
1602075067,12312
1602075070,12312
1602075073,12312
1602075076,12312
1602075079,12312
1602075082,12312
1602075085,12312
1602075088,12312
1602075091,12312
1602075094,12312
1602075097,12312
1602075100,12312
1602075103,12312
1602075106,12312
1602075109,12312
1602075112,12312
1602075115,12312
1602075118,12312
1602075121,12312
1602075124,12312
1602075127,12312
1602075130,12312
1602075133,12312
1602075136,12312
1602075139,12312
1602075142,12312
1602075145,12312
1602075148,12312
1602075151,12312
1602075154,12312
1602075157,12312
1602075160,12312
1602075163,12312
1602075166,12312
1602075169,12312
1602075172,12312
1602075175,12312
1602075178,12312
1602075181,12312
1602075184,12312
1602075187,12312
1602075190,12312
1602075193,12312
1602075196,12312
1602075199,12312
1602075202,12312
1602075205,12312
1602075208,12312
1602075211,12312
1602075214,12312
1602075217,12312
1602075220,12312
1602075223,12312
1602075226,12312
1602075229,12312
1602075232,12312
1602075235,12312
1602075238,12312
1602075241,12312
1602075244,12312
1602075247,12312
1602075250,12312
1602075253,12312
1602075256,12312
1602075259,12312
1602075262,12312
1602075265,12312
1602075268,12312
1602075271,12312
1602075274,12312
1602075277,12312
1602075280,12312
1602075283,12312
1602075286,12312
1602075289,12312
1602075292,12312
1602075295,12312
1602075298,12312
1602075301,12312
1602075304,12312
1602075307,12312
1602075310,12312
1602075313,12312
1602075316,12312
1602075319,12312
1602075322,12312
1602075325,12312
1602075328,12312
1602075331,12312
1602075334,12312
1602075337,12312
1602075340,12312
1602075343,12312
t,value
1602076335,272165
1602076338,272368
1602076341,272368
1602076344,272459
1602076347,272459
1602076350,272459
1602076353,272459
1602076356,272459
1602076359,272459
1602076362,272459
1602076365,272459
1602076368,272459
1602076371,272459
1602076374,273810
1602076377,273956
1602076380,274334
1602076383,274334
1602076386,274334
1602076389,274334
1602076392,142991
1602076395,142991
1602076398,142991
1602076401,142991
1602076404,142991
1602076407,142991
1602076410,142991
1602076413,142991
1602076416,142991
1602076419,142991
1602076422,142991
1602076425,142991
1602076428,142991
1602076431,142991
1602076434,142991
1602076437,142991
1602076440,142991
1602076443,142991
1602076446,142991
1602076449,142991
1602076452,142991
1602076455,142991
1602076458,142991
1602076461,142991
1602076464,142991
1602076467,142991
1602076470,142991
1602076473,142991
1602076476,142991
1602076479,142991
1602076482,142991
1602076485,142991
1602076488,142991
1602076491,142991
1602076494,142991
1602076497,142991
1602076500,142991
1602076503,142991
1602076506,142991
1602076509,142991
1602076512,142991
1602076515,142991
1602076518,142991
1602076521,142991
1602076524,142991
1602076527,142991
1602076530,142991
1602076533,142991
1602076536,142991
1602076539,142991
1602076542,142991
1602076545,142991
1602076548,142991
1602076551,142991
1602076554,142991
1602076557,142991
1602076560,142991
1602076563,142991
1602076566,142991
1602076569,142991
1602076572,142991
1602076575,142991
1602076578,142991
1602076581,142991
1602076584,142991
1602076587,142991
1602076590,142991
1602076593,142991
1602076596,142991
1602076599,142991
1602076602,142991
1602076605,142991
1602076608,142991
1602076611,142991
1602076614,142991
1602076617,142991
1602076620,142991
1602076623,142991
1602076626,142991
1602076629,142991
1602076632,142991
1602076635,142991
1602076638,142991
1602076641,142991
1602076644,142991
1602076647,142991
1602076650,142991
1602076653,142991
1602076656,142991
1602076659,142991
1602076662,142991
1602076665,142991
1602076668,142991
1602076671,142991
1602076674,142991
1602076677,142991
1602076680,142991
1602076683,142991
1602076686,142991
1602076689,142991
1602076692,142991
1602076695,142991
1602076698,142991
1602076701,142991
1602076704,142991
1602076707,142991
1602076710,142991
1602076713,142991
1602076716,142991
1602076719,142991
1602076722,142991
1602076725,142991
1602076728,142991
1602076731,142991
1602076734,142991
1602076737,142991
1602076740,142991
1602076743,142991
1602076746,142991
1602076749,142991
1602076752,142991
1602076755,142991
1602076758,142991
1602076761,142991
1602076764,142991
1602076767,142991
1602076770,142991
1602076773,142991
1602076776,142991
1602076779,142991
1602076782,142991
1602076785,142991
1602076788,142991
1602076791,142991
1602076794,142991
1602076797,142991
1602076800,142991
1602076803,142991
1602076806,142991
1602076809,142991
1602076812,142991
1602076815,142991
1602076818,142991
1602076821,142991
1602076824,142991
1602076827,142991
1602076830,142991
1602076833,142991
1602076836,142991
1602076839,142991
1602076842,142991
1602076845,142991
1602076848,142991
1602076851,142991
1602076854,142991
1602076857,142991
1602076860,142991
1602076863,142991
1602076866,142991
1602076869,142991
1602076872,142991
1602076875,142991
1602076878,142991
1602076881,142991
1602076884,142991
1602076887,142991
1602076890,142991
1602076893,142991
1602076896,142991
1602076899,142991
1602076902,142991
1602076905,142991
1602076908,142991
1602076911,142991
1602076914,142991
1602076917,142991
1602076920,142991
1602076923,142991
1602076926,142991
1602076929,142991
1602076932,142991
1602076935,142991
1602076938,142991
1602076941,142991
1602076944,142991
1602076947,142991
1602076950,142991
1602076953,142991
1602076956,142991
1602076959,142991
1602076962,142991
1602076965,142991
1602076968,142991
1602076971,142991
1602076974,142991
1602076977,142991
1602076980,142991
1602076983,142991
1602076986,142991
1602076989,142991
1602076992,142991
1602076995,142991
1602076998,142991
1602077001,142991
1602077004,142991
1602077007,142991
1602077010,142991
1602077013,142991
1602077016,142991
1602077019,142991
1602077022,142991
1602077025,142991
1602077028,142991
1602077031,142991
1602077034,142991
1602077037,142991
1602077040,142991
1602077043,142991
1602077046,142991
1602077049,142991
1602077052,142991
1602077055,142991
1602077058,142991
1602077061,142991
1602077064,142991
1602077067,142991
1602077070,142991
1602077073,142991
1602077076,142991
1602077079,142991
1602077082,142991
1602077085,142991
1602077088,142991
1602077091,142991
1602077094,142991
1602077097,142991
1602077100,142991
1602077103,142991
1602077106,142991
1602077109,142991
1602077112,142991
1602077115,142991
1602077118,142991
1602077121,142991
1602077124,142991
1602077127,142991
1602077130,142991
1602077133,142991
1602077136,142991
1602077139,142991
1602077142,142991
1602077145,142991
1602077148,142991
1602077151,142991
1602077154,142991
1602077157,142991
1602077160,142991
1602077163,142991
1602077166,142991
1602077169,142991
1602077172,142991
1602077175,142991
1602077178,142991
1602077181,142991
1602077184,142991
1602077187,142991
1602077190,142991
1602077193,142991
1602077196,142991
1602077199,142991
1602077202,142991
1602077205,142991
1602077208,142991
1602077211,142991
1602077214,142991
1602077217,142991
1602077220,142991
1602077223,142991
1602077226,142991
1602077229,142991
1602077232,142991
1602077235,142991
1602077238,142991
1602077241,142991
1602077244,142991
1602077247,142991
1602077250,142991
1602077253,142991
1602077256,142991
1602077259,142991
1602077262,142991
1602077265,142991
1602077268,142991
1602077271,142991
1602077274,142991
1602077277,142991
1602077280,142991
1602077283,142991
1602077286,142991
1602077289,142991
1602077292,142991
1602077295,142991
1602077298,142991
1602077301,142991
1602077304,142991
1602077307,142991
1602077310,142991
1602077313,142991
1602077316,142991
1602077319,142991
1602077322,142991
1602077325,142991
1602077328,142991
1602077331,142991
1602077334,142991
1602077337,142991
1602077340,142991
1602077343,142991
1602077346,142991
1602077349,142991
1602077352,142991
1602077355,142991
1602077358,142991
1602077361,142991
1602077364,142991
1602077367,142991
1602077370,142991
1602077373,142991
1602077376,142991
1602077379,142991
1602077382,142991
1602077385,142991
1602077388,142991
1602077391,142991
1602077394,142991
1602077397,142991
1602077400,142991
1602077403,142991
1602077406,142991
1602077409,142991
1602077412,142991
1602077415,142991
1602077418,142991
1602077421,142991
1602077424,142991
1602077427,142991
1602077430,142991
1602077433,142991
1602077436,142991
1602077439,142991
1602077442,142991
1602077445,142991
1602077448,142991
1602077451,142991
1602077454,142991
1602077457,142991
1602077460,142991
1602077463,142991
1602077466,142991
1602077469,142991
1602077472,142991
1602077475,142991
1602077478,142991
1602077481,142991
1602077484,142991
1602077487,142991
1602077490,142991
1602077493,142991
1602077496,142991
1602077499,142991
1602077502,142991
1602077505,142991
1602077508,142991
1602077511,142991
1602077514,142991
1602077517,142991
1602077520,142991
1602077523,142991
1602077526,142991
1602077529,142991
1602077532,142991
1602077535,142991
1602077538,142991
1602077541,142991
1602077544,142991
1602077547,142991
1602077550,142991
1602077553,142991
1602077556,142991
1602077559,142991
1602077562,142991
1602077565,142991
1602077568,142991
1602077571,142991
1602077574,142991
1602077577,142991
1602077580,142991
1602077583,142991
1602077586,142991
1602077589,142991
1602077592,142991
1602077595,142991
1602077598,142991
1602077601,142991
1602077604,142991
1602077607,142991
1602077610,142991
1602077613,142991
1602077616,142991
1602077619,142991
1602077622,142991
1602077625,142991
1602077628,142991
1602077631,142991
1602077634,142991
1602077637,142991
1602077640,142991
1602077643,142991
1602077646,142991
1602077649,142991
1602077652,142991
1602077655,142991
1602077658,142991
1602077661,142991
1602077664,142991
1602077667,142991
1602077670,142991
1602077673,142991
1602077676,142991
1602077679,142991
1602077682,142991
1602077685,142991
1602077688,142991
1602077691,142991
1602077694,142991
1602077697,142991
1602077700,142991
1602077703,142991
1602077706,142991
1602077709,142991
1602077712,142991
1602077715,142991
1602077718,142991
1602077721,142991
1602077724,142991
1602077727,142991
1602077730,142991
1602077733,142991
1602077736,142991
1602077739,142991
1602077742,142991
1602077745,142991
1602077748,142991
1602077751,142991
1602077754,143186
1602077757,143186
1602077760,143186
1602077763,143186
1602077766,143186
1602077769,143186
1602077772,143186
1602077775,143186
1602077778,143186
1602077781,143186
1602077784,143186
1602077787,143186
1602077790,143186
1602077793,143186
1602077796,143186
1602077799,143186
1602077802,143186
1602077805,143186
1602077808,143186
1602077811,143186
1602077814,143186
1602077817,143186
1602077820,143186
1602077823,143186
1602077826,143186
1602077829,143186
1602077832,143186
1602077835,143186
1602077838,143186
1602077841,143186
1602077844,143186
1602077847,143186
1602077850,143186
1602077853,143186
1602077856,143186
1602077859,143186
1602077862,143186
1602077865,143186
1602077868,143186
1602077871,143186
1602077874,143186
1602077877,143186
1602077880,143186
1602077883,143186
1602077886,143186
1602077889,143186
1602077892,143186
1602077895,143186
1602077898,143186
1602077901,143186
1602077904,143186
1602077907,143186
1602077910,143186
1602077913,143186
1602077916,143186
1602077919,143186
1602077922,143186
1602077925,143186
1602077928,143186
1602077931,143186
1602077934,143186
1602077937,143186
1602077940,143186
1602077943,143186
1602077946,143186
1602077949,143186
1602077952,143186
1602077955,143186
1602077958,143186
1602077961,143186
1602077964,143186
1602077967,143186
1602077970,143186
1602077973,143186
1602077976,143186
1602077979,143186
1602077982,143186
1602077985,143186
1602077988,143186
1602077991,143186
1602077994,143186
1602077997,143186
1602078000,143186
1602078003,143186
1602078006,143186
1602078009,143186
1602078012,143186
1602078015,143186
1602078018,143186
1602078021,143186
1602078024,143186
1602078027,143186
1602078030,143186
1602078033,143186
1602078036,143186
1602078039,143186
1602078042,143186
1602078045,143186
1602078048,143186
1602078051,143186
1602078054,143186
1602078057,143186
1602078060,143186
1602078063,143186
1602078066,143186
1602078069,143186
1602078072,143186
1602078075,143186
1602078078,143186
1602078081,143186
1602078084,143186
1602078087,143186
1602078090,143186
1602078093,143186
1602078096,143186
1602078099,143186
1602078102,143186
1602078105,143186
1602078108,143186
1602078111,143186
1602078114,143186
1602078117,143186
1602078120,143186
1602078123,143186
1602078126,143186
1602078129,143186
1602078132,143186
1602078135,143186
1602078138,143186
1602078141,143186
1602078144,143186
1602078147,143186
1602078150,143186
1602078153,143186
1602078156,143186
1602078159,143186
1602078162,143186
1602078165,143186
1602078168,143186
1602078171,143186
1602078174,143186
1602078177,143186
1602078180,143186
1602078183,143186
1602078186,143186
1602078189,143186
1602078192,143186
1602078195,143186
1602078198,143186
1602078201,143186
1602078204,143186
1602078207,143186
1602078210,143186
1602078213,143186
1602078216,143186
1602078219,143186
1602078222,143186
1602078225,143186
1602078228,143186
1602078231,143186
1602078234,143186
1602078237,143186
1602078240,143186
1602078243,143186
1602078246,143186
1602078249,143186
1602078252,143186
1602078255,143186
1602078258,143186
1602078261,143186
1602078264,143186
1602078267,143186
1602078270,143186
1602078273,143186
1602078276,143186
1602078279,143186
1602078282,143186
1602078285,143186
1602078288,143186
1602078291,143186
1602078294,143186
1602078297,143186
1602078300,143186
1602078303,143186
1602078306,143186
1602078309,143186
1602078312,143186
1602078315,143186
1602078318,143186
1602078321,143186
1602078324,143186
1602078327,143186
1602078330,143186
1602078333,143186
1602078336,143186
1602078339,143186
1602078342,143186
1602078345,143186
1602078348,143186
1602078351,143186
1602078354,143186
1602078357,143186
1602078360,143186
1602078363,143186
1602078366,143186
1602078369,143186
1602078372,143186
1602078375,143186
1602078378,143186
1602078381,143186
1602078384,143186
1602078387,143186
1602078390,143186
1602078393,143186
1602078396,143186
1602078399,143186
1602078402,143186
1602078405,143186
1602078408,143186
1602078411,143186
1602078414,143186
1602078417,143186
1602078420,143186
1602078423,143186
1602078426,143186
1602078429,143186
1602078432,143186
1602078435,143186
1602078438,143186
1602078441,143186
1602078444,143186
1602078447,143186
1602078450,143186
1602078453,143186
1602078456,143186
1602078459,143186
1602078462,143186
1602078465,143186
1602078468,143186
1602078471,143186
1602078474,143186
1602078477,143186
1602078480,143186
1602078483,143186
1602078486,143186
1602078489,143186
1602078492,143186
1602078495,143186
1602078498,143186
1602078501,143186
1602078504,143186
1602078507,143186
1602078510,143186
1602078513,143186
1602078516,143186
1602078519,143186
1602078522,143186
1602078525,143186
1602078528,143186
1602078531,143186
1602078534,143186
1602078537,143186
1602078540,143186
1602078543,143186
1602078546,143186
1602078549,143186
1602078552,143186
1602078555,143186
1602078558,143186
1602078561,143186
1602078564,143186
1602078567,143186
1602078570,143186
1602078573,143186
1602078576,143186
1602078579,143186
1602078582,143186
1602078585,143186
1602078588,143186
1602078591,143186
1602078594,143186
1602078597,143186
1602078600,143186
1602078603,143186
1602078606,143186
1602078609,143186
