t,value
1602074485,12
1602074488,12
1602074491,13
1602074494,15
1602074497,15
1602074500,15
1602074503,15
1602074506,15
1602074509,15
1602074512,15
1602074515,15
1602074518,15
1602074521,15
1602074524,15
1602074527,15
1602074530,15
1602074533,15
1602074536,15
1602074539,15
1602074542,13
1602074545,13
1602074548,13
1602074551,13
1602074554,13
1602074557,13
1602074560,13
1602074563,13
1602074566,13
1602074569,13
1602074572,13
1602074575,13
1602074578,13
1602074581,13
1602074584,13
1602074587,13
1602074590,13
1602074593,13
1602074596,13
1602074599,13
1602074602,13
1602074605,13
1602074608,13
1602074611,13
1602074614,13
1602074617,13
1602074620,13
1602074623,13
1602074626,13
1602074629,13
1602074632,13
1602074635,13
1602074638,13
1602074641,13
1602074644,13
1602074647,13
1602074650,13
1602074653,13
1602074656,13
1602074659,13
1602074662,13
1602074665,13
1602074668,13
1602074671,13
1602074674,13
1602074677,13
1602074680,13
1602074683,13
1602074686,13
1602074689,13
1602074692,13
1602074695,13
1602074698,13
1602074701,13
1602074704,13
1602074707,13
1602074710,13
1602074713,13
1602074716,13
1602074719,13
1602074722,13
1602074725,13
1602074728,13
1602074731,13
1602074734,13
1602074737,13
1602074740,13
1602074743,13
1602074746,13
1602074749,13
1602074752,13
1602074755,13
1602074758,13
1602074761,13
1602074764,13
1602074767,13
1602074770,13
1602074773,13
1602074776,13
1602074779,13
1602074782,13
1602074785,13
1602074788,13
1602074791,13
1602074794,13
1602074797,13
1602074800,13
1602074803,13
1602074806,13
1602074809,13
1602074812,13
1602074815,13
1602074818,13
1602074821,13
1602074824,13
1602074827,13
1602074830,13
1602074833,13
1602074836,13
1602074839,13
1602074842,13
1602074845,13
1602074848,13
1602074851,13
1602074854,13
1602074857,13
1602074860,13
1602074863,13
1602074866,13
1602074869,13
1602074872,13
1602074875,13
1602074878,13
1602074881,13
1602074884,13
1602074887,13
1602074890,13
1602074893,13
1602074896,13
1602074899,13
1602074902,13
1602074905,13
1602074908,13
1602074911,13
1602074914,13
1602074917,13
1602074920,13
1602074923,13
1602074926,13
1602074929,13
1602074932,13
1602074935,13
1602074938,13
1602074941,13
1602074944,13
1602074947,13
1602074950,13
1602074953,13
1602074956,13
1602074959,13
1602074962,13
1602074965,13
1602074968,13
1602074971,13
1602074974,13
1602074977,13
1602074980,13
1602074983,13
1602074986,13
1602074989,13
1602074992,13
1602074995,13
1602074998,13
1602075001,13
1602075004,13
1602075007,13
1602075010,13
1602075013,13
1602075016,13
1602075019,13
1602075022,13
1602075025,13
1602075028,13
1602075031,13
1602075034,13
1602075037,13
1602075040,13
1602075043,13
1602075046,13
1602075049,13
1602075052,13
1602075055,13
1602075058,13
1602075061,13
1602075064,13
1602075067,13
1602075070,13
1602075073,13
1602075076,13
1602075079,13
1602075082,13
1602075085,13
1602075088,13
1602075091,13
1602075094,13
1602075097,13
1602075100,13
1602075103,13
1602075106,13
1602075109,13
1602075112,13
1602075115,13
1602075118,13
1602075121,13
1602075124,13
1602075127,13
1602075130,13
1602075133,13
1602075136,13
1602075139,13
1602075142,13
1602075145,13
1602075148,13
1602075151,13
1602075154,13
1602075157,13
1602075160,13
1602075163,13
1602075166,13
1602075169,13
1602075172,13
1602075175,13
1602075178,13
1602075181,13
1602075184,13
1602075187,13
1602075190,13
1602075193,13
1602075196,13
1602075199,13
1602075202,13
1602075205,13
1602075208,13
1602075211,13
1602075214,13
1602075217,13
1602075220,13
1602075223,13
1602075226,13
1602075229,13
1602075232,13
1602075235,13
1602075238,13
1602075241,13
1602075244,13
1602075247,13
1602075250,13
1602075253,13
1602075256,13
1602075259,13
1602075262,13
1602075265,13
1602075268,13
1602075271,13
1602075274,13
1602075277,13
1602075280,13
1602075283,13
1602075286,13
1602075289,13
1602075292,13
1602075295,13
1602075298,13
1602075301,13
1602075304,13
1602075307,13
1602075310,13
1602075313,13
1602075316,13
1602075319,13
1602075322,13
1602075325,13
1602075328,13
1602075331,13
1602075334,13
1602075337,13
1602075340,13
1602075343,13
t,value
1602076335,11
1602076338,11
1602076341,11
1602076344,11
1602076347,11
1602076350,11
1602076353,11
1602076356,11
1602076359,11
1602076362,11
1602076365,11
1602076368,11
1602076371,11
1602076374,13
1602076377,13
1602076380,13
1602076383,13
1602076386,13
1602076389,13
1602076392,10
1602076395,10
1602076398,10
1602076401,10
1602076404,10
1602076407,10
1602076410,10
1602076413,10
1602076416,10
1602076419,10
1602076422,10
1602076425,10
1602076428,10
1602076431,10
1602076434,10
1602076437,10
1602076440,10
1602076443,10
1602076446,10
1602076449,10
1602076452,10
1602076455,10
1602076458,10
1602076461,10
1602076464,10
1602076467,10
1602076470,10
1602076473,10
1602076476,10
1602076479,10
1602076482,10
1602076485,10
1602076488,10
1602076491,10
1602076494,10
1602076497,10
1602076500,10
1602076503,10
1602076506,10
1602076509,10
1602076512,10
1602076515,10
1602076518,10
1602076521,10
1602076524,10
1602076527,10
1602076530,10
1602076533,10
1602076536,10
1602076539,10
1602076542,10
1602076545,10
1602076548,10
1602076551,10
1602076554,10
1602076557,10
1602076560,10
1602076563,10
1602076566,10
1602076569,10
1602076572,10
1602076575,10
1602076578,10
1602076581,10
1602076584,10
1602076587,10
1602076590,10
1602076593,10
1602076596,10
1602076599,10
1602076602,10
1602076605,10
1602076608,10
1602076611,10
1602076614,10
1602076617,10
1602076620,10
1602076623,10
1602076626,10
1602076629,10
1602076632,10
1602076635,10
1602076638,10
1602076641,10
1602076644,10
1602076647,10
1602076650,10
1602076653,10
1602076656,10
1602076659,10
1602076662,10
1602076665,10
1602076668,10
1602076671,10
1602076674,10
1602076677,10
1602076680,10
1602076683,10
1602076686,10
1602076689,10
1602076692,10
1602076695,10
1602076698,10
1602076701,10
1602076704,10
1602076707,10
1602076710,10
1602076713,10
1602076716,10
1602076719,10
1602076722,10
1602076725,10
1602076728,10
1602076731,10
1602076734,10
1602076737,10
1602076740,10
1602076743,10
1602076746,10
1602076749,10
1602076752,10
1602076755,10
1602076758,10
1602076761,10
1602076764,10
1602076767,10
1602076770,10
1602076773,10
1602076776,10
1602076779,10
1602076782,10
1602076785,10
1602076788,10
1602076791,10
1602076794,10
1602076797,10
1602076800,10
1602076803,10
1602076806,10
1602076809,10
1602076812,10
1602076815,10
1602076818,10
1602076821,10
1602076824,10
1602076827,10
1602076830,10
1602076833,10
1602076836,10
1602076839,10
1602076842,10
1602076845,10
1602076848,10
1602076851,10
1602076854,10
1602076857,10
1602076860,10
1602076863,10
1602076866,10
1602076869,10
1602076872,10
1602076875,10
1602076878,10
1602076881,10
1602076884,10
1602076887,10
1602076890,10
1602076893,10
1602076896,10
1602076899,10
1602076902,10
1602076905,10
1602076908,10
1602076911,10
1602076914,10
1602076917,10
1602076920,10
1602076923,10
1602076926,10
1602076929,10
1602076932,10
1602076935,10
1602076938,10
1602076941,10
1602076944,10
1602076947,10
1602076950,10
1602076953,10
1602076956,10
1602076959,10
1602076962,10
1602076965,10
1602076968,10
1602076971,10
1602076974,10
1602076977,10
1602076980,10
1602076983,10
1602076986,10
1602076989,10
1602076992,10
1602076995,10
1602076998,10
1602077001,10
1602077004,10
1602077007,10
1602077010,10
1602077013,10
1602077016,10
1602077019,10
1602077022,10
1602077025,10
1602077028,10
1602077031,10
1602077034,10
1602077037,10
1602077040,10
1602077043,10
1602077046,10
1602077049,10
1602077052,10
1602077055,10
1602077058,10
1602077061,10
1602077064,10
1602077067,10
1602077070,10
1602077073,10
1602077076,10
1602077079,10
1602077082,10
1602077085,10
1602077088,10
1602077091,10
1602077094,10
1602077097,10
1602077100,10
1602077103,10
1602077106,10
1602077109,10
1602077112,10
1602077115,10
1602077118,10
1602077121,10
1602077124,10
1602077127,10
1602077130,10
1602077133,10
1602077136,10
1602077139,10
1602077142,10
1602077145,10
1602077148,10
1602077151,10
1602077154,10
1602077157,10
1602077160,10
1602077163,10
1602077166,10
1602077169,10
1602077172,10
1602077175,10
1602077178,10
1602077181,10
1602077184,10
1602077187,10
1602077190,10
1602077193,10
1602077196,10
1602077199,10
1602077202,10
1602077205,10
1602077208,10
1602077211,10
1602077214,10
1602077217,10
1602077220,10
1602077223,10
1602077226,10
1602077229,10
