t,value
1602074485,10379
1602074488,10504
1602074491,10722
1602074494,12008
1602074497,12008
1602074500,12008
1602074503,12008
1602074506,12008
1602074509,12008
1602074512,12855
1602074515,12855
1602074518,12855
1602074521,12855
1602074524,12855
1602074527,12855
1602074530,12855
1602074533,12855
1602074536,12855
1602074539,12855
1602074542,12272
1602074545,12272
1602074548,12272
1602074551,12272
1602074554,12272
1602074557,12272
1602074560,12272
1602074563,12272
1602074566,12272
1602074569,12272
1602074572,12272
1602074575,12272
1602074578,12272
1602074581,12272
1602074584,12272
1602074587,12272
1602074590,12272
1602074593,12272
1602074596,12272
1602074599,12272
1602074602,12272
1602074605,12272
1602074608,12313
1602074611,12313
1602074614,12313
1602074617,12313
1602074620,12313
1602074623,12313
1602074626,12313
1602074629,12313
1602074632,12313
1602074635,12313
1602074638,12313
1602074641,12313
1602074644,12313
1602074647,12313
1602074650,12313
1602074653,12313
1602074656,12313
1602074659,12313
1602074662,12313
1602074665,12313
1602074668,12313
1602074671,12313
1602074674,12313
1602074677,12313
1602074680,12313
1602074683,12313
1602074686,12313
1602074689,12313
1602074692,12313
1602074695,12313
1602074698,12313
1602074701,12313
1602074704,12313
1602074707,12313
1602074710,12313
1602074713,12313
1602074716,12313
1602074719,12313
1602074722,12313
1602074725,12313
1602074728,12313
1602074731,12313
1602074734,12313
1602074737,12313
1602074740,12313
1602074743,12313
1602074746,12313
1602074749,12313
1602074752,12313
1602074755,12313
1602074758,12313
1602074761,12313
1602074764,12313
1602074767,12313
1602074770,12313
1602074773,12313
1602074776,12313
1602074779,12313
1602074782,12313
1602074785,12313
1602074788,12313
1602074791,12313
1602074794,12313
1602074797,12313
1602074800,12313
1602074803,12313
1602074806,12313
1602074809,12313
1602074812,12313
1602074815,12313
1602074818,12313
1602074821,12313
1602074824,12313
1602074827,12313
1602074830,12313
1602074833,12313
1602074836,12313
1602074839,12313
1602074842,12313
1602074845,12313
1602074848,12313
1602074851,12313
1602074854,12313
1602074857,12313
1602074860,12313
1602074863,12313
1602074866,12313
1602074869,12313
1602074872,12313
1602074875,12313
1602074878,12313
1602074881,12313
1602074884,12313
1602074887,12313
1602074890,12313
1602074893,12313
1602074896,12313
1602074899,12313
1602074902,12313
1602074905,12313
1602074908,12313
1602074911,12313
1602074914,12313
1602074917,12313
1602074920,12313
1602074923,12313
1602074926,12313
1602074929,12313
1602074932,12313
1602074935,12313
1602074938,12313
1602074941,12313
1602074944,12313
1602074947,12313
1602074950,12313
1602074953,12313
1602074956,12313
1602074959,12313
1602074962,12313
1602074965,12313
1602074968,12313
1602074971,12313
1602074974,12313
1602074977,12313
1602074980,12313
1602074983,12313
1602074986,12313
1602074989,12313
1602074992,12313
1602074995,12313
1602074998,12313
1602075001,12313
1602075004,12313
1602075007,12313
1602075010,12313
1602075013,12313
1602075016,12313
1602075019,12313
1602075022,12313
1602075025,12313
1602075028,12313
1602075031,12313
1602075034,12313
1602075037,12313
1602075040,12313
1602075043,12313
1602075046,12313
1602075049,12313
1602075052,12313
1602075055,12313
1602075058,12313
1602075061,12313
1602075064,12313
1602075067,12313
1602075070,12313
1602075073,12313
1602075076,12313
1602075079,12313
1602075082,12313
1602075085,12313
1602075088,12313
1602075091,12313
1602075094,12313
1602075097,12313
1602075100,12313
1602075103,12313
1602075106,12313
1602075109,12313
1602075112,12313
1602075115,12313
1602075118,12313
1602075121,12313
1602075124,12313
1602075127,12313
1602075130,12313
1602075133,12313
1602075136,12313
1602075139,12313
1602075142,12313
1602075145,12313
1602075148,12313
1602075151,12313
1602075154,12313
1602075157,12313
1602075160,12313
1602075163,12313
1602075166,12313
1602075169,12313
1602075172,12313
1602075175,12313
1602075178,12313
1602075181,12313
1602075184,12313
1602075187,12313
1602075190,12313
1602075193,12313
1602075196,12313
1602075199,12313
1602075202,12313
1602075205,12313
1602075208,12313
1602075211,12313
1602075214,12313
1602075217,12313
1602075220,12313
1602075223,12313
1602075226,12313
1602075229,12313
1602075232,12313
1602075235,12313
1602075238,12313
1602075241,12313
1602075244,12313
1602075247,12313
1602075250,12313
1602075253,12313
1602075256,12313
1602075259,12313
1602075262,12313
1602075265,12313
1602075268,12313
1602075271,12313
1602075274,12313
1602075277,12313
1602075280,12313
1602075283,12313
1602075286,12313
1602075289,12313
1602075292,12313
1602075295,12313
1602075298,12313
1602075301,12313
1602075304,12313
1602075307,12313
1602075310,12313
1602075313,12313
1602075316,12313
1602075319,12313
1602075322,12313
1602075325,12313
1602075328,12313
1602075331,12313
