t,value
1602074485,1458176
1602074488,1498240
1602074491,1503360
1602074494,1511296
1602074497,1511296
1602074500,1511296
1602074503,1511296
1602074506,1511296
1602074509,1511296
1602074512,1511296
1602074515,1511296
1602074518,1511296
1602074521,1511296
1602074524,1511296
1602074527,1511296
1602074530,1511296
1602074533,1511296
1602074536,1511296
1602074539,1511296
1602074542,1511296
1602074545,1511296
1602074548,1511296
1602074551,1511296
1602074554,1511296
1602074557,1511296
1602074560,1511296
1602074563,1511296
1602074566,1514624
1602074569,1514624
1602074572,1514624
1602074575,1514624
1602074578,1514624
1602074581,1519104
1602074584,1519104
1602074587,1519104
1602074590,1519104
1602074593,1519104
1602074596,1519104
1602074599,1519104
1602074602,1519104
1602074605,1519104
1602074608,1519104
1602074611,1519104
1602074614,1519104
1602074617,1519104
1602074620,1519104
1602074623,1519104
1602074626,1519104
1602074629,1519104
1602074632,1519104
1602074635,1519104
1602074638,1519104
1602074641,1519104
1602074644,1519104
1602074647,1519104
1602074650,1519104
1602074653,1519104
1602074656,1519104
1602074659,1519104
1602074662,1519104
1602074665,1519104
1602074668,1519104
1602074671,1519104
1602074674,1519104
1602074677,1519104
1602074680,1519104
1602074683,1519104
1602074686,1519104
1602074689,1519104
1602074692,1519104
1602074695,1519104
1602074698,1519104
1602074701,1519104
1602074704,1519104
1602074707,1519104
1602074710,1519104
1602074713,1519104
1602074716,1519104
1602074719,1519104
1602074722,1519104
1602074725,1519104
1602074728,1519104
1602074731,1519104
1602074734,1519104
1602074737,1519104
1602074740,1519104
1602074743,1519104
1602074746,1519104
1602074749,1519104
1602074752,1519104
1602074755,1519104
1602074758,1519104
1602074761,1519104
1602074764,1519104
1602074767,1519104
1602074770,1519104
1602074773,1519104
1602074776,1519104
1602074779,1519104
1602074782,1519104
1602074785,1519104
1602074788,1519104
1602074791,1519104
1602074794,1519104
1602074797,1519104
1602074800,1519104
1602074803,1519104
1602074806,1519104
1602074809,1519104
1602074812,1519104
1602074815,1519104
1602074818,1519104
1602074821,1519104
1602074824,1519104
1602074827,1519104
1602074830,1519104
1602074833,1519104
1602074836,1519104
1602074839,1519104
1602074842,1519104
1602074845,1519104
1602074848,1519104
1602074851,1519104
1602074854,1519104
1602074857,1519104
1602074860,1519104
1602074863,1519104
1602074866,1519104
1602074869,1519104
1602074872,1519104
1602074875,1519104
1602074878,1519104
1602074881,1519104
1602074884,1519104
1602074887,1519104
1602074890,1519104
1602074893,1519104
1602074896,1519104
1602074899,1519104
1602074902,1519104
1602074905,1519104
1602074908,1519104
1602074911,1519104
1602074914,1519104
1602074917,1519104
1602074920,1519104
1602074923,1519104
1602074926,1519104
1602074929,1519104
1602074932,1519104
1602074935,1519104
1602074938,1519104
1602074941,1519104
1602074944,1519104
1602074947,1519104
1602074950,1519104
1602074953,1519104
1602074956,1519104
1602074959,1519104
1602074962,1519104
1602074965,1519104
1602074968,1519104
1602074971,1519104
1602074974,1519104
1602074977,1519104
1602074980,1519104
1602074983,1519104
1602074986,1519104
1602074989,1519104
1602074992,1519104
1602074995,1519104
1602074998,1519104
1602075001,1519104
1602075004,1519104
1602075007,1519104
1602075010,1519104
1602075013,1519104
1602075016,1519104
1602075019,1519104
1602075022,1519104
1602075025,1519104
1602075028,1519104
1602075031,1519104
1602075034,1519104
1602075037,1519104
1602075040,1519104
1602075043,1519104
1602075046,1519104
1602075049,1519104
1602075052,1519104
1602075055,1519104
1602075058,1519104
1602075061,1519104
1602075064,1519104
1602075067,1519104
1602075070,1519104
1602075073,1519104
1602075076,1519104
1602075079,1519104
1602075082,1519104
1602075085,1519104
1602075088,1519104
1602075091,1519104
1602075094,1519104
1602075097,1519104
1602075100,1519104
1602075103,1519104
1602075106,1519104
1602075109,1519104
1602075112,1519104
1602075115,1519104
1602075118,1519104
1602075121,1519104
1602075124,1519104
1602075127,1519104
1602075130,1519104
1602075133,1519104
1602075136,1519104
1602075139,1519104
1602075142,1519104
1602075145,1519104
1602075148,1519104
1602075151,1519104
1602075154,1519104
1602075157,1519104
1602075160,1519104
1602075163,1519104
1602075166,1519104
1602075169,1519104
1602075172,1519104
1602075175,1519104
1602075178,1519104
1602075181,1519104
1602075184,1519104
1602075187,1519104
1602075190,1519104
1602075193,1519104
1602075196,1519104
1602075199,1519104
1602075202,1519104
1602075205,1519104
1602075208,1519104
1602075211,1519104
1602075214,1519104
1602075217,1519104
1602075220,1519104
1602075223,1519104
1602075226,1519104
1602075229,1519104
1602075232,1519104
1602075235,1519104
1602075238,1519104
1602075241,1519104
1602075244,1519104
1602075247,1519104
1602075250,1519104
1602075253,1519104
1602075256,1519104
1602075259,1519104
1602075262,1519104
1602075265,1519104
1602075268,1519104
1602075271,1519104
1602075274,1519104
1602075277,1519104
1602075280,1519104
1602075283,1519104
1602075286,1519104
1602075289,1519104
1602075292,1519104
1602075295,1519104
1602075298,1519104
1602075301,1519104
1602075304,1519104
1602075307,1519104
1602075310,1519104
1602075313,1519104
1602075316,1519104
1602075319,1519104
1602075322,1519104
1602075325,1519104
1602075328,1519104
1602075331,1519104
1602075334,1519104
1602075337,1519104
1602075340,1519104
1602075343,1519104
t,value
1602076335,1457536
1602076338,1497600
1602076341,1497600
1602076344,1511808
1602076347,1511808
1602076350,1511808
1602076353,1511808
1602076356,1511808
1602076359,1511808
1602076362,1511808
1602076365,1511808
1602076368,1511808
1602076371,1515648
1602076374,1521536
1602076377,1521536
1602076380,1526272
1602076383,1526272
1602076386,1526272
1602076389,1526272
1602076392,1526272
1602076395,1526272
1602076398,1526272
1602076401,1526272
1602076404,1526272
1602076407,1526272
1602076410,1526272
1602076413,1526272
1602076416,1526272
1602076419,1526272
1602076422,1526272
1602076425,1526272
1602076428,1526272
1602076431,1526272
1602076434,1526272
1602076437,1526272
1602076440,1526272
1602076443,1526272
1602076446,1526272
1602076449,1526272
1602076452,1526272
1602076455,1526272
1602076458,1526272
1602076461,1526272
1602076464,1526272
1602076467,1526272
1602076470,1526272
1602076473,1526272
1602076476,1526272
1602076479,1526272
1602076482,1526272
1602076485,1526272
1602076488,1526272
1602076491,1526272
1602076494,1526272
1602076497,1526272
1602076500,1526272
1602076503,1526272
