t,value
1602074485,5232256
1602074488,5928448
1602074491,6186496
1602074494,7418880
1602074497,7449856
1602074500,7478144
1602074503,7508736
1602074506,7514880
1602074509,7516672
1602074512,7656704
1602074515,7703808
1602074518,7748096
1602074521,7755008
1602074524,7800064
1602074527,7802240
1602074530,7810304
1602074533,7879424
1602074536,7918848
1602074539,7955840
1602074542,8040064
1602074545,8079104
1602074548,8100480
1602074551,8162432
1602074554,8173184
1602074557,8222336
1602074560,8224128
1602074563,8269440
1602074566,8374272
1602074569,8424064
1602074572,8459904
1602074575,8462336
1602074578,8466816
1602074581,8715904
1602074584,8778752
1602074587,8795008
1602074590,9022720
1602074593,9048576
1602074596,9048576
1602074599,9048576
1602074602,9098368
1602074605,9101568
1602074608,9194624
1602074611,9279104
1602074614,9280000
1602074617,9280000
1602074620,9280000
1602074623,9280000
1602074626,9280000
1602074629,9280000
1602074632,9337728
1602074635,9337728
1602074638,9343360
1602074641,9343360
1602074644,9343360
1602074647,9344896
1602074650,9351936
1602074653,8744960
1602074656,8754176
1602074659,8756736
1602074662,8870272
1602074665,8873472
1602074668,8873472
1602074671,8959616
1602074674,9001344
1602074677,9003520
1602074680,9003520
1602074683,9003520
1602074686,9004160
1602074689,9004928
1602074692,9006464
1602074695,9043840
1602074698,9051264
1602074701,9051264
1602074704,9052032
1602074707,9053568
1602074710,9053568
1602074713,9053568
1602074716,9053568
1602074719,9055744
1602074722,9059840
1602074725,9090304
1602074728,9090304
1602074731,9091584
1602074734,9092480
1602074737,9097728
1602074740,9097728
1602074743,9108352
1602074746,9108352
1602074749,9117568
1602074752,9117568
1602074755,9118464
1602074758,9123200
1602074761,9131392
1602074764,9131392
1602074767,9131392
1602074770,9131392
1602074773,9131392
1602074776,9131392
1602074779,9131392
1602074782,9134592
1602074785,9134592
1602074788,9134592
1602074791,9134592
1602074794,9134592
1602074797,9039360
1602074800,9039360
1602074803,8477440
1602074806,8477440
1602074809,8477440
1602074812,8477440
1602074815,8484352
1602074818,8484352
1602074821,8484352
1602074824,8484352
1602074827,8484352
1602074830,8484352
1602074833,8484352
1602074836,8484352
1602074839,8484352
1602074842,8503296
1602074845,8503296
1602074848,8503296
1602074851,8503296
1602074854,8503296
1602074857,8503296
1602074860,8504192
1602074863,8504192
1602074866,8504192
1602074869,8504192
1602074872,8506752
1602074875,8506752
1602074878,8506752
1602074881,8512896
1602074884,8514304
1602074887,8514304
1602074890,8514304
1602074893,8514304
1602074896,8514304
1602074899,8514304
1602074902,8513280
1602074905,8514176
1602074908,8514176
1602074911,8516096
1602074914,8516096
1602074917,8516096
1602074920,8516096
1602074923,8516096
1602074926,8516096
1602074929,8516096
1602074932,8517120
1602074935,8518656
1602074938,8518656
1602074941,8518656
1602074944,8518656
1602074947,8518656
1602074950,8518656
1602074953,8518656
1602074956,8518656
1602074959,8519936
1602074962,8519936
1602074965,8519936
1602074968,8520832
1602074971,8521600
1602074974,8521600
1602074977,8521600
1602074980,8521600
1602074983,8521600
1602074986,8521600
1602074989,8521600
1602074992,8523136
1602074995,8524032
1602074998,8540672
1602075001,8540672
1602075004,8540672
1602075007,8547328
1602075010,8547328
1602075013,8553216
1602075016,8553216
1602075019,8626688
1602075022,8640896
1602075025,8640896
1602075028,8640896
1602075031,8640896
1602075034,8640896
1602075037,8640896
1602075040,8640896
1602075043,8640896
1602075046,8640896
1602075049,8640896
1602075052,8640896
1602075055,8640896
1602075058,8651904
1602075061,8651904
1602075064,8651904
1602075067,8651904
1602075070,8657792
1602075073,8657792
1602075076,8669184
1602075079,8720384
1602075082,8721280
1602075085,8721280
1602075088,8721280
1602075091,8721280
1602075094,8721280
1602075097,8721280
1602075100,8721280
1602075103,8721280
1602075106,8722304
1602075109,8722304
1602075112,8723456
1602075115,8723456
1602075118,8723456
1602075121,8723456
1602075124,8723456
1602075127,8725504
1602075130,8725504
1602075133,8725504
1602075136,8731136
1602075139,8731136
1602075142,8745216
1602075145,8745984
1602075148,8745984
1602075151,8745984
1602075154,8745984
1602075157,8745984
1602075160,8745984
1602075163,8745984
1602075166,8745984
1602075169,8745984
1602075172,8713984
1602075175,8713984
1602075178,8713984
1602075181,8713984
1602075184,8713984
1602075187,8713984
1602075190,8713984
1602075193,8713984
1602075196,8713984
1602075199,8713984
1602075202,8721536
1602075205,8721536
1602075208,8721536
1602075211,8721536
1602075214,8721536
1602075217,8721536
1602075220,8723072
1602075223,8723072
1602075226,8723072
1602075229,8723072
1602075232,8723072
1602075235,8723072
1602075238,8723072
1602075241,8723072
1602075244,8724352
1602075247,8724352
1602075250,8724352
1602075253,8725376
1602075256,8725376
1602075259,8725376
1602075262,8737920
1602075265,8737920
1602075268,8737920
1602075271,8737920
1602075274,8737920
1602075277,8737920
1602075280,8737920
1602075283,8737920
1602075286,8738688
1602075289,8738688
1602075292,8738688
1602075295,8738688
1602075298,8738688
1602075301,8738688
1602075304,8738688
1602075307,8738688
1602075310,8738688
1602075313,8738688
1602075316,8738688
1602075319,8738688
1602075322,8738688
1602075325,8738688
1602075328,8738688
1602075331,8738688
1602075334,8738688
1602075337,8738688
1602075340,8738688
1602075343,8738688
t,value
1602076335,4984192
1602076338,5928704
1602076341,5974400
1602076344,7363968
1602076347,8489216
1602076350,8515072
1602076353,8523776
1602076356,8527616
1602076359,8530944
1602076362,8535168
1602076365,8582144
1602076368,8626304
1602076371,8694784
1602076374,9540864
1602076377,9570048
1602076380,9827200
1602076383,9830912
1602076386,9831936
1602076389,9841408
1602076392,10013952
1602076395,10028160
1602076398,10057984
1602076401,10071040
1602076404,10103552
1602076407,10129280
1602076410,10140544
1602076413,10257408
1602076416,10280576
1602076419,10281344
1602076422,10296320
1602076425,10301056
1602076428,10305024
1602076431,10356096
1602076434,10398208
1602076437,10399104
1602076440,10399104
1602076443,10400000
1602076446,10400000
1602076449,10401664
1602076452,10470528
1602076455,10471296
1602076458,10472960
1602076461,10472960
1602076464,10474880
1602076467,10477696
1602076470,10477696
1602076473,10548608
1602076476,10552448
1602076479,10552448
1602076482,10552448
1602076485,10552448
1602076488,10552448
1602076491,10585856
1602076494,10591360
1602076497,10593664
1602076500,10595968
1602076503,10595968
1602076506,10602880
1602076509,10602880
1602076512,10693376
1602076515,10695552
1602076518,10695552
1602076521,10695552
1602076524,10697344
1602076527,10699136
1602076530,10699136
1602076533,10724992
1602076536,10724992
1602076539,10725632
1602076542,10727936
1602076545,10742784
1602076548,10761728
1602076551,10882432
1602076554,10894336
1602076557,10894336
1602076560,10894336
1602076563,10894336
1602076566,10894336
1602076569,10894336
1602076572,10932096
1602076575,10961152
1602076578,10961152
1602076581,10968448
1602076584,10968448
1602076587,10973824
1602076590,10973824
1602076593,11029888
1602076596,11029888
1602076599,11030912
1602076602,11035648
1602076605,11036544
1602076608,11036544
1602076611,11047808
1602076614,11096704
1602076617,11096704
1602076620,11096704
1602076623,11096704
1602076626,11096704
1602076629,11096704
1602076632,11139328
1602076635,11139328
1602076638,11141888
1602076641,11141888
1602076644,11141888
1602076647,11141888
1602076650,11141888
1602076653,11168768
1602076656,11746944
1602076659,11789184
1602076662,11790848
1602076665,11797376
1602076668,11797376
1602076671,11843968
1602076674,11891328
1602076677,11891328
1602076680,11891328
1602076683,11891328
1602076686,11891328
1602076689,11891328
1602076692,11920896
1602076695,11922176
1602076698,11924224
1602076701,11925120
1602076704,11925120
1602076707,11925120
1602076710,11926016
1602076713,11950336
1602076716,11950336
1602076719,11950336
1602076722,11950336
1602076725,11950336
1602076728,11950336
1602076731,11961984
1602076734,11966080
1602076737,11976960
1602076740,11976960
1602076743,11978752
1602076746,11978752
1602076749,11978752
1602076752,12008448
1602076755,12009344
1602076758,12009344
1602076761,12009344
1602076764,12009344
1602076767,12009344
1602076770,12009344
1602076773,12041472
1602076776,12041472
1602076779,12041472
1602076782,12041472
1602076785,12041472
1602076788,11895424
1602076791,11655296
1602076794,11668480
1602076797,11668480
1602076800,11669632
1602076803,11669632
1602076806,11669632
1602076809,11669632
1602076812,11703552
1602076815,11703552
1602076818,11703552
1602076821,11703552
1602076824,11711744
1602076827,11718528
1602076830,11725184
1602076833,11734016
1602076836,11734016
1602076839,11734016
1602076842,11735168
1602076845,11735168
1602076848,11735168
1602076851,11748608
1602076854,11751296
1602076857,11751296
1602076860,11777920
1602076863,11777920
1602076866,11783424
1602076869,11784832
1602076872,11851520
1602076875,11851520
1602076878,11851520
1602076881,11851520
1602076884,11853312
1602076887,11853312
1602076890,11938688
1602076893,11961728
1602076896,11962368
1602076899,11962368
1602076902,11962368
1602076905,11962368
1602076908,11964288
1602076911,11985920
1602076914,11990784
1602076917,11990784
1602076920,11992064
1602076923,11993600
