t,value
1602074485,14956544
1602074488,17168640
1602074491,18748928
1602074494,21986688
1602074497,22073216
1602074500,22109056
1602074503,22120704
1602074506,22185856
1602074509,22204032
1602074512,22605952
1602074515,22616064
1602074518,22640128
1602074521,22660096
1602074524,22660096
1602074527,22667520
1602074530,22689536
1602074533,23267712
1602074536,23380736
1602074539,23469056
1602074542,23841792
1602074545,23940224
1602074548,23999872
1602074551,24370944
1602074554,24388992
1602074557,24452352
1602074560,24494336
1602074563,24536704
1602074566,25036416
1602074569,25186560
1602074572,25367936
1602074575,25369856
1602074578,25379456
1602074581,26103680
1602074584,26292864
1602074587,26292864
1602074590,27018752
1602074593,27208704
1602074596,27210624
1602074599,27229696
1602074602,27332224
1602074605,27350144
1602074608,27669888
1602074611,27912448
1602074614,27929984
1602074617,27933952
1602074620,27954304
1602074623,27954304
1602074626,27954304
1602074629,27954304
1602074632,28124416
1602074635,28124416
1602074638,28126464
1602074641,28135680
1602074644,28135680
1602074647,28135680
1602074650,28135680
1602074653,26306688
1602074656,26308096
1602074659,26308096
1602074662,26380416
1602074665,26380416
1602074668,26380416
1602074671,26565760
1602074674,26621568
1602074677,26647168
1602074680,26647168
1602074683,26649088
1602074686,26650752
1602074689,26650752
1602074692,26650752
1602074695,26653056
1602074698,26653056
1602074701,26653056
1602074704,26653056
1602074707,26653056
1602074710,26653056
1602074713,26653056
1602074716,26656000
1602074719,26656000
1602074722,26695680
1602074725,26695680
1602074728,26697472
1602074731,26697472
1602074734,26698880
1602074737,26715264
1602074740,26715264
1602074743,26746752
1602074746,26751232
1602074749,26751232
1602074752,26760832
1602074755,26760832
1602074758,26760832
1602074761,26760832
1602074764,26760832
1602074767,26767488
1602074770,26767488
1602074773,26772864
1602074776,26786560
1602074779,26786560
1602074782,26821888
1602074785,26821888
1602074788,26821888
1602074791,26821888
1602074794,26821888
1602074797,26384640
1602074800,26356352
1602074803,24019840
1602074806,24019840
1602074809,24019840
1602074812,24019840
1602074815,24019840
1602074818,24032768
1602074821,24032768
1602074824,24032768
1602074827,24032768
1602074830,24032768
1602074833,24032768
1602074836,24032768
1602074839,24032768
1602074842,24043136
1602074845,24044288
1602074848,24044288
1602074851,24045824
1602074854,24048640
1602074857,24048640
1602074860,24048640
1602074863,24051584
1602074866,24106240
1602074869,24130944
1602074872,24130944
1602074875,24130944
1602074878,24130944
1602074881,24130944
1602074884,24130944
1602074887,24130944
1602074890,24130944
1602074893,24130944
1602074896,24130944
1602074899,24130944
1602074902,23939584
1602074905,23940736
1602074908,23940736
1602074911,23940736
1602074914,23940736
1602074917,23940736
1602074920,23940736
1602074923,23941888
1602074926,23941888
1602074929,23941888
1602074932,23941888
1602074935,23941888
1602074938,23941888
1602074941,23941888
1602074944,23941888
1602074947,23941888
1602074950,23941888
1602074953,23941888
1602074956,23941888
1602074959,23933184
1602074962,23933184
1602074965,23933184
1602074968,23933184
1602074971,23933184
1602074974,23933184
1602074977,23933184
1602074980,23933184
1602074983,23934976
1602074986,23934976
1602074989,23934976
1602074992,23936640
1602074995,23938048
1602074998,23938048
1602075001,23939968
1602075004,23960320
1602075007,23960320
1602075010,23960320
1602075013,23962368
1602075016,23962368
1602075019,23962368
1602075022,23975808
1602075025,23985408
1602075028,23985408
1602075031,23985408
1602075034,23985408
1602075037,23985408
1602075040,23981184
1602075043,23981184
1602075046,23981184
1602075049,23981184
1602075052,23981184
1602075055,23981184
1602075058,23972096
1602075061,23973376
1602075064,23973376
1602075067,23973376
1602075070,23973376
1602075073,23973376
1602075076,23975168
1602075079,23975168
1602075082,23976576
1602075085,23976576
1602075088,23976576
1602075091,23976576
1602075094,23976576
1602075097,23973248
1602075100,23973248
1602075103,23973248
1602075106,23973248
1602075109,23973248
1602075112,23974272
1602075115,23974272
1602075118,23975424
1602075121,23975424
1602075124,23981440
1602075127,23981440
1602075130,23981440
1602075133,23981440
1602075136,23984896
1602075139,23984896
1602075142,23984896
1602075145,23984896
1602075148,23984896
1602075151,23986176
1602075154,23986176
1602075157,23986176
1602075160,23986176
1602075163,23986176
1602075166,23986176
1602075169,23986176
1602075172,23963904
