t,value
1602074485,13359144
1602074488,15936128
1602074491,16165712
1602074494,17144536
1602074497,17144536
1602074500,17144536
1602074503,17144536
1602074506,17144536
1602074509,17144536
1602074512,17145088
1602074515,17145088
1602074518,17145088
1602074521,17145088
1602074524,17145088
1602074527,17145088
1602074530,17145088
1602074533,17147104
1602074536,17185160
1602074539,17197808
1602074542,17201960
1602074545,17201960
1602074548,17201960
1602074551,17202512
1602074554,17202512
1602074557,17202512
1602074560,17202512
1602074563,17202512
1602074566,17392048
1602074569,17392048
1602074572,17392048
1602074575,17392048
1602074578,17392048
1602074581,17920080
1602074584,17920080
1602074587,17920080
1602074590,18028880
1602074593,18028880
1602074596,18028880
1602074599,18028880
1602074602,18028880
1602074605,18028880
1602074608,18028880
1602074611,18028880
1602074614,18028880
1602074617,18028880
1602074620,18028880
1602074623,18028880
1602074626,18028880
1602074629,18028880
1602074632,18028880
1602074635,18028880
1602074638,18028880
1602074641,18028880
1602074644,18028880
1602074647,18028880
1602074650,18028880
1602074653,18028880
1602074656,18028880
1602074659,18028880
1602074662,18028880
1602074665,18028880
1602074668,18028880
1602074671,18028880
1602074674,18028880
1602074677,18028880
1602074680,18028880
1602074683,18028880
1602074686,18028880
1602074689,18028880
1602074692,18028880
1602074695,18028880
1602074698,18028880
1602074701,18028880
1602074704,18028880
1602074707,18028880
1602074710,18028880
1602074713,18028880
1602074716,18028880
1602074719,18028880
1602074722,18028880
1602074725,18028880
1602074728,18028880
1602074731,18028880
1602074734,18028880
1602074737,18028880
1602074740,18028880
1602074743,18028880
1602074746,18028880
1602074749,18028880
1602074752,18028880
1602074755,18028880
1602074758,18028880
1602074761,18028880
1602074764,18028880
1602074767,18028880
1602074770,18028880
1602074773,18028880
1602074776,18028880
1602074779,18028880
1602074782,18030096
1602074785,18030096
1602074788,18030096
1602074791,18030096
1602074794,18030096
1602074797,18030096
1602074800,18030096
1602074803,18030096
1602074806,18030096
1602074809,18030096
1602074812,18030096
1602074815,18030096
1602074818,18030096
1602074821,18030096
1602074824,18030096
1602074827,18030096
1602074830,18030096
1602074833,18030096
1602074836,18030096
1602074839,18030096
1602074842,18030096
1602074845,18030096
1602074848,18030096
1602074851,18030096
1602074854,18030096
1602074857,18030096
1602074860,18030096
1602074863,18030096
1602074866,18030096
1602074869,18030096
1602074872,18030096
1602074875,18030096
1602074878,18030096
1602074881,18030096
1602074884,18030096
1602074887,18030096
1602074890,18030096
1602074893,18030096
1602074896,18030096
1602074899,18030096
1602074902,18030648
1602074905,18030648
1602074908,18030648
1602074911,18030648
1602074914,18030648
1602074917,18030648
1602074920,18030648
1602074923,18030648
1602074926,18030648
1602074929,18030648
1602074932,18030648
1602074935,18030648
1602074938,18030648
1602074941,18030648
1602074944,18030648
1602074947,18030648
1602074950,18030648
1602074953,18030648
1602074956,18030648
1602074959,18030648
1602074962,18030648
1602074965,18030648
1602074968,18030648
1602074971,18030648
1602074974,18030648
1602074977,18030648
