t,value
1602074485,127926272
1602074488,84934656
1602074491,114294784
1602074494,189792256
1602074497,190840832
1602074500,191889408
1602074503,191889408
1602074506,192937984
1602074509,193986560
1602074512,198180864
1602074515,199229440
1602074518,199229440
1602074521,200278016
1602074524,201326592
1602074527,202375168
1602074530,202375168
1602074533,205520896
1602074536,208666624
1602074539,209715200
1602074542,233832448
1602074545,235929600
1602074548,236978176
1602074551,239075328
1602074554,240123904
1602074557,241172480
1602074560,242221056
1602074563,243269632
1602074566,251658240
1602074569,253755392
1602074572,254803968
1602074575,255852544
1602074578,256901120
1602074581,272629760
1602074584,273678336
1602074587,274726912
1602074590,288358400
1602074593,290455552
1602074596,290455552
1602074599,291504128
1602074602,14680064
1602074605,16777216
1602074608,22020096
1602074611,26214400
1602074614,27262976
1602074617,28311552
1602074620,28311552
1602074623,29360128
1602074626,30408704
1602074629,31457280
1602074632,34603008
1602074635,35651584
1602074638,36700160
1602074641,37748736
1602074644,37748736
1602074647,38797312
1602074650,39845888
1602074653,44040192
1602074656,44040192
1602074659,45088768
1602074662,68157440
1602074665,69206016
1602074668,70254592
1602074671,73400320
1602074674,74448896
1602074677,75497472
1602074680,76546048
1602074683,77594624
1602074686,77594624
1602074689,78643200
1602074692,79691776
1602074695,80740352
1602074698,80740352
1602074701,81788928
1602074704,82837504
1602074707,83886080
1602074710,83886080
1602074713,84934656
1602074716,85983232
1602074719,87031808
1602074722,110100480
1602074725,110100480
1602074728,111149056
1602074731,112197632
1602074734,112197632
1602074737,113246208
1602074740,114294784
1602074743,115343360
1602074746,115343360
1602074749,116391936
1602074752,117440512
1602074755,118489088
1602074758,118489088
1602074761,119537664
1602074764,120586240
1602074767,120586240
1602074770,121634816
1602074773,122683392
1602074776,123731968
1602074779,123731968
1602074782,147849216
1602074785,148897792
1602074788,148897792
1602074791,149946368
1602074794,150994944
1602074797,152043520
1602074800,152043520
1602074803,153092096
1602074806,154140672
1602074809,154140672
1602074812,155189248
1602074815,156237824
1602074818,157286400
1602074821,157286400
1602074824,158334976
1602074827,159383552
1602074830,159383552
1602074833,160432128
1602074836,161480704
1602074839,162529280
1602074842,185597952
1602074845,186646528
1602074848,186646528
1602074851,187695104
1602074854,188743680
1602074857,188743680
1602074860,189792256
1602074863,190840832
1602074866,191889408
1602074869,191889408
1602074872,192937984
1602074875,193986560
1602074878,193986560
1602074881,195035136
1602074884,196083712
1602074887,197132288
1602074890,198180864
1602074893,198180864
1602074896,199229440
1602074899,200278016
1602074902,223346688
1602074905,223346688
1602074908,224395264
1602074911,225443840
1602074914,226492416
1602074917,226492416
1602074920,227540992
