t,value
1602074485,25020736
1602074488,30932992
1602074491,30932992
1602074494,30932992
1602074497,30932992
1602074500,30932992
1602074503,30932992
1602074506,30932992
1602074509,30932992
1602074512,30932992
1602074515,30932992
1602074518,30932992
1602074521,30932992
1602074524,30932992
1602074527,30932992
1602074530,30932992
1602074533,30932992
1602074536,30932992
1602074539,30932992
1602074542,30932992
1602074545,30932992
1602074548,30932992
1602074551,30932992
1602074554,30932992
1602074557,30932992
1602074560,30932992
1602074563,30932992
1602074566,30932992
1602074569,30932992
1602074572,30932992
1602074575,30932992
1602074578,30932992
1602074581,30932992
1602074584,30932992
1602074587,30932992
1602074590,30932992
1602074593,30932992
1602074596,30932992
1602074599,30932992
1602074602,31294064
1602074605,31294064
1602074608,31294064
1602074611,31294064
1602074614,31294064
1602074617,31294064
1602074620,31294064
1602074623,31294064
1602074626,31294064
1602074629,31294064
1602074632,31294064
1602074635,31294064
1602074638,31294064
1602074641,31294064
1602074644,31294064
1602074647,31294064
1602074650,31294064
1602074653,31294064
1602074656,31294064
1602074659,31294064
1602074662,31294064
1602074665,31294064
1602074668,31294064
1602074671,31294064
1602074674,31294064
1602074677,31294064
1602074680,31294064
1602074683,31294064
1602074686,31294064
1602074689,31294064
1602074692,31294064
1602074695,31294064
1602074698,31294064
1602074701,31294064
1602074704,31294064
1602074707,31294064
1602074710,31294064
1602074713,31294064
1602074716,31294064
1602074719,31294064
1602074722,31294064
1602074725,31294064
1602074728,31294064
1602074731,31294064
1602074734,31294064
1602074737,31294064
1602074740,31294064
1602074743,31294064
1602074746,31294064
1602074749,31294064
1602074752,31294064
1602074755,31294064
1602074758,31294064
1602074761,31294064
1602074764,31294064
1602074767,31294064
1602074770,31294064
1602074773,31294064
1602074776,31294064
1602074779,31294064
1602074782,31294064
1602074785,31294064
1602074788,31294064
1602074791,31294064
1602074794,31294064
1602074797,31294064
1602074800,31294064
1602074803,31294064
1602074806,31294064
1602074809,31294064
1602074812,31294064
1602074815,31294064
1602074818,31294064
1602074821,31294064
1602074824,31294064
1602074827,31294064
1602074830,31294064
1602074833,31294064
1602074836,31294064
1602074839,31294064
1602074842,31294064
1602074845,31294064
1602074848,31294064
1602074851,31294064
1602074854,31294064
1602074857,31294064
1602074860,31294064
1602074863,31294064
1602074866,31294064
1602074869,31294064
1602074872,31294064
1602074875,31294064
1602074878,31294064
1602074881,31294064
1602074884,31294064
1602074887,31294064
1602074890,31294064
1602074893,31294064
1602074896,31294064
1602074899,31294064
1602074902,31294064
1602074905,31294064
1602074908,31294064
1602074911,31294064
1602074914,31294064
1602074917,31294064
1602074920,31294064
1602074923,31294064
1602074926,31294064
1602074929,31294064
1602074932,31294064
1602074935,31294064
1602074938,31294064
1602074941,31294064
1602074944,31294064
1602074947,31294064
1602074950,31294064
1602074953,31294064
1602074956,31294064
1602074959,31294064
1602074962,31294064
1602074965,31294064
1602074968,31294064
1602074971,31294064
1602074974,31294064
1602074977,31294064
1602074980,31294064
1602074983,31294064
1602074986,31294064
1602074989,31294064
1602074992,31294064
1602074995,31294064
1602074998,31294064
1602075001,31294064
1602075004,31294064
1602075007,31294064
1602075010,31294064
1602075013,31294064
1602075016,31294064
1602075019,31294064
1602075022,43706880
1602075025,43706880
1602075028,43706880
1602075031,43706880
1602075034,43706880
1602075037,43706880
1602075040,43706880
1602075043,43706880
1602075046,43706880
1602075049,43706880
1602075052,43706880
1602075055,43706880
1602075058,43706880
1602075061,43706880
1602075064,43706880
1602075067,43706880
1602075070,43706880
1602075073,43706880
1602075076,43706880
1602075079,43706880
1602075082,43706880
1602075085,43706880
1602075088,43706880
1602075091,43706880
1602075094,43706880
1602075097,43706880
1602075100,43706880
1602075103,43706880
1602075106,43706880
1602075109,43706880
1602075112,43706880
1602075115,43706880
1602075118,43706880
1602075121,43706880
1602075124,43706880
1602075127,43706880
1602075130,43706880
1602075133,43706880
1602075136,43706880
1602075139,43706880
1602075142,43706880
1602075145,43706880
1602075148,43706880
1602075151,43706880
1602075154,43706880
1602075157,43706880
1602075160,43706880
1602075163,43706880
1602075166,43706880
1602075169,43706880
1602075172,43706880
1602075175,43706880
1602075178,43706880
1602075181,43706880
1602075184,43706880
1602075187,43706880
1602075190,43706880
1602075193,43706880
1602075196,43706880
1602075199,43706880
1602075202,43706880
1602075205,43706880
1602075208,43706880
1602075211,43706880
1602075214,43706880
1602075217,43706880
1602075220,43706880
1602075223,43706880
1602075226,43706880
1602075229,43706880
1602075232,43706880
1602075235,43706880
1602075238,43706880
1602075241,43706880
1602075244,43706880
1602075247,43706880
1602075250,43706880
1602075253,43706880
1602075256,43706880
1602075259,43706880
1602075262,43706880
1602075265,43706880
1602075268,43706880
1602075271,43706880
1602075274,43706880
1602075277,43706880
1602075280,43706880
1602075283,43706880
1602075286,43706880
1602075289,43706880
1602075292,43706880
1602075295,43706880
1602075298,43706880
1602075301,43706880
1602075304,43706880
1602075307,43706880
1602075310,43706880
1602075313,43706880
1602075316,43706880
1602075319,43706880
1602075322,43706880
1602075325,43706880
1602075328,43706880
1602075331,43706880
1602075334,43706880
1602075337,43706880
1602075340,43706880
1602075343,43706880
t,value
1602076335,28705280
1602076338,45232592
1602076341,45232592
1602076344,64106960
1602076347,44823872
1602076350,44823872
1602076353,44823872
1602076356,44823872
1602076359,44823872
1602076362,44823872
1602076365,44823872
1602076368,44823872
1602076371,44823872
1602076374,44823872
1602076377,44823872
1602076380,44823872
1602076383,44823872
1602076386,44823872
1602076389,44823872
1602076392,44823872
1602076395,44823872
1602076398,44823872
1602076401,44823872
1602076404,44823872
1602076407,44823872
1602076410,44823872
1602076413,44823872
1602076416,44823872
1602076419,44823872
1602076422,44823872
1602076425,44823872
1602076428,44823872
1602076431,44823872
1602076434,44823872
1602076437,44823872
1602076440,44823872
1602076443,44823872
1602076446,52610944
1602076449,52610944
1602076452,52610944
1602076455,52610944
1602076458,52610944
1602076461,52610944
1602076464,52610944
1602076467,52610944
1602076470,52610944
1602076473,52610944
1602076476,52610944
1602076479,52610944
1602076482,52610944
1602076485,52610944
1602076488,52610944
1602076491,52610944
1602076494,52610944
1602076497,52610944
1602076500,52610944
1602076503,52610944
1602076506,52610944
1602076509,52610944
1602076512,52610944
1602076515,52610944
1602076518,52610944
1602076521,52610944
1602076524,52610944
1602076527,52610944
1602076530,52610944
1602076533,52610944
1602076536,52610944
1602076539,52610944
1602076542,52610944
1602076545,52610944
1602076548,52610944
1602076551,52610944
1602076554,52610944
1602076557,52610944
1602076560,52610944
1602076563,52610944
1602076566,52610944
1602076569,52610944
1602076572,52610944
1602076575,52610944
1602076578,52610944
1602076581,52610944
1602076584,52610944
1602076587,52610944
1602076590,52610944
1602076593,52610944
1602076596,52610944
1602076599,52610944
1602076602,52610944
1602076605,52610944
1602076608,52610944
1602076611,52610944
1602076614,52610944
1602076617,52610944
1602076620,52610944
1602076623,52610944
1602076626,52610944
1602076629,52610944
1602076632,52610944
1602076635,52610944
1602076638,52610944
1602076641,52610944
1602076644,52610944
1602076647,52610944
1602076650,52610944
1602076653,52610944
1602076656,52610944
1602076659,52610944
1602076662,52610944
1602076665,52610944
1602076668,52610944
1602076671,52610944
1602076674,52610944
1602076677,52610944
1602076680,52610944
1602076683,52610944
1602076686,52610944
1602076689,52610944
1602076692,52610944
1602076695,52610944
1602076698,52610944
1602076701,52610944
1602076704,52610944
1602076707,52610944
1602076710,52610944
1602076713,52610944
1602076716,52610944
1602076719,53108856
1602076722,53108856
1602076725,53108856
1602076728,53108856
1602076731,53108856
1602076734,53108856
1602076737,53108856
1602076740,53108856
1602076743,53108856
1602076746,53108856
1602076749,53108856
1602076752,53108856
1602076755,53108856
1602076758,53108856
1602076761,53108856
1602076764,53108856
1602076767,53108856
1602076770,53108856
1602076773,53108856
1602076776,53108856
1602076779,53108856
1602076782,53108856
1602076785,53108856
1602076788,53108856
1602076791,53108856
1602076794,53108856
1602076797,53108856
1602076800,53108856
1602076803,53108856
1602076806,53108856
1602076809,53108856
1602076812,53108856
1602076815,53108856
1602076818,53108856
1602076821,53108856
1602076824,53108856
1602076827,53108856
1602076830,53108856
1602076833,53108856
1602076836,53108856
1602076839,53108856
1602076842,53108856
1602076845,53108856
1602076848,53108856
1602076851,53108856
1602076854,53108856
1602076857,53108856
1602076860,53108856
1602076863,53108856
1602076866,53108856
1602076869,53108856
1602076872,53108856
1602076875,53108856
1602076878,53108856
1602076881,53108856
1602076884,53108856
1602076887,53108856
1602076890,53108856
1602076893,53108856
1602076896,53108856
1602076899,53108856
1602076902,53108856
1602076905,53108856
1602076908,53108856
1602076911,53108856
1602076914,53108856
1602076917,53108856
1602076920,53108856
1602076923,53108856
1602076926,53108856
1602076929,53108856
1602076932,53108856
1602076935,53108856
1602076938,53108856
1602076941,53108856
1602076944,53108856
1602076947,53108856
1602076950,53108856
1602076953,53108856
1602076956,53108856
1602076959,53108856
1602076962,53108856
1602076965,53108856
1602076968,53108856
1602076971,53108856
1602076974,53108856
1602076977,53108856
1602076980,53108856
1602076983,53108856
1602076986,53108856
1602076989,53108856
1602076992,53108856
1602076995,53108856
1602076998,53108856
1602077001,53108856
1602077004,53108856
1602077007,53108856
1602077010,53108856
1602077013,53108856
1602077016,53108856
1602077019,53108856
1602077022,53108856
1602077025,53108856
1602077028,53108856
1602077031,53108856
1602077034,53108856
1602077037,53108856
1602077040,53108856
1602077043,53108856
1602077046,53108856
1602077049,53108856
1602077052,53108856
1602077055,53108856
1602077058,53108856
1602077061,53108856
1602077064,53108856
1602077067,53108856
1602077070,53108856
1602077073,53108856
1602077076,53108856
1602077079,53108856
1602077082,53108856
1602077085,53108856
1602077088,53108856
1602077091,53108856
1602077094,53108856
1602077097,53108856
1602077100,53108856
1602077103,53108856
1602077106,53108856
1602077109,53108856
1602077112,53108856
1602077115,53108856
1602077118,53108856
1602077121,53108856
1602077124,53108856
1602077127,53108856
1602077130,53108856
1602077133,53108856
1602077136,53108856
1602077139,53108856
1602077142,53108856
1602077145,53108856
1602077148,53108856
1602077151,53108856
1602077154,53108856
1602077157,53108856
1602077160,53108856
1602077163,53108856
1602077166,53108856
1602077169,53108856
1602077172,52516520
1602077175,52516520
1602077178,52516520
1602077181,52516520
1602077184,52516520
1602077187,52516520
1602077190,52516520
1602077193,52516520
1602077196,52516520
1602077199,52516520
1602077202,52516520
1602077205,52516520
1602077208,52516520
1602077211,52516520
1602077214,52516520
1602077217,52516520
1602077220,52516520
1602077223,52516520
1602077226,52516520
1602077229,52516520
1602077232,52516520
1602077235,52516520
1602077238,52516520
1602077241,52516520
1602077244,52516520
1602077247,52516520
1602077250,52516520
1602077253,52516520
1602077256,52516520
1602077259,52516520
1602077262,52516520
1602077265,52516520
1602077268,52516520
1602077271,52516520
1602077274,52516520
1602077277,52516520
1602077280,52516520
1602077283,52516520
1602077286,52516520
1602077289,52516520
1602077292,52516520
1602077295,52516520
1602077298,52516520
1602077301,52516520
