t,value
1602074485,27262976
1602074488,20971520
1602074491,20971520
1602074494,20971520
1602074497,20971520
1602074500,20971520
1602074503,20971520
1602074506,20971520
1602074509,20971520
1602074512,20971520
1602074515,20971520
1602074518,20971520
1602074521,20971520
1602074524,20971520
1602074527,20971520
1602074530,20971520
1602074533,20971520
1602074536,20971520
1602074539,20971520
1602074542,20971520
1602074545,20971520
1602074548,20971520
1602074551,20971520
1602074554,20971520
1602074557,20971520
1602074560,20971520
1602074563,20971520
1602074566,20971520
1602074569,20971520
1602074572,20971520
1602074575,20971520
1602074578,20971520
1602074581,20971520
1602074584,20971520
1602074587,20971520
1602074590,20971520
1602074593,20971520
1602074596,20971520
1602074599,20971520
1602074602,28311552
1602074605,28311552
1602074608,28311552
1602074611,28311552
1602074614,28311552
1602074617,28311552
1602074620,28311552
1602074623,28311552
1602074626,28311552
1602074629,28311552
1602074632,28311552
1602074635,28311552
1602074638,28311552
1602074641,28311552
1602074644,28311552
1602074647,28311552
1602074650,28311552
1602074653,28311552
1602074656,28311552
1602074659,28311552
1602074662,28311552
1602074665,28311552
1602074668,28311552
1602074671,28311552
1602074674,28311552
1602074677,28311552
1602074680,28311552
1602074683,28311552
1602074686,28311552
1602074689,28311552
1602074692,28311552
1602074695,28311552
1602074698,28311552
1602074701,28311552
1602074704,28311552
1602074707,28311552
1602074710,28311552
1602074713,28311552
1602074716,28311552
1602074719,28311552
1602074722,28311552
1602074725,28311552
1602074728,28311552
1602074731,28311552
1602074734,28311552
1602074737,28311552
1602074740,28311552
1602074743,28311552
1602074746,28311552
1602074749,28311552
1602074752,28311552
1602074755,28311552
1602074758,28311552
1602074761,28311552
1602074764,28311552
1602074767,28311552
1602074770,28311552
1602074773,28311552
1602074776,28311552
1602074779,28311552
1602074782,28311552
1602074785,28311552
1602074788,28311552
1602074791,28311552
1602074794,28311552
1602074797,28311552
1602074800,28311552
1602074803,28311552
1602074806,28311552
1602074809,28311552
1602074812,28311552
1602074815,28311552
1602074818,28311552
1602074821,28311552
1602074824,28311552
1602074827,28311552
1602074830,28311552
1602074833,28311552
1602074836,28311552
1602074839,28311552
1602074842,28311552
1602074845,28311552
1602074848,28311552
1602074851,28311552
1602074854,28311552
1602074857,28311552
1602074860,28311552
1602074863,28311552
1602074866,28311552
1602074869,28311552
1602074872,28311552
1602074875,28311552
1602074878,28311552
1602074881,28311552
1602074884,28311552
1602074887,28311552
1602074890,28311552
1602074893,28311552
1602074896,28311552
1602074899,28311552
1602074902,28311552
1602074905,28311552
1602074908,28311552
1602074911,28311552
1602074914,28311552
1602074917,28311552
1602074920,28311552
1602074923,28311552
1602074926,28311552
1602074929,28311552
1602074932,28311552
1602074935,28311552
1602074938,28311552
1602074941,28311552
1602074944,28311552
1602074947,28311552
1602074950,28311552
1602074953,28311552
1602074956,28311552
1602074959,28311552
1602074962,28311552
1602074965,28311552
1602074968,28311552
1602074971,28311552
1602074974,28311552
1602074977,28311552
1602074980,28311552
1602074983,28311552
1602074986,28311552
1602074989,28311552
1602074992,28311552
1602074995,28311552
1602074998,28311552
1602075001,28311552
1602075004,28311552
1602075007,28311552
1602075010,28311552
1602075013,28311552
1602075016,28311552
1602075019,28311552
1602075022,16777216
1602075025,16777216
1602075028,16777216
1602075031,16777216
1602075034,16777216
1602075037,16777216
1602075040,16777216
1602075043,16777216
1602075046,16777216
1602075049,16777216
1602075052,16777216
1602075055,16777216
1602075058,16777216
1602075061,16777216
1602075064,16777216
1602075067,16777216
1602075070,16777216
1602075073,16777216
1602075076,16777216
1602075079,16777216
1602075082,16777216
1602075085,16777216
1602075088,16777216
1602075091,16777216
1602075094,16777216
1602075097,16777216
1602075100,16777216
1602075103,16777216
1602075106,16777216
1602075109,16777216
1602075112,16777216
1602075115,16777216
1602075118,16777216
1602075121,16777216
1602075124,16777216
1602075127,16777216
1602075130,16777216
1602075133,16777216
1602075136,16777216
1602075139,16777216
1602075142,16777216
1602075145,16777216
1602075148,16777216
1602075151,16777216
1602075154,16777216
1602075157,16777216
1602075160,16777216
1602075163,16777216
1602075166,16777216
1602075169,16777216
1602075172,16777216
1602075175,16777216
1602075178,16777216
1602075181,16777216
1602075184,16777216
1602075187,16777216
1602075190,16777216
1602075193,16777216
1602075196,16777216
1602075199,16777216
1602075202,16777216
1602075205,16777216
1602075208,16777216
1602075211,16777216
1602075214,16777216
1602075217,16777216
1602075220,16777216
1602075223,16777216
1602075226,16777216
1602075229,16777216
1602075232,16777216
1602075235,16777216
1602075238,16777216
1602075241,16777216
1602075244,16777216
1602075247,16777216
1602075250,16777216
1602075253,16777216
1602075256,16777216
1602075259,16777216
1602075262,16777216
1602075265,16777216
1602075268,16777216
1602075271,16777216
1602075274,16777216
1602075277,16777216
1602075280,16777216
1602075283,16777216
1602075286,16777216
1602075289,16777216
1602075292,16777216
1602075295,16777216
1602075298,16777216
1602075301,16777216
1602075304,16777216
1602075307,16777216
1602075310,16777216
1602075313,16777216
1602075316,16777216
1602075319,16777216
1602075322,16777216
1602075325,16777216
1602075328,16777216
1602075331,16777216
1602075334,16777216
1602075337,16777216
1602075340,16777216
1602075343,16777216
t,value
1602076335,37748736
1602076338,8388608
1602076341,8388608
1602076344,8388608
1602076347,19922944
1602076350,19922944
1602076353,19922944
1602076356,19922944
1602076359,19922944
1602076362,19922944
1602076365,19922944
1602076368,19922944
1602076371,19922944
1602076374,19922944
1602076377,19922944
1602076380,19922944
1602076383,19922944
1602076386,19922944
1602076389,19922944
1602076392,19922944
1602076395,19922944
1602076398,19922944
1602076401,19922944
1602076404,19922944
1602076407,19922944
1602076410,19922944
1602076413,19922944
1602076416,19922944
1602076419,19922944
1602076422,19922944
1602076425,19922944
1602076428,19922944
1602076431,19922944
1602076434,19922944
1602076437,19922944
1602076440,19922944
1602076443,19922944
1602076446,12582912
1602076449,12582912
1602076452,12582912
1602076455,12582912
1602076458,12582912
1602076461,12582912
1602076464,12582912
1602076467,12582912
1602076470,12582912
1602076473,12582912
1602076476,12582912
1602076479,12582912
1602076482,12582912
1602076485,12582912
1602076488,12582912
1602076491,12582912
1602076494,12582912
1602076497,12582912
1602076500,12582912
1602076503,12582912
1602076506,12582912
1602076509,12582912
1602076512,12582912
1602076515,12582912
1602076518,12582912
1602076521,12582912
1602076524,12582912
1602076527,12582912
1602076530,12582912
1602076533,12582912
1602076536,12582912
1602076539,12582912
1602076542,12582912
1602076545,12582912
1602076548,12582912
1602076551,12582912
1602076554,12582912
1602076557,12582912
1602076560,12582912
1602076563,12582912
1602076566,12582912
1602076569,12582912
1602076572,12582912
1602076575,12582912
1602076578,12582912
1602076581,12582912
1602076584,12582912
1602076587,12582912
1602076590,12582912
1602076593,12582912
1602076596,12582912
1602076599,12582912
1602076602,12582912
1602076605,12582912
1602076608,12582912
1602076611,12582912
1602076614,12582912
1602076617,12582912
1602076620,12582912
1602076623,12582912
1602076626,12582912
1602076629,12582912
1602076632,12582912
1602076635,12582912
1602076638,12582912
1602076641,12582912
1602076644,12582912
1602076647,12582912
1602076650,12582912
1602076653,12582912
1602076656,12582912
1602076659,12582912
1602076662,12582912
1602076665,12582912
1602076668,12582912
1602076671,12582912
1602076674,12582912
1602076677,12582912
1602076680,12582912
1602076683,12582912
1602076686,12582912
1602076689,12582912
1602076692,12582912
1602076695,12582912
1602076698,12582912
1602076701,12582912
1602076704,12582912
1602076707,12582912
1602076710,12582912
1602076713,12582912
1602076716,12582912
1602076719,13631488
1602076722,13631488
1602076725,13631488
1602076728,13631488
1602076731,13631488
1602076734,13631488
1602076737,13631488
1602076740,13631488
1602076743,13631488
1602076746,13631488
1602076749,13631488
1602076752,13631488
1602076755,13631488
1602076758,13631488
1602076761,13631488
1602076764,13631488
1602076767,13631488
1602076770,13631488
1602076773,13631488
1602076776,13631488
1602076779,13631488
1602076782,13631488
1602076785,13631488
1602076788,13631488
1602076791,13631488
1602076794,13631488
1602076797,13631488
1602076800,13631488
1602076803,13631488
1602076806,13631488
1602076809,13631488
1602076812,13631488
1602076815,13631488
1602076818,13631488
1602076821,13631488
1602076824,13631488
1602076827,13631488
1602076830,13631488
1602076833,13631488
1602076836,13631488
1602076839,13631488
1602076842,13631488
1602076845,13631488
1602076848,13631488
1602076851,13631488
1602076854,13631488
1602076857,13631488
1602076860,13631488
1602076863,13631488
1602076866,13631488
1602076869,13631488
1602076872,13631488
1602076875,13631488
1602076878,13631488
1602076881,13631488
1602076884,13631488
1602076887,13631488
1602076890,13631488
1602076893,13631488
1602076896,13631488
1602076899,13631488
1602076902,13631488
1602076905,13631488
1602076908,13631488
1602076911,13631488
1602076914,13631488
1602076917,13631488
1602076920,13631488
1602076923,13631488
1602076926,13631488
1602076929,13631488
1602076932,13631488
1602076935,13631488
1602076938,13631488
1602076941,13631488
1602076944,13631488
1602076947,13631488
1602076950,13631488
1602076953,13631488
1602076956,13631488
1602076959,13631488
1602076962,13631488
1602076965,13631488
1602076968,13631488
1602076971,13631488
1602076974,13631488
1602076977,13631488
1602076980,13631488
1602076983,13631488
1602076986,13631488
1602076989,13631488
1602076992,13631488
1602076995,13631488
1602076998,13631488
1602077001,13631488
1602077004,13631488
1602077007,13631488
1602077010,13631488
1602077013,13631488
1602077016,13631488
1602077019,13631488
1602077022,13631488
1602077025,13631488
1602077028,13631488
1602077031,13631488
1602077034,13631488
1602077037,13631488
1602077040,13631488
1602077043,13631488
1602077046,13631488
1602077049,13631488
1602077052,13631488
1602077055,13631488
1602077058,13631488
1602077061,13631488
1602077064,13631488
1602077067,13631488
1602077070,13631488
1602077073,13631488
1602077076,13631488
1602077079,13631488
1602077082,13631488
1602077085,13631488
1602077088,13631488
1602077091,13631488
1602077094,13631488
1602077097,13631488
1602077100,13631488
1602077103,13631488
1602077106,13631488
1602077109,13631488
1602077112,13631488
1602077115,13631488
1602077118,13631488
1602077121,13631488
1602077124,13631488
1602077127,13631488
1602077130,13631488
1602077133,13631488
1602077136,13631488
1602077139,13631488
1602077142,13631488
1602077145,13631488
1602077148,13631488
1602077151,13631488
1602077154,13631488
1602077157,13631488
1602077160,13631488
1602077163,13631488
1602077166,13631488
1602077169,13631488
1602077172,14680064
1602077175,14680064
1602077178,14680064
1602077181,14680064
1602077184,14680064
1602077187,14680064
1602077190,14680064
1602077193,14680064
1602077196,14680064
1602077199,14680064
1602077202,14680064
1602077205,14680064
1602077208,14680064
1602077211,14680064
1602077214,14680064
1602077217,14680064
1602077220,14680064
1602077223,14680064
1602077226,14680064
1602077229,14680064
1602077232,14680064
1602077235,14680064
1602077238,14680064
1602077241,14680064
1602077244,14680064
1602077247,14680064
1602077250,14680064
1602077253,14680064
1602077256,14680064
1602077259,14680064
1602077262,14680064
1602077265,14680064
1602077268,14680064
1602077271,14680064
1602077274,14680064
1602077277,14680064
1602077280,14680064
1602077283,14680064
1602077286,14680064
1602077289,14680064
1602077292,14680064
1602077295,14680064
1602077298,14680064
1602077301,14680064
1602077304,14680064
1602077307,14680064
1602077310,14680064
1602077313,14680064
1602077316,14680064
1602077319,14680064
1602077322,14680064
1602077325,14680064
1602077328,14680064
1602077331,14680064
1602077334,14680064
1602077337,14680064
1602077340,14680064
1602077343,14680064
1602077346,14680064
1602077349,14680064
1602077352,14680064
1602077355,14680064
1602077358,14680064
1602077361,14680064
1602077364,14680064
1602077367,14680064
1602077370,14680064
1602077373,14680064
1602077376,14680064
1602077379,14680064
1602077382,14680064
1602077385,14680064
1602077388,14680064
1602077391,14680064
1602077394,14680064
1602077397,14680064
1602077400,14680064
1602077403,14680064
1602077406,14680064
1602077409,14680064
1602077412,14680064
1602077415,14680064
1602077418,14680064
1602077421,14680064
1602077424,14680064
1602077427,14680064
1602077430,14680064
1602077433,14680064
1602077436,14680064
1602077439,14680064
1602077442,14680064
1602077445,14680064
1602077448,14680064
1602077451,14680064
1602077454,14680064
1602077457,14680064
1602077460,14680064
1602077463,14680064
1602077466,14680064
1602077469,14680064
1602077472,14680064
1602077475,14680064
1602077478,14680064
1602077481,14680064
1602077484,14680064
1602077487,14680064
1602077490,14680064
1602077493,14680064
1602077496,14680064
1602077499,14680064
1602077502,14680064
1602077505,14680064
1602077508,14680064
1602077511,14680064
1602077514,14680064
1602077517,14680064
1602077520,14680064
1602077523,14680064
1602077526,14680064
1602077529,14680064
1602077532,14680064
1602077535,14680064
1602077538,14680064
1602077541,14680064
1602077544,14680064
1602077547,14680064
1602077550,14680064
1602077553,14680064
1602077556,14680064
1602077559,14680064
1602077562,14680064
1602077565,14680064
1602077568,14680064
1602077571,14680064
1602077574,14680064
1602077577,14680064
1602077580,14680064
1602077583,14680064
1602077586,14680064
1602077589,14680064
1602077592,13631488
1602077595,13631488
1602077598,13631488
1602077601,13631488
1602077604,13631488
1602077607,13631488
1602077610,13631488
1602077613,13631488
1602077616,13631488
1602077619,13631488
1602077622,13631488
1602077625,13631488
1602077628,13631488
1602077631,13631488
1602077634,13631488
1602077637,13631488
1602077640,13631488
1602077643,13631488
1602077646,13631488
1602077649,13631488
1602077652,13631488
1602077655,13631488
1602077658,13631488
1602077661,13631488
1602077664,13631488
1602077667,13631488
1602077670,13631488
1602077673,13631488
1602077676,13631488
1602077679,13631488
1602077682,13631488
1602077685,13631488
1602077688,13631488
1602077691,13631488
1602077694,13631488
1602077697,13631488
1602077700,13631488
1602077703,13631488
1602077706,13631488
1602077709,13631488
1602077712,13631488
1602077715,13631488
1602077718,13631488
1602077721,13631488
1602077724,13631488
1602077727,13631488
1602077730,13631488
1602077733,13631488
1602077736,13631488
1602077739,13631488
1602077742,13631488
1602077745,13631488
1602077748,13631488
1602077751,13631488
1602077754,13631488
1602077757,13631488
1602077760,13631488
1602077763,13631488
1602077766,13631488
1602077769,13631488
1602077772,13631488
1602077775,13631488
1602077778,13631488
1602077781,13631488
1602077784,13631488
1602077787,13631488
1602077790,13631488
1602077793,13631488
1602077796,13631488
1602077799,13631488
1602077802,13631488
1602077805,13631488
1602077808,13631488
1602077811,13631488
1602077814,13631488
1602077817,13631488
1602077820,13631488
1602077823,13631488
1602077826,13631488
1602077829,13631488
1602077832,13631488
1602077835,13631488
1602077838,13631488
1602077841,13631488
1602077844,13631488
1602077847,13631488
1602077850,13631488
1602077853,13631488
1602077856,13631488
1602077859,13631488
1602077862,13631488
1602077865,13631488
1602077868,13631488
1602077871,13631488
1602077874,13631488
1602077877,13631488
1602077880,13631488
1602077883,13631488
1602077886,13631488
1602077889,13631488
1602077892,13631488
1602077895,13631488
1602077898,13631488
1602077901,13631488
1602077904,13631488
1602077907,13631488
1602077910,13631488
1602077913,13631488
1602077916,13631488
1602077919,13631488
1602077922,13631488
1602077925,13631488
1602077928,13631488
1602077931,13631488
1602077934,13631488
1602077937,13631488
1602077940,13631488
1602077943,13631488
1602077946,13631488
1602077949,13631488
1602077952,13631488
1602077955,13631488
1602077958,13631488
1602077961,13631488
1602077964,13631488
1602077967,13631488
1602077970,13631488
1602077973,13631488
1602077976,13631488
1602077979,13631488
1602077982,13631488
1602077985,13631488
1602077988,13631488
1602077991,13631488
1602077994,13631488
1602077997,13631488
1602078000,13631488
1602078003,13631488
1602078006,13631488
1602078009,13631488
1602078012,13631488
1602078015,13631488
1602078018,13631488
1602078021,13631488
1602078024,13631488
1602078027,13631488
1602078030,13631488
1602078033,13631488
1602078036,13631488
1602078039,13631488
1602078042,13631488
1602078045,13631488
1602078048,13631488
1602078051,13631488
1602078054,13631488
1602078057,13631488
1602078060,13631488
1602078063,13631488
1602078066,13631488
1602078069,13631488
1602078072,13631488
1602078075,13631488
1602078078,13631488
1602078081,13631488
1602078084,13631488
1602078087,13631488
1602078090,13631488
1602078093,13631488
1602078096,13631488
1602078099,13631488
1602078102,13631488
1602078105,13631488
1602078108,13631488
1602078111,13631488
1602078114,13631488
1602078117,13631488
1602078120,13631488
1602078123,13631488
1602078126,13631488
1602078129,13631488
1602078132,13631488
1602078135,13631488
1602078138,13631488
1602078141,13631488
1602078144,13631488
1602078147,13631488
1602078150,13631488
1602078153,13631488
1602078156,13631488
1602078159,13631488
1602078162,13631488
1602078165,13631488
1602078168,13631488
1602078171,13631488
1602078174,13631488
1602078177,13631488
1602078180,13631488
1602078183,13631488
1602078186,13631488
1602078189,13631488
1602078192,13631488
1602078195,13631488
1602078198,13631488
1602078201,13631488
1602078204,13631488
1602078207,13631488
1602078210,13631488
1602078213,13631488
1602078216,13631488
1602078219,13631488
1602078222,13631488
1602078225,13631488
1602078228,13631488
1602078231,13631488
1602078234,13631488
1602078237,13631488
1602078240,13631488
1602078243,13631488
1602078246,13631488
1602078249,13631488
1602078252,13631488
1602078255,13631488
1602078258,13631488
1602078261,13631488
1602078264,13631488
1602078267,13631488
1602078270,13631488
1602078273,13631488
1602078276,13631488
1602078279,13631488
1602078282,13631488
1602078285,13631488
1602078288,13631488
1602078291,13631488
1602078294,13631488
1602078297,13631488
1602078300,13631488
1602078303,13631488
1602078306,13631488
1602078309,13631488
1602078312,13631488
1602078315,13631488
1602078318,13631488
1602078321,13631488
1602078324,13631488
1602078327,13631488
1602078330,13631488
1602078333,13631488
1602078336,13631488
1602078339,13631488
1602078342,13631488
1602078345,13631488
1602078348,13631488
1602078351,13631488
1602078354,13631488
1602078357,13631488
1602078360,13631488
1602078363,13631488
1602078366,13631488
1602078369,13631488
1602078372,13631488
1602078375,13631488
1602078378,13631488
1602078381,13631488
1602078384,13631488
1602078387,13631488
1602078390,13631488
1602078393,13631488
1602078396,13631488
1602078399,13631488
1602078402,13631488
1602078405,13631488
1602078408,13631488
1602078411,13631488
1602078414,13631488
1602078417,13631488
1602078420,13631488
1602078423,13631488
1602078426,13631488
1602078429,13631488
1602078432,13631488
1602078435,13631488
1602078438,13631488
1602078441,13631488
1602078444,13631488
1602078447,13631488
1602078450,13631488
1602078453,13631488
1602078456,13631488
1602078459,13631488
1602078462,13631488
1602078465,13631488
1602078468,13631488
1602078471,13631488
1602078474,13631488
1602078477,13631488
1602078480,13631488
1602078483,13631488
1602078486,13631488
1602078489,13631488
1602078492,13631488
1602078495,13631488
1602078498,13631488
1602078501,13631488
1602078504,13631488
1602078507,13631488
1602078510,13631488
1602078513,13631488
1602078516,13631488
1602078519,13631488
1602078522,13631488
1602078525,13631488
1602078528,13631488
1602078531,13631488
1602078534,13631488
1602078537,13631488
1602078540,13631488
1602078543,13631488
1602078546,13631488
1602078549,13631488
1602078552,13631488
1602078555,13631488
1602078558,13631488
1602078561,13631488
1602078564,13631488
1602078567,13631488
1602078570,13631488
1602078573,13631488
1602078576,13631488
1602078579,13631488
1602078582,13631488
1602078585,13631488
1602078588,13631488
1602078591,13631488
1602078594,13631488
1602078597,13631488
1602078600,13631488
1602078603,13631488
1602078606,13631488
1602078609,13631488
1602078612,13631488
1602078615,13631488
1602078618,13631488
1602078621,13631488
1602078624,13631488
1602078627,13631488
1602078630,13631488
1602078633,13631488
1602078636,13631488
1602078639,13631488
1602078642,13631488
1602078645,13631488
1602078648,13631488
1602078651,13631488
1602078654,13631488
1602078657,13631488
1602078660,13631488
1602078663,13631488
1602078666,13631488
1602078669,13631488
1602078672,13631488
1602078675,13631488
1602078678,13631488
1602078681,13631488
1602078684,13631488
1602078687,13631488
1602078690,13631488
1602078693,13631488
1602078696,13631488
1602078699,13631488
1602078702,13631488
1602078705,13631488
1602078708,13631488
1602078711,13631488
1602078714,13631488
1602078717,13631488
1602078720,13631488
1602078723,13631488
1602078726,13631488
1602078729,13631488
1602078732,13631488
1602078735,13631488
1602078738,13631488
1602078741,13631488
1602078744,13631488
1602078747,13631488
1602078750,13631488
1602078753,13631488
1602078756,13631488
1602078759,13631488
1602078762,13631488
1602078765,13631488
1602078768,13631488
1602078771,13631488
1602078774,13631488
1602078777,13631488
1602078780,13631488
1602078783,13631488
