t,value
1602074485,93362424
1602074488,109354920
1602074491,111515808
1602074494,116007576
1602074497,116039512
1602074500,116042984
1602074503,116045416
1602074506,116061928
1602074509,116064440
1602074512,116177384
1602074515,116179760
1602074518,116182368
1602074521,116185552
1602074524,116185552
1602074527,116187680
1602074530,116194408
1602074533,116333752
1602074536,116528432
1602074539,116592200
1602074542,116686024
1602074545,116708256
1602074548,116732264
1602074551,116854992
1602074554,116860240
1602074557,116880656
1602074560,116893736
1602074563,116909176
1602074566,117781240
1602074569,117808832
1602074572,117843048
1602074575,117843512
1602074578,117845936
1602074581,119661608
1602074584,119696648
1602074587,119696648
1602074590,120310448
1602074593,120361056
1602074596,120362688
1602074599,120365552
1602074602,120376760
1602074605,120377136
1602074608,120400328
1602074611,120431608
1602074614,120437040
1602074617,120437976
1602074620,120437976
1602074623,120437976
1602074626,120437976
1602074629,120437976
1602074632,120481056
1602074635,120481056
1602074638,120481616
1602074641,120484312
1602074644,120484312
1602074647,120484312
1602074650,120484312
1602074653,120539088
1602074656,120539528
1602074659,120539528
1602074662,120556848
1602074665,120556928
1602074668,120556928
1602074671,120599432
1602074674,120610696
1602074677,120620904
1602074680,120620904
1602074683,120620904
1602074686,120621280
1602074689,120621280
1602074692,120621280
1602074695,120623160
1602074698,120623160
1602074701,120623160
1602074704,120623160
1602074707,120623160
1602074710,120623160
1602074713,120623160
1602074716,120623632
1602074719,120623632
1602074722,120637928
1602074725,120637928
1602074728,120637928
1602074731,120638408
1602074734,120638864
1602074737,120642880
1602074740,120642880
1602074743,120653808
1602074746,120654616
1602074749,120654616
1602074752,120656336
1602074755,120656336
1602074758,120656336
1602074761,120656336
1602074764,120656336
1602074767,120657728
1602074770,120657728
1602074773,120658168
1602074776,120659528
1602074779,120659528
1602074782,120667488
1602074785,120667488
1602074788,120667488
1602074791,120667488
1602074794,120667488
1602074797,120677528
1602074800,120677528
1602074803,120678024
1602074806,120678024
1602074809,120678024
1602074812,120678024
1602074815,120678024
1602074818,120680352
1602074821,120680352
1602074824,120680352
1602074827,120680352
1602074830,120680352
1602074833,120680352
1602074836,120680352
1602074839,120680352
1602074842,120684120
1602074845,120684480
1602074848,120684480
1602074851,120684896
1602074854,120685824
1602074857,120685824
