t,value
1602074485,58
1602074488,58
1602074491,74
1602074494,76
1602074497,76
1602074500,76
1602074503,76
1602074506,76
1602074509,76
1602074512,76
1602074515,76
1602074518,76
1602074521,76
1602074524,76
1602074527,76
1602074530,76
1602074533,76
1602074536,76
1602074539,76
1602074542,72
1602074545,72
1602074548,72
1602074551,69
1602074554,69
1602074557,69
1602074560,69
1602074563,69
1602074566,71
1602074569,71
1602074572,72
1602074575,72
1602074578,72
1602074581,72
1602074584,72
1602074587,72
1602074590,72
1602074593,72
1602074596,72
1602074599,72
1602074602,71
1602074605,71
1602074608,71
1602074611,71
1602074614,71
1602074617,71
1602074620,71
1602074623,71
1602074626,71
1602074629,71
1602074632,70
1602074635,70
1602074638,70
1602074641,68
1602074644,68
1602074647,68
1602074650,68
1602074653,68
1602074656,68
1602074659,68
1602074662,68
1602074665,68
1602074668,68
1602074671,68
1602074674,68
1602074677,68
1602074680,68
1602074683,68
1602074686,68
1602074689,68
1602074692,68
1602074695,68
1602074698,68
1602074701,68
1602074704,68
1602074707,68
1602074710,68
1602074713,68
1602074716,68
1602074719,68
1602074722,68
1602074725,68
1602074728,68
1602074731,67
1602074734,67
1602074737,67
1602074740,67
1602074743,67
1602074746,67
1602074749,67
1602074752,67
1602074755,67
1602074758,67
1602074761,67
1602074764,67
1602074767,67
1602074770,67
1602074773,67
1602074776,67
1602074779,67
1602074782,67
1602074785,67
1602074788,67
1602074791,66
1602074794,66
1602074797,66
1602074800,66
1602074803,66
1602074806,66
1602074809,66
1602074812,66
1602074815,66
1602074818,66
1602074821,66
1602074824,66
1602074827,66
1602074830,66
1602074833,66
1602074836,66
1602074839,66
1602074842,66
1602074845,66
1602074848,66
1602074851,66
1602074854,66
1602074857,66
1602074860,66
1602074863,66
1602074866,66
1602074869,66
1602074872,66
1602074875,66
1602074878,66
1602074881,66
1602074884,66
1602074887,66
1602074890,66
1602074893,66
1602074896,66
1602074899,66
1602074902,66
1602074905,66
1602074908,66
1602074911,66
1602074914,66
1602074917,66
1602074920,66
1602074923,66
1602074926,66
1602074929,66
1602074932,66
1602074935,66
1602074938,66
1602074941,66
1602074944,66
1602074947,66
1602074950,66
1602074953,66
1602074956,66
1602074959,66
1602074962,66
1602074965,66
1602074968,66
1602074971,66
1602074974,66
1602074977,66
1602074980,66
1602074983,66
1602074986,66
1602074989,66
1602074992,66
1602074995,66
1602074998,66
1602075001,66
1602075004,66
1602075007,66
1602075010,66
1602075013,66
1602075016,66
1602075019,66
1602075022,66
1602075025,66
1602075028,66
1602075031,66
1602075034,66
1602075037,66
1602075040,66
1602075043,66
1602075046,66
1602075049,66
1602075052,66
1602075055,66
1602075058,66
1602075061,66
1602075064,66
1602075067,66
1602075070,66
1602075073,66
1602075076,66
1602075079,66
1602075082,66
1602075085,66
1602075088,66
1602075091,66
1602075094,66
1602075097,66
1602075100,66
1602075103,66
1602075106,66
1602075109,66
1602075112,66
1602075115,66
1602075118,66
1602075121,66
1602075124,66
1602075127,66
1602075130,66
1602075133,66
1602075136,66
1602075139,66
1602075142,66
1602075145,66
1602075148,66
1602075151,66
1602075154,66
1602075157,66
1602075160,66
1602075163,66
1602075166,66
1602075169,66
