t,value
1602074485,64
1602074488,64
1602074491,80
1602074494,82
1602074497,82
1602074500,82
1602074503,82
1602074506,82
1602074509,82
1602074512,82
1602074515,82
1602074518,82
1602074521,82
1602074524,82
1602074527,82
1602074530,82
1602074533,82
1602074536,82
1602074539,82
1602074542,78
1602074545,78
1602074548,78
1602074551,75
1602074554,75
1602074557,75
1602074560,75
1602074563,75
1602074566,77
1602074569,77
1602074572,78
1602074575,78
1602074578,78
1602074581,78
1602074584,78
1602074587,78
1602074590,78
1602074593,78
1602074596,78
1602074599,78
1602074602,77
1602074605,77
1602074608,77
1602074611,77
1602074614,77
1602074617,77
1602074620,77
1602074623,77
1602074626,77
1602074629,77
1602074632,76
1602074635,76
1602074638,76
1602074641,74
1602074644,74
1602074647,74
1602074650,74
1602074653,74
1602074656,74
1602074659,74
1602074662,74
1602074665,74
1602074668,74
1602074671,74
1602074674,74
1602074677,74
1602074680,74
1602074683,74
1602074686,74
1602074689,74
1602074692,74
1602074695,74
1602074698,74
1602074701,74
1602074704,74
1602074707,74
1602074710,74
1602074713,74
1602074716,74
1602074719,74
1602074722,74
1602074725,74
1602074728,74
1602074731,73
1602074734,73
1602074737,73
1602074740,73
1602074743,73
1602074746,73
1602074749,73
1602074752,73
1602074755,73
1602074758,73
1602074761,73
1602074764,73
1602074767,73
1602074770,73
1602074773,73
1602074776,73
1602074779,73
1602074782,73
1602074785,73
1602074788,73
1602074791,72
1602074794,72
1602074797,72
1602074800,72
1602074803,72
1602074806,72
1602074809,72
1602074812,72
1602074815,72
1602074818,72
1602074821,72
1602074824,72
1602074827,72
1602074830,72
1602074833,72
1602074836,72
1602074839,72
1602074842,72
1602074845,72
1602074848,72
1602074851,72
1602074854,72
1602074857,72
1602074860,72
1602074863,72
1602074866,72
1602074869,72
1602074872,72
1602074875,72
1602074878,72
1602074881,72
1602074884,72
1602074887,72
1602074890,72
1602074893,72
1602074896,72
1602074899,72
1602074902,72
1602074905,72
1602074908,72
1602074911,72
1602074914,72
1602074917,72
1602074920,72
1602074923,72
1602074926,72
1602074929,72
1602074932,72
1602074935,72
1602074938,72
1602074941,72
1602074944,72
1602074947,72
1602074950,72
1602074953,72
1602074956,72
1602074959,72
1602074962,72
1602074965,72
1602074968,72
1602074971,72
1602074974,72
1602074977,72
1602074980,72
1602074983,72
1602074986,72
1602074989,72
1602074992,72
1602074995,72
1602074998,72
1602075001,72
1602075004,72
1602075007,72
1602075010,72
1602075013,72
1602075016,72
1602075019,72
1602075022,72
1602075025,72
1602075028,72
1602075031,72
1602075034,72
1602075037,72
1602075040,72
1602075043,72
1602075046,72
1602075049,72
1602075052,72
1602075055,72
1602075058,72
1602075061,72
1602075064,72
1602075067,72
1602075070,72
1602075073,72
1602075076,72
1602075079,72
1602075082,72
1602075085,72
1602075088,72
1602075091,72
1602075094,72
1602075097,72
1602075100,72
1602075103,72
1602075106,72
1602075109,72
1602075112,72
1602075115,72
1602075118,72
1602075121,72
1602075124,72
1602075127,72
1602075130,72
1602075133,72
1602075136,72
1602075139,72
1602075142,72
1602075145,72
1602075148,72
1602075151,72
1602075154,72
1602075157,72
1602075160,72
1602075163,72
1602075166,72
1602075169,72
1602075172,72
1602075175,72
1602075178,72
1602075181,72
1602075184,72
1602075187,72
1602075190,72
1602075193,72
1602075196,72
1602075199,72
1602075202,72
1602075205,72
1602075208,72
1602075211,72
1602075214,72
1602075217,72
1602075220,72
1602075223,72
1602075226,72
1602075229,72
1602075232,72
1602075235,72
1602075238,72
1602075241,72
1602075244,72
1602075247,72
1602075250,72
1602075253,72
1602075256,72
1602075259,72
1602075262,72
1602075265,72
1602075268,72
1602075271,72
1602075274,72
1602075277,72
1602075280,72
1602075283,72
1602075286,72
1602075289,72
1602075292,72
1602075295,72
1602075298,72
1602075301,72
1602075304,72
1602075307,72
1602075310,72
1602075313,72
1602075316,72
1602075319,72
1602075322,72
1602075325,72
1602075328,72
1602075331,72
1602075334,72
1602075337,72
1602075340,72
1602075343,72
t,value
1602076335,65
1602076338,65
1602076341,65
1602076344,68
1602076347,68
1602076350,68
1602076353,68
1602076356,68
1602076359,68
1602076362,68
1602076365,68
1602076368,68
1602076371,75
1602076374,79
1602076377,79
1602076380,79
1602076383,79
1602076386,79
1602076389,79
1602076392,77
1602076395,77
1602076398,77
1602076401,77
1602076404,77
1602076407,77
1602076410,77
1602076413,77
1602076416,77
1602076419,77
1602076422,77
1602076425,77
1602076428,77
1602076431,77
1602076434,77
1602076437,77
1602076440,77
1602076443,77
1602076446,77
1602076449,77
1602076452,76
1602076455,76
1602076458,76
1602076461,76
1602076464,76
1602076467,76
1602076470,76
1602076473,76
1602076476,76
1602076479,76
1602076482,76
1602076485,76
1602076488,76
1602076491,76
1602076494,76
1602076497,76
1602076500,76
1602076503,76
1602076506,76
1602076509,76
1602076512,76
1602076515,76
1602076518,76
1602076521,76
1602076524,76
1602076527,76
1602076530,76
1602076533,76
1602076536,76
1602076539,76
1602076542,76
1602076545,76
1602076548,76
1602076551,76
1602076554,76
1602076557,76
1602076560,76
1602076563,76
1602076566,76
1602076569,76
1602076572,76
1602076575,76
1602076578,76
1602076581,77
1602076584,77
1602076587,77
1602076590,77
1602076593,77
1602076596,77
1602076599,77
1602076602,77
1602076605,77
1602076608,77
1602076611,77
1602076614,77
1602076617,77
1602076620,77
1602076623,77
1602076626,77
1602076629,77
1602076632,77
1602076635,77
1602076638,77
1602076641,77
1602076644,77
1602076647,77
1602076650,77
1602076653,77
1602076656,77
1602076659,77
1602076662,77
1602076665,77
1602076668,77
1602076671,77
1602076674,77
1602076677,77
1602076680,77
1602076683,77
1602076686,77
1602076689,77
1602076692,76
1602076695,76
1602076698,76
1602076701,76
1602076704,76
1602076707,76
1602076710,76
1602076713,76
1602076716,76
1602076719,76
1602076722,76
1602076725,76
1602076728,76
1602076731,76
1602076734,76
1602076737,76
1602076740,76
1602076743,76
1602076746,76
1602076749,76
1602076752,76
1602076755,76
1602076758,76
1602076761,76
1602076764,76
1602076767,76
1602076770,76
1602076773,76
1602076776,76
1602076779,76
1602076782,76
1602076785,76
1602076788,76
1602076791,76
1602076794,76
1602076797,76
1602076800,76
1602076803,76
1602076806,76
1602076809,76
1602076812,76
1602076815,76
1602076818,76
1602076821,76
1602076824,76
1602076827,76
1602076830,76
1602076833,76
1602076836,76
1602076839,76
1602076842,76
1602076845,76
1602076848,76
1602076851,76
1602076854,76
1602076857,76
1602076860,76
1602076863,76
1602076866,76
1602076869,76
1602076872,76
1602076875,76
1602076878,76
1602076881,76
1602076884,76
1602076887,76
1602076890,76
1602076893,76
1602076896,76
1602076899,76
1602076902,76
1602076905,76
1602076908,76
1602076911,76
1602076914,76
1602076917,76
1602076920,76
1602076923,76
1602076926,76
1602076929,76
1602076932,76
1602076935,76
1602076938,76
1602076941,76
1602076944,76
1602076947,76
1602076950,76
1602076953,76
1602076956,76
1602076959,76
1602076962,76
1602076965,76
1602076968,76
1602076971,76
1602076974,76
1602076977,76
1602076980,76
1602076983,76
1602076986,76
1602076989,76
1602076992,76
1602076995,76
1602076998,76
1602077001,76
1602077004,76
1602077007,76
1602077010,76
1602077013,76
1602077016,76
1602077019,76
1602077022,76
1602077025,76
1602077028,76
1602077031,76
1602077034,76
1602077037,76
1602077040,76
1602077043,76
1602077046,76
1602077049,76
1602077052,76
1602077055,76
1602077058,76
1602077061,76
1602077064,76
1602077067,76
1602077070,76
1602077073,76
1602077076,76
1602077079,76
1602077082,76
1602077085,76
1602077088,76
1602077091,76
1602077094,76
1602077097,76
1602077100,76
1602077103,76
1602077106,76
1602077109,76
1602077112,76
1602077115,76
1602077118,76
1602077121,76
1602077124,76
1602077127,76
1602077130,76
1602077133,76
1602077136,76
1602077139,76
1602077142,76
1602077145,76
1602077148,76
1602077151,76
1602077154,76
1602077157,76
1602077160,76
1602077163,76
1602077166,76
1602077169,76
1602077172,76
1602077175,76
1602077178,76
1602077181,76
1602077184,76
1602077187,76
1602077190,76
1602077193,76
1602077196,76
1602077199,76
1602077202,76
1602077205,76
1602077208,76
1602077211,76
1602077214,76
1602077217,76
1602077220,76
1602077223,76
1602077226,76
1602077229,76
1602077232,76
1602077235,76
1602077238,76
1602077241,76
1602077244,76
1602077247,76
1602077250,76
1602077253,76
1602077256,76
1602077259,76
1602077262,76
1602077265,76
1602077268,76
1602077271,76
1602077274,76
1602077277,76
1602077280,76
1602077283,76
1602077286,76
1602077289,76
1602077292,76
1602077295,76
1602077298,76
1602077301,76
1602077304,76
1602077307,76
1602077310,76
1602077313,76
1602077316,76
1602077319,76
1602077322,76
1602077325,76
1602077328,76
1602077331,76
1602077334,76
1602077337,76
1602077340,76
1602077343,76
1602077346,76
1602077349,76
1602077352,76
1602077355,76
1602077358,76
1602077361,76
1602077364,76
1602077367,76
1602077370,76
1602077373,76
1602077376,76
1602077379,76
1602077382,76
1602077385,76
1602077388,76
1602077391,76
1602077394,76
1602077397,76
1602077400,76
1602077403,76
1602077406,76
1602077409,76
1602077412,76
1602077415,76
1602077418,76
1602077421,76
1602077424,76
1602077427,76
1602077430,76
1602077433,76
1602077436,76
1602077439,76
1602077442,76
1602077445,76
1602077448,76
1602077451,76
1602077454,76
1602077457,76
1602077460,76
1602077463,76
1602077466,76
1602077469,76
1602077472,76
1602077475,76
1602077478,76
1602077481,76
1602077484,76
1602077487,76
1602077490,76
1602077493,76
1602077496,76
